date,open,high,low,close,volume
2022-12-28,12.52,12.68,12.25,12.32,20470358
2022-12-29,12.39,12.71,12.295,12.7,19706290
2022-12-30,12.55,12.825,12.53,12.72,19002843
2023-01-03,12.91,13.0,12.525,12.74,21865070
2023-01-04,12.86,13.61,12.86,13.59,34359051
2023-01-05,13.5,14.01,13.42,13.99,27378040
2023-01-06,14.01,14.25,13.915,14.18,29546407
2023-01-09,14.25,14.79,14.23,14.61,31496870
2023-01-10,14.56,15.2,14.56,15.19,31109866
2023-01-11,15.09,15.5,15.05,15.34,28664334
2023-01-12,16.03,16.9,15.875,16.83,96441833
2023-01-13,16.22,17.07,16.0101,17.02,50828019
2023-01-17,16.9,17.12,16.74,17.08,32875679
2023-01-18,17.53,17.64,16.595,16.64,42352629
2023-01-19,16.412,16.49,16.01,16.28,32630227
2023-01-20,16.37,16.535,16.14,16.34,22487696
2023-01-23,16.39,16.44,16.16,16.17,23408546
2023-01-24,16.01,16.43,15.96,16.02,21641482
2023-01-25,15.97,16.48,15.9,16.26,34131047
2023-01-26,16.54,16.74,15.73,16.61,47488940
2023-01-27,16.535,16.81,16.37,16.43,26257034
2023-01-30,16.29,16.6,15.9101,15.96,23585954
2023-01-31,16.01,16.24,15.91,16.14,19866928
2023-02-01,16.04,16.72,15.92,16.69,26925305
2023-02-02,16.73,17.3199,16.72,17.06,31552207
2023-02-03,16.85,17.22,16.85,17.02,22108170
2023-02-06,16.88,17.09,16.79,16.92,19340755
2023-02-07,16.92,17.03,16.54,16.96,19053422
2023-02-08,17.26,17.44,16.8,16.97,20774171
2023-02-09,17.11,17.16,16.5949,16.66,17558748
2023-02-10,16.41,16.4308,16.14,16.28,14210090
2023-02-13,16.25,16.6,16.21,16.51,15649916
2023-02-14,16.49,16.85,16.33,16.79,17467935
2023-02-15,16.64,16.84,16.58,16.8,12470209
2023-02-16,16.59,16.67,16.36,16.39,15054680
2023-02-17,16.38,16.56,16.15,16.36,21921286
2023-02-21,16.06,16.2,15.52,15.69,24449005
2023-02-22,15.64,15.82,15.415,15.56,22273807
2023-02-23,15.66,16.17,15.5,15.87,25607057
2023-02-24,15.51,15.67,15.36,15.56,20471831
2023-02-27,15.74,15.8299,15.55,15.63,15494328
2023-02-28,15.55,16.05,15.53,15.98,15597789
2023-03-01,15.93,16.05,15.75,16.03,11730531
2023-03-02,15.88,16.15,15.73,16.12,11742387
2023-03-03,16.37,16.55,16.14,16.36,14389524
2023-03-06,16.47,16.55,16.1,16.12,13504758
2023-03-07,16.24,16.66,16.14,16.36,17951322
2023-03-08,16.41,16.6,16.2701,16.59,11399587
2023-03-09,16.55,16.8,15.845,15.88,18504951
2023-03-10,15.98,16.0,15.11,15.46,27280184
2023-03-13,15.02,15.26,14.69,14.85,32541745
2023-03-14,15.05,15.32,14.485,14.66,35258905
2023-03-15,14.24,14.42,13.51,13.86,41843676
2023-03-16,13.7,14.23,13.625,14.12,24581418
2023-03-17,13.95,14.17,13.67,13.98,31268835
2023-03-20,14.02,14.21,13.865,13.96,28076249
2023-03-21,14.29,14.54,14.245,14.37,17788580
