date,open,high,low,close,volume
2020-01-02,160.47,160.95,157.53,159.41,944940
2020-01-03,158.03,159.63,157.25,159.42,566975
2020-01-06,157.74,158.89,156.43,156.8,879926
2020-01-07,156.9,157.4,152.41,154.94,1132189
2020-01-08,154.85,156.05,153.14,153.16,825747
2020-01-09,153.78,153.98,150.25,152.87,1177403
2020-01-10,153.18,153.5,148.61,149.01,1416121
2020-01-13,145.33,147.0,142.76,145.26,2138699
2020-01-14,145.59,149.08,144.34,148.9,1568390
2020-01-15,149.58,151.49,147.82,150.21,1208806
2020-01-16,150.74,152.0,150.1,151.94,676992
2020-01-17,151.78,152.08,150.36,151.05,817440
2020-01-21,150.62,150.62,147.86,149.0,797257
2020-01-22,148.87,149.98,146.81,147.65,1204275
2020-01-23,146.07,150.13,145.97,149.73,1312558
2020-01-24,150.0,150.0,141.21,141.68,1277148
2020-01-27,139.89,141.66,139.06,139.06,937306
2020-01-28,139.78,140.24,137.37,138.58,923959
2020-01-29,139.05,140.43,138.1,138.55,913387
2020-01-30,136.95,137.48,133.43,135.27,1018336
2020-01-31,134.34,134.59,131.5,131.75,1280660
2020-02-03,132.78,134.41,132.34,132.65,1014225
2020-02-04,134.09,134.63,131.54,131.56,822290
2020-02-05,132.71,137.64,132.25,137.02,1199448
2020-02-06,137.13,137.34,133.97,134.37,872960
2020-02-07,134.0,134.38,131.13,132.93,895481
2020-02-10,132.17,132.29,129.94,130.68,780802
2020-02-11,130.96,132.84,130.79,132.11,558072
2020-02-12,132.89,134.79,132.54,134.32,595135
2020-02-13,133.78,136.17,133.17,134.67,949735
2020-02-14,134.75,134.75,131.56,133.59,1122549
2020-02-18,145.39,150.66,140.76,141.81,2881732
2020-02-19,141.51,142.42,137.74,140.12,1015558
2020-02-20,140.15,142.86,139.54,142.48,671589
2020-02-21,141.62,142.13,139.87,140.61,791801
2020-02-24,137.42,140.84,136.56,139.91,1199439
2020-02-25,140.78,140.78,136.14,137.6,1565675
2020-02-26,138.95,138.95,134.08,134.54,1164794
2020-02-27,133.16,138.11,129.63,134.13,996953
2020-02-28,131.29,132.98,127.85,132.98,1909204
2020-03-02,133.45,133.45,128.04,132.99,1402992
2020-03-03,131.52,135.66,128.92,130.33,1240964
2020-03-04,131.22,133.03,128.07,132.9,861315
2020-03-05,129.19,129.77,126.0,126.92,1157098
2020-03-06,123.81,128.48,121.51,127.91,1207701
2020-03-09,119.93,132.19,119.44,130.36,1736731
2020-03-10,133.74,137.35,129.94,135.2,1322544
2020-03-11,132.47,132.8,123.41,125.62,2077526
2020-03-12,118.4,120.33,109.02,109.17,1721077
2020-03-13,114.08,115.31,105.15,113.69,1251555
2020-03-16,102.83,107.49,93.88,95.25,1415935
2020-03-17,97.15,101.92,92.64,100.25,1475383
2020-03-18,92.63,94.46,78.56,88.74,1648467
2020-03-19,86.48,89.42,81.62,85.97,1185027
2020-03-20,86.49,89.0,73.74,75.03,1548516
2020-03-23,74.97,79.94,71.33,78.5,1476033
2020-03-24,82.71,87.61,81.42,86.38,1668216
2020-03-25,87.33,96.61,85.07,90.37,1166694
2020-03-26,91.42,97.65,90.58,97.12,1713828
2020-03-27,93.1,100.21,91.4,95.6,761501
2020-03-30,94.41,97.87,89.86,96.5,1046394
2020-03-31,95.56,97.38,92.9,93.32,1265511
2020-04-01,89.63,92.7,87.12,89.17,1163413
2020-04-02,87.71,89.89,81.94,88.41,3036856
2020-04-03,86.14,86.91,82.73,84.65,1148415
2020-04-06,89.44,98.3,88.53,95.81,1378255
2020-04-07,102.23,103.72,97.48,99.44,1255787
2020-04-08,101.83,103.95,98.96,102.52,680939
2020-04-09,104.62,108.81,103.34,106.86,1137175
2020-04-13,109.02,110.05,103.6,110.0,1175493
2020-04-14,111.24,116.33,111.14,115.39,922510
2020-04-15,110.95,112.95,108.89,111.99,835088
2020-04-16,112.84,118.22,110.96,117.53,1139516
2020-04-17,121.5,123.4,115.64,118.86,949648
2020-04-20,116.83,117.98,115.08,115.4,941394
2020-04-21,115.47,117.2,112.97,113.51,777903
2020-04-22,115.07,116.34,112.41,113.02,751174
2020-04-23,114.5,118.38,112.8,113.39,895340
2020-04-24,115.15,118.3,114.0,117.59,1011420
2020-04-27,118.49,121.09,117.47,118.95,774436
2020-04-28,121.51,123.24,119.94,120.97,775977
2020-04-29,123.83,126.79,123.0,124.91,938307
2020-04-30,123.33,123.42,118.78,120.91,749984
2020-05-01,118.02,119.39,115.97,116.59,501702
2020-05-04,115.43,120.41,115.0,120.11,460334
2020-05-05,121.89,123.59,121.0,121.19,440093
2020-05-06,121.81,122.94,119.57,121.16,683793
2020-05-07,122.5,124.91,118.94,119.61,904505
2020-05-08,121.9,125.71,121.13,124.85,911524
2020-05-11,124.11,126.39,123.0,125.94,851167
2020-05-12,126.7,126.94,124.01,124.5,1010563
2020-05-13,123.76,125.05,118.68,119.24,1178718
2020-05-14,117.78,121.26,116.76,121.13,1385450
2020-05-15,119.91,127.03,118.73,126.06,1307719
2020-05-18,130.61,132.89,128.16,131.11,1806581
2020-05-19,140.34,141.8,135.25,135.82,3755568
2020-05-20,138.23,140.16,135.04,135.72,1216344
2020-05-21,135.57,136.02,130.07,134.79,1511885
2020-05-22,133.29,134.21,131.39,133.48,682585
2020-05-26,137.62,138.67,134.59,135.58,813429
2020-05-27,137.5,141.78,136.31,141.71,815160
2020-05-28,142.39,142.48,138.0,138.44,1069908
2020-05-29,137.7,140.81,136.5,139.32,1324343
2020-06-01,139.56,140.63,138.49,139.79,840953
2020-06-02,141.21,141.35,138.93,139.49,540323
2020-06-03,139.76,144.63,139.76,142.32,519287
2020-06-04,141.08,142.69,140.59,142.2,498438
2020-06-05,145.07,149.16,144.56,146.1,929252
2020-06-08,146.28,149.24,145.08,146.35,920410
2020-06-09,145.22,145.71,142.33,144.21,717052
2020-06-10,144.32,144.32,140.37,140.38,864889
2020-06-11,136.71,138.83,131.6,133.13,942913
2020-06-12,137.05,137.29,131.31,135.73,682668
2020-06-15,131.16,139.39,130.33,137.85,1073983
2020-06-16,143.04,144.01,138.24,142.66,1018940
2020-06-17,144.11,150.03,142.74,148.64,1382706
2020-06-18,147.4,148.84,145.62,147.71,588179
2020-06-19,150.47,150.57,144.78,144.9,1042947
2020-06-22,145.11,152.27,144.53,151.6,1790619
2020-06-23,152.51,153.47,149.78,149.97,1210308
2020-06-24,148.56,148.81,142.76,143.0,1073150
2020-06-25,141.85,143.49,140.07,142.91,920552
2020-06-26,142.97,143.87,139.59,139.99,1079432
2020-06-29,141.49,143.6637,138.76,142.75,676471
2020-06-30,142.43,143.36,140.43,142.45,746130
2020-07-01,142.36,143.67,139.67,141.95,709684
2020-07-02,144.24,145.61,140.3,141.84,466993
2020-07-06,144.15,144.31,138.25,138.96,841342
2020-07-07,137.92,138.96,136.47,136.68,798984
2020-07-08,136.29,136.96,132.93,136.45,1361165
2020-07-09,135.68,136.81,132.32,133.75,543048
2020-07-10,133.31,134.78,131.9,134.45,614914
2020-07-13,135.22,139.5,134.05,135.13,1063908
2020-07-14,134.97,139.58,133.54,138.58,1069819
2020-07-15,140.8,143.97,140.22,143.68,912033
2020-07-16,143.47,147.56,142.98,145.35,941403
2020-07-17,146.2,146.22,143.03,144.86,386516
2020-07-20,145.2,145.66,142.97,144.9,417696
2020-07-21,145.38,148.08,145.03,147.38,756119
2020-07-22,146.9,150.07,146.9,149.4,493774
2020-07-23,150.0,150.89,146.98,148.37,762497
2020-07-24,148.23,149.77,147.08,147.27,755822
2020-07-27,147.39,147.88,146.0,146.83,771343
2020-07-28,147.06,148.06,145.95,146.19,808628
2020-07-29,146.61,148.81,146.13,148.21,1249364
2020-07-30,154.11,154.77,148.73,152.87,1351101
2020-07-31,152.66,153.35,147.55,150.14,829005
2020-08-03,151.54,153.09,149.71,152.55,498280
2020-08-04,152.17,152.94,150.35,152.79,400032
2020-08-05,153.23,154.14,151.14,151.72,856652
2020-08-06,150.95,152.79,150.595,151.83,396388
2020-08-07,150.91,153.21,150.775,151.97,1424499
2020-08-10,152.5,154.22,151.95,153.32,595475
2020-08-11,155.0,155.44,151.79,151.94,764780
2020-08-12,153.58,156.0,153.45,154.28,682477
2020-08-13,154.47,156.87,153.8,155.99,686316
2020-08-14,155.11,159.31,155.11,158.66,1130346
2020-08-17,160.08,161.48,158.98,161.0,2036257
2020-08-18,170.5,170.5,159.715,162.85,2563582
2020-08-19,163.17,163.8399,158.93,160.81,1289456
2020-08-20,159.3,160.02,157.06,157.44,1080185
2020-08-21,157.05,158.325,155.57,156.11,697136
2020-08-24,156.98,157.97,154.52,157.14,636523
2020-08-25,157.26,157.26,153.96,156.06,525206
2020-08-26,155.77,157.578,155.45,156.48,575647
2020-08-27,156.95,156.95,154.54,154.72,473191
2020-08-28,155.38,155.59,153.13,154.77,611633
2020-08-31,154.77,158.7399,151.505,156.31,1242127
2020-09-01,155.78,157.78,154.43,156.39,634773
2020-09-02,156.44,159.56,155.54,158.1,635551
2020-09-03,158.0,158.55,154.305,155.18,591171
2020-09-04,155.89,156.01,150.76,153.75,589124
2020-09-08,152.65,154.6899,150.84,151.73,1197958
2020-09-09,152.62,155.68,152.62,154.35,715902
2020-09-10,154.65,155.715,153.105,153.56,418734
2020-09-11,154.47,155.32,153.08,154.59,493895
2020-09-14,156.9,158.915,156.13,157.31,785874
2020-09-15,157.91,158.41,156.51,156.88,496848
2020-09-16,157.03,157.11,154.3,154.64,512761
2020-09-17,152.56,154.95,152.0,154.76,630687
2020-09-18,154.38,155.97,152.54,153.88,717121
2020-09-21,151.01,151.75,147.61,148.43,854832
2020-09-22,148.99,152.46,146.42,150.11,1244898
2020-09-23,150.57,150.9415,146.3,146.45,618939
2020-09-24,144.52,148.84,142.46,146.71,1115910
2020-09-25,146.33,150.4,146.26,149.41,778626
2020-09-28,150.88,154.165,150.01,153.39,726432
2020-09-29,153.89,153.89,151.66,151.71,610385
2020-09-30,151.48,154.865,151.445,153.5,546651
2020-10-01,153.56,156.26,153.195,154.85,649657
2020-10-02,152.24,156.35,151.66,155.5,487318
2020-10-05,155.74,158.16,154.92,155.86,556697
2020-10-06,160.26,160.775,155.06,155.16,837176
2020-10-07,155.62,158.5004,155.2828,156.81,1065766
2020-10-08,157.8,158.5,155.115,157.66,404441
2020-10-09,158.58,158.58,155.07,155.32,840379
2020-10-12,155.51,156.39,153.63,156.25,720357
2020-10-13,155.61,158.08,155.215,157.38,753378
2020-10-14,158.16,159.18,154.79,156.58,581757
2020-10-15,154.98,157.91,154.08,157.52,697471
2020-10-16,157.52,157.61,154.83,154.99,477153
2020-10-19,156.11,157.355,152.77,153.25,603810
2020-10-20,154.68,154.98,152.69,153.02,614381
2020-10-21,155.99,157.7,153.875,154.38,884466
2020-10-22,153.84,154.075,150.82,152.93,621817
2020-10-23,153.42,155.165,151.78,154.72,543555
2020-10-26,152.71,152.96,149.35,151.21,618970
2020-10-27,150.47,151.91,150.0,150.41,775596
2020-10-28,147.42,150.07,146.15,146.38,687883
2020-10-29,145.73,147.52,144.23,146.0,719887
2020-10-30,144.87,147.405,144.6,147.28,821962
2020-11-02,149.49,152.47,148.76,151.38,1010896
2020-11-03,153.48,158.12,152.68,157.43,847769
2020-11-04,158.37,159.55,154.86,155.53,791888
2020-11-05,157.78,158.84,155.28,156.43,544222
2020-11-06,156.05,157.54,154.315,156.38,725613
2020-11-09,161.59,164.08,156.33,156.63,1877573
2020-11-10,153.25,158.86,150.7,155.42,1716629
2020-11-11,156.78,158.8,153.21,156.52,1132652
2020-11-12,156.72,156.72,151.5,153.06,1091720
2020-11-13,152.99,154.84,152.13,154.0,1074021
2020-11-16,155.5,156.06,150.32,151.06,1306315
2020-11-17,149.92,150.7,147.65,149.3,1073190
2020-11-18,148.93,151.83,147.98,148.1,881598
2020-11-19,147.54,147.54,144.0718,146.08,1706664
2020-11-20,145.91,147.09,143.8801,144.33,1334406
2020-11-23,142.99,146.86,142.59,145.56,1087760
2020-11-24,147.13,150.44,146.19,149.83,1114791
2020-11-25,150.44,150.61,147.3,149.4,795153
2020-11-27,150.24,150.6515,148.31,149.93,460504
