date,open,high,low,close,volume
2020-01-02,68.15,68.79,67.62,68.17,1396577
2020-01-03,66.8,67.11,66.02,66.92,1404601
2020-01-06,66.09,66.89,66.02,66.6,1342640
2020-01-07,66.56,66.82,66.06,66.18,1048745
2020-01-08,66.03,67.59,66.02,66.5,1438528
2020-01-09,67.02,67.02,66.2,66.37,1140407
2020-01-10,66.6,66.7,65.82,65.89,1007568
2020-01-13,65.84,66.19,65.64,65.87,629491
2020-01-14,66.76,67.45,66.02,66.18,994727
2020-01-15,66.01,67.06,65.96,66.59,782276
2020-01-16,67.0,67.43,65.85,66.54,966167
2020-01-17,66.84,67.11,66.04,66.62,943922
2020-01-21,66.04,66.42,64.18,64.99,1636291
2020-01-22,65.44,66.28,65.3,65.59,1397999
2020-01-23,65.0,67.3,64.44,67.18,1407718
2020-01-24,67.28,67.36,65.59,66.72,1127210
2020-01-27,64.88,65.62,64.2,65.34,1778349
2020-01-28,65.87,66.64,65.13,65.54,2214551
2020-01-29,65.75,67.48,65.58,66.89,2466240
2020-01-30,65.87,66.07,65.03,66.01,2127177
2020-01-31,65.61,65.62,64.17,64.59,1581598
2020-02-03,65.13,65.66,64.3,64.65,1696924
2020-02-04,65.59,66.4,65.43,65.77,1513945
2020-02-05,66.71,66.8,65.94,66.33,1332240
2020-02-06,66.84,66.84,63.84,64.02,1530647
2020-02-07,63.9,64.21,63.28,63.96,1338877
2020-02-10,63.54,64.48,63.44,64.43,812876
2020-02-11,64.47,65.28,64.43,64.55,788336
2020-02-12,65.1,66.15,64.81,65.54,932608
2020-02-13,65.17,66.77,65.14,66.5,1538579
2020-02-14,66.32,66.96,65.46,66.11,1006287
2020-02-18,65.94,66.31,65.4,65.49,1265866
2020-02-19,65.61,65.81,64.76,65.17,863761
2020-02-20,64.9,65.97,64.9,65.36,786912
2020-02-21,64.91,65.53,63.95,65.43,926517
2020-02-24,63.48,63.83,62.2,63.01,1285434
2020-02-25,63.17,63.21,58.66,58.81,1685769
2020-02-26,59.37,59.66,57.2,57.37,1813933
2020-02-27,54.79,56.68,52.91,52.96,2704619
2020-02-28,51.09,52.01,49.45,50.46,3535279
2020-03-02,50.85,51.3,48.38,50.03,3072546
2020-03-03,50.47,50.47,46.3,47.37,3414476
2020-03-04,48.19,49.71,46.57,49.69,3479700
2020-03-05,47.66,47.66,43.36,43.46,3857921
2020-03-06,41.5,48.4,41.4,45.21,5041745
2020-03-09,43.16,45.19,42.14,43.19,3413260
2020-03-10,45.31,47.69,43.37,46.78,3138975
2020-03-11,45.1,46.04,43.37,45.7,3184837
2020-03-12,40.11,43.4,35.01,35.08,4726849
2020-03-13,38.1,38.1,33.0,37.95,3946965
2020-03-16,32.02,34.4,28.92,32.53,4448111
2020-03-17,33.06,36.2,31.28,32.53,3706023
2020-03-18,29.53,30.04,20.02,25.13,5065571
2020-03-19,24.7,25.99,22.01,24.18,2900438
2020-03-20,25.71,27.97,23.34,23.56,4061830
2020-03-23,24.0,24.98,22.15,24.03,3682931
2020-03-24,29.44,31.26,27.38,28.91,4733854
