date,open,high,low,close,volume
2020-01-02,124.79,125.39,123.45,125.39,572423
2020-01-03,123.83,124.9,122.83,123.84,480509
2020-01-06,122.16,123.63,120.88,123.61,627373
2020-01-07,123.3,123.56,122.06,122.13,588412
2020-01-08,122.25,123.54,121.85,122.65,938703
2020-01-09,123.15,123.72,122.22,122.87,458474
2020-01-10,123.21,123.88,122.54,123.43,525330
2020-01-13,124.0,124.66,122.37,124.65,945597
2020-01-14,124.46,125.5,123.89,124.72,703109
2020-01-15,124.83,125.73,123.84,125.32,884094
2020-01-16,126.13,128.57,126.04,128.51,784717
2020-01-17,128.94,129.95,127.69,128.05,975712
2020-01-21,127.7,128.14,126.65,127.14,669031
2020-01-22,127.61,129.9,127.54,129.45,786324
2020-01-23,128.92,129.95,128.57,129.8,729211
2020-01-24,130.0,130.58,127.81,128.0,682083
2020-01-27,126.56,128.58,126.41,127.67,675293
2020-01-28,128.22,129.67,127.55,129.44,380846
2020-01-29,130.0,131.71,129.22,130.82,555167
2020-01-30,130.0,131.26,129.38,130.66,524229
2020-01-31,130.47,131.28,128.7,129.32,607353
2020-02-03,130.05,133.02,129.94,132.18,722262
2020-02-04,133.8,135.45,133.62,135.25,640972
2020-02-05,136.57,137.05,132.88,133.28,765030
2020-02-06,133.64,133.73,131.63,132.41,649912
2020-02-07,132.37,134.89,132.02,134.04,782616
2020-02-10,133.72,136.4,133.72,136.38,631265
2020-02-11,136.83,138.02,135.84,137.89,460598
2020-02-12,137.79,138.72,136.8,138.57,604303
2020-02-13,136.52,137.64,136.22,136.83,808790
2020-02-14,136.75,139.24,136.62,138.9,748133
2020-02-18,132.94,134.64,130.61,134.36,1034855
2020-02-19,133.97,134.69,130.39,131.16,766710
2020-02-20,128.77,131.96,126.69,129.85,1245913
2020-02-21,129.23,129.24,127.35,128.58,638694
2020-02-24,125.27,127.89,125.0,126.95,677059
2020-02-25,127.42,127.68,123.8,124.0,782888
2020-02-26,124.63,125.78,122.26,123.66,809858
2020-02-27,121.7,124.28,118.11,118.18,1206851
2020-02-28,114.87,116.7,111.96,114.99,1246511
2020-03-02,115.36,120.86,114.73,120.86,912696
2020-03-03,120.76,124.5,118.23,119.34,848902
2020-03-04,121.67,124.48,120.66,124.35,772626
2020-03-05,122.26,124.72,121.46,122.65,961470
2020-03-06,119.38,120.28,115.53,119.8,970121
2020-03-09,112.27,120.01,102.12,115.0,1126938
2020-03-10,117.55,118.66,110.64,118.39,1277683
2020-03-11,115.93,116.63,113.51,114.78,1220102
2020-03-12,108.39,112.07,103.1,103.39,1598772
2020-03-13,109.21,112.65,104.26,111.81,1050315
2020-03-16,99.52,104.44,94.64,97.71,1040026
2020-03-17,99.56,106.43,97.06,102.6,1290274
2020-03-18,95.31,101.44,82.59,96.68,1547183
2020-03-19,95.72,99.48,92.95,94.16,1280893
2020-03-20,96.29,96.46,81.61,82.84,1202658
2020-03-23,82.27,83.6,77.37,78.6,1262438
2020-03-24,80.79,87.12,80.05,84.92,948205
2020-03-25,84.76,92.17,82.64,89.45,830691
2020-03-26,89.38,97.43,89.38,96.78,745414
2020-03-27,95.71,96.4,90.56,91.62,764259
2020-03-30,92.24,95.74,91.0,95.01,849233
2020-03-31,93.77,95.63,91.18,92.02,1142732
2020-04-01,88.55,88.55,82.9,84.59,1059244
2020-04-02,84.16,87.0,82.62,84.42,1059235
2020-04-03,84.02,85.87,82.2,84.04,830682
2020-04-06,87.39,95.13,87.08,94.49,843270
2020-04-07,98.06,98.84,91.6,92.75,1064523
2020-04-08,91.71,96.39,90.88,94.65,856115
2020-04-09,94.72,97.81,94.16,95.36,816655
2020-04-13,94.88,96.55,92.3,95.77,815875
2020-04-14,97.75,99.11,96.88,97.92,615094
2020-04-15,96.38,96.87,93.05,94.46,623550
2020-04-16,94.37,95.47,92.15,93.98,754868
2020-04-17,96.37,98.25,94.92,97.63,767493
2020-04-20,95.64,96.31,93.32,93.95,571503
2020-04-21,92.23,92.96,90.26,90.76,603251
2020-04-22,92.33,93.16,91.1,92.97,699923
2020-04-23,94.58,98.29,92.12,95.13,1311085
2020-04-24,94.76,96.79,93.37,96.57,691458
2020-04-27,97.57,99.57,97.41,99.07,717737
2020-04-28,101.03,103.03,100.64,101.62,564350
2020-04-29,104.33,104.6,101.67,102.36,810175
2020-04-30,100.85,101.58,98.61,100.54,1215195
2020-05-01,98.92,99.92,96.78,97.48,705867
2020-05-04,96.38,96.38,94.4,94.76,666596
2020-05-05,95.57,97.91,94.89,96.74,751877
2020-05-06,97.55,99.61,96.8,97.99,838930
2020-05-07,99.14,101.21,99.14,100.14,908767
2020-05-08,101.94,103.79,101.52,102.27,409901
2020-05-11,101.59,102.69,100.02,101.68,530444
2020-05-12,102.19,103.56,99.67,99.72,538690
2020-05-13,98.7,99.85,92.76,93.66,908745
2020-05-14,92.36,93.62,89.83,93.57,1442749
2020-05-15,92.78,94.48,92.04,92.94,766097
2020-05-18,96.22,97.71,95.75,95.88,726813
2020-05-19,95.57,97.46,94.11,94.25,712892
2020-05-20,95.76,97.84,95.38,97.34,814731
2020-05-21,93.97,95.52,93.52,94.0,972782
2020-05-22,94.37,94.6,92.92,94.29,497645
2020-05-26,96.96,98.55,96.36,97.64,746109
2020-05-27,99.6,100.41,97.68,99.03,853612
2020-05-28,100.64,101.59,98.39,99.91,645421
2020-05-29,98.82,100.18,97.85,99.7,917223
2020-06-01,100.38,102.01,99.43,100.65,480397
2020-06-02,101.37,101.99,99.36,100.01,664067
2020-06-03,100.89,105.39,100.6,105.04,714810
2020-06-04,103.81,106.24,103.21,106.09,774865
2020-06-05,109.84,117.49,109.29,115.35,1535468
2020-06-08,114.94,116.7,114.32,115.54,707917
2020-06-09,113.57,113.64,111.78,112.29,612132
2020-06-10,111.89,112.42,108.76,109.02,663159
2020-06-11,105.26,105.49,101.38,101.56,734354
2020-06-12,104.9,104.91,99.37,102.41,731982
2020-06-15,99.14,103.23,98.47,102.65,540734
2020-06-16,106.69,106.81,102.06,104.53,472649
2020-06-17,105.55,106.03,103.64,104.25,481252
2020-06-18,103.48,105.26,102.17,102.99,563353
2020-06-19,104.99,104.99,101.91,102.74,968996
2020-06-22,102.22,102.86,100.41,102.7,709768
2020-06-23,104.23,104.91,102.42,102.66,466736
2020-06-24,101.6,101.97,97.71,97.83,560209
2020-06-25,97.08,98.25,95.08,98.0,716187
2020-06-26,97.7,98.52,96.34,97.05,837545
2020-06-29,98.13,99.81,97.0,99.79,515247
2020-06-30,99.39,102.74,99.39,102.22,805877
2020-07-01,102.28,103.36,101.03,101.89,804470
2020-07-02,103.4,104.6,102.3,102.39,452973
2020-07-06,104.4,105.04,103.4,103.97,397759
2020-07-07,103.13,103.77,102.01,102.05,514793
2020-07-08,102.9,103.47,101.73,102.49,699962
2020-07-09,102.55,103.18,100.06,100.53,473735
2020-07-10,100.27,101.74,99.51,101.51,436582
2020-07-13,102.02,103.54,101.5,101.75,499913
2020-07-14,101.55,104.38,101.15,104.24,548882
2020-07-15,105.95,107.78,105.54,106.8,722851
2020-07-16,106.72,107.92,106.14,107.41,586051
2020-07-17,107.53,107.53,104.92,106.85,750344
2020-07-20,107.0,108.53,106.65,107.53,635472
2020-07-21,109.08,110.18,108.43,109.82,774274
2020-07-22,109.35,112.395,109.35,111.6,1117059
2020-07-23,108.7,110.0,102.35,102.56,1622510
2020-07-24,102.75,103.28,100.395,101.02,873738
2020-07-27,101.68,102.08,100.59,101.39,732461
2020-07-28,100.8,101.18,98.47,98.51,657997
2020-07-29,98.67,99.64,97.805,98.22,570871
2020-07-30,96.96,97.88,95.43,97.58,721795
2020-07-31,97.78,99.51,96.54,99.46,896527
2020-08-03,100.12,100.905,99.005,100.45,703480
2020-08-04,99.6,100.055,98.28,99.41,700811
2020-08-05,99.94,101.025,99.68,100.44,748242
2020-08-06,99.79,100.69,98.22,99.2,810543
2020-08-07,99.6,100.11,98.63,100.11,692973
2020-08-10,100.47,102.39,100.18,102.32,449655
2020-08-11,103.24,106.21,102.64,104.16,759431
2020-08-12,104.79,105.01,103.525,104.17,406988
2020-08-13,103.93,104.68,102.36,102.69,453816
2020-08-14,102.43,102.86,101.09,101.56,490867
2020-08-17,101.46,102.875,101.0,102.26,638549
2020-08-18,102.4,102.83,100.42,100.59,958967
2020-08-19,100.77,101.29,99.5,100.71,565878
2020-08-20,99.66,100.17,98.835,99.34,376287
2020-08-21,99.35,100.57,99.25,100.27,584766
2020-08-24,100.45,102.99,100.42,102.9,522273
2020-08-25,103.32,103.64,100.76,102.08,534709
2020-08-26,102.06,103.05,101.41,102.46,471320
2020-08-27,102.88,103.9,102.53,103.24,591520
2020-08-28,103.33,104.87,102.17,104.0,622821
2020-08-31,103.77,104.39,103.26,103.39,866888
2020-09-01,102.97,103.01,100.61,102.1,593722
2020-09-02,102.35,105.42,102.0,104.8,635087
2020-09-03,104.94,105.3396,99.85,100.42,591220
2020-09-04,101.42,102.05,98.9001,99.67,583214
2020-09-08,98.95,99.21,97.38,98.0,775594
2020-09-09,98.94,100.04,98.53,98.69,584700
2020-09-10,99.0,99.35,96.62,97.01,537926
2020-09-11,97.4,98.88,97.29,97.97,649182
2020-09-14,99.16,99.45,97.87,99.14,590528
2020-09-15,99.74,101.17,99.13,100.92,684393
2020-09-16,101.49,105.16,101.17,103.83,885312
2020-09-17,102.48,105.43,101.875,103.98,1243974
2020-09-18,104.05,105.67,102.81,103.25,1464888
2020-09-21,101.42,101.475,95.72,97.77,984897
2020-09-22,97.66,98.89,96.3,98.22,845781
2020-09-23,98.99,99.195,95.07,95.37,781698
2020-09-24,95.0,96.62,94.01,95.63,716075
2020-09-25,95.28,98.07,94.63,97.24,637289
2020-09-28,98.94,100.72,98.455,99.21,614545
2020-09-29,99.02,100.49,98.575,99.17,485489
2020-09-30,99.94,101.72,97.9,98.91,1442808
2020-10-01,99.94,101.68,98.17,98.5,872416
2020-10-02,96.53,99.69,96.32,98.82,1666042
2020-10-05,99.89,101.22,99.54,100.8,970918
2020-10-06,101.01,102.76,100.44,100.86,669585
2020-10-07,101.72,102.4,100.72,101.56,684060
2020-10-08,102.7,103.77,102.05,103.69,517516
2020-10-09,104.67,105.375,103.91,103.99,484700
2020-10-12,104.68,108.09,104.68,107.76,570154
2020-10-13,106.72,107.19,104.79,105.04,700309
2020-10-14,105.0,106.03,103.92,104.48,473095
2020-10-15,102.95,104.84,102.94,104.82,357157
2020-10-16,105.23,106.27,104.93,104.99,386458
2020-10-19,105.15,105.84,103.75,103.93,569505
2020-10-20,105.08,107.605,104.685,105.3,576782
2020-10-21,105.16,107.11,103.16,103.9,1155363
2020-10-22,105.0,105.495,99.83,101.97,1536900
2020-10-23,103.15,104.01,101.74,102.88,764542
2020-10-26,101.61,102.13,99.9,100.84,715408
2020-10-27,100.84,100.97,99.0,99.26,683635
2020-10-28,96.98,98.965,96.08,96.36,994056
2020-10-29,95.78,98.87,95.67,98.11,776537
2020-10-30,97.11,98.57,95.8,98.5,912168
2020-11-02,99.89,101.79,99.6,101.51,901947
2020-11-03,102.81,104.66,102.19,104.08,726071
2020-11-04,104.27,104.91,101.24,101.55,814028
2020-11-05,102.86,104.72,102.86,104.13,740963
2020-11-06,104.0,104.75,102.47,102.83,749693
2020-11-09,106.25,114.74,105.45,111.87,1144207
