date,open,high,low,close,volume
2020-01-02,85.47,85.47,83.29,83.99,551103
2020-01-03,82.89,83.56,81.81,82.95,551552
2020-01-06,82.26,83.56,81.6,83.33,376307
2020-01-07,83.43,83.76,82.04,82.39,431987
2020-01-08,83.11,83.4,82.0,82.53,541683
2020-01-09,83.15,83.38,82.34,82.93,670115
2020-01-10,82.76,84.39,82.02,82.93,865823
2020-01-13,83.49,84.77,83.31,84.55,399956
2020-01-14,84.54,85.39,84.04,84.78,420873
2020-01-15,84.15,85.37,83.71,84.69,456515
2020-01-16,85.37,86.64,85.16,86.38,300634
2020-01-17,86.84,87.21,85.16,85.64,294337
2020-01-21,84.93,85.91,84.19,85.38,347029
2020-01-22,85.56,86.88,85.56,86.04,609263
2020-01-23,85.52,85.8,83.52,85.47,628979
2020-01-24,85.74,85.8,82.67,82.91,378812
2020-01-27,80.43,81.33,79.13,79.8,733290
2020-01-28,80.54,80.98,79.18,79.18,444800
2020-01-29,79.6,80.21,78.88,79.48,570437
2020-01-30,78.7,80.36,77.82,80.31,593520
2020-01-31,79.45,80.4,78.73,79.85,993604
2020-02-03,82.47,82.5,78.71,80.25,1461144
2020-02-04,81.51,82.64,81.05,82.07,560282
2020-02-05,83.49,85.29,83.49,84.53,890099
2020-02-06,85.33,86.02,81.92,83.23,1092544
2020-02-07,82.23,82.54,80.92,81.52,368159
2020-02-10,80.94,82.62,80.8,82.3,366266
2020-02-11,82.85,83.77,82.47,83.01,301774
2020-02-12,83.71,84.84,83.42,83.71,334103
2020-02-13,83.01,83.62,81.71,82.53,302215
2020-02-14,82.87,83.12,82.13,82.9,277498
2020-02-18,83.24,84.3,81.99,83.27,498329
2020-02-19,84.46,86.9,84.44,86.71,473427
2020-02-20,86.5,88.4,86.45,88.1,347020
2020-02-21,87.95,88.95,87.37,88.78,542371
2020-02-24,85.13,86.33,84.51,85.28,683086
2020-02-25,85.4,85.6,80.9,82.33,903986
2020-02-26,83.26,83.26,81.0,81.68,849761
2020-02-27,79.96,82.61,79.03,80.28,1679993
2020-02-28,77.14,77.97,73.4,75.22,1401803
2020-03-02,75.67,78.6,74.28,78.36,816654
2020-03-03,78.49,78.49,72.74,73.81,663547
2020-03-04,74.92,75.63,73.19,75.42,812953
2020-03-05,72.33,72.79,68.8,70.7,1706483
2020-03-06,67.78,70.86,67.21,70.49,1017848
2020-03-09,65.43,65.6,61.74,62.45,886315
2020-03-10,65.45,67.42,62.91,66.86,742347
2020-03-11,64.75,65.12,58.62,61.5,1670643
2020-03-12,55.42,55.42,50.25,50.38,982793
2020-03-13,54.37,57.2,51.58,57.17,983800
2020-03-16,47.5,54.23,47.03,52.57,1203982
2020-03-17,54.11,60.49,50.5,59.54,1194766
2020-03-18,54.22,64.4,53.72,58.93,1796162
2020-03-19,58.05,61.3,52.88,55.33,1035077
2020-03-20,55.66,56.74,47.5,48.77,1361393
2020-03-23,47.58,49.38,44.37,45.15,761429
2020-03-24,48.49,49.85,47.02,49.59,697221
2020-03-25,50.14,54.88,49.06,51.35,566016
2020-03-26,52.03,57.62,49.05,56.84,573415
2020-03-27,54.23,58.3,53.33,56.36,902326
2020-03-30,56.93,60.63,55.49,60.43,631673
2020-03-31,60.35,60.75,57.8,59.14,605465
2020-04-01,55.99,57.75,54.21,56.15,639971
2020-04-02,56.37,58.91,55.28,56.72,633582
2020-04-03,56.72,57.21,53.32,55.36,418038
2020-04-06,58.7,62.21,58.7,61.64,609171
2020-04-07,64.72,64.72,61.12,62.55,672619
2020-04-08,63.1,65.55,61.45,65.14,506828
2020-04-09,66.67,72.54,65.16,66.6,1108061
2020-04-13,67.5,67.55,61.71,62.9,519478
2020-04-14,65.18,65.23,62.04,63.25,667264
2020-04-15,60.66,61.0,58.75,59.93,499539
2020-04-16,59.65,60.89,58.57,59.89,380939
2020-04-17,62.37,64.13,61.54,62.95,462595
2020-04-20,61.22,63.76,60.03,61.53,437707
2020-04-21,59.53,61.44,59.16,61.0,374488
2020-04-22,62.63,62.63,60.53,61.25,308319
