date,open,high,low,close,volume
2020-01-02,210.46,210.91,206.07,207.24,817428
2020-01-03,206.38,209.57,206.31,209.23,672070
2020-01-06,209.06,209.87,208.24,209.58,601613
2020-01-07,208.19,208.58,204.78,205.02,850460
2020-01-08,205.29,206.83,204.56,205.87,872346
2020-01-09,205.48,206.88,204.91,206.35,738816
2020-01-10,206.78,208.87,206.26,208.45,736074
2020-01-13,208.23,211.03,208.23,211.02,490241
2020-01-14,210.21,210.21,207.83,209.51,550572
2020-01-15,211.6,212.45,210.53,211.9,796635
2020-01-16,212.2,214.94,211.34,214.89,545238
2020-01-17,215.26,216.85,214.66,216.07,1213303
2020-01-21,216.42,219.41,216.29,219.3,730051
2020-01-22,219.85,220.7,215.81,216.64,718906
2020-01-23,216.86,218.71,216.01,218.49,554338
2020-01-24,218.83,219.4,217.66,219.33,566881
2020-01-27,218.44,219.42,217.14,218.86,786479
2020-01-28,218.65,220.88,218.04,219.27,516191
2020-01-29,220.03,220.03,216.3,216.62,734359
2020-01-30,215.99,218.35,215.3564,218.01,536452
2020-01-31,217.94,219.13,216.04,216.69,609604
2020-02-03,217.32,218.69,216.1,216.69,499859
2020-02-04,216.94,219.67,216.19,218.77,655671
2020-02-05,218.63,219.77,217.445,217.61,464451
2020-02-06,217.61,219.27,215.68,219.13,568951
2020-02-07,219.76,220.12,218.05,219.17,471490
2020-02-10,220.99,221.75,219.11,221.75,884744
2020-02-11,221.5,223.91,221.37,222.88,814664
2020-02-12,222.82,225.22,222.32,224.39,851546
2020-02-13,224.0,226.32,224.0,225.59,730546
2020-02-14,226.18,228.01,225.67,227.53,456885
2020-02-18,228.06,228.22,225.82,228.07,443542
2020-02-19,228.54,229.4,225.74,225.8,692433
2020-02-20,225.51,227.19,225.02,227.15,779213
2020-02-21,226.95,229.06,226.89,228.02,811841
2020-02-24,226.58,229.09,224.5,225.79,726725
2020-02-25,226.68,227.41,220.98,221.41,855862
2020-02-26,221.91,223.22,220.24,221.22,907519
2020-02-27,218.83,219.85,207.51,207.67,1120874
2020-02-28,204.17,204.33,195.57,200.59,1702857
2020-03-02,201.76,209.67,199.81,209.67,1275719
2020-03-03,209.67,216.57,207.38,208.73,1099227
2020-03-04,211.71,218.03,210.82,217.72,990229
2020-03-05,214.75,216.47,210.73,213.31,801391
2020-03-06,208.47,210.11,202.86,209.06,918968
2020-03-09,200.49,203.61,197.17,197.17,1306028
2020-03-10,201.43,209.0,195.99,208.84,1354370
2020-03-11,203.22,203.25,195.0,195.85,1101577
2020-03-12,182.25,196.65,179.12,181.98,1766878
2020-03-13,189.9,193.93,179.15,193.16,1343468
2020-03-16,175.84,178.25,163.47,163.47,1462995
2020-03-17,167.25,182.42,162.06,181.59,1992224
2020-03-18,169.76,176.75,147.07,153.88,1562873
2020-03-19,153.49,155.57,145.31,146.57,1292723
2020-03-20,147.72,150.95,128.58,131.62,1568977
2020-03-23,131.62,131.62,118.17,121.08,2070051
2020-03-24,126.19,129.34,123.0,127.46,2236273
2020-03-25,125.58,149.27,123.7,140.78,1937923
2020-03-26,140.66,151.92,138.34,151.06,1761885
2020-03-27,146.01,164.93,145.68,160.27,1374345
2020-03-30,160.23,161.64,144.18,152.1,2100278
2020-03-31,150.43,152.24,142.76,147.17,2165051
2020-04-01,139.65,140.45,130.79,138.02,2248017
2020-04-02,135.01,142.09,131.93,135.34,1555335
2020-04-03,133.66,138.06,130.27,132.22,1147620
2020-04-06,139.72,146.28,139.25,145.07,1175803
2020-04-07,153.32,154.38,145.94,147.35,998733
2020-04-08,149.01,161.57,146.58,160.73,1195461
2020-04-09,162.8,172.91,162.8,167.36,1751349
2020-04-13,165.7,166.51,159.02,161.41,758299
2020-04-14,165.91,168.56,162.35,167.03,1021397
2020-04-15,161.23,164.73,158.33,161.08,907535
2020-04-16,161.79,164.93,159.01,161.25,865884
2020-04-17,164.87,171.09,164.5,170.37,1232831
2020-04-20,166.27,167.7,160.32,160.51,1299826
2020-04-21,160.0,161.58,157.64,158.25,2160685
2020-04-22,161.0,162.13,158.91,159.84,1551770
2020-04-23,159.47,159.98,154.65,157.45,1567241
2020-04-24,158.06,159.98,155.54,158.38,1001581
2020-04-27,160.59,162.16,159.18,160.75,1495173
2020-04-28,164.86,166.87,162.11,162.47,578490
2020-04-29,166.32,167.97,162.64,165.81,821101
2020-04-30,163.5,164.24,161.5,162.95,1075081
2020-05-01,159.12,161.49,157.31,158.44,979511
2020-05-04,156.41,158.74,155.33,158.16,1210318
2020-05-05,160.3,161.84,158.63,159.34,774348
2020-05-06,159.46,161.62,156.76,156.8,1067269
2020-05-07,159.62,163.32,155.12,160.44,1158097
2020-05-08,163.41,164.29,160.87,163.96,1371744
2020-05-11,162.6,162.93,157.11,157.24,1024138
2020-05-12,157.8,158.35,151.0,151.5,1859901
2020-05-13,150.56,152.31,149.28,151.06,1790333
2020-05-14,148.52,151.86,145.15,151.86,1666469
2020-05-15,150.22,154.6,145.87,150.35,1980878
2020-05-18,156.78,160.49,154.01,158.48,1040339
2020-05-19,157.24,159.09,154.4,154.65,1174477
2020-05-20,156.48,156.48,152.08,155.83,1448006
2020-05-21,155.16,158.0,153.73,154.18,820306
2020-05-22,154.21,154.71,152.97,153.67,1015702
2020-05-26,158.83,162.56,157.44,160.41,983628
2020-05-27,165.0,165.0,157.4,158.9,1015334
2020-05-28,160.94,160.94,156.66,159.03,1226450
2020-05-29,157.21,158.86,154.22,156.01,3918075
2020-06-01,155.99,161.8,155.24,160.42,1047447
2020-06-02,161.75,161.94,157.0,158.77,1483814
2020-06-03,160.57,163.0,160.01,162.0,1294412
2020-06-04,161.13,161.85,157.76,158.87,1431605
2020-06-05,165.0,174.01,164.99,172.69,2109868
2020-06-08,175.48,178.12,172.59,178.07,1378793
2020-06-09,175.0,175.53,172.4,174.22,917224
2020-06-10,172.99,175.01,169.85,171.35,802882
2020-06-11,163.74,167.03,161.72,161.87,1187379
2020-06-12,166.44,166.44,159.68,163.75,1562772
2020-06-15,157.88,162.75,157.88,160.71,1600476
2020-06-16,167.14,170.58,165.49,167.33,1116611
2020-06-17,168.34,169.04,161.27,162.74,1214432
2020-06-18,160.8,161.76,158.67,160.31,1376417
2020-06-19,163.7,164.11,155.09,155.09,3239578
2020-06-22,155.47,157.64,152.33,156.23,1447690
2020-06-23,157.56,158.39,154.4,155.31,1127184
2020-06-24,153.46,154.15,149.18,151.57,998823
2020-06-25,150.67,153.49,149.95,153.37,869012
2020-06-26,152.7,154.44,150.13,151.38,1183121
2020-06-29,151.37,153.0,148.97,153.0,680170
2020-06-30,152.72,155.37,151.96,154.64,1405043
2020-07-01,155.03,159.76,154.6,159.05,690395
2020-07-02,161.57,162.55,157.29,159.92,947334
2020-07-06,163.22,163.7,158.31,159.49,1240407
2020-07-07,156.96,158.24,154.57,154.72,1060280
2020-07-08,154.72,155.76,152.94,153.3,841763
2020-07-09,152.45,153.45,149.89,151.64,1307645
2020-07-10,151.62,153.9,151.07,152.74,504646
2020-07-13,152.94,154.31,150.65,152.14,624547
2020-07-14,151.86,155.39,151.37,154.4,523204
2020-07-15,156.07,156.2,152.53,154.54,869743
2020-07-16,152.77,155.4,152.77,154.37,768030
2020-07-17,154.79,155.04,152.8,153.89,893011
2020-07-20,151.28,153.09,148.06,149.56,908306
2020-07-21,150.52,151.2,147.32,147.48,931431
2020-07-22,146.64,150.71,145.58,150.41,2345302
2020-07-23,150.55,151.878,146.72,148.15,826177
2020-07-24,148.67,149.33,146.63,146.85,725610
2020-07-27,146.0,146.26,143.31,145.72,851440
2020-07-28,145.8,150.84,144.55,150.24,872821
2020-07-29,151.41,151.75,146.67,151.58,1258036
2020-07-30,149.75,151.2,145.68,151.2,1311973
2020-07-31,151.12,153.24,146.97,153.12,1412238
2020-08-03,151.31,151.495,149.35,149.93,951053
2020-08-04,149.69,152.24,148.825,151.7,1087010
2020-08-05,152.0,153.26,149.91,150.93,727305
2020-08-06,149.75,151.85,149.75,150.97,584351
2020-08-07,150.0,153.88,149.76,153.86,884726
2020-08-10,154.15,156.6,153.62,153.8,501332
2020-08-11,155.32,157.0,151.03,151.74,643720
2020-08-12,151.95,153.02,150.87,152.91,539234
2020-08-13,151.79,154.91,150.6,150.7,825810
2020-08-14,150.31,154.66,149.81,153.05,652707
2020-08-17,153.17,155.4,152.51,155.37,591404
2020-08-18,155.38,155.43,153.425,154.67,739698
2020-08-19,154.34,154.34,151.16,152.15,1082123
2020-08-20,151.73,154.9,151.46,153.7,728794
2020-08-21,153.93,154.96,151.04,152.41,616337
2020-08-24,152.14,155.78,150.555,155.78,839545
2020-08-25,155.82,156.81,154.305,155.52,649486
2020-08-26,154.55,154.9,152.24,153.85,969094
2020-08-27,154.69,158.78,154.69,158.45,611459
2020-08-28,158.84,160.13,156.83,159.62,839659
2020-08-31,158.67,158.955,156.75,158.06,979056
2020-09-01,157.05,158.38,155.83,158.2,1127429
2020-09-02,158.18,161.33,157.2,161.3,965607
2020-09-03,162.87,164.12,158.6,160.32,923456
2020-09-04,160.35,163.31,159.15,162.1,855643
2020-09-08,160.84,160.93,157.94,158.46,1135512
2020-09-09,158.38,159.29,155.93,156.34,1214593
2020-09-10,155.72,156.13,151.35,152.52,1855918
2020-09-11,152.36,152.43,148.5,149.87,1353321
2020-09-14,150.87,156.08,150.14,154.56,1386051
2020-09-15,154.54,155.9,152.47,152.57,896634
2020-09-16,152.68,154.905,152.19,153.09,966923
2020-09-17,151.97,154.845,150.51,153.5,850266
2020-09-18,152.31,153.5,150.97,151.06,1945431
2020-09-21,149.75,149.88,145.61,145.93,1579081
2020-09-22,146.04,150.47,146.04,149.2,1055897
2020-09-23,149.02,151.16,146.52,147.06,1294678
2020-09-24,146.44,148.62,145.01,146.96,1287287
2020-09-25,146.46,148.1,145.305,148.04,1225393
2020-09-28,150.38,152.82,149.58,151.45,1126066
2020-09-29,149.34,150.78,146.44,147.52,851786
2020-09-30,148.65,150.48,147.31,149.34,1204279
2020-10-01,149.72,155.63,149.61,155.6,1140147
2020-10-02,153.32,159.02,151.59,157.94,1487269
2020-10-05,159.04,160.84,156.71,160.43,1135490
2020-10-06,161.49,162.33,157.79,158.6,1100720
2020-10-07,159.12,160.13,155.75,156.85,1024905
2020-10-08,157.96,160.82,157.35,160.1,716104
2020-10-09,161.01,161.82,157.29,158.34,883724
2020-10-12,158.99,159.66,157.33,159.1,867319
2020-10-13,155.5,158.16,152.87,154.9,1042487
2020-10-14,154.78,155.83,153.6,153.62,836282
2020-10-15,152.21,155.33,152.21,153.16,683102
2020-10-16,152.89,153.67,148.94,148.94,1420691
2020-10-19,149.73,150.565,145.25,145.41,1158205
2020-10-20,146.82,147.33,145.15,145.55,1045091
2020-10-21,145.09,146.39,144.27,145.97,948005
2020-10-22,146.32,147.24,144.93,146.48,521607
2020-10-23,147.72,148.2471,145.66,145.79,788215
2020-10-26,145.0,145.295,142.02,143.38,912799
2020-10-27,143.02,143.97,139.88,139.88,969483
2020-10-28,137.5,137.78,131.38,132.71,2059930
2020-10-29,132.71,137.82,132.06,136.13,1638844
2020-10-30,135.28,140.09,135.28,139.13,1330504
2020-11-02,140.1,145.35,137.895,145.34,1180842
2020-11-03,147.03,153.29,146.75,151.15,1330682
2020-11-04,150.58,150.95,146.9269,148.33,1178167
2020-11-05,148.79,150.7,147.27,148.24,951206
2020-11-06,148.09,150.41,146.95,147.95,956053
2020-11-09,158.98,184.49,158.98,164.69,3047815
2020-11-10,165.29,174.49,164.55,171.79,2680540
2020-11-11,171.2,171.2,167.21,168.82,1526893
2020-11-12,168.19,168.59,164.41,166.5,980883
2020-11-13,167.39,169.52,167.285,169.34,894676
2020-11-16,176.28,176.79,170.58,173.35,962092
2020-11-17,171.46,175.45,170.01,174.12,664748
2020-11-18,174.96,175.67,169.56,169.6,832561
2020-11-19,168.64,170.57,164.83,170.3,961192
2020-11-20,171.02,172.64,169.77,171.9,984711
2020-11-23,172.35,174.04,170.56,171.05,1130497
2020-11-24,173.83,175.37,172.36,173.31,909921
2020-11-25,172.38,172.635,169.71,171.05,660637
2020-11-27,170.92,170.92,167.2,167.87,324489
2020-11-30,166.69,168.57,164.275,166.59,2290077
2020-12-01,169.28,169.715,167.05,167.45,873653
2020-12-02,168.51,172.99,167.83,169.28,967947
2020-12-03,169.01,171.99,168.71,171.13,1204482
2020-12-04,172.14,174.19,170.75,173.84,1012443
2020-12-07,172.45,174.16,172.24,172.68,550246
2020-12-08,171.64,172.27,169.29,169.35,1168056
2020-12-09,169.16,170.54,164.76,166.45,1415096
2020-12-10,165.88,167.81,162.32,162.52,1071012
2020-12-11,161.1,162.84,160.8,162.36,1052402
2020-12-14,163.24,164.84,159.585,159.67,971926
2020-12-15,160.15,161.98,158.23,161.97,839716
2020-12-16,162.0,163.25,159.71,161.51,1109945
2020-12-17,162.51,163.33,160.51,163.23,1005962
2020-12-18,162.69,163.42,157.01,158.44,2432864
2020-12-21,155.0,158.26,155.0,157.96,952831
2020-12-22,158.31,158.62,156.21,158.56,823614
2020-12-23,159.58,160.89,156.51,156.72,564129
2020-12-24,157.39,158.11,156.104,157.74,246072
2020-12-28,158.0,160.33,157.46,160.33,892048
2020-12-29,161.0,161.645,157.14,157.21,550001
2020-12-30,156.45,158.8,156.36,158.05,577121
2020-12-31,158.48,160.6599,156.76,160.43,430350
