date,open,high,low,close,volume
2020-01-02,1194.86,1197.58,1179.61,1189.74,212169
2020-01-03,1175.74,1190.31,1175.74,1187.98,188757
2020-01-06,1167.01,1177.74,1147.14,1165.71,296817
2020-01-07,1160.67,1168.13,1141.39,1145.38,274974
2020-01-08,1141.63,1157.42,1137.35,1147.49,207946
2020-01-09,1152.07,1154.11,1144.15,1145.39,205968
2020-01-10,1151.0,1151.0,1130.54,1132.22,208106
2020-01-13,1128.98,1134.04,1118.79,1128.37,219899
2020-01-14,1125.43,1136.96,1115.47,1136.6,332912
2020-01-15,1129.83,1148.69,1129.83,1134.29,186368
2020-01-16,1143.94,1147.08,1136.35,1142.12,196626
2020-01-17,1144.53,1155.47,1140.0,1154.58,309991
2020-01-21,1152.1,1165.01,1149.36,1155.0,300213
2020-01-22,1155.77,1162.89,1146.09,1157.33,227289
2020-01-23,1151.56,1168.3,1149.0,1166.0,250322
2020-01-24,1166.35,1167.16,1136.78,1140.23,250108
2020-01-27,1123.22,1127.66,1112.69,1114.49,211958
2020-01-28,1116.63,1119.0,1104.13,1107.58,207557
2020-01-29,1108.2,1118.23,1096.08,1096.51,181308
2020-01-30,1089.75,1092.62,1079.91,1086.58,326320
2020-01-31,1080.92,1094.53,1056.11,1057.96,310956
2020-02-03,1062.13,1069.32,1050.17,1050.45,262480
2020-02-04,1058.16,1063.96,1042.92,1050.21,280348
2020-02-05,1056.34,1077.02,1050.73,1073.25,302068
2020-02-06,1075.26,1081.84,1061.69,1062.31,278509
2020-02-07,1057.06,1066.79,1047.87,1058.91,218483
2020-02-10,1061.24,1066.65,1052.29,1053.72,191557
2020-02-11,1052.37,1056.2,1048.51,1051.22,164705
2020-02-12,1054.64,1066.4,1048.09,1063.57,191292
2020-02-13,1057.69,1071.85,1057.69,1066.55,240228
2020-02-14,1068.24,1073.58,1047.42,1053.21,198725
2020-02-18,1075.0,1079.32,1066.36,1073.85,243359
2020-02-19,1074.91,1077.0,1066.06,1066.79,166470
2020-02-20,1065.49,1085.85,1065.49,1082.52,219084
2020-02-21,1077.17,1082.41,1062.65,1068.03,212169
2020-02-24,1051.9,1062.99,1043.0,1056.64,333768
2020-02-25,1059.73,1063.34,1031.38,1032.69,307814
2020-02-26,1039.54,1045.27,1010.77,1014.06,295326
2020-02-27,998.9,1033.5,994.5458,1004.98,322683
2020-02-28,983.09,1037.05,977.06,1032.51,597774
2020-03-02,1042.0,1051.29,1013.34,1046.89,487753
2020-03-03,1003.99,1082.3,997.89,1024.71,828122
2020-03-04,1040.0,1063.25,1008.67,1058.24,501225
2020-03-05,1037.72,1043.25,1006.62,1029.87,347865
2020-03-06,1008.5,1066.71,1002.03,1060.31,375840
2020-03-09,1013.58,1126.0,1011.77,1113.69,576375
