date,open,high,low,close,volume
2020-01-02,25.61,25.8,25.34,25.61,3626956
2020-01-03,25.23,25.33,24.87,25.09,3735686
2020-01-06,24.91,25.29,24.73,25.29,3265342
2020-01-07,25.95,25.95,25.27,25.56,4474825
2020-01-08,25.62,25.73,25.23,25.42,3995223
2020-01-09,25.62,25.65,25.03,25.2,4126532
2020-01-10,25.25,25.32,24.96,25.02,2571671
2020-01-13,25.02,25.62,24.99,25.51,3554362
2020-01-14,25.46,25.53,25.14,25.25,2618378
2020-01-15,25.14,25.37,25.0,25.12,2190446
2020-01-16,25.33,25.77,25.25,25.76,2372996
2020-01-17,25.84,25.93,25.59,25.74,2722558
2020-01-21,25.6,25.72,25.38,25.51,3522696
2020-01-22,25.69,25.99,25.6,25.86,3102596
2020-01-23,25.91,25.92,25.32,25.68,3113264
2020-01-24,25.7,25.74,25.07,25.26,2299038
2020-01-27,24.77,24.84,24.48,24.64,4959488
2020-01-28,24.94,25.23,24.86,25.09,4314336
2020-01-29,25.31,25.49,24.84,24.84,4796376
2020-01-30,25.07,26.24,24.47,26.21,8693704
2020-01-31,26.0,26.14,25.18,25.3,14991935
2020-02-03,25.35,25.7,25.2,25.2,3738841
2020-02-04,25.66,26.03,25.57,25.58,2833337
2020-02-05,26.07,26.375,25.91,26.31,3181962
2020-02-06,26.57,26.69,26.01,26.08,2717384
2020-02-07,25.6,25.99,25.46,25.6,2322441
2020-02-10,25.47,25.61,25.28,25.6,2458539
2020-02-11,25.51,25.57,24.9,25.16,4121510
2020-02-12,25.4,25.63,24.53,24.61,5056286
2020-02-13,24.49,24.64,24.01,24.21,4308648
2020-02-14,24.22,24.4,23.96,24.36,3614191
2020-02-18,27.03,27.6,25.305,26.05,19282274
2020-02-19,26.16,26.26,25.13,25.37,8752529
2020-02-20,25.44,25.93,25.29,25.67,5393253
2020-02-21,25.41,25.48,24.99,25.2,5012612
2020-02-24,24.26,24.71,24.1,24.19,5771724
2020-02-25,24.42,24.46,23.53,23.58,5792877
2020-02-26,23.71,23.82,23.0,23.01,5036593
2020-02-27,22.48,23.84,22.19,22.64,7901113
2020-02-28,21.86,22.14,21.36,21.76,10490327
2020-03-02,21.95,23.36,21.73,23.35,8850947
2020-03-03,23.2,24.0,22.96,23.39,15145067
2020-03-04,23.53,23.67,22.92,23.42,8539330
2020-03-05,22.45,22.64,21.71,22.13,7152798
2020-03-06,21.25,22.49,21.17,21.65,7709529
2020-03-09,19.72,20.6,19.5,19.51,7533000
2020-03-10,20.47,20.68,18.72,20.15,6393898
2020-03-11,19.56,19.72,18.31,18.8,6889775
2020-03-12,17.39,17.78,16.43,16.76,6359274
2020-03-13,17.8,18.38,16.8,18.11,7078092
2020-03-16,15.7,18.31,15.3,17.76,7485799
2020-03-17,18.18,20.16,17.67,20.16,7188903
2020-03-18,18.85,22.04,18.5,19.8,10336259
2020-03-19,19.38,21.43,19.36,19.43,8122394
2020-03-20,19.43,19.43,16.7,16.9,9294680
2020-03-23,16.83,17.15,15.29,15.3,7235041
2020-03-24,16.15,16.91,15.61,16.56,6294231
2020-03-25,16.65,17.91,15.88,16.79,5599980
2020-03-26,16.9,18.27,16.55,18.22,5649970
2020-03-27,17.78,18.19,17.08,17.35,4514141
2020-03-30,17.2,17.9,16.86,17.76,4361364
2020-03-31,17.54,17.69,16.57,16.69,3800322
2020-04-01,16.06,16.21,15.65,15.86,4354084
2020-04-02,15.83,16.75,15.76,16.06,5109461
2020-04-03,16.06,16.5,15.33,15.61,3697105
2020-04-06,16.24,16.91,16.18,16.75,4413752
2020-04-07,17.11,17.54,16.58,16.64,4032818
2020-04-08,16.82,17.46,16.18,17.19,4899183
2020-04-09,17.26,17.74,16.61,16.81,5304157
2020-04-13,16.85,16.88,15.9,16.09,4656417
2020-04-14,16.6,16.86,16.09,16.32,4571318
2020-04-15,15.85,15.88,15.21,15.31,3863356
2020-04-16,15.43,15.52,14.91,15.42,3627221
2020-04-17,16.1,16.46,15.78,16.34,4683997
2020-04-20,16.07,16.58,15.83,16.28,4003428
2020-04-21,15.87,16.22,15.76,15.98,3562734
2020-04-22,16.32,16.44,16.0,16.13,3436468
2020-04-23,16.16,16.59,15.71,15.86,4032171
2020-04-24,16.01,16.2,15.71,15.92,5640737
2020-04-27,16.11,17.02,15.91,16.84,4818288
2020-04-28,17.33,17.74,17.22,17.4,4401027
2020-04-29,18.0,18.55,17.58,18.49,6927584
2020-04-30,18.49,19.35,17.78,18.84,14449769
2020-05-01,18.13,18.23,17.28,18.03,5329862
2020-05-04,17.77,18.38,17.47,18.33,4729382
2020-05-05,18.56,18.79,17.9,17.96,3599418
2020-05-06,18.12,18.37,17.38,17.74,3434598
2020-05-07,18.06,18.63,18.01,18.14,2450910
2020-05-08,18.37,19.25,18.36,19.2,3150828
2020-05-11,18.93,19.66,18.78,19.57,4098484
2020-05-12,19.47,19.66,18.0,18.01,3816330
2020-05-13,17.81,17.9,17.09,17.33,5766886
2020-05-14,16.98,18.08,16.41,18.03,5156921
2020-05-15,17.59,17.82,17.36,17.76,9869771
2020-05-18,18.63,18.95,18.26,18.34,5871894
2020-05-19,18.25,18.41,17.85,17.93,3688567
2020-05-20,18.23,18.55,18.11,18.2,2882841
2020-05-21,18.13,18.38,17.93,17.96,2140334
2020-05-22,18.03,18.16,17.5,17.89,2770995
2020-05-26,18.54,19.24,18.52,18.96,3653486
2020-05-27,19.84,19.84,19.17,19.35,3722586
2020-05-28,19.51,19.52,18.83,18.91,3708116
2020-05-29,18.64,19.09,18.47,18.87,7218699
2020-06-01,18.96,19.72,18.85,19.49,3388458
2020-06-02,19.59,20.11,19.59,19.8,3229376
2020-06-03,20.18,21.27,20.14,21.09,4560774
2020-06-04,20.94,21.61,20.51,21.59,3309698
2020-06-05,22.99,23.68,22.55,22.7,4136738
2020-06-08,23.09,24.33,23.09,24.23,6483606
2020-06-09,23.49,23.78,22.88,23.65,3705476
2020-06-10,23.69,23.69,22.36,22.54,3599364
2020-06-11,21.08,21.79,20.76,20.85,3446795
2020-06-12,21.75,21.93,21.1,21.79,3697953
2020-06-15,21.25,22.66,21.01,22.23,4422615
2020-06-16,23.15,23.15,22.13,22.49,3276145
2020-06-17,22.48,22.98,22.29,22.5,2278394
2020-06-18,22.23,22.98,22.07,22.56,3199875
2020-06-19,23.07,23.07,21.95,21.95,13766160
2020-06-22,21.79,22.07,21.6,21.69,2626763
2020-06-23,22.08,22.14,21.52,21.55,3635005
2020-06-24,21.5,21.5,20.73,20.82,4216924
2020-06-25,20.75,21.3,20.52,21.08,2661149
2020-06-26,20.73,20.79,19.89,20.04,3972963
2020-06-29,20.3,20.5,20.125,20.44,3282015
2020-06-30,20.3,21.1,20.27,20.97,5676726
2020-07-01,21.01,21.01,20.18,20.2,2999977
2020-07-02,20.75,21.0,20.31,20.38,2559593
2020-07-06,20.94,21.25,20.77,20.93,2315553
2020-07-07,20.63,20.92,20.58,20.67,2770537
2020-07-08,20.76,21.23,20.63,21.13,2681861
2020-07-09,21.02,21.11,20.19,20.27,2785753
2020-07-10,20.28,21.16,20.27,21.1,4200834
2020-07-13,21.33,21.4,20.77,20.86,3632720
2020-07-14,20.55,20.85,20.33,20.76,2194622
2020-07-15,21.31,21.58,20.86,21.52,2468245
2020-07-16,21.3,21.84,21.14,21.31,1700830
2020-07-17,21.38,21.61,20.98,21.05,2141999
2020-07-20,20.87,20.9,20.3,20.4,3621258
2020-07-21,20.54,21.26,20.51,21.26,3827312
2020-07-22,21.18,21.33,20.78,20.91,2890828
2020-07-23,20.75,20.98,20.465,20.8,4056126
2020-07-24,20.87,21.1,20.545,20.6,3001810
2020-07-27,20.45,21.165,20.42,21.02,4181573
2020-07-28,20.76,20.79,19.78,20.56,7233290
2020-07-29,20.77,21.18,20.54,21.12,5442832
2020-07-30,20.69,20.86,20.47,20.67,3363695
2020-07-31,20.62,21.06,20.5,21.05,13424161
