date,open,high,low,close,volume
2020-01-02,56.2,56.46,55.56,55.8,3372551
2020-01-03,55.23,56.06,54.93,56.0,2411111
2020-01-06,55.21,55.93,55.04,55.9,2503724
2020-01-07,55.93,56.31,55.79,55.9,2669250
2020-01-08,55.9,57.0,55.88,56.74,2913264
2020-01-09,57.15,58.4,56.89,57.85,4385523
2020-01-10,58.02,58.19,57.49,57.72,4975432
2020-01-13,57.88,58.69,57.38,58.43,3273903
2020-01-14,58.56,58.84,58.01,58.11,2611249
2020-01-15,57.67,58.69,57.62,58.23,3557538
2020-01-16,58.71,60.19,58.68,60.15,5922025
2020-01-17,60.77,61.39,60.39,60.76,4276545
2020-01-21,60.5,61.77,60.16,61.17,4923467
2020-01-22,61.38,63.14,61.35,62.87,4670854
2020-01-23,62.87,63.77,62.6,63.73,4799477
2020-01-24,64.1,64.18,61.67,62.21,7475883
2020-01-27,59.84,61.66,59.37,61.19,3724016
2020-01-28,61.38,62.33,61.15,61.62,3724741
2020-01-29,62.16,63.14,61.95,62.65,4279206
2020-01-30,62.48,63.5,60.0,61.11,8554791
2020-01-31,61.0,61.13,59.62,61.07,6127183
2020-02-03,61.6,61.73,60.52,60.52,3200834
2020-02-04,61.33,63.7,61.28,63.27,4172812
2020-02-05,63.84,64.39,63.02,63.73,3266435
2020-02-06,63.76,64.28,62.93,64.21,2876006
2020-02-07,63.1,63.86,61.93,62.76,4359652
2020-02-10,62.52,64.14,62.49,64.11,3379744
2020-02-11,64.47,64.97,64.23,64.41,3082131
2020-02-12,64.08,64.41,62.8,62.85,4520222
2020-02-13,62.8,63.56,62.51,62.94,3845908
2020-02-14,63.07,63.3,62.5,62.95,2821863
2020-02-18,62.91,63.47,61.92,61.97,4544433
2020-02-19,62.41,63.43,62.31,62.76,3394498
2020-02-20,62.75,63.19,61.14,62.45,3363057
2020-02-21,62.01,62.18,60.98,61.25,4198379
2020-02-24,58.37,59.63,55.7,58.56,7370294
2020-02-25,59.09,59.23,56.0,56.47,6359630
2020-02-26,56.02,57.68,55.97,56.0,5732415
2020-02-27,54.2,55.66,52.52,53.29,10438756
2020-02-28,49.72,54.05,49.05,53.84,12953229
2020-03-02,54.5,56.74,53.69,56.03,8282693
2020-03-03,56.18,58.04,54.67,56.09,6413895
2020-03-04,57.42,58.35,56.1,58.1,4745902
2020-03-05,57.34,58.43,56.76,57.79,4997647
2020-03-06,55.13,55.46,52.68,54.06,10218501
2020-03-09,47.54,50.36,46.95,46.98,11914637
2020-03-10,49.86,50.77,47.7,50.64,7663724
2020-03-11,48.54,49.98,46.15,47.35,7432993
2020-03-12,40.13,44.45,37.46,40.06,17465575
2020-03-13,43.94,46.93,40.31,46.72,11793810
2020-03-16,38.0,42.56,37.8,40.53,14335284
2020-03-17,40.72,42.35,35.56,41.44,18707071
2020-03-18,37.5,40.81,33.0,40.76,16571473
2020-03-19,38.82,42.0,36.12,41.99,10416245
2020-03-20,42.06,42.38,36.1,37.67,10993049
2020-03-23,36.07,37.19,33.25,36.04,12453186
2020-03-24,39.0,41.84,38.2,39.92,10421638
2020-03-25,40.53,46.7,39.5,42.82,12175113
2020-03-26,43.95,49.35,43.76,48.0,12232696
2020-03-27,45.47,47.99,44.32,46.09,7461040
2020-03-30,46.06,47.75,44.26,47.28,5127666
2020-03-31,46.9,47.15,44.15,45.57,6989213
