date,open,high,low,close,volume
2020-01-02,50.92,51.01,49.48,50.09,2824570
2020-01-03,49.32,49.8,49.14,49.36,1876264
2020-01-06,49.26,49.82,48.93,49.77,2404310
2020-01-07,49.61,49.99,49.33,49.79,1820170
2020-01-08,49.68,50.31,49.26,50.06,1727067
2020-01-09,50.2,50.44,49.67,50.3,1746997
2020-01-10,50.4,50.72,49.88,50.63,2298197
2020-01-13,50.53,50.56,49.8,50.44,2526464
2020-01-14,50.94,52.46,50.94,52.45,3186252
2020-01-15,52.27,54.12,52.04,53.81,4023233
2020-01-16,54.17,54.52,53.61,54.42,2710143
2020-01-17,54.53,54.64,53.63,53.93,2566369
2020-01-21,53.89,54.4,53.5,54.01,1874033
2020-01-22,54.37,55.49,54.22,55.32,3059792
2020-01-23,55.21,55.22,54.54,54.87,3333079
2020-01-24,54.95,54.95,52.75,53.82,2107212
2020-01-27,52.85,53.59,52.02,53.38,2511403
2020-01-28,53.76,54.08,53.15,53.8,2089198
2020-01-29,53.93,54.4,53.41,53.74,1748502
2020-01-30,53.49,53.87,52.51,53.29,1919515
2020-01-31,53.0,53.17,50.9,51.21,7692101
2020-02-03,51.43,52.18,51.09,51.26,1905524
2020-02-04,52.06,52.68,51.54,51.59,3442814
2020-02-05,52.09,53.45,52.035,52.68,5655576
2020-02-06,57.55,59.8,56.84,58.26,6734981
2020-02-07,59.09,60.48,57.74,58.24,4384691
2020-02-10,58.25,59.7,58.0,59.19,3616614
2020-02-11,59.25,59.47,58.35,59.41,2611266
2020-02-12,60.0,60.69,59.69,60.13,2290579
2020-02-13,59.54,60.32,59.37,59.4,1953266
2020-02-14,59.19,59.79,57.61,59.62,3284861
2020-02-18,59.6,59.99,58.78,59.01,2276273
2020-02-19,58.9,59.37,58.66,59.35,1896891
2020-02-20,59.09,60.53,58.76,60.42,2686743
2020-02-21,60.17,60.39,59.5,59.72,2275376
2020-02-24,58.21,58.94,57.91,58.14,2105304
2020-02-25,58.5,58.8,55.26,55.44,2763569
2020-02-26,55.45,56.75,54.99,55.01,3160693
2020-02-27,54.24,55.38,52.24,52.25,4825693
2020-02-28,50.58,52.15,49.49,52.12,6366997
2020-03-02,52.31,54.02,51.77,54.02,4630303
2020-03-03,53.98,54.89,51.51,52.96,3434509
2020-03-04,54.79,56.09,53.23,54.63,4431322
2020-03-05,53.21,54.16,51.82,52.48,3369749
2020-03-06,50.86,52.17,50.03,51.27,2889201
2020-03-09,48.0,49.74,47.11,47.93,4876861
2020-03-10,49.2,49.82,46.9,49.71,3013703
2020-03-11,48.46,49.33,47.61,48.65,3576313
2020-03-12,45.75,46.0,42.36,42.39,4218247
2020-03-13,44.38,47.75,42.56,47.62,4409554
2020-03-16,42.59,46.87,42.16,44.22,3499892
2020-03-17,44.92,48.55,43.6,47.76,3982940
2020-03-18,45.1,49.19,41.5,45.7,3776232
2020-03-19,45.16,46.33,42.12,43.79,2538320
2020-03-20,44.83,46.07,42.3,43.33,3899990
2020-03-23,42.9,43.0,39.05,41.0,3344749
2020-03-24,41.8,44.18,40.97,43.54,3274953
2020-03-25,43.66,46.19,41.93,42.25,3625862
2020-03-26,42.62,45.67,41.81,45.4,3516152
2020-03-27,44.0,45.55,43.16,44.38,3046646
2020-03-30,46.25,48.67,45.86,48.44,3754787
2020-03-31,48.83,50.19,46.99,47.94,6194696
2020-04-01,46.15,48.11,46.0,47.71,3421614
2020-04-02,46.94,47.55,44.58,46.42,3265584
2020-04-03,45.79,47.18,45.58,46.61,2567945
2020-04-06,48.4,49.74,47.36,49.35,3545469
2020-04-07,50.47,50.77,47.79,47.88,2407262
