date,open,high,low,close,volume
1999-11-01,57.88,57.94,55.31,55.56,988700
1999-11-02,55.63,56.94,55.56,55.56,825800
1999-11-03,55.88,55.88,54.31,54.75,462200
1999-11-04,56.38,59.25,55.88,57.13,773400
1999-11-05,59.63,61.75,59.13,60.75,1137300
1999-11-08,60.25,60.5,59.81,59.94,698300
1999-11-09,60.25,60.25,57.56,58.88,425200
1999-11-10,58.0,58.88,56.5,57.0,409300
1999-11-11,57.25,57.5,55.69,55.94,376000
1999-11-12,55.88,56.81,55.69,56.81,411000
1999-11-15,56.88,58.44,56.88,57.06,372500
1999-11-16,57.56,58.25,57.25,57.75,632700
1999-11-17,58.0,58.0,56.94,57.0,445300
1999-11-18,57.13,57.63,56.13,56.31,308700
1999-11-19,56.56,56.63,55.13,56.25,316700
1999-11-22,55.5,55.69,54.31,54.81,459700
1999-11-23,54.94,55.0,53.63,54.75,505100
1999-11-24,54.75,54.75,52.81,53.88,266600
1999-11-26,53.63,54.0,52.75,53.0,310700
1999-11-29,52.0,52.38,50.94,52.0,1010100
1999-11-30,51.88,53.63,51.38,53.56,608900
1999-12-01,53.06,53.56,52.75,53.06,490600
1999-12-02,53.69,54.06,53.19,53.88,708500
1999-12-03,55.0,56.94,54.81,55.69,651000
1999-12-06,55.69,55.69,54.38,54.56,291400
1999-12-07,54.25,54.63,53.38,54.25,413800
1999-12-08,54.25,54.25,53.44,53.75,346300
1999-12-09,53.5,53.94,52.5,52.94,363400
1999-12-10,53.0,54.06,52.94,53.5,341200
1999-12-13,53.25,53.31,52.38,52.88,451000
1999-12-14,52.75,53.13,52.5,52.88,283100
1999-12-15,52.88,53.0,51.63,52.44,272600
1999-12-16,52.63,53.5,51.25,52.94,524100
1999-12-17,54.0,54.0,54.0,54.0,655800
1999-12-20,54.0,54.0,53.0,53.38,585400
1999-12-21,53.31,54.31,53.0,53.38,519700
1999-12-22,53.5,55.38,53.38,55.0,379200
1999-12-23,55.0,56.56,54.88,56.0,469000
1999-12-27,56.0,56.88,56.0,56.31,505100
1999-12-28,56.06,56.31,55.56,56.13,409900
1999-12-29,56.25,56.44,54.75,56.25,337500
1999-12-30,56.19,57.0,55.69,56.5,310200
1999-12-31,56.56,56.81,55.81,56.31,118700
2000-01-03,56.19,56.19,54.06,54.13,524300
2000-01-04,53.81,53.88,52.0,52.19,754600
2000-01-05,52.19,53.38,52.13,52.94,377500
2000-01-06,52.75,53.75,52.75,53.56,317400
2000-01-07,53.75,57.0,53.63,56.81,422400
2000-01-10,57.0,57.13,55.75,56.0,444000
2000-01-11,56.0,56.38,55.5,55.81,662700
2000-01-12,55.81,57.13,55.56,56.5,568700
2000-01-13,56.75,57.75,56.63,57.31,575600
2000-01-14,57.5,57.75,56.69,57.19,766500
2000-01-18,56.38,56.75,55.19,55.94,871400
2000-01-19,56.19,56.88,56.0,56.81,1104000
2000-01-20,56.88,56.88,55.81,56.13,898200
2000-01-21,57.25,57.25,55.88,55.88,855400
2000-01-24,56.13,58.0,55.0,55.31,369800
2000-01-25,55.31,55.88,55.0,55.19,318400
2000-01-26,55.19,56.5,54.88,55.88,324100
2000-01-27,55.75,56.94,55.63,56.38,693700
2000-01-28,56.13,56.13,54.5,54.88,696400
2000-01-31,55.13,56.25,55.0,56.0,321100
2000-02-01,56.25,57.5,55.5,57.0,567400
2000-02-02,57.25,57.38,56.06,56.19,467100
2000-02-03,56.19,57.06,55.5,56.19,530600
2000-02-04,57.25,57.25,56.44,57.25,556700
2000-02-07,57.38,57.38,55.38,55.81,623700
2000-02-08,55.56,55.75,54.25,54.88,511200
2000-02-09,54.0,54.0,51.88,52.38,681600
2000-02-10,51.5,51.94,50.0,50.0,592100
2000-02-11,50.0,50.19,46.75,49.38,1308000
2000-02-14,49.44,49.69,48.25,48.94,551000
2000-02-15,48.56,51.06,48.38,50.88,628200
2000-02-16,50.75,52.13,50.69,52.06,976800
2000-02-17,52.25,53.25,52.13,53.06,697600
2000-02-18,52.94,53.0,50.44,51.06,810400
2000-02-22,50.69,51.06,50.06,50.63,449200
2000-02-23,50.0,50.81,49.38,50.75,295700
2000-02-24,50.25,50.25,48.5,49.44,381700
2000-02-25,49.63,50.69,49.25,49.5,443300
2000-02-28,49.25,50.94,49.19,49.75,645400
2000-02-29,49.5,49.56,48.88,49.19,637800
2000-03-01,47.63,49.5,47.56,48.88,587400
2000-03-02,49.13,49.25,46.69,48.06,540200
2000-03-03,47.25,49.0,46.94,47.63,459700
2000-03-06,47.63,47.63,45.0,45.38,442700
2000-03-07,46.75,46.88,45.31,45.81,683500
2000-03-08,43.88,46.13,43.25,44.75,927900
2000-03-09,45.63,46.0,44.56,45.5,773400
2000-03-10,45.63,45.94,44.81,45.31,368300
2000-03-13,44.5,45.5,44.25,45.13,417300
2000-03-14,45.13,45.75,44.44,44.81,787700
2000-03-15,44.75,50.13,44.75,49.63,888400
2000-03-16,50.13,55.25,50.13,55.19,868300
2000-03-17,55.31,55.5,52.19,53.25,979300
2000-03-20,53.0,53.13,51.25,52.06,346200
2000-03-21,52.06,57.0,52.06,57.0,1340800
2000-03-22,56.19,56.5,54.69,55.56,470800
2000-03-23,58.0,61.75,57.5,59.69,1429000
2000-03-24,59.5,60.12,59.12,59.69,615100
2000-03-27,59.69,59.69,58.5,59.38,656100
2000-03-28,59.38,61.38,59.0,59.31,618800
2000-03-29,59.13,61.0,58.94,60.81,670200
2000-03-30,64.0,69.06,63.31,66.88,2766600
2000-03-31,66.88,69.19,64.63,67.56,3093600
2000-04-03,66.0,69.69,64.38,68.44,2269200
2000-04-04,68.5,69.94,64.63,66.25,1339500
2000-04-05,64.0,66.5,64.0,65.44,863200
2000-04-06,65.31,66.69,65.25,65.69,633700
2000-04-07,65.75,66.0,63.63,64.06,873200
2000-04-10,63.75,63.75,62.63,63.5,927600
2000-04-11,63.5,66.0,63.19,65.84,1019800
2000-04-12,65.88,68.44,65.81,67.0,1245200
2000-04-13,67.0,67.0,64.0,65.81,702300
2000-04-14,65.0,65.0,60.75,62.5,1316600
2000-04-17,62.44,62.5,60.31,61.06,935300
2000-04-18,61.06,62.38,60.88,62.19,736500
2000-04-19,62.31,62.31,59.63,60.44,383800
2000-04-20,59.0,63.31,58.88,62.88,1296200
2000-04-24,62.88,65.06,62.75,65.0,645200
2000-04-25,62.25,66.44,61.56,66.13,1851700
2000-04-26,65.25,65.31,63.75,65.0,1445200
2000-04-27,64.0,64.81,62.06,63.75,787800
