date,open,high,low,close,volume
2020-01-02,123.9,124.59,121.31,121.43,911085
2020-01-03,120.03,120.74,119.7,119.78,770808
2020-01-06,118.92,119.5,118.22,118.46,710893
2020-01-07,117.13,119.1,116.12,118.0,1231346
2020-01-08,117.75,118.4,116.55,117.08,826325
2020-01-09,117.44,117.86,116.65,117.86,998306
2020-01-10,117.96,118.15,116.82,117.01,555090
2020-01-13,117.18,118.53,116.89,118.13,470208
2020-01-14,118.15,119.37,117.48,118.45,856805
2020-01-15,118.07,119.56,117.93,118.2,542180
2020-01-16,118.8,119.65,117.75,118.14,788328
2020-01-17,118.41,119.1,117.24,117.59,1218415
2020-01-21,117.1,118.33,116.47,117.55,924814
2020-01-22,118.08,118.32,116.76,116.78,708603
2020-01-23,115.95,116.1,114.24,115.58,595977
2020-01-24,115.55,115.99,114.13,114.51,696970
2020-01-27,112.21,112.22,110.83,111.34,632876
2020-01-28,111.81,112.6,111.24,112.26,560780
2020-01-29,113.29,114.19,111.81,111.93,531547
2020-01-30,110.59,111.79,109.1525,110.19,875869
2020-01-31,107.74,107.74,101.15,103.5,2414968
2020-02-03,104.73,105.6,103.0,104.76,1508082
2020-02-04,106.16,107.72,106.06,107.33,994488
2020-02-05,108.83,110.28,108.45,109.86,1207535
2020-02-06,110.19,110.47,108.26,109.46,782325
2020-02-07,108.2,108.82,107.28,108.59,641640
2020-02-10,108.14,108.76,107.53,107.57,810143
2020-02-11,108.32,109.28,107.95,108.62,604312
2020-02-12,109.78,111.82,109.28,111.42,1051432
2020-02-13,110.5,111.43,110.26,110.5,801083
2020-02-14,109.8,110.26,108.9,110.02,997631
2020-02-18,109.3,109.7,106.28,107.75,1061857
2020-02-19,108.22,109.14,107.94,108.25,674764
2020-02-20,107.95,109.71,107.7,108.9,749331
2020-02-21,108.13,108.33,107.18,107.98,652267
2020-02-24,104.52,104.89,102.75,103.95,764097
2020-02-25,104.58,104.58,97.65,97.81,1328133
2020-02-26,98.83,99.97,96.86,96.87,1691760
2020-02-27,94.41,96.3,91.71,91.73,1169258
2020-02-28,88.78,94.0,88.07,93.74,2435412
2020-03-02,94.09,96.6,92.72,96.37,1434687
2020-03-03,95.99,97.54,92.92,94.65,1216331
2020-03-04,96.36,98.1,92.92,97.88,1091169
2020-03-05,94.49,95.71,93.35,94.75,915024
2020-03-06,91.53,95.03,90.74,92.25,1365560
2020-03-09,85.85,91.0,78.42,79.42,1155572
2020-03-10,83.3,86.33,80.19,86.26,1297196
2020-03-11,83.59,83.81,78.33,80.67,1768753
2020-03-12,75.24,77.67,70.27,73.27,1970988
2020-03-13,78.1,79.51,72.35,78.41,1574848
2020-03-16,70.45,74.21,66.12,66.13,1129527
2020-03-17,68.14,70.66,64.44,70.43,1781038
2020-03-18,64.83,65.42,52.7,59.12,1365527
2020-03-19,58.2,72.29,56.46,63.83,1863333
2020-03-20,65.04,69.39,62.02,64.73,1807288
2020-03-23,64.31,65.32,60.33,62.2,1517827
2020-03-24,67.15,69.3,65.13,66.91,1476146
2020-03-25,67.36,75.65,65.59,72.87,1440372
2020-03-26,73.0,75.88,70.0,75.53,1575013
2020-03-27,72.16,72.78,70.33,71.27,826337
2020-03-30,72.61,74.93,69.67,74.1,852979
2020-03-31,74.05,75.22,72.06,73.39,1006352
2020-04-01,69.91,71.24,67.51,68.05,1117091
2020-04-02,68.15,72.21,66.53,68.6,1593668
2020-04-03,68.34,71.43,66.98,67.1,1110218
2020-04-06,70.79,73.49,70.56,72.47,1177383
2020-04-07,76.07,78.0,74.49,75.84,1174853
2020-04-08,76.81,82.48,76.14,81.98,1116867
2020-04-09,81.85,86.9,81.15,83.91,1096724
2020-04-13,83.07,83.82,80.38,82.1,814353
2020-04-14,83.78,84.03,80.41,81.31,1099818
2020-04-15,77.34,77.58,74.53,75.18,907947
2020-04-16,75.49,78.21,71.42,72.26,1575364
2020-04-17,74.95,78.99,74.54,78.16,1106173
2020-04-20,76.85,78.24,74.8,76.02,742626
2020-04-21,73.79,75.1,72.88,73.46,509504
2020-04-22,75.65,76.71,73.6,75.5,572491
2020-04-23,76.02,79.32,76.02,78.02,570928
2020-04-24,78.8,79.39,77.16,78.79,1363732
2020-04-27,78.51,83.41,78.47,82.61,1144840
2020-04-28,84.45,86.91,79.55,81.94,1766649
2020-04-29,81.09,87.05,81.09,86.34,910326
2020-04-30,84.3,84.89,82.28,83.07,878613
2020-05-01,81.29,81.29,78.93,79.31,898934
2020-05-04,78.26,78.3,76.31,77.84,853623
2020-05-05,79.23,81.41,77.83,78.01,677904
2020-05-06,79.13,79.5,77.27,77.58,542152
2020-05-07,78.48,80.96,78.48,80.35,862575
2020-05-08,82.0,83.38,81.64,82.72,591614
2020-05-11,80.71,80.98,79.26,80.01,653021
2020-05-12,80.46,81.96,77.8,77.85,605779
2020-05-13,77.15,77.22,73.16,73.87,674802
2020-05-14,72.23,76.17,69.69,76.13,1130802
2020-05-15,75.71,78.41,75.59,76.67,2724971
2020-05-18,79.85,85.16,79.85,84.31,1003493
2020-05-19,83.53,84.73,82.0,83.88,885532
2020-05-20,85.37,86.79,85.25,86.1,1154046
2020-05-21,85.6,86.77,84.12,86.12,947784
2020-05-22,85.99,86.23,84.24,85.48,847152
2020-05-26,88.56,91.49,88.43,91.37,902796
2020-05-27,93.54,96.02,92.81,94.1,1462662
2020-05-28,95.38,95.38,91.7,92.34,851296
2020-05-29,90.9,90.9,88.09,89.91,2508895
2020-06-01,90.37,90.82,88.91,89.34,1037860
2020-06-02,89.38,92.71,89.38,92.63,1010570
2020-06-03,94.23,96.75,93.95,95.83,609492
2020-06-04,94.95,96.4,93.46,96.39,692173
2020-06-05,101.01,102.11,97.3,97.72,1088188
2020-06-08,97.61,99.06,97.22,98.73,750707
2020-06-09,97.4,97.75,95.29,97.0,678779
2020-06-10,97.09,97.84,94.43,94.57,831001
2020-06-11,89.81,90.9,85.03,85.56,994137
2020-06-12,89.59,90.5,85.82,88.52,750967
2020-06-15,85.14,89.8,84.15,88.99,1013084
2020-06-16,93.06,94.46,89.24,89.9,1077192
2020-06-17,90.63,90.69,88.47,89.06,810779
2020-06-18,88.52,89.08,87.4,88.14,665692
2020-06-19,90.08,90.45,85.36,86.72,1863509
2020-06-22,86.75,87.56,84.86,86.37,1182865
2020-06-23,87.88,87.88,85.34,85.87,866001
2020-06-24,84.65,84.65,82.24,82.96,1064435
2020-06-25,82.47,85.21,81.63,85.1,770977
