date,open,high,low,close,volume
2020-01-02,49.45,49.56,48.36,48.49,1730335
2020-01-03,48.46,48.62,48.31,48.43,1658300
2020-01-06,48.46,48.55,47.96,48.51,4328183
2020-01-07,48.17,48.51,48.05,48.19,1909207
2020-01-08,48.28,48.28,47.19,47.35,2245587
2020-01-09,47.33,47.68,46.84,47.62,2028772
2020-01-10,47.55,47.99,47.38,47.73,1338726
2020-01-13,47.73,48.03,47.48,47.72,1513878
2020-01-14,47.74,47.79,47.45,47.54,2051659
2020-01-15,47.53,47.97,47.51,47.78,2626728
2020-01-16,47.84,48.1,47.71,48.09,1544878
2020-01-17,48.07,48.32,47.97,48.02,2153853
2020-01-21,48.02,48.69,47.89,48.56,2364468
2020-01-22,48.56,48.83,48.43,48.57,1619040
2020-01-23,48.44,49.2,48.2,48.96,4269766
2020-01-24,49.11,49.45,48.48,48.79,2065876
2020-01-27,48.47,49.16,48.44,48.77,1858386
2020-01-28,48.76,49.18,48.7,48.88,1325157
2020-01-29,48.87,48.87,48.27,48.34,1286144
2020-01-30,48.41,49.04,48.28,49.03,1632938
2020-01-31,48.93,49.26,48.34,48.39,1997886
2020-02-03,48.61,48.97,48.46,48.87,1137311
2020-02-04,49.1,49.3,48.6,48.66,1214881
2020-02-05,48.73,49.08,48.64,49.0,1482668
2020-02-06,48.62,48.77,47.78,48.16,1796722
2020-02-07,48.26,49.0,47.97,48.88,1612362
2020-02-10,48.99,49.07,48.52,48.7,1039427
2020-02-11,48.71,49.06,48.66,48.73,1206236
2020-02-12,48.64,48.68,48.05,48.18,1007103
2020-02-13,48.1,48.37,47.82,48.36,1342741
2020-02-14,48.44,48.82,48.27,48.64,1329183
2020-02-18,48.34,48.94,48.02,48.2,2600751
2020-02-19,48.15,48.3,47.49,47.79,1839976
2020-02-20,47.72,47.82,47.34,47.74,1265450
2020-02-21,47.73,48.27,47.73,47.96,983553
2020-02-24,47.54,48.22,47.49,48.02,2364621
2020-02-25,48.11,48.34,47.59,47.88,1793207
2020-02-26,48.13,48.13,46.63,46.64,2460537
2020-02-27,46.36,46.83,45.69,45.7,1714708
2020-02-28,44.91,45.24,43.35,45.12,4508575
2020-03-02,45.34,48.0,45.3,47.98,4573645
2020-03-03,48.0,49.01,47.43,47.88,3573679
2020-03-04,50.0,52.83,49.78,52.72,9417418
2020-03-05,52.7,53.83,51.99,53.1,4826250
2020-03-06,51.83,52.85,50.6,51.76,3443827
2020-03-09,49.69,52.0,49.23,50.2,4004624
2020-03-10,50.91,51.47,48.91,51.26,5558463
2020-03-11,50.48,50.79,49.59,50.47,2904690
2020-03-12,47.84,50.76,47.42,47.68,4757330
2020-03-13,48.54,49.37,45.42,49.28,5262764
2020-03-16,46.52,51.54,45.71,49.3,5715886
2020-03-17,50.29,57.54,50.15,53.84,10354041
2020-03-18,53.5,54.75,48.32,50.48,5091197
2020-03-19,50.26,50.36,46.01,47.5,5027515
2020-03-20,47.13,48.7,45.17,45.3,3896721
2020-03-23,45.08,45.56,42.04,42.93,3699258
2020-03-24,43.93,45.06,42.05,43.5,4339091
2020-03-25,43.13,43.78,41.18,41.41,4923284
2020-03-26,41.66,44.22,40.7,43.59,5066187
