date,open,high,low,close,volume
2020-01-02,68.43,70.04,68.0171,70.02,1293978
2020-01-03,68.84,70.05,68.73,69.51,672564
2020-01-06,68.87,70.4,68.72,69.41,1529309
2020-01-07,69.57,70.6,69.25,70.11,774250
2020-01-08,69.77,70.78,69.77,70.38,1448736
2020-01-09,71.08,71.67,70.09,71.48,1152548
2020-01-10,71.82,71.9,70.55,71.49,1002267
2020-01-13,72.0,73.23,71.49,72.6,845891
2020-01-14,72.47,72.83,71.74,72.45,603953
2020-01-15,72.68,73.79,72.34,73.35,660637
2020-01-16,73.5,73.95,72.64,72.82,1028520
2020-01-17,73.3,73.5,72.19,72.73,698737
2020-01-21,72.18,73.09,71.69,72.22,725153
2020-01-22,72.86,73.4,72.5,72.5,957791
2020-01-23,72.45,74.02,72.38,72.58,1065285
2020-01-24,73.4,73.41,71.4,71.58,1274962
2020-01-27,69.71,72.455,69.18,71.48,1049501
2020-01-28,72.34,73.26,71.83,72.87,2287587
2020-01-29,73.47,74.56,72.62,72.69,1670480
2020-01-30,72.55,74.95,72.49,74.83,529504
2020-01-31,74.63,74.76,72.91,73.29,656280
2020-02-03,73.48,75.91,73.48,75.05,1004493
2020-02-04,76.21,77.99,75.67,77.89,1127037
2020-02-05,78.86,79.11,73.12,73.43,2504907
2020-02-06,65.39,66.7499,63.6077,65.88,3958604
2020-02-07,65.58,67.49,65.28,66.91,1582521
2020-02-10,66.7,69.63,66.7,69.09,1465481
2020-02-11,69.58,70.41,68.4,68.53,824955
2020-02-12,69.11,69.92,67.26,69.82,617125
2020-02-13,69.55,72.61,69.425,72.37,1123100
2020-02-14,72.71,74.1,72.31,73.68,956684
2020-02-18,73.35,74.27,73.17,74.12,1017592
2020-02-19,75.19,75.93,74.87,75.5,3596959
2020-02-20,75.19,76.68,74.075,75.2,2551997
2020-02-21,74.99,75.05,73.62,74.95,1188781
2020-02-24,72.0,74.955,71.44,74.05,1538957
2020-02-25,74.19,75.35,72.48,73.09,1761944
2020-02-26,73.49,75.0,72.18,73.84,1098629
2020-02-27,71.99,74.62,71.39,72.44,1954798
2020-02-28,70.33,71.27,67.68,70.73,3248431
2020-03-02,71.6,74.445,70.26,74.21,2283458
2020-03-03,74.2,75.07,68.66,69.47,1596284
2020-03-04,70.97,72.49,69.705,71.94,1034661
2020-03-05,70.19,71.86,67.41,68.41,1620154
2020-03-06,66.93,67.62,63.88,66.32,1211880
2020-03-09,60.34,62.9041,58.29,61.91,2012621
2020-03-10,63.55,63.55,59.39,62.83,1331254
2020-03-11,60.96,62.3,55.46,56.63,1780105
2020-03-12,50.5,52.66,47.58,48.62,2390710
2020-03-13,51.53,55.365,48.38,55.05,1847361
2020-03-16,49.0,49.65,45.81,47.56,2207436
2020-03-17,48.44,49.27,44.38,49.05,1792091
2020-03-18,45.43,46.6,38.4,44.15,2193132
2020-03-19,44.03,46.57,40.76,45.9,1663650
2020-03-20,46.08,49.52,44.68,47.76,2092153
2020-03-23,47.08,49.14,45.23,46.72,1750129
2020-03-24,47.72,50.37,47.56,49.83,1435193
2020-03-25,49.83,53.96,48.77,50.29,1390511
