date,open,high,low,close,volume
2020-01-02,156.95,157.12,155.24,156.54,1918517
2020-01-03,155.3,156.36,154.66,155.39,1715258
2020-01-06,154.41,154.72,152.1,154.54,2294677
2020-01-07,154.19,154.76,152.14,152.21,2844808
2020-01-08,152.0,152.63,151.13,151.55,3208428
2020-01-09,151.8,153.76,151.78,152.58,2832588
2020-01-10,153.17,154.12,152.49,153.22,2747880
2020-01-13,151.96,154.83,151.43,154.12,2011834
2020-01-14,155.07,158.96,155.07,157.98,2837135
2020-01-15,155.34,157.34,155.21,156.59,2638045
2020-01-16,157.53,158.53,156.92,158.27,1327528
2020-01-17,158.63,160.41,157.53,157.99,1486809
2020-01-21,157.35,158.7,157.23,157.54,1370989
2020-01-22,157.95,158.32,154.19,154.5,1457674
2020-01-23,153.85,155.51,153.38,155.14,1282936
2020-01-24,154.92,155.0,153.41,154.34,1050705
2020-01-27,153.11,156.91,152.62,155.86,1539839
2020-01-28,156.42,157.64,155.87,156.66,1117980
2020-01-29,157.0,157.43,155.71,155.75,719977
2020-01-30,154.96,157.0,154.3702,156.99,1528093
2020-01-31,157.04,157.29,152.91,153.41,1974695
2020-02-03,154.28,157.14,154.0,154.77,1109796
2020-02-04,155.91,157.62,155.63,155.99,1429524
2020-02-05,156.6,157.76,156.465,157.26,1037451
2020-02-06,157.76,157.97,155.19,155.47,1118562
2020-02-07,155.3,155.76,154.02,154.97,814484
2020-02-10,154.08,155.65,153.83,155.59,1102401
2020-02-11,156.22,156.66,155.52,155.95,916646
2020-02-12,156.5,158.94,155.64,158.66,1093514
2020-02-13,158.43,160.24,157.77,159.85,984098
2020-02-14,159.31,160.12,157.46,158.03,1434040
2020-02-18,158.3,162.35,157.75,161.71,1604130
2020-02-19,162.02,164.38,161.57,163.79,1522949
2020-02-20,163.79,166.03,163.16,165.73,1101608
2020-02-21,165.89,167.04,165.03,166.88,1455114
2020-02-24,163.53,166.51,163.53,164.86,2282333
2020-02-25,165.67,166.9,161.05,161.5,2335912
2020-02-26,162.05,164.49,161.21,162.67,2126949
2020-02-27,161.15,162.51,157.44,157.66,3594869
2020-02-28,155.73,156.22,147.56,150.3,3858721
2020-03-02,150.36,159.75,150.25,159.6,2581563
2020-03-03,159.52,163.28,154.36,156.42,2573299
2020-03-04,157.89,160.51,156.51,160.16,1664729
2020-03-05,158.28,161.02,155.5,157.48,1970591
2020-03-06,154.26,158.92,152.17,158.38,1836938
2020-03-09,150.79,162.04,150.05,159.28,3253539
2020-03-10,162.63,167.44,160.12,166.25,3791333
2020-03-11,163.09,165.73,156.69,157.63,3799984
2020-03-12,152.01,157.07,140.15,141.97,6708342
2020-03-13,148.71,148.99,138.49,145.81,6231167
2020-03-16,134.19,139.6,125.0,136.1,3806089
2020-03-17,137.9,156.48,137.59,154.53,4962771
2020-03-18,145.5,157.65,137.9,148.74,4788289
2020-03-19,149.17,151.3,141.44,143.0,4061237
2020-03-20,142.39,144.91,135.04,140.13,4530674
2020-03-23,139.88,145.29,137.02,139.87,2984966
2020-03-24,145.17,149.67,137.71,141.82,3251768
2020-03-25,141.54,143.42,136.69,137.23,3661006
2020-03-26,136.9,142.87,135.26,140.52,3471806
2020-03-27,138.17,147.72,137.52,146.12,3686297
2020-03-30,149.35,149.79,146.27,146.77,2490395
2020-03-31,146.19,156.88,146.19,151.01,5274094
2020-04-01,148.24,157.98,148.24,153.16,2906878
2020-04-02,153.5,161.33,152.83,159.7,3624895
2020-04-03,158.6,162.8,158.6,162.2,2733463
2020-04-06,166.17,170.13,162.42,169.65,4069306
