date,open,high,low,close,volume
2020-01-02,49.73,49.76,47.79,48.22,1929169
2020-01-03,47.69,48.21,47.48,47.64,1489441
2020-01-06,47.63,48.28,47.37,48.05,1617655
2020-01-07,47.91,48.66,47.57,48.27,1145879
2020-01-08,48.34,48.84,48.19,48.59,1372664
2020-01-09,48.69,48.8,47.9,48.2,1380092
2020-01-10,48.01,48.94,47.7,48.25,1185607
2020-01-13,48.38,49.26,47.8,49.23,1368594
2020-01-14,49.5,49.5,48.78,49.4,1257666
2020-01-15,49.0,49.29,47.88,48.45,1915868
2020-01-16,48.65,49.15,48.51,48.74,1052438
2020-01-17,48.94,48.96,48.01,48.24,808778
2020-01-21,48.22,48.48,47.47,47.82,1266753
2020-01-22,48.02,48.45,47.74,47.9,973169
2020-01-23,47.5,47.75,45.85,46.96,1842637
2020-01-24,46.97,47.09,45.65,45.93,1545566
2020-01-27,45.29,46.87,44.96,46.47,1271278
2020-01-28,46.64,46.74,45.67,46.23,1274127
2020-01-29,46.33,46.75,45.95,46.33,1008391
2020-01-30,46.11,46.37,45.33,45.43,1038604
2020-01-31,45.34,45.44,44.12,44.23,1365498
2020-02-03,44.39,45.15,43.84,43.91,1801221
2020-02-04,44.33,44.62,43.45,43.61,1609654
2020-02-05,43.86,45.6,43.75,45.45,1740669
2020-02-06,45.57,46.73,45.51,45.92,1282389
2020-02-07,45.77,46.18,43.77,44.22,1625254
2020-02-10,44.17,44.74,43.61,43.75,1267046
2020-02-11,43.5,44.53,43.27,44.06,1370576
2020-02-12,44.39,45.48,44.38,45.21,1688113
2020-02-13,44.95,45.09,44.14,44.77,1259500
2020-02-14,44.79,45.27,44.04,44.07,931814
2020-02-18,43.85,44.33,42.93,43.46,1459978
2020-02-19,43.51,43.77,42.85,43.31,1459637
2020-02-20,43.23,43.83,42.97,43.43,1837375
2020-02-21,43.29,43.64,42.05,42.36,1916402
2020-02-24,41.36,41.94,41.07,41.4,2520577
2020-02-25,41.69,42.37,40.65,40.71,1863449
2020-02-26,41.0,41.37,38.8,38.87,3026766
2020-02-27,38.01,39.04,36.94,37.55,2460481
2020-02-28,36.56,36.85,35.65,36.41,2725219
2020-03-02,36.79,36.79,35.16,36.48,1871242
2020-03-03,36.4,37.0,34.77,35.17,1792666
2020-03-04,35.61,36.0,34.84,35.95,1520776
2020-03-05,35.2,35.35,33.36,34.16,2145439
2020-03-06,33.16,35.17,32.7,34.98,2216372
2020-03-09,32.61,35.0,32.14,34.48,4243870
2020-03-10,38.17,39.14,33.66,35.87,7295068
