date,open,high,low,close,volume
2020-01-02,26.21,26.28,25.63,25.79,5091448
2020-01-03,26.5,26.54,25.92,26.1,6983469
2020-01-06,26.33,26.55,26.09,26.41,4387059
2020-01-07,26.25,26.57,26.1,26.49,6457366
2020-01-08,26.45,26.49,25.21,25.55,8227387
2020-01-09,25.89,25.94,25.2,25.85,7500186
2020-01-10,25.7,25.7,25.02,25.1,5205875
2020-01-13,25.01,25.43,24.64,25.36,4744173
2020-01-14,25.51,26.36,25.37,26.23,6388516
2020-01-15,26.0,26.26,25.86,26.24,5665061
2020-01-16,26.49,26.98,26.39,26.44,6293543
2020-01-17,26.56,26.56,25.72,25.85,5842579
2020-01-21,25.65,25.77,24.98,24.99,5810069
2020-01-22,24.74,24.85,24.18,24.3,8146484
2020-01-23,24.04,24.59,23.6,24.4,5921336
2020-01-24,24.34,24.35,23.56,23.95,5564679
2020-01-27,23.2,23.42,22.44,22.62,6348972
2020-01-28,22.9,22.98,22.54,22.72,5050190
2020-01-29,22.95,23.08,22.12,22.19,5954024
2020-01-30,21.82,22.54,21.66,22.49,5607878
2020-01-31,21.95,22.05,21.27,21.72,7340524
2020-02-03,21.7,21.79,21.15,21.18,5866440
2020-02-04,21.75,22.33,21.67,21.86,6171026
2020-02-05,22.48,23.61,22.4,23.41,6787424
2020-02-06,23.48,23.55,22.94,23.13,5152786
2020-02-07,22.73,23.09,22.5,22.97,3338130
2020-02-10,22.7,22.84,22.33,22.54,3741411
2020-02-11,23.0,23.15,22.67,22.7,3700773
2020-02-12,23.35,23.79,23.12,23.26,4483031
2020-02-13,22.97,23.37,22.79,23.3,5176470
2020-02-14,23.44,23.59,22.56,22.82,7209701
2020-02-18,22.5,22.56,22.01,22.16,9679400
2020-02-19,22.52,23.03,22.16,22.72,10966686
2020-02-20,22.33,22.62,22.06,22.15,7706287
2020-02-21,21.7,21.73,20.85,20.97,9273048
2020-02-24,19.93,19.93,19.1,19.18,10967433
2020-02-25,19.21,19.36,17.61,17.78,10387558
2020-02-26,17.87,17.93,16.69,16.72,10338235
2020-02-27,15.83,16.73,15.4,15.67,13197991
2020-02-28,14.93,16.32,14.79,16.24,13847923
2020-03-02,16.53,16.67,15.41,16.31,11007613
2020-03-03,16.22,16.81,15.48,15.79,11433033
2020-03-04,16.15,16.55,15.69,16.26,8786387
2020-03-05,15.63,16.1,15.46,15.95,9800153
2020-03-06,15.16,15.22,13.01,13.37,13646370
2020-03-09,9.15,9.77,8.03,8.37,24772357
2020-03-10,9.38,9.4,7.82,9.01,20133165
2020-03-11,8.42,8.94,8.09,8.41,15483179
2020-03-12,7.76,8.1,7.01,7.27,14483482
2020-03-13,8.13,8.71,7.19,8.7,18522585
2020-03-16,7.1,8.36,6.5,7.57,14087471
2020-03-17,7.6,7.87,6.36,6.46,13383004
2020-03-18,5.88,5.96,4.7,5.41,13823978
2020-03-19,5.51,6.55,5.26,6.55,13985619
2020-03-20,6.74,7.34,5.94,6.08,18764382
2020-03-23,6.02,6.59,5.7,6.18,13424767
2020-03-24,6.8,7.63,6.37,7.41,14851881
2020-03-25,7.38,7.79,6.64,7.16,12028062
2020-03-26,7.31,7.6,6.75,7.36,13399648
2020-03-27,6.94,6.96,6.21,6.29,13556769
2020-03-30,6.16,6.52,5.46,6.35,19108179
2020-03-31,6.68,7.45,6.68,6.91,14588814
2020-04-01,6.57,6.94,6.22,6.79,16891372
2020-04-02,7.29,9.04,7.07,7.79,24071156
2020-04-03,8.3,8.57,7.56,8.38,17931155
2020-04-06,8.46,8.89,8.2,8.8,13536887
2020-04-07,9.59,10.08,8.64,8.71,14760648
2020-04-08,9.03,9.44,8.62,9.41,11587921
2020-04-09,10.1,10.56,8.86,9.67,24411215
2020-04-13,10.26,10.34,9.43,9.71,11414943
2020-04-14,9.42,9.72,8.87,9.11,11421753
2020-04-15,8.35,8.73,8.05,8.67,10234607
2020-04-16,8.6,8.63,8.08,8.09,6900198
2020-04-17,8.18,9.25,8.13,9.22,12727892
2020-04-20,8.39,9.58,8.3,9.16,12789536
2020-04-21,8.69,9.27,8.58,9.05,14496172
2020-04-22,9.58,9.82,9.33,9.74,7391806
2020-04-23,10.13,11.0,10.05,10.57,12381779
2020-04-24,10.9,11.23,10.19,10.52,16016790
2020-04-27,10.3,10.89,9.88,10.76,7465854
2020-04-28,11.03,11.25,10.66,10.97,8847783
2020-04-29,11.51,12.9,11.35,12.63,11848930
2020-04-30,12.81,12.85,11.9,12.47,10372264
2020-05-01,11.92,12.2,11.04,11.15,7150320
2020-05-04,10.86,11.43,10.64,11.42,6549884
2020-05-05,12.16,12.25,11.11,11.18,8931215
2020-05-06,11.9,12.05,11.25,11.49,10868501
2020-05-07,11.95,12.43,11.91,12.01,8928289
2020-05-08,12.32,12.72,12.25,12.7,7412988
2020-05-11,12.5,12.78,12.245,12.46,8110023
2020-05-12,12.64,13.08,12.4,12.4,8826863
2020-05-13,12.25,12.27,11.29,11.53,9736834
2020-05-14,11.21,12.06,10.79,11.66,7713446
2020-05-15,11.61,12.34,11.51,11.95,8335431
2020-05-18,12.86,13.36,12.63,13.12,10691682
2020-05-19,13.14,13.16,12.3,12.31,9849840
2020-05-20,12.62,12.87,12.36,12.42,10713739
2020-05-21,12.49,12.61,12.05,12.29,8138646
2020-05-22,12.15,12.25,11.8,12.14,8327237
2020-05-26,12.74,12.79,12.11,12.31,9070595
2020-05-27,12.5,12.5,11.78,12.43,9418141
2020-05-28,12.39,12.4,11.57,11.66,11208691
2020-05-29,11.5,11.56,10.77,10.81,43101268
2020-06-01,10.8,11.88,10.62,11.7,12173920
2020-06-02,11.88,12.22,11.86,12.16,8451805
2020-06-03,12.4,12.59,12.08,12.52,8259445
2020-06-04,12.35,12.82,12.08,12.72,10398070
2020-06-05,13.51,14.9,13.5,14.6,15508707
2020-06-08,15.65,15.76,14.54,15.76,13039466
2020-06-09,15.0,15.03,14.22,14.55,10887978
2020-06-10,14.15,14.5,13.35,13.67,12554187
2020-06-11,12.2,13.22,11.92,12.2,9174116
