date,open,high,low,close,volume
2020-01-02,218.56,222.63,213.69,219.38,852579
2020-01-03,216.79,219.53,215.21,218.7,542828
2020-01-06,217.92,227.18,216.75,225.99,674893
2020-01-07,225.01,234.43,225.01,231.45,1340424
2020-01-08,230.78,235.76,228.81,233.23,734899
2020-01-09,235.01,240.78,231.12,239.27,959230
2020-01-10,241.44,242.14,235.91,237.3,627849
2020-01-13,235.0,236.08,224.01,235.84,1571943
2020-01-14,236.15,241.96,233.74,235.06,824353
2020-01-15,235.44,235.75,229.3,234.34,947168
2020-01-16,234.72,237.63,230.22,234.41,700968
2020-01-17,236.19,236.81,230.26,230.79,530797
2020-01-21,230.7,235.97,229.8,231.62,1049486
2020-01-22,233.73,239.32,233.73,235.65,524602
2020-01-23,236.03,237.79,231.69,235.6,582895
2020-01-24,237.77,238.7,233.09,233.94,533942
2020-01-27,229.01,236.43,226.73,235.45,558814
2020-01-28,235.85,237.77,233.84,234.94,718987
2020-01-29,236.27,240.22,232.58,238.54,637710
2020-01-30,237.85,239.77,232.0,238.93,459807
2020-01-31,238.82,247.34,238.01,240.75,1000146
2020-02-03,241.04,243.84,236.45,237.09,637689
2020-02-04,238.91,245.26,237.67,243.7,685474
2020-02-05,244.34,244.34,237.0,238.54,575679
2020-02-06,241.72,242.42,237.14,239.0,478053
2020-02-07,239.33,240.99,235.01,240.22,525823
2020-02-10,240.59,247.43,240.07,246.92,571186
2020-02-11,247.09,248.04,242.54,247.92,517130
2020-02-12,248.01,250.68,243.44,246.0,786869
2020-02-13,244.02,254.7,242.27,252.21,1124944
2020-02-14,283.8,295.0,275.9,283.91,3359630
2020-02-18,284.4,298.0,281.38,296.0,1743433
2020-02-19,298.26,301.67,288.49,291.68,1493352
2020-02-20,292.33,306.71,287.23,302.51,2169261
2020-02-21,305.84,305.97,286.26,291.25,1386285
2020-02-24,278.19,295.03,275.0,294.05,1267504
2020-02-25,297.44,301.83,278.71,283.96,1116924
2020-02-26,284.71,297.84,275.1,278.25,1319128
2020-02-27,273.54,293.97,270.01,281.48,1241360
2020-02-28,276.73,278.74,266.67,276.0,1739165
2020-03-02,278.1,286.5,277.1,285.73,1533518
2020-03-03,286.34,288.88,268.2,272.88,1162798
2020-03-04,277.82,284.2,273.0,283.87,997409
2020-03-05,281.94,291.85,279.22,286.97,761297
2020-03-06,285.64,287.87,276.36,286.56,840496
2020-03-09,261.78,278.98,260.0,266.52,1256179
2020-03-10,271.65,281.8,263.54,279.18,1515024
2020-03-11,271.31,273.0,245.02,252.42,2030840
2020-03-12,218.51,255.0,215.0,247.64,1719439
2020-03-13,256.32,259.0,220.0,244.02,1599287
2020-03-16,215.0,218.9,202.0,202.3,1977637
2020-03-17,205.25,207.21,182.07,198.74,2553194
2020-03-18,189.53,225.0,187.0,191.16,1698508
2020-03-19,191.22,219.65,191.16,206.24,1418785
2020-03-20,208.31,223.33,203.32,209.5,1441001
2020-03-23,209.55,221.49,196.57,210.3,1363009
2020-03-24,216.77,239.21,216.0,236.21,1306461
2020-03-25,239.67,254.0,237.01,239.33,1046194
2020-03-26,243.95,253.5,239.21,250.21,1557348
2020-03-27,246.03,270.0,240.61,262.96,1514741
2020-03-30,265.31,280.97,255.07,278.0,1257912
2020-03-31,272.63,277.08,263.03,269.27,2002950
2020-04-01,255.51,263.94,252.18,254.81,1091972
2020-04-02,250.0,270.97,250.0,266.38,1138521
2020-04-03,263.62,272.48,257.07,260.75,1081315
2020-04-06,272.37,272.37,261.0,269.31,2515928
2020-04-07,272.97,280.0,250.01,250.71,1346211
2020-04-08,255.38,260.39,250.26,258.01,1142723
2020-04-09,259.95,276.62,258.6,275.27,1166685
2020-04-13,279.88,285.79,270.11,273.26,1190085
