date,open,high,low,close,volume
1999-11-01,37.88,38.25,37.63,38.06,173100
1999-11-02,38.0,38.88,37.75,37.75,207200
1999-11-03,37.88,38.19,37.63,38.0,293100
1999-11-04,38.0,38.06,37.06,37.63,296600
1999-11-05,38.25,38.38,37.88,37.88,325800
1999-11-08,38.0,38.38,37.25,37.31,615800
1999-11-09,37.5,37.5,36.63,36.75,572600
1999-11-10,36.63,36.75,36.5,36.75,583500
1999-11-11,36.75,36.94,36.19,36.81,309300
1999-11-12,36.81,37.19,36.63,36.75,1653200
1999-11-15,36.13,36.44,35.88,36.19,436200
1999-11-16,36.63,36.63,36.0,36.13,450700
1999-11-17,36.19,36.25,36.0,36.0,553400
1999-11-18,36.06,36.13,35.94,36.0,381900
1999-11-19,36.0,36.13,35.94,36.06,544300
1999-11-22,36.0,36.0,35.5,35.5,979200
1999-11-23,35.44,35.5,34.81,34.88,396200
1999-11-24,34.88,35.19,34.81,34.94,544600
1999-11-26,34.88,35.0,34.81,34.88,122600
1999-11-29,34.75,34.75,33.63,33.88,452800
1999-11-30,34.25,35.19,34.19,34.5,1239900
1999-12-01,34.38,34.56,34.25,34.5,932500
1999-12-02,34.38,34.75,34.38,34.56,535300
1999-12-03,34.63,35.19,34.63,35.0,619500
1999-12-06,35.0,35.13,34.81,35.0,543700
1999-12-07,35.25,35.25,35.0,35.0,942700
1999-12-08,35.0,35.0,34.56,34.75,1055000
1999-12-09,34.81,34.81,34.44,34.56,644600
1999-12-10,34.69,34.69,34.0,34.38,418200
1999-12-13,34.13,34.13,33.63,33.95,512000
1999-12-14,34.0,34.19,33.81,33.94,523700
1999-12-15,33.94,34.56,33.88,34.56,1216800
1999-12-16,34.75,34.75,34.0,34.0,589600
1999-12-17,33.75,34.19,33.56,33.75,1259500
1999-12-20,33.75,34.38,33.75,34.25,685900
1999-12-21,34.25,35.13,34.19,35.0,825000
1999-12-22,34.81,34.81,34.56,34.63,647900
1999-12-23,34.88,35.25,34.81,35.13,175400
1999-12-27,35.19,35.38,35.13,35.19,435600
1999-12-28,35.13,35.44,35.13,35.13,506000
1999-12-29,35.19,35.19,34.75,34.75,381800
1999-12-30,34.75,35.0,34.75,34.88,413400
1999-12-31,34.94,34.94,34.5,34.5,105000
2000-01-03,34.38,34.44,33.75,33.75,581900
2000-01-04,33.56,34.31,33.56,34.19,602400
2000-01-05,34.38,35.56,34.38,35.5,817800
2000-01-06,35.25,35.88,35.06,35.81,680900
2000-01-07,35.81,36.19,35.63,36.06,391100
2000-01-10,36.13,36.13,35.0,35.13,481700
2000-01-11,35.06,35.19,34.31,34.44,544600
2000-01-12,34.44,35.0,34.38,34.56,749000
2000-01-13,34.88,34.88,34.0,34.25,452600
2000-01-14,34.13,34.38,33.56,33.69,646700
2000-01-18,33.25,33.44,32.5,32.63,740500
2000-01-19,32.88,33.5,32.81,33.25,453700
2000-01-20,33.25,33.38,32.81,32.88,526300
2000-01-21,33.13,34.25,33.0,33.56,695400
2000-01-24,34.38,34.5,34.0,34.0,643500
2000-01-25,34.13,34.25,32.88,33.0,492000
2000-01-26,33.25,34.0,33.0,34.0,341600
2000-01-27,34.0,34.25,32.81,33.31,469300
