date,open,high,low,close,volume
2020-01-02,302.67,302.82,297.2,300.87,1200541
2020-01-03,293.68,299.53,293.68,296.88,986799
2020-01-06,295.75,300.56,294.77,300.45,1307409
2020-01-07,299.2,300.28,294.61,299.54,1313251
2020-01-08,300.89,308.76,298.51,307.48,2067797
2020-01-09,307.83,309.0,305.79,306.41,1439908
2020-01-10,307.94,309.1,306.43,307.74,1049867
2020-01-13,306.88,307.0,296.34,296.74,1756528
2020-01-14,296.04,298.05,294.82,296.88,1067742
2020-01-15,297.26,304.8,297.22,301.55,1401035
2020-01-16,302.92,305.24,302.09,305.05,704236
2020-01-17,305.07,305.65,300.08,305.39,1312630
2020-01-21,303.94,308.23,303.17,305.99,992428
2020-01-22,306.68,306.68,302.14,303.51,998033
2020-01-23,303.46,305.36,301.29,304.4,1089312
2020-01-24,304.84,305.58,295.42,297.28,1088693
2020-01-27,293.63,293.81,278.95,283.79,2399632
2020-01-28,285.0,293.62,284.13,290.32,1985318
2020-01-29,279.5,282.33,272.16,272.91,4450259
2020-01-30,269.26,270.44,261.694,265.89,2738451
2020-01-31,265.68,268.56,264.01,265.28,2206930
2020-02-03,266.11,270.65,262.79,266.43,1924772
2020-02-04,269.9,277.37,269.9,273.37,1413774
2020-02-05,275.36,293.18,275.36,287.33,2448937
2020-02-06,288.78,288.78,280.03,282.33,1759771
2020-02-07,279.7,281.84,276.28,276.48,1597504
2020-02-10,275.88,278.03,274.02,276.55,1149177
2020-02-11,277.04,279.94,273.78,279.91,1777128
2020-02-12,286.27,296.73,286.27,296.0,2763256
2020-02-13,294.73,299.52,294.56,298.87,1931281
2020-02-14,299.29,300.86,295.46,297.82,1433772
2020-02-18,297.45,304.34,295.77,302.45,1972490
2020-02-19,302.01,304.52,299.3,304.06,1338742
2020-02-20,301.38,301.68,293.69,293.94,1888660
2020-02-21,292.03,296.79,290.17,294.71,1111009
2020-02-24,283.49,283.5,276.58,277.5,2518740
2020-02-25,279.21,279.48,264.49,267.4,1954896
2020-02-26,269.84,274.03,262.71,268.15,1733219
2020-02-27,263.06,268.08,257.47,257.86,2328774
2020-02-28,249.94,260.55,249.35,257.09,2983658
2020-03-02,259.6,272.19,250.38,271.27,3317500
2020-03-03,270.13,280.72,255.88,256.38,3016362
2020-03-04,286.55,297.52,285.34,296.42,5160367
2020-03-05,287.65,288.27,281.25,287.16,2867870
2020-03-06,278.18,284.13,268.93,282.19,3414573
2020-03-09,264.0,276.36,260.81,269.82,2712778
2020-03-10,278.33,288.11,273.0,286.05,2611573
2020-03-11,278.6,289.16,275.14,281.69,3411365
2020-03-12,262.03,278.69,253.46,256.21,3100174
2020-03-13,267.5,271.36,251.05,270.34,3027048
2020-03-16,226.5,247.98,216.27,224.04,2815325
2020-03-17,229.76,246.71,224.92,238.32,3100781
2020-03-18,224.45,230.0,186.61,206.96,3649810
2020-03-19,206.22,212.62,193.48,200.87,3320282
2020-03-20,204.29,217.94,185.69,191.59,4780161
2020-03-23,188.54,189.58,171.03,174.68,3238376
2020-03-24,183.98,201.0,181.12,196.84,3130422
2020-03-25,190.09,226.84,187.04,216.37,3521157
2020-03-26,221.28,238.79,215.0,235.67,2705282
2020-03-27,217.61,228.5,217.16,222.96,2585260
2020-03-30,224.66,233.88,220.16,230.58,2095823
2020-03-31,235.28,235.83,223.9,227.04,2956416
2020-04-01,217.01,221.55,210.41,214.3,2225284
2020-04-02,210.53,219.5,203.99,211.39,2625614
2020-04-03,208.89,210.93,199.17,203.3,1776953
2020-04-06,215.51,227.52,212.18,225.72,2648614
2020-04-07,235.7,236.57,220.94,224.05,2449956
2020-04-08,227.15,248.83,226.41,247.02,2415201
2020-04-09,240.94,248.06,239.93,242.46,2191205
2020-04-13,240.78,243.49,237.65,240.53,1036639
2020-04-14,245.76,254.19,245.24,252.01,2145550
2020-04-15,249.15,254.35,245.11,250.47,2424142
2020-04-16,254.51,273.39,250.62,271.84,2717241
2020-04-17,279.01,279.9,263.21,267.82,1954738
2020-04-20,262.48,273.21,261.19,263.2,1597879
2020-04-21,255.0,259.9,249.3,249.37,1617925
2020-04-22,255.09,265.5,254.8,262.96,1168849
2020-04-23,264.71,266.24,258.44,261.55,1583457
2020-04-24,265.48,267.23,260.57,264.12,1390681
2020-04-27,267.56,271.74,263.01,270.06,1794077
2020-04-28,274.22,276.8,262.0,268.22,1789034
2020-04-29,280.0,282.35,264.0,280.61,2080291
2020-04-30,278.74,285.98,276.2,280.73,2098671
2020-05-01,275.34,277.0,264.65,269.57,1240786
2020-05-04,268.0,273.51,265.05,271.0,1241636
2020-05-05,274.5,278.82,269.81,275.07,1177038
2020-05-06,276.27,277.86,270.0,270.62,908770
2020-05-07,273.87,274.2,265.01,265.73,1003407
2020-05-08,270.5,274.76,268.81,274.33,968962
2020-05-11,270.94,276.72,270.91,272.37,1157439
2020-05-12,275.88,280.78,272.96,272.96,1311798
2020-05-13,271.08,272.9,262.24,267.8,1711389
2020-05-14,265.17,274.26,263.29,273.28,1300704
2020-05-15,271.06,279.83,270.58,278.09,1174069
2020-05-18,284.97,287.77,278.9,279.96,1324539
2020-05-19,280.0,286.0,277.99,281.1,1013051
2020-05-20,285.0,285.0,278.16,280.0,1122191
2020-05-21,278.95,283.14,277.07,278.68,1084269
2020-05-22,279.1,279.74,275.58,277.11,889794
2020-05-26,283.77,285.99,280.56,283.42,1248149
2020-05-27,286.25,287.64,277.57,287.25,1348369
2020-05-28,290.0,296.69,288.61,291.37,1302966
2020-05-29,291.89,294.88,286.76,294.11,1859023
2020-06-01,293.23,293.99,285.22,290.03,1470771
2020-06-02,291.18,296.4,287.57,294.2,1219886
2020-06-03,296.0,299.32,287.91,289.27,1388664
2020-06-04,286.84,288.48,279.54,282.09,1511453
2020-06-05,283.35,290.52,282.12,287.89,1730090
2020-06-08,286.35,301.66,286.1,300.59,1829312
2020-06-09,300.0,300.0,290.0,291.01,1356032
2020-06-10,293.0,293.14,286.53,288.54,1185412
2020-06-11,283.9,284.17,262.27,264.54,2126644
2020-06-12,272.56,274.27,259.3,265.74,1464440
2020-06-15,257.83,264.76,250.88,262.33,2096565
2020-06-16,273.0,273.18,264.54,267.43,1428461
2020-06-17,268.66,269.53,264.17,265.72,1181549
2020-06-18,263.92,265.91,260.19,265.53,1059527
2020-06-19,270.27,272.65,266.33,266.43,1824613
2020-06-22,265.0,266.53,261.58,265.21,997341
2020-06-23,268.23,270.61,265.15,268.99,890205
2020-06-24,265.08,266.0,254.85,257.31,1497835
2020-06-25,256.71,261.36,253.27,261.0,1469585
2020-06-26,259.85,264.65,254.43,255.65,1997447
2020-06-29,258.15,262.29,257.36,259.27,1365899
2020-06-30,259.75,264.6,256.74,262.98,1195614
2020-07-01,267.19,270.1,264.53,268.68,1110053
2020-07-02,270.95,273.93,266.97,267.0,1007987
2020-07-06,271.37,271.63,267.11,269.0,859594
2020-07-07,266.52,268.88,264.42,264.89,862863
2020-07-08,266.27,266.93,260.43,262.54,1110139
2020-07-09,262.22,264.04,254.55,255.0,1265622
2020-07-10,256.93,257.0,253.75,255.0,982178
2020-07-13,256.39,262.4,256.01,257.58,1325477
2020-07-14,256.44,263.88,256.09,263.47,1754000
2020-07-15,263.25,268.39,259.9,267.28,1557422
2020-07-16,267.28,269.22,263.68,264.09,1131227
2020-07-17,266.12,268.33,264.89,266.37,1035971
2020-07-20,266.12,267.37,258.84,259.0,1309846
2020-07-21,260.53,269.05,259.84,265.71,1555872
2020-07-22,266.28,268.25,261.054,268.09,1006815
2020-07-23,267.85,270.89,266.37,269.93,1004765
2020-07-24,271.0,273.71,269.57,270.49,1104462
2020-07-27,269.0,269.79,263.3,263.99,1615229
2020-07-28,263.35,267.685,263.27,265.23,1228587
2020-07-29,267.51,285.31,267.32,281.56,1961021
2020-07-30,276.42,279.67,272.345,277.19,1085259
2020-07-31,277.05,277.45,270.4,273.8,1005292
2020-08-03,275.22,277.385,269.36,270.75,988063
2020-08-04,269.38,272.86,267.72,270.89,953976
2020-08-05,272.85,276.01,270.21,275.65,1304882
2020-08-06,274.92,277.635,269.08,271.48,1002318
2020-08-07,271.23,278.18,271.23,276.66,928445
2020-08-10,277.09,280.15,276.24,278.85,754425
2020-08-11,283.07,288.0,279.09,280.33,1416943
2020-08-12,282.64,286.18,280.45,283.18,817135
2020-08-13,281.78,282.37,278.37,282.33,687941
2020-08-14,280.45,285.27,279.11,283.23,567658
2020-08-17,283.51,285.84,282.18,283.11,814802
2020-08-18,284.04,285.65,281.85,282.45,959068
2020-08-19,282.78,286.298,282.74,283.4,634051
2020-08-20,281.83,283.745,280.55,281.75,813927
2020-08-21,282.5,286.27,281.75,284.63,957555
2020-08-24,286.77,287.0,278.39,279.16,729657
2020-08-25,280.75,280.94,275.16,276.47,870887
2020-08-26,276.7,276.715,266.8,270.21,1342014
2020-08-27,271.41,278.64,269.28,274.59,1360804
2020-08-28,274.68,279.005,271.855,277.28,643374
2020-08-31,276.21,284.345,276.19,281.52,1514798
2020-09-01,278.02,280.64,272.83,273.08,1714725
2020-09-02,274.64,281.18,273.54,279.97,1388623
2020-09-03,281.84,284.37,274.19,277.0,1247689
2020-09-04,278.23,279.28,270.5,276.22,874661
2020-09-08,275.0,275.27,266.32,267.21,1191014
2020-09-09,267.93,269.35,264.56,267.42,1023871
2020-09-10,268.08,270.03,260.59,260.84,1096202
2020-09-11,262.68,265.5,254.48,258.03,1336676
2020-09-14,258.99,269.2,258.99,265.6,1448054
2020-09-15,265.88,267.345,258.865,260.15,1250511
2020-09-16,261.82,265.73,258.52,263.62,997442
2020-09-17,261.47,264.57,259.41,263.0,820108
2020-09-18,262.05,266.32,260.48,264.19,2162522
2020-09-21,257.24,257.88,250.4,257.71,1567806
2020-09-22,256.82,258.62,246.3779,247.44,1977556
2020-09-23,248.2,251.01,245.04,245.73,1669128
2020-09-24,245.04,249.27,244.1,248.78,1311881
2020-09-25,247.49,256.1,246.2,255.25,1321960
2020-09-28,258.83,261.8,255.78,257.06,914060
2020-09-29,258.35,261.75,256.56,259.79,862001
