date,open,high,low,close,volume
2020-01-02,80.4,80.4,78.57,78.67,1186994
2020-01-03,77.4,77.58,75.93,75.95,1461473
2020-01-06,75.64,76.84,75.4,75.51,1274582
2020-01-07,74.62,75.78,74.18,74.98,1434061
2020-01-08,75.14,75.49,74.27,75.2,965854
2020-01-09,75.25,75.68,74.36,75.37,1013914
2020-01-10,75.49,76.05,74.65,74.79,707487
2020-01-13,75.1,76.31,74.86,76.19,828833
2020-01-14,76.59,77.41,76.12,76.53,1172131
2020-01-15,75.83,76.66,75.66,76.2,604101
2020-01-16,76.46,76.94,75.97,76.93,713919
2020-01-17,77.13,77.65,76.68,77.45,1342988
2020-01-21,76.99,77.06,75.22,75.71,715853
2020-01-22,75.66,75.96,73.43,73.54,1213791
2020-01-23,72.98,74.17,71.62,74.06,1355986
2020-01-24,74.15,74.15,72.9,73.17,1472461
2020-01-27,71.09,71.49,69.81,69.83,1959871
2020-01-28,70.29,70.81,69.75,70.15,1523727
2020-01-29,70.51,71.64,70.46,70.83,1315326
2020-01-30,69.83,69.92,68.58,69.55,2051759
2020-01-31,69.69,73.17,69.64,71.27,2693151
2020-02-03,71.65,72.75,71.17,72.2,1431049
2020-02-04,73.35,74.19,72.81,73.08,1198465
2020-02-05,73.96,75.51,73.62,75.47,1485078
2020-02-06,75.8,75.88,73.31,73.91,1113694
2020-02-07,73.0,73.73,72.11,72.38,891941
2020-02-10,72.08,73.4,71.9,73.13,1079539
2020-02-11,73.73,75.43,73.54,74.3,703315
2020-02-12,75.5,76.76,75.0,75.68,772195
2020-02-13,75.09,75.72,74.44,75.03,654889
2020-02-14,75.09,75.17,73.75,74.73,799805
2020-02-18,73.9,74.17,71.78,72.7,1439666
2020-02-19,73.0,73.43,72.39,73.16,801159
2020-02-20,73.19,74.49,73.08,74.13,664172
2020-02-21,73.54,73.93,73.11,73.6,679530
2020-02-24,71.06,71.58,70.4,71.04,1511585
2020-02-25,71.36,71.36,66.19,66.57,1417170
2020-02-26,67.15,67.9,65.75,65.81,1106059
2020-02-27,64.21,65.97,62.48,62.48,2797048
2020-02-28,60.42,62.03,59.31,61.51,3081258
2020-03-02,62.21,63.01,60.14,62.93,2238710
2020-03-03,62.78,64.15,60.34,60.95,1541568
2020-03-04,62.03,63.0,60.5,62.91,1261712
2020-03-05,60.51,61.31,59.32,59.71,1641878
2020-03-06,57.73,59.48,56.57,57.78,1990792
2020-03-09,53.1,56.04,49.75,50.07,2000941
2020-03-10,52.74,53.11,49.92,51.74,2367096
2020-03-11,49.78,50.1,47.09,47.51,2452023
2020-03-12,43.19,44.12,36.55,42.41,4116977
2020-03-13,46.37,46.39,41.63,46.31,1955085
2020-03-16,38.29,43.93,38.0,40.01,2060587
2020-03-17,41.16,42.07,39.0,40.77,2340821
2020-03-18,37.39,38.85,34.44,38.62,1953706
2020-03-19,37.5,43.16,35.93,41.25,1497190
2020-03-20,42.11,43.0,39.1,40.81,2037806
2020-03-23,39.98,41.98,38.12,38.39,1704078
2020-03-24,41.87,42.87,40.01,41.58,1531880
2020-03-25,43.1,48.59,42.5,46.58,1566233
2020-03-26,47.02,50.13,46.26,47.95,1365918
2020-03-27,45.96,47.71,45.01,46.47,991328
2020-03-30,45.06,48.04,44.5,47.61,1295203
2020-03-31,47.44,48.23,46.09,46.58,2126609
2020-04-01,44.43,46.03,43.77,45.51,1842894
2020-04-02,45.88,48.13,44.81,45.38,2042288
2020-04-03,45.03,46.48,44.98,45.09,1349335
2020-04-06,47.6,50.57,47.29,50.18,1718339
2020-04-07,52.65,54.14,52.2,52.87,2548730
2020-04-08,53.02,57.0,52.77,56.54,1773414
2020-04-09,58.62,61.1,57.48,59.71,2011914
2020-04-13,59.52,59.64,56.87,57.93,2318427
2020-04-14,58.79,59.14,55.47,56.38,1857096
2020-04-15,53.52,54.18,51.68,52.0,1766925
2020-04-16,51.96,52.44,50.37,52.23,1394556
2020-04-17,53.85,55.64,53.85,55.1,1563784
2020-04-20,53.89,55.32,52.95,53.61,1053419
2020-04-21,52.19,53.72,51.55,52.72,914040
2020-04-22,54.13,54.4,52.83,53.87,568673
2020-04-23,54.68,56.84,54.61,56.0,895233
2020-04-24,56.76,57.56,55.72,57.27,1099231
2020-04-27,57.43,61.0,57.42,59.35,1869262
2020-04-28,60.55,61.58,59.15,60.65,1575114
2020-04-29,62.4,63.82,61.78,63.47,1415268
2020-04-30,62.16,62.22,60.44,60.51,1665214
2020-05-01,62.61,64.19,59.81,60.02,2101322
2020-05-04,58.8,60.7,58.17,60.65,2284838
2020-05-05,61.2,62.11,59.98,60.11,1092297
2020-05-06,60.77,61.2,59.28,59.53,1099468
2020-05-07,60.46,61.59,60.12,60.47,1191539
2020-05-08,61.65,62.72,61.33,62.53,787641
2020-05-11,61.4,62.03,60.5,61.73,981882
2020-05-12,62.14,62.85,61.28,61.51,1610021
2020-05-13,60.97,61.01,59.25,59.8,1802973
2020-05-14,57.92,60.26,57.3,60.22,1402900
2020-05-15,59.78,60.29,59.26,59.97,1349683
2020-05-18,62.56,63.67,62.33,62.93,1595568
2020-05-19,62.73,64.16,61.88,63.4,1236560
2020-05-20,64.53,66.23,64.37,65.57,1508964
2020-05-21,64.85,66.07,64.68,65.4,829563
2020-05-22,64.69,65.62,64.56,65.46,710206
2020-05-26,67.98,69.21,67.6,68.64,2068729
2020-05-27,70.35,71.06,68.43,69.75,1624109
2020-05-28,70.83,70.93,68.27,68.45,1350920
2020-05-29,67.8,68.63,67.15,68.08,2490123
2020-06-01,68.26,68.82,67.66,68.56,704985
2020-06-02,69.12,71.3,68.71,70.93,1075960
2020-06-03,72.03,72.99,71.27,71.85,1051713
2020-06-04,71.51,73.34,71.13,73.31,1302377
2020-06-05,76.71,77.53,74.62,76.92,1899807
2020-06-08,77.39,77.98,76.36,77.34,1173985
2020-06-09,75.38,77.5,74.64,77.02,1487770
2020-06-10,77.12,77.45,75.26,75.64,1537945
2020-06-11,72.0,72.83,66.5,66.53,1976914
2020-06-12,68.88,70.11,67.75,69.63,1199334
2020-06-15,67.14,70.15,66.34,69.6,1027037
2020-06-16,72.46,73.42,69.95,71.56,1007690
2020-06-17,72.11,72.15,70.28,70.5,979895
2020-06-18,69.72,71.05,69.57,70.44,813508
2020-06-19,71.91,72.07,68.87,69.49,2802059
2020-06-22,69.03,69.72,68.4,69.26,1036069
2020-06-23,70.43,70.7,69.32,69.33,1126094
2020-06-24,68.23,68.23,66.14,66.85,1092377
2020-06-25,66.37,67.83,65.86,67.72,818257
2020-06-26,67.38,67.83,66.34,67.28,1392447
2020-06-29,67.91,69.83,67.853,69.32,799341
2020-06-30,68.84,70.36,67.83,69.64,1290075
2020-07-01,69.55,69.68,68.06,68.7,1357092
2020-07-02,70.09,71.59,69.19,69.98,1019377
2020-07-06,71.83,72.04,70.07,71.97,1161743
2020-07-07,71.19,72.21,70.8,71.3,1079302
2020-07-08,71.07,71.35,68.71,69.79,1303347
2020-07-09,69.74,69.74,67.69,68.31,980447
2020-07-10,68.31,70.35,68.24,70.19,659259
2020-07-13,71.11,72.52,70.38,71.42,1004468
2020-07-14,71.05,73.17,71.01,73.02,1058308
2020-07-15,74.34,75.55,73.88,75.23,1120164
2020-07-16,75.0,76.0,74.41,75.65,770867
2020-07-17,76.02,76.2,75.04,75.89,956170
2020-07-20,75.26,75.99,74.37,74.99,958795
2020-07-21,75.05,76.57,75.05,76.21,870481
2020-07-22,76.02,76.69,75.69,76.6,580501
2020-07-23,76.32,77.1,75.5,76.48,545922
2020-07-24,76.6,77.3,76.08,76.64,757780
2020-07-27,76.63,78.96,75.91,78.42,1100021
2020-07-28,77.81,78.14,76.08,76.36,826347
2020-07-29,76.77,77.56,76.23,77.43,638931
