date,open,high,low,close,volume
1999-11-01,4.25,4.25,4.12,4.19,6800
1999-11-02,4.06,4.06,3.75,3.75,9778
1999-11-03,4.0,4.0,3.88,4.0,5067
1999-11-04,4.06,4.06,4.0,4.06,5378
1999-11-05,4.31,4.31,4.0,4.06,7244
1999-11-08,4.12,4.5,4.0,4.37,26667
1999-11-09,4.44,4.44,4.37,4.44,12578
1999-11-10,4.5,4.5,4.44,4.44,4267
1999-11-11,4.44,4.5,4.44,4.5,34444
1999-11-12,4.5,5.5,4.5,5.5,27378
1999-11-15,5.38,5.94,5.25,5.38,24044
1999-11-16,5.38,5.75,5.38,5.62,13600
1999-11-17,5.5,6.25,5.5,6.25,23378
1999-11-18,6.0,6.37,5.94,6.0,10444
1999-11-19,6.13,6.13,5.87,5.87,5644
1999-11-22,5.87,5.87,5.75,5.75,444
1999-11-23,5.75,6.0,5.62,5.75,10800
1999-11-24,5.62,6.0,5.62,6.0,7600
1999-11-26,5.69,5.75,5.62,5.75,1244
1999-11-29,5.62,5.75,5.25,5.62,10978
1999-11-30,5.56,5.75,5.56,5.62,9244
1999-12-01,5.56,5.62,5.56,5.62,4978
1999-12-02,5.5,5.62,5.5,5.62,5244
1999-12-03,5.62,5.62,5.62,5.62,4444
1999-12-06,5.5,5.56,5.31,5.56,2578
1999-12-07,5.38,5.44,5.31,5.38,8978
1999-12-08,5.31,5.5,5.0,5.12,20578
1999-12-09,5.12,5.25,4.88,4.94,34800
1999-12-10,5.0,5.19,4.94,5.0,36978
1999-12-13,5.0,5.06,4.94,4.94,15778
1999-12-14,5.0,5.12,5.0,5.0,8267
1999-12-15,5.0,5.12,4.88,4.88,19867
1999-12-16,4.88,5.0,4.88,5.0,5778
1999-12-17,5.0,5.0,4.63,4.63,10267
1999-12-20,4.75,4.88,4.69,4.88,8578
1999-12-21,4.88,4.94,4.75,4.94,13600
1999-12-22,4.88,5.25,4.88,5.12,15067
1999-12-23,5.12,5.38,5.12,5.19,8667
1999-12-27,5.12,5.19,5.12,5.12,8400
1999-12-28,5.06,5.19,5.06,5.06,5644
1999-12-29,4.81,5.0,4.75,5.0,24044
1999-12-30,5.0,5.06,5.0,5.0,6578
1999-12-31,5.0,5.12,4.88,5.0,11244
2000-01-03,5.0,5.19,5.0,5.12,11244
2000-01-04,5.12,5.12,4.75,5.12,13778
2000-01-05,5.06,6.0,5.06,5.75,25244
2000-01-06,5.62,5.87,5.62,5.81,2667
2000-01-07,5.81,5.87,5.81,5.87,2444
2000-01-10,5.87,6.0,5.87,5.87,20000
2000-01-11,6.13,6.13,5.75,5.75,9200
2000-01-12,5.81,6.0,5.81,6.0,6800
2000-01-13,5.87,6.0,5.87,5.87,8844
2000-01-14,5.87,5.87,5.87,5.87,5867
2000-01-18,6.0,6.0,5.75,6.0,2444
2000-01-19,6.0,6.13,6.0,6.0,18444
2000-01-20,5.87,6.0,5.87,6.0,8578
2000-01-21,5.94,6.0,5.94,5.94,3200
2000-01-24,6.0,6.25,6.0,6.06,4978
2000-01-25,6.0,6.0,6.0,6.0,7244
2000-01-26,6.0,6.13,6.0,6.13,8400
2000-01-27,6.06,6.06,6.0,6.0,14578
2000-01-28,6.0,6.0,6.0,6.0,4000
2000-01-31,6.0,6.13,6.0,6.13,6844
2000-02-01,6.25,6.25,6.13,6.13,5378
2000-02-02,6.25,7.5,6.25,7.25,29378
2000-02-03,7.25,7.25,6.62,6.75,12178
2000-02-04,6.94,6.94,6.5,6.75,5600
2000-02-07,7.0,7.37,6.75,7.19,55467
2000-02-08,7.37,7.63,7.13,7.31,25378
2000-02-09,7.0,7.5,6.88,7.25,17244
2000-02-10,7.25,7.44,7.25,7.25,3778
2000-02-11,7.19,7.25,7.13,7.13,5067
2000-02-14,7.37,7.56,7.13,7.5,35244
2000-02-15,7.5,7.5,7.25,7.25,5067
2000-02-16,7.63,7.75,7.31,7.31,22578
2000-02-17,7.31,7.37,7.25,7.25,3600
2000-02-18,7.31,7.5,7.25,7.31,9200
2000-02-22,7.25,7.37,7.0,7.25,43867
2000-02-23,7.25,7.38,7.25,7.25,18400
2000-02-24,7.25,7.37,7.25,7.25,8844
2000-02-25,7.13,7.31,7.13,7.25,12800
2000-02-28,7.25,7.31,7.25,7.25,5778
2000-02-29,7.25,7.25,6.81,7.25,14978
2000-03-01,7.25,7.25,7.25,7.25,4978
2000-03-02,7.25,7.5,7.25,7.5,21867
2000-03-03,7.44,7.44,7.25,7.31,3778
2000-03-06,7.31,7.44,7.31,7.31,9200
2000-03-07,7.25,7.25,7.06,7.13,22000
2000-03-08,7.06,7.06,6.75,7.0,4178
2000-03-09,6.88,6.94,6.37,6.88,24267
2000-03-10,6.69,6.69,6.13,6.5,29600
2000-03-13,6.5,7.25,6.5,7.25,15867
2000-03-14,7.37,7.37,7.0,7.0,12267
2000-03-15,6.75,6.75,6.37,6.37,17244
2000-03-16,6.37,6.75,6.31,6.56,4578
2000-03-17,6.75,6.75,6.75,6.75,7778
2000-03-20,6.56,6.75,6.56,6.56,10400
