date,open,high,low,close,volume
2020-01-02,116.0,116.34,115.02,115.52,4991801
2020-01-03,115.03,116.73,114.5,116.37,2833977
2020-01-06,115.18,116.97,114.86,116.93,2115245
2020-01-07,115.95,117.33,115.19,116.48,2397900
2020-01-08,116.56,117.69,116.56,116.8,3323232
2020-01-09,117.54,118.01,117.12,117.8,3434247
2020-01-10,118.48,118.7,116.95,117.13,2077231
2020-01-13,117.0,118.61,116.86,118.53,3088002
2020-01-14,118.31,118.53,117.28,117.55,2662652
2020-01-15,117.93,119.31,117.71,118.51,2015127
2020-01-16,119.5,120.27,118.93,120.21,2011061
2020-01-17,120.79,120.86,119.77,120.68,4086601
2020-01-21,120.6,121.61,120.34,120.61,2426626
2020-01-22,121.3,122.52,121.28,122.04,2922868
2020-01-23,122.05,122.51,121.04,122.23,2105293
2020-01-24,122.58,122.93,120.53,120.84,1736280
2020-01-27,118.7,120.37,118.22,119.3,1651276
2020-01-28,119.3,121.14,119.06,120.43,3917549
2020-01-29,120.85,121.05,119.69,120.04,2088105
2020-01-30,119.0,121.34,118.27,121.23,2094390
2020-01-31,120.59,120.82,118.11,118.61,3428521
2020-02-03,119.96,122.08,119.51,121.94,2986339
2020-02-04,123.62,125.05,123.0,123.89,4570660
2020-02-05,122.64,124.24,119.67,121.67,5650261
2020-02-06,120.75,122.0,120.42,121.67,3494302
2020-02-07,120.7,122.13,120.29,121.86,2373976
2020-02-10,121.42,123.55,121.17,123.21,2742853
2020-02-11,123.81,124.61,120.54,120.71,3231163
2020-02-12,120.48,121.07,119.01,119.14,4050422
2020-02-13,118.85,122.34,118.71,121.06,3207559
2020-02-14,121.12,122.36,120.7,122.32,2796511
2020-02-18,122.95,123.72,121.67,122.25,2899520
2020-02-19,122.65,123.78,122.4,123.55,3636711
2020-02-20,123.3,123.48,120.25,121.84,3285109
2020-02-21,121.52,121.79,118.64,119.49,3563689
2020-02-24,116.58,118.88,116.04,116.59,3706411
2020-02-25,116.79,117.28,113.05,113.25,4117847
2020-02-26,113.8,115.26,112.07,112.87,3918381
2020-02-27,110.79,112.74,108.16,108.54,6824483
2020-02-28,105.12,109.51,104.58,109.36,7131794
2020-03-02,108.64,114.29,107.18,114.23,5516409
2020-03-03,113.0,114.95,108.39,109.37,5171299
2020-03-04,111.0,112.91,109.38,112.18,5787535
2020-03-05,109.15,111.53,107.64,109.25,4642429
2020-03-06,103.98,107.38,103.07,106.81,4426357
2020-03-09,99.87,103.0,98.11,100.03,5444709
2020-03-10,102.75,107.09,99.1,107.03,8579658
2020-03-11,103.8,108.04,101.88,102.42,8779504
2020-03-12,95.2,101.11,93.58,94.92,13496017
2020-03-13,100.16,103.65,95.36,103.42,8218255
2020-03-16,93.69,94.81,84.76,86.18,11294864
2020-03-17,88.45,91.17,83.91,90.89,8093485
2020-03-18,84.67,86.92,75.91,80.95,9786114
2020-03-19,80.5,85.99,73.5,84.46,9574578
2020-03-20,87.11,89.59,81.14,81.77,9676616
2020-03-23,81.42,81.73,74.85,77.0,9240463
2020-03-24,81.62,87.38,80.74,86.65,6874945
2020-03-25,86.6,94.59,85.09,91.2,5645406
2020-03-26,92.23,98.35,90.5,97.69,5699233
2020-03-27,94.54,96.79,92.02,93.95,7067593
2020-03-30,93.95,98.74,93.74,98.33,4787764
2020-03-31,95.88,97.99,94.08,94.99,8472168
2020-04-01,91.0,92.0,87.44,88.01,4128046
2020-04-02,85.92,89.41,85.0,88.75,3913708
2020-04-03,88.27,89.72,84.37,86.19,3739995
2020-04-06,91.58,96.53,90.13,95.86,7687730
2020-04-07,99.9,100.43,94.47,94.62,3622642
2020-04-08,95.68,98.83,94.53,98.37,3847315
2020-04-09,100.1,101.82,97.91,99.22,3830595
2020-04-13,97.99,98.4,94.61,96.97,3721405
2020-04-14,98.8,98.8,95.36,96.85,6405232
2020-04-15,94.76,95.39,92.83,93.66,6378219
2020-04-16,95.11,96.05,93.02,95.73,4143537
2020-04-17,98.89,100.77,98.0,100.63,4171887
2020-04-20,98.83,99.78,96.83,97.24,3060757
2020-04-21,94.87,95.6,91.4,91.76,3795350
2020-04-22,94.29,96.46,93.33,95.4,3742823
2020-04-23,94.95,96.65,93.79,94.61,2496276
2020-04-24,95.29,96.69,93.62,96.29,3279272
2020-04-27,97.49,99.38,96.48,99.18,3202505
2020-04-28,100.84,101.2,99.01,99.78,4735377
2020-04-29,102.0,105.58,101.68,104.73,4935430
2020-04-30,103.93,104.26,102.09,103.06,3281969
2020-05-01,101.19,102.15,99.67,100.25,2984699
2020-05-04,99.43,101.7,99.0,101.54,3496345
2020-05-05,102.13,105.12,102.06,103.83,3330720
2020-05-06,105.0,107.06,104.42,105.49,3864613
2020-05-07,105.49,108.37,105.05,107.32,4236674
2020-05-08,106.69,108.83,103.42,104.78,8497173
2020-05-11,104.12,104.34,101.5,101.73,6577386
2020-05-12,101.96,102.54,100.07,100.27,7032199
2020-05-13,99.48,101.19,97.5,98.86,6212292
2020-05-14,99.69,99.87,96.94,99.32,5779968
2020-05-15,99.29,100.64,98.19,100.02,3755583
2020-05-18,102.15,106.51,101.8,105.05,5026751
2020-05-19,104.59,106.16,101.89,102.48,6305648
2020-05-20,104.04,106.04,103.44,105.8,4425061
2020-05-21,105.49,105.55,103.07,103.58,2938328
2020-05-22,103.56,104.49,102.93,103.93,3035465
2020-05-26,106.61,106.88,104.33,105.24,4137438
2020-05-27,105.76,106.32,102.94,105.35,3381620
2020-05-28,105.8,107.69,104.97,106.19,3773250
2020-05-29,106.56,107.07,104.71,106.77,5377221
2020-06-01,106.33,109.09,106.33,108.87,3407558
2020-06-02,108.94,109.5,106.79,107.82,3752560
2020-06-03,108.79,109.25,106.91,108.84,3924993
2020-06-04,108.47,108.84,105.04,105.75,4265167
