date,open,high,low,close,volume
2020-01-02,8.07,8.2,7.99,8.14,271413
2020-01-03,8.08,8.1,8.06,8.08,126961
2020-01-06,8.05,8.06,7.96,8.02,199851
2020-01-07,8.02,8.08,8.0,8.08,91034
2020-01-08,8.1,8.14,8.08,8.12,131756
2020-01-09,8.11,8.16,8.11,8.16,133645
2020-01-10,8.16,8.16,8.13,8.14,69521
2020-01-13,8.13,8.15,8.1,8.15,149230
2020-01-14,8.16,8.17,8.13,8.17,90316
2020-01-15,8.15,8.2,8.13,8.15,108096
2020-01-16,8.19,8.22,8.17,8.22,77774
2020-01-17,8.21,8.25,8.19,8.22,240033
2020-01-21,8.19,8.24,8.17,8.2,107088
2020-01-22,8.23,8.35,8.21,8.26,163587
2020-01-23,8.26,8.26,8.19,8.24,75042
2020-01-24,8.22,8.24,8.17,8.23,102013
2020-01-27,8.12,8.12,8.0,8.05,142868
2020-01-28,8.06,8.12,8.06,8.06,110696
2020-01-29,8.09,8.11,8.08,8.08,68244
2020-01-30,8.03,8.05,8.0,8.04,123084
2020-01-31,8.03,8.05,7.92,7.93,126950
2020-02-03,7.95,8.01,7.95,7.98,102736
2020-02-04,8.05,8.12,8.05,8.1,120817
2020-02-05,8.15,8.18,8.1,8.18,98223
2020-02-06,8.2,8.21,8.15,8.21,101189
2020-02-07,8.17,8.21,8.15,8.18,141863
2020-02-10,8.17,8.21,8.16,8.2,75706
2020-02-11,8.21,8.26,8.15,8.15,182431
2020-02-12,8.18,8.32,8.18,8.32,213992
2020-02-13,8.27,8.35,8.26,8.32,194218
2020-02-14,8.31,8.36,8.3,8.31,134956
2020-02-18,8.3,8.36,8.3,8.35,276722
2020-02-19,8.39,8.4,8.33,8.34,253372
2020-02-20,8.36,8.37,8.29,8.34,265853
2020-02-21,8.31,8.33,8.26,8.29,226567
2020-02-24,8.1,8.13,8.02,8.07,363696
2020-02-25,8.08,8.09,7.69,7.81,556310
2020-02-26,7.82,7.86,7.72,7.76,504742
2020-02-27,7.62,7.62,7.15,7.38,585447
2020-02-28,7.18,7.18,6.8,7.14,701280
2020-03-02,7.1,7.54,7.08,7.52,427806
2020-03-03,7.57,7.83,7.46,7.56,415910
2020-03-04,7.63,7.84,7.62,7.84,258455
2020-03-05,7.67,7.71,7.53,7.58,274187
2020-03-06,7.32,7.49,7.25,7.46,375416
2020-03-09,6.96,7.21,6.85,6.96,469708
2020-03-10,7.13,7.15,6.8,7.13,537692
2020-03-11,7.01,7.09,6.69,6.74,487381
2020-03-12,5.76,5.82,4.79,5.35,734281
2020-03-13,5.7,6.0,5.15,5.6,578510
2020-03-16,4.93,5.26,4.79,4.81,510548
2020-03-17,4.83,4.84,4.51,4.6,642520
2020-03-18,4.35,4.45,3.48,3.74,876400
2020-03-19,3.75,4.16,3.53,4.08,568035
2020-03-20,4.34,4.36,3.99,4.06,591745
2020-03-23,3.91,4.0,3.55,3.77,646638
2020-03-24,3.9,4.29,3.89,4.28,343600
2020-03-25,4.25,4.79,4.24,4.61,708894
2020-03-26,4.62,5.04,4.62,4.96,366046
