date,open,high,low,close,volume
1999-11-01,59.38,60.13,59.19,59.31,281900
1999-11-02,58.25,58.81,57.75,57.94,327500
1999-11-03,59.88,60.88,59.5,60.63,802900
1999-11-04,61.25,62.75,60.44,62.0,808100
1999-11-05,62.88,63.25,60.75,63.0,817700
1999-11-08,61.25,61.94,61.19,61.5,249400
1999-11-09,62.25,62.5,61.0,61.19,661100
1999-11-10,60.56,60.69,59.44,59.44,481100
1999-11-11,59.75,60.69,59.69,60.25,360600
1999-11-12,60.94,61.19,60.44,61.0,285700
1999-11-15,59.5,59.5,58.44,58.5,331000
1999-11-16,58.69,61.19,58.63,61.19,486400
1999-11-17,59.0,59.25,58.25,58.31,440000
1999-11-18,59.13,60.06,58.31,59.5,558800
1999-11-19,59.13,59.38,58.5,59.25,312900
1999-11-22,59.0,59.19,58.31,59.13,701400
1999-11-23,60.5,60.69,59.5,59.88,419200
1999-11-24,59.56,60.13,59.25,59.88,111300
1999-11-26,60.38,60.94,60.25,60.5,145200
1999-11-29,61.56,61.94,61.19,61.56,551700
1999-11-30,60.31,60.31,59.44,59.44,308400
1999-12-01,59.5,59.69,58.75,59.0,293200
1999-12-02,61.81,61.94,60.5,60.56,1040100
1999-12-03,60.25,60.56,59.5,59.94,453000
1999-12-06,59.0,59.13,58.44,58.5,229400
1999-12-07,59.44,59.56,58.19,58.81,335200
1999-12-08,57.5,58.0,57.0,57.06,257500
1999-12-09,57.19,57.19,56.06,56.13,312900
1999-12-10,54.63,55.94,54.25,55.94,425000
1999-12-13,54.63,55.19,54.06,54.13,395900
1999-12-14,53.06,53.63,52.69,52.94,309700
1999-12-15,53.56,54.63,53.56,53.81,568800
1999-12-16,54.5,54.5,52.88,53.19,413400
1999-12-17,54.38,54.75,53.75,54.31,407100
1999-12-20,54.13,54.25,53.19,53.44,193500
1999-12-21,53.19,53.81,51.38,52.0,686400
1999-12-22,53.06,53.38,52.25,53.06,576000
1999-12-23,54.0,54.63,53.44,54.0,237900
1999-12-27,53.88,54.31,53.25,53.88,255000
1999-12-28,53.75,54.0,53.0,53.31,248700
1999-12-29,55.13,55.44,54.5,54.56,497600
1999-12-30,56.06,56.19,55.5,55.94,217600
1999-12-31,56.0,56.19,55.75,55.88,139400
2000-01-03,55.94,56.31,55.0,55.56,556100
2000-01-04,55.56,55.56,54.0,54.13,367200
2000-01-05,54.88,55.94,54.5,55.94,481700
2000-01-06,55.38,55.5,54.0,55.13,853800
2000-01-07,55.25,58.0,55.0,58.0,908700
2000-01-10,58.5,58.75,57.38,58.13,850900
2000-01-11,57.69,58.94,57.56,57.56,287200
2000-01-12,59.0,59.0,58.13,58.31,250600
2000-01-13,57.69,59.31,57.44,58.0,510500
2000-01-14,60.44,61.25,59.31,60.0,725800
2000-01-18,55.75,55.88,54.06,54.06,2574900
2000-01-19,56.19,57.0,55.75,57.0,1713400
2000-01-20,55.56,55.63,54.75,54.88,590000
2000-01-21,54.06,54.56,54.0,54.13,698000
2000-01-24,53.56,53.63,52.0,52.13,1210300
2000-01-25,51.31,51.63,50.25,51.56,879300
2000-01-26,51.81,52.13,50.38,51.88,877700
2000-01-27,51.75,51.75,50.69,51.0,814000
2000-01-28,51.19,52.88,51.06,52.0,1096100
2000-01-31,52.5,53.69,51.31,52.75,725300
2000-02-01,51.25,51.38,49.75,50.94,974500
2000-02-02,51.19,52.63,51.06,51.88,625500
2000-02-03,52.19,52.25,51.0,51.31,397000
2000-02-04,49.69,50.13,48.75,49.31,918500
2000-02-07,48.25,49.13,47.44,48.31,1514800
2000-02-08,48.19,50.13,48.19,50.13,878400
2000-02-09,50.38,51.69,50.25,50.5,1320300
2000-02-10,52.63,53.0,50.56,50.94,805500
2000-02-11,48.81,50.31,48.0,48.31,1000900
2000-02-14,48.19,48.75,47.88,48.63,598800
2000-02-15,48.56,49.06,48.19,48.69,445500
2000-02-16,45.5,47.25,45.25,47.25,1046100
2000-02-17,47.75,48.13,46.5,46.75,735400
2000-02-18,47.44,47.56,45.63,46.0,496400
2000-02-22,46.5,46.75,46.0,46.56,522500
2000-02-23,46.63,47.0,46.31,46.81,478100
2000-02-24,46.75,47.5,46.5,46.88,1019900
2000-02-25,47.56,48.31,47.06,47.13,938100
2000-02-28,47.88,49.0,47.5,48.5,910400
2000-02-29,48.19,49.06,48.06,48.75,617100
2000-03-01,49.56,51.0,49.5,50.44,926100
2000-03-02,50.69,50.69,49.38,50.0,1070900
2000-03-03,48.94,48.94,47.56,48.44,795200
2000-03-06,47.94,48.13,47.25,47.5,531600
2000-03-07,48.5,48.63,46.81,46.81,1147000
2000-03-08,46.88,49.56,46.88,48.94,1030300
2000-03-09,49.94,50.38,48.94,50.31,644800
2000-03-10,51.0,52.19,50.75,51.5,991600
2000-03-13,53.0,53.0,52.25,52.31,764500
2000-03-14,53.0,53.69,52.88,52.88,634800
2000-03-15,55.31,58.31,55.31,58.0,1397400
2000-03-16,59.5,59.5,56.44,59.25,1147700
2000-03-17,55.44,57.63,55.44,56.5,1004900
2000-03-20,56.56,57.19,55.88,55.88,440700
2000-03-21,57.5,59.06,57.5,59.0,934300
2000-03-22,59.25,59.56,57.75,58.38,883800
