date,open,high,low,close,volume
2020-01-02,24.69,24.84,24.42,24.68,9125473
2020-01-03,25.29,25.45,24.58,24.76,11562581
2020-01-06,25.0,25.47,24.75,25.39,14419165
2020-01-07,25.35,25.35,24.22,24.67,12431007
2020-01-08,24.47,24.62,23.76,24.05,14021067
2020-01-09,24.09,24.3,23.47,24.19,13479036
2020-01-10,24.14,24.23,23.93,24.08,8385016
2020-01-13,23.95,23.97,23.59,23.75,11442651
2020-01-14,23.59,24.04,23.37,23.94,13325211
2020-01-15,23.76,23.88,23.49,23.57,9940118
2020-01-16,23.72,24.01,23.66,23.81,10188021
2020-01-17,24.0,24.23,23.83,23.96,14377324
2020-01-21,23.78,24.52,23.61,23.77,21044184
2020-01-22,23.81,24.15,23.66,23.93,12041715
2020-01-23,23.68,23.7,23.16,23.58,12567875
2020-01-24,23.5,23.5,22.83,23.1,11681573
2020-01-27,22.4,22.52,21.57,21.65,18991975
2020-01-28,21.8,22.11,21.44,22.08,8773599
2020-01-29,22.33,22.43,21.62,21.63,10328316
2020-01-30,21.23,21.97,21.2,21.95,10648437
2020-01-31,21.48,21.89,21.23,21.81,12501940
2020-02-03,21.81,21.93,21.43,21.5,11481705
2020-02-04,21.97,22.16,21.61,21.67,11937493
2020-02-05,22.19,22.87,22.08,22.58,12033684
2020-02-06,22.68,22.7,22.03,22.26,8202498
2020-02-07,21.94,22.1,21.68,21.8,10238359
2020-02-10,21.51,21.6,21.29,21.4,10097792
2020-02-11,21.77,21.86,21.5,21.73,12983991
2020-02-12,22.27,22.56,21.9,22.35,9892431
2020-02-13,22.14,22.4,21.9,22.19,10072316
2020-02-14,22.24,22.35,21.84,22.12,8402968
2020-02-18,21.82,21.98,21.39,21.86,8500228
2020-02-19,21.98,22.35,21.95,22.28,7035290
2020-02-20,22.52,22.58,21.94,21.95,7202270
2020-02-21,21.64,21.67,20.89,21.26,11630951
2020-02-24,20.25,20.28,19.74,19.83,12538964
2020-02-25,19.95,20.01,18.76,19.01,13037660
2020-02-26,19.23,19.27,18.33,18.4,16142505
2020-02-27,17.69,18.43,17.27,17.39,20068764
2020-02-28,16.76,17.15,16.3,16.96,27294584
2020-03-02,17.25,17.27,16.37,17.22,20527804
2020-03-03,16.74,17.08,15.71,15.95,26029217
2020-03-04,16.19,16.19,15.13,15.39,30183106
2020-03-05,15.0,15.04,14.42,14.74,28685833
2020-03-06,14.26,14.48,12.75,13.07,29991738
2020-03-09,9.74,9.74,7.9,8.15,74587245
2020-03-10,9.49,9.57,7.68,8.66,62796799
2020-03-11,8.13,8.33,7.77,7.83,35887867
2020-03-12,7.15,7.39,6.42,6.42,38569847
2020-03-13,7.32,7.35,6.32,7.15,43874064
2020-03-16,5.96,6.83,5.8,5.94,37930759
2020-03-17,6.13,6.4,5.58,6.14,36155355
2020-03-18,5.59,5.89,4.25,4.61,45031285
2020-03-19,4.78,5.34,4.5,4.8,39768751
2020-03-20,5.13,5.36,4.56,5.05,49136202
2020-03-23,5.2,5.38,4.9,5.24,27157821
2020-03-24,5.92,6.95,5.81,6.63,48337401
2020-03-25,7.52,7.52,6.04,6.77,51355469
2020-03-26,6.88,7.77,6.75,7.05,32863646
2020-03-27,6.57,6.81,6.18,6.39,33399868
2020-03-30,6.3,6.67,6.03,6.37,28069350
2020-03-31,6.8,6.99,6.54,6.85,34468465
2020-04-01,6.61,6.7,6.23,6.6,27134426
2020-04-02,6.81,8.2,6.76,7.52,51235980
2020-04-03,7.83,8.03,7.34,7.61,35853956
2020-04-06,7.83,8.0,7.61,7.91,28246935
2020-04-07,8.55,8.83,7.78,8.04,40128783
2020-04-08,8.3,8.79,8.27,8.75,27482466
2020-04-09,9.62,9.73,7.97,8.21,62280492
2020-04-13,8.55,8.55,7.68,7.85,46295453
2020-04-14,7.86,8.15,7.5,7.63,37371521
2020-04-15,7.15,7.2,6.8,6.95,34832640
2020-04-16,6.98,6.98,6.53,6.67,26719996
2020-04-17,6.9,7.58,6.89,7.58,34285961
2020-04-20,6.9,8.02,6.7,7.63,41590320
2020-04-21,7.31,7.76,7.16,7.46,34769540
2020-04-22,7.85,8.3,7.81,8.23,39587394
2020-04-23,8.6,9.02,8.41,8.92,43729625
2020-04-24,9.19,9.58,8.72,8.86,46120057
2020-04-27,8.5,9.1,8.26,8.91,27898061
2020-04-28,9.29,9.6,9.04,9.52,28480075
2020-04-29,10.16,11.07,10.1,11.02,37396770
2020-04-30,11.1,11.11,10.24,10.5,45371418
2020-05-01,10.18,10.4,9.7,9.76,28060170
2020-05-04,9.23,10.04,9.05,10.03,25415603
2020-05-05,10.62,10.76,9.75,9.86,30378956
2020-05-06,9.78,10.0,9.55,9.56,19824597
2020-05-07,9.79,10.12,9.76,10.01,20150095
2020-05-08,10.28,10.71,10.09,10.7,21283840
2020-05-11,10.48,10.71,10.31,10.58,17638528
2020-05-12,10.7,10.88,10.35,10.49,21839364
2020-05-13,10.35,10.38,9.41,9.54,24119157
2020-05-14,9.25,10.14,9.12,9.95,22301138
2020-05-15,9.87,10.24,9.76,9.82,22972478
2020-05-18,10.54,11.62,10.51,11.51,40032523
2020-05-19,11.4,11.51,11.06,11.15,26255532
2020-05-20,11.43,11.99,11.37,11.95,28166340
2020-05-21,11.98,12.21,11.75,11.98,22889929
2020-05-22,11.86,11.95,11.47,11.59,19307608
2020-05-26,12.04,12.11,11.78,11.87,23308697
2020-05-27,11.95,12.24,11.51,12.19,20078150
2020-05-28,12.18,12.57,11.94,12.11,19018213
2020-05-29,11.88,11.95,11.4,11.75,28706765
2020-06-01,11.79,12.18,11.58,12.04,20749690
2020-06-02,12.24,12.7,12.11,12.69,21732635
2020-06-03,13.09,13.21,12.86,13.08,24088201
2020-06-04,12.99,13.43,12.67,13.19,22472542
2020-06-05,14.22,15.01,14.21,14.52,27746020
2020-06-08,15.5,16.45,15.19,16.4,36332860
2020-06-09,15.62,15.62,14.84,15.43,23783534
2020-06-10,15.12,15.24,14.21,14.51,26366901
2020-06-11,12.6,13.25,12.23,12.28,27798532
2020-06-12,13.17,13.31,12.31,12.78,20059396
2020-06-15,11.95,13.28,11.71,13.03,19654535
2020-06-16,14.1,14.14,13.06,13.53,23519009
2020-06-17,13.45,13.46,12.93,12.96,15668636
2020-06-18,12.73,13.33,12.65,13.19,14347213
2020-06-19,13.78,13.8,12.95,13.04,29701119
2020-06-22,12.93,13.13,12.71,13.02,12837043
2020-06-23,13.18,13.25,12.96,13.0,13275161
2020-06-24,12.67,12.7,11.61,11.86,18714380
2020-06-25,11.58,12.43,11.51,12.43,12862571
2020-06-26,12.31,12.31,11.82,11.93,16406266
2020-06-29,12.01,12.555,11.835,12.42,16714340
2020-06-30,12.26,13.16,12.12,12.98,21166792
2020-07-01,13.19,13.31,12.4,12.47,15596137
2020-07-02,12.79,13.11,12.57,12.57,15112186
2020-07-06,12.95,13.21,12.72,13.03,13637400
2020-07-07,12.78,12.85,12.41,12.41,10965739
2020-07-08,12.42,12.67,12.19,12.47,13117285
2020-07-09,12.47,12.58,11.7,11.78,16109278
2020-07-10,11.74,12.09,11.67,12.06,12894920
2020-07-13,12.24,12.26,11.76,11.79,13297434
2020-07-14,11.75,12.54,11.63,12.48,15845898
2020-07-15,12.99,13.18,12.73,13.0,18198605
2020-07-16,12.83,13.38,12.69,13.09,12745904
2020-07-17,13.15,13.44,12.94,13.08,16463459
2020-07-20,13.71,14.14,13.38,13.41,28331909
2020-07-21,14.05,14.92,13.98,14.32,32615217
2020-07-22,14.14,14.39,13.88,14.18,17933094
2020-07-23,13.95,14.77,13.94,14.75,19508575
2020-07-24,14.66,14.91,14.57,14.71,21901668
2020-07-27,14.7,14.93,14.48,14.9,15134141
2020-07-28,14.8,14.99,14.5801,14.65,14960966
2020-07-29,14.63,15.105,14.62,15.07,13723697
2020-07-30,14.78,14.84,14.6,14.67,14688097
2020-07-31,14.4,14.585,14.1,14.33,18014479
2020-08-03,14.33,14.68,14.25,14.53,11183987
2020-08-04,14.5,15.2482,14.46,15.11,15746194
2020-08-05,15.53,15.75,15.26,15.32,13478044
2020-08-06,15.34,15.435,14.8,14.82,11389644
2020-08-07,14.65,14.89,14.42,14.89,12918540
2020-08-10,14.98,15.66,14.93,15.61,10490627
2020-08-11,16.0,16.695,15.98,16.14,25789762
2020-08-12,16.46,16.82,16.38,16.71,20499045
2020-08-13,16.64,16.79,16.35,16.65,13456868
2020-08-14,16.31,16.66,16.15,16.63,12244233
2020-08-17,16.52,16.85,16.5,16.65,12282140
2020-08-18,16.61,16.89,16.34,16.45,10542875
2020-08-19,16.45,16.87,16.38,16.49,11929105
2020-08-20,16.27,16.29,15.95,16.01,13361242
2020-08-21,15.88,15.985,15.61,15.74,9806378
2020-08-24,15.88,16.635,15.77,16.29,14722433
2020-08-25,16.62,16.689,16.06,16.15,10201186
2020-08-26,16.11,16.255,15.775,15.81,8954803
2020-08-27,15.82,16.0599,15.58,16.02,8343416
2020-08-28,16.09,16.43,16.02,16.27,8505183
2020-08-31,16.2,16.34,15.9618,16.18,9810467
2020-09-01,15.93,16.345,15.83,16.23,11040576
2020-09-02,16.17,16.29,16.04,16.25,10415413
2020-09-03,16.14,16.68,15.83,16.12,15884462
2020-09-04,16.29,16.35,15.4862,15.99,12968834
2020-09-08,15.49,15.58,14.77,14.81,15783569
2020-09-09,14.96,15.325,14.9,15.06,12272512
2020-09-10,15.05,15.17,14.19,14.28,15727122
2020-09-11,14.37,14.37,13.985,14.27,10846320
2020-09-14,14.31,14.5,14.09,14.33,10765073
2020-09-15,14.45,14.635,14.31,14.44,7930355
2020-09-16,14.63,15.35,14.425,15.07,14994524
2020-09-17,14.73,14.97,14.57,14.82,12584160
2020-09-18,14.71,14.96,14.35,14.45,12507559
2020-09-21,13.72,13.82,12.89,13.22,19709671
2020-09-22,13.44,13.675,13.1,13.33,10214579
2020-09-23,13.36,13.5,12.64,12.65,15910256
2020-09-24,12.32,12.77,12.01,12.52,24020341
2020-09-25,12.31,12.57,12.21,12.37,18480347
2020-09-28,12.7,12.92,12.55,12.76,16598445
2020-09-29,12.72,12.775,12.0,12.07,13407976
2020-09-30,12.18,12.47,11.95,12.05,12139878
2020-10-01,11.86,11.9,11.0,11.17,27032483
2020-10-02,10.65,11.39,10.6,11.31,17883426
2020-10-05,11.55,11.97,11.41,11.93,13796447
2020-10-06,12.23,12.56,11.78,11.85,20036278
2020-10-07,11.87,12.04,11.7,11.93,13292334
2020-10-08,12.12,12.81,12.053,12.81,13712819
2020-10-09,12.91,12.96,12.44,12.58,13564627
2020-10-12,12.58,12.785,12.36,12.73,10810724
2020-10-13,12.56,12.79,12.4,12.54,9264009
2020-10-14,12.59,13.18,12.56,12.72,12221902
2020-10-15,12.4,13.09,12.27,13.07,12273763
2020-10-16,12.98,13.065,12.21,12.25,18407737
2020-10-19,12.23,12.73,11.85,12.17,20524104
2020-10-20,12.44,13.14,12.3872,12.74,18733183
2020-10-21,12.61,12.9,12.5,12.67,11946944
2020-10-22,12.68,13.11,12.635,13.04,10770154
2020-10-23,13.22,13.5,13.04,13.31,17743479
2020-10-26,13.04,13.07,12.72,12.79,16611726
2020-10-27,12.71,12.75,12.38,12.51,11873064
2020-10-28,11.96,12.11,11.42,11.42,18266901
2020-10-29,11.25,11.92,10.99,11.62,15084807
2020-10-30,11.58,12.09,11.48,12.06,16138989
2020-11-02,12.35,12.99,11.98,12.8,15822613
2020-11-03,13.13,13.26,12.755,12.99,13231754
2020-11-04,12.96,13.25,12.37,12.71,19084445
2020-11-05,12.69,13.03,12.55,12.57,11946797
2020-11-06,12.5,12.79,12.265,12.28,10871287
2020-11-09,14.2,15.12,14.1,14.38,25174517
2020-11-10,14.23,14.69,13.85,14.38,14627614
2020-11-11,14.57,14.59,13.87,14.18,8998388
2020-11-12,13.9,14.31,13.78,13.92,9921014
2020-11-13,14.02,14.43,13.87,14.33,9684955
2020-11-16,15.04,15.57,14.8,15.46,12832182
2020-11-17,15.09,15.835,14.96,15.81,10451652
2020-11-18,15.85,16.28,15.38,15.39,12951423
2020-11-19,15.21,16.08,15.04,16.0,12055800
2020-11-20,15.92,16.07,15.57,15.9,7827268
2020-11-23,16.26,17.49,16.15,17.32,17856914
2020-11-24,18.0,18.28,17.715,17.91,15550743
2020-11-25,17.5,17.945,17.4,17.86,11050956
2020-11-27,17.66,17.97,17.47,17.56,4548163
2020-11-30,17.36,17.55,16.56,16.59,15727278
2020-12-01,17.24,17.36,16.8249,17.08,9390725
2020-12-02,16.9,18.08,16.78,17.61,9738669
2020-12-03,17.79,18.31,17.5101,18.02,11624706
2020-12-04,18.61,19.53,18.4186,19.43,14895753
2020-12-07,19.41,19.59,18.86,18.97,12267812
2020-12-08,18.55,19.81,18.53,19.76,12226788
2020-12-09,19.83,20.36,19.27,19.51,16962312
2020-12-10,19.0,20.31,18.92,19.99,11667841
2020-12-11,19.75,20.0,19.4,19.83,10482731
2020-12-14,20.13,20.24,18.83,18.96,11775739
2020-12-15,19.35,20.15,19.24,20.07,15822936
2020-12-16,20.01,20.54,19.87,20.14,13388062
2020-12-17,20.34,20.5,19.785,20.08,9508713
2020-12-18,20.0,20.29,19.56,19.68,15807513
2020-12-21,18.82,19.6,18.58,19.35,8714778
2020-12-22,19.36,19.525,19.07,19.12,6426997
2020-12-23,19.28,19.98,19.23,19.48,9276574
2020-12-24,19.57,19.59,18.99,19.21,2895541
2020-12-28,19.25,19.59,18.85,18.89,6362778
2020-12-29,19.0,19.05,18.33,18.64,9828855
2020-12-30,18.64,19.18,18.56,19.12,7746456
2020-12-31,19.03,19.12,18.83,18.9,6940700
2021-01-04,19.22,19.47,18.57,18.83,8898853
2021-01-05,19.17,20.99,19.01,20.41,15912302
2021-01-06,20.93,21.04,20.51,20.82,16165092
2021-01-07,20.97,21.21,20.2,20.35,13680458
2021-01-08,20.68,20.68,19.87,20.12,8343295
2021-01-11,19.38,20.69,19.27,20.57,11413381
2021-01-12,20.89,22.23,20.67,22.13,15660959
2021-01-13,21.97,21.99,21.39,21.57,10586575
2021-01-14,21.63,22.19,21.56,21.76,10215376
2021-01-15,21.29,21.45,20.44,20.74,12252399
2021-01-19,21.11,21.35,20.3,20.54,16808936
2021-01-20,21.39,21.39,19.81,20.08,13376051
2021-01-21,19.97,20.39,19.23,19.41,12081855
2021-01-22,18.9,19.29,18.455,19.24,14149594
2021-01-25,18.99,19.14,18.24,18.63,12581767
2021-01-26,18.88,19.12,18.195,18.2,9965627
2021-01-27,17.72,18.23,17.23,17.28,16088447
2021-01-28,17.5,18.5,17.5,18.27,11646767
2021-01-29,18.12,18.31,17.51,17.63,11373156
2021-02-01,18.02,18.185,17.57,17.86,8551823
2021-02-02,18.49,18.63,18.02,18.02,8823476
2021-02-03,18.15,18.835,18.1,18.81,9751508
2021-02-04,18.98,19.14,18.54,19.11,8435493
2021-02-05,19.55,19.67,18.96,18.98,12027510
2021-02-08,19.26,20.105,19.15,20.04,9163435
2021-02-09,19.82,20.09,19.2901,19.79,14846361
2021-02-10,19.92,20.31,19.59,20.26,9671892
2021-02-11,20.06,20.07,19.03,19.43,9644296
2021-02-12,19.26,20.27,19.15,20.17,9487850
2021-02-16,20.59,20.9,20.355,20.6,10700649
2021-02-17,20.9,20.95,20.01,20.55,9232622
2021-02-18,20.34,20.37,19.385,19.57,11382406
2021-02-19,19.57,20.3,19.5,20.2,7533359
2021-02-22,20.2,21.712,19.4,21.13,12593990
2021-02-23,21.26,21.33,19.77,20.94,10620138
2021-02-24,21.06,22.545,20.93,22.27,14926449
2021-02-25,22.55,22.73,21.72,22.03,13823187
2021-02-26,21.82,22.13,20.87,21.83,12608893
2021-03-01,22.33,23.03,22.16,23.01,12628572
2021-03-02,22.87,23.43,22.26,22.28,9704588
2021-03-03,22.5,22.89,22.16,22.28,12317137
2021-03-04,22.49,22.99,21.08,22.08,17516131
2021-03-05,22.85,23.9,22.045,23.84,16439024
2021-03-08,23.95,24.74,23.75,24.36,14469613
2021-03-09,24.07,24.33,23.45,23.47,11555613
2021-03-10,23.42,24.275,23.32,24.14,8827056
2021-03-11,24.17,24.695,23.79,23.84,9177849
2021-03-12,23.85,24.255,23.675,24.02,7245346
2021-03-15,24.09,24.43,23.665,23.97,8136447
2021-03-16,23.53,23.53,22.63,22.87,11014049
2021-03-17,22.61,23.43,22.56,23.35,11645323
2021-03-18,23.13,23.4,22.04,22.17,11327092
2021-03-19,22.03,22.42,21.7101,21.79,23241142
2021-03-22,21.75,21.82,21.28,21.54,11003912
2021-03-23,21.0,21.445,20.57,20.81,11882492
2021-03-24,21.29,21.725,21.155,21.3,9751828
2021-03-25,20.71,21.255,20.03,21.2,11137274
2021-03-26,21.71,21.81,21.23,21.79,9763513
2021-03-29,21.55,21.58,20.88,21.24,6864150
2021-03-30,21.0,21.68,20.96,21.5,7878549
2021-03-31,21.58,21.795,21.28,21.46,6526774
2021-04-01,21.66,21.95,21.255,21.92,7419020
2021-04-05,21.92,21.95,21.11,21.32,7572727
2021-04-06,21.48,22.0,21.23,21.26,7135938
2021-04-07,21.35,21.6,21.135,21.42,5875531
2021-04-08,21.14,21.49,20.6715,21.35,7057683
2021-04-09,21.4,21.62,20.93,21.07,4708192
2021-04-12,21.28,21.4953,20.8,21.02,4839823
2021-04-13,20.98,21.05,20.54,20.68,5474801
2021-04-14,20.98,21.985,20.91,21.66,9667028
2021-04-15,21.84,21.86,20.95,21.08,6516579
2021-04-16,21.26,21.35,20.545,20.69,8430551
2021-04-19,20.62,21.05,20.58,20.67,6721143
2021-04-20,20.5,20.6,19.58,19.81,10589345
2021-04-21,18.51,19.44,18.35,19.1,19098933
2021-04-22,19.27,19.53,18.91,19.22,11119105
2021-04-23,19.27,19.36,18.89,19.06,12330436
2021-04-26,19.04,19.68,19.03,19.43,9396598
2021-04-27,19.4,19.52,18.64,19.32,9372463
2021-04-28,19.5,20.24,19.43,20.14,9161589
2021-04-29,20.39,20.61,19.9,20.36,9489077
2021-04-30,20.06,20.39,19.51,19.56,8428268
2021-05-03,20.13,20.79,19.96,20.66,9550542
2021-05-04,20.77,21.095,20.425,20.96,9996159
2021-05-05,21.25,22.01,21.25,22.0,12368400
2021-05-06,21.9,22.18,21.305,22.17,10781359
2021-05-07,21.72,22.99,21.6717,22.95,12249367
2021-05-10,23.12,23.62,22.73,22.74,9825799
2021-05-11,22.19,22.89,22.04,22.61,9101644
2021-05-12,22.63,23.51,22.5,22.63,11139697
2021-05-13,22.31,22.81,21.79,22.37,8775628
2021-05-14,22.66,23.255,22.65,23.06,7658978
2021-05-17,22.89,23.82,22.755,23.78,8384006
2021-05-18,23.78,23.975,23.28,23.29,8574199
2021-05-19,22.7,22.855,22.19,22.54,9944532
2021-05-20,22.46,22.57,21.9,22.38,8067995
2021-05-21,22.67,22.8181,22.33,22.46,6088671
2021-05-24,22.59,22.67,22.19,22.51,4422484
2021-05-25,22.43,22.65,21.905,21.94,7403813
2021-05-26,21.94,22.515,21.91,22.28,6775978
2021-05-27,22.38,22.825,22.38,22.52,7733097
2021-05-28,22.71,22.73,22.29,22.45,4709587
2021-06-01,23.0,23.515,22.96,23.34,7880718
2021-06-02,23.6,24.67,23.18,24.35,14759357
2021-06-03,24.32,25.0,24.14,24.7,12619769
2021-06-04,24.83,25.0,24.27,24.72,10380283
2021-06-07,24.675,24.96,24.18,24.3,5643612
2021-06-08,24.11,24.52,23.78,24.41,6459317
2021-06-09,24.5,24.645,24.19,24.26,5067920
2021-06-10,24.53,24.7,23.66,23.91,5863612
2021-06-11,24.11,24.305,23.87,24.03,4832152
2021-06-14,24.17,24.36,23.44,23.6,5402392
2021-06-15,23.5,24.33,23.5,24.19,10108135
2021-06-16,24.03,24.44,23.692,24.1,8511157
2021-06-17,24.07,24.32,22.25,22.72,12237905
2021-06-18,22.22,22.5,21.92,21.99,11542168
2021-06-21,22.26,23.49,22.22,23.35,9359951
2021-06-22,23.2,23.59,22.92,23.49,5495593
2021-06-23,23.82,24.4,23.5,23.51,8914366
2021-06-24,23.66,23.89,23.305,23.8,7406103
2021-06-25,23.835,24.09,23.81,23.94,7052420
2021-06-28,23.82,23.84,22.635,22.71,8073815
2021-06-29,22.87,23.26,22.65,22.67,6486332
2021-06-30,22.83,23.15,22.67,23.12,6027738
2021-07-01,23.95,24.17,23.565,23.8,8785834
2021-07-02,23.69,23.94,23.53,23.78,5890505
2021-07-06,23.62,23.695,22.12,22.23,11093754
2021-07-07,22.04,22.455,21.3306,21.62,11298948
2021-07-08,21.12,21.79,21.03,21.61,8139867
2021-07-09,22.01,22.465,21.71,22.38,7624605
2021-07-12,22.04,22.645,21.68,22.42,6528017
2021-07-13,22.25,22.455,21.94,22.09,5851896
2021-07-14,22.34,22.66,21.2901,21.45,8623759
2021-07-15,21.14,21.49,20.64,20.69,10354693
