date,open,high,low,close,volume
2020-01-02,111.15,111.62,110.46,111.45,2014639
2020-01-03,110.0,110.41,108.64,109.99,1854486
2020-01-06,109.02,109.45,108.59,109.42,1821786
2020-01-07,109.27,109.49,108.16,108.29,1498941
2020-01-08,108.14,110.04,107.89,109.21,2741604
2020-01-09,109.89,110.2,109.05,109.09,1596198
2020-01-10,109.45,109.45,108.39,108.6,1296291
2020-01-13,108.94,109.33,108.21,109.29,1573927
2020-01-14,109.14,109.5,108.59,109.09,1233156
2020-01-15,108.94,109.86,108.59,109.63,1316079
2020-01-16,110.32,111.65,110.19,111.6,1217149
2020-01-17,112.17,113.96,111.98,113.92,1938185
2020-01-21,112.49,112.62,109.93,110.62,4031818
2020-01-22,110.98,112.61,110.54,110.85,1716565
2020-01-23,109.19,111.15,107.65,110.96,1607108
2020-01-24,111.45,111.45,107.48,108.49,2105331
2020-01-27,104.3,105.97,103.53,104.94,4149728
2020-01-28,106.0,108.04,105.56,107.86,2062402
2020-01-29,108.13,110.13,108.13,110.01,1854209
2020-01-30,108.3,109.445,107.22,109.07,2389260
2020-01-31,108.81,108.89,107.01,107.8,3606654
2020-02-03,108.54,109.89,107.82,107.85,2097725
2020-02-04,109.92,111.99,109.39,110.94,1689492
2020-02-05,112.44,113.58,112.1483,113.26,2143997
2020-02-06,113.7,113.88,111.8,112.7,1477603
2020-02-07,111.42,111.64,110.42,110.84,1371161
2020-02-10,110.42,111.37,110.15,111.37,2025517
2020-02-11,110.44,115.06,109.02,112.94,2388582
2020-02-12,113.49,115.48,113.2,113.7,1891071
2020-02-13,112.66,113.54,111.17,112.96,1396047
2020-02-14,113.09,113.63,112.13,113.23,948921
2020-02-18,112.98,113.3,111.85,111.93,1805053
2020-02-19,112.05,113.45,112.05,112.67,1543321
2020-02-20,112.32,113.83,111.77,112.0,1165346
2020-02-21,111.14,111.21,109.32,109.57,1716068
2020-02-24,104.62,105.35,103.49,104.02,4565222
2020-02-25,104.82,104.89,98.31,98.88,5489871
2020-02-26,99.64,100.82,96.3,97.9,6110547
2020-02-27,95.53,100.69,93.22,95.83,7692736
2020-02-28,92.95,98.34,92.7,97.2,6128559
2020-03-02,97.04,97.7,92.58,96.46,4791407
2020-03-03,96.58,96.79,92.24,93.33,6433252
2020-03-04,94.7,98.52,92.0,98.39,7065208
2020-03-05,94.1,95.14,91.29,91.5,9044871
2020-03-06,89.02,94.21,88.32,90.45,6450413
2020-03-09,83.4,87.54,83.4,86.18,7335076
2020-03-10,89.99,91.53,85.68,90.32,5472013
2020-03-11,88.22,88.22,79.17,81.09,9833168
2020-03-12,71.41,79.57,71.4,76.72,11472989
2020-03-13,80.85,81.98,76.64,78.63,8068331
2020-03-16,69.42,75.89,63.83,69.54,8594627
2020-03-17,70.57,71.0,61.85,64.83,10971816
2020-03-18,58.01,58.46,44.3,56.68,18585091
2020-03-19,55.0,62.82,51.04,58.03,13083263
2020-03-20,61.29,71.48,56.5,61.6,11376504
2020-03-23,61.25,67.78,60.05,63.33,10997583
2020-03-24,68.43,75.67,67.51,69.39,9953471
2020-03-25,75.31,76.73,67.35,72.25,7691435
