date,open,high,low,close,volume
2020-01-02,45.14,45.35,44.04,44.31,2405705
2020-01-03,44.23,44.57,44.01,44.25,1858701
2020-01-06,44.3,44.65,44.22,44.27,2275359
2020-01-07,44.2,44.67,44.13,44.54,2076419
2020-01-08,44.51,44.77,44.51,44.59,2016735
2020-01-09,44.72,44.76,44.3,44.49,2242911
2020-01-10,44.4,45.25,44.33,44.9,2356590
2020-01-13,45.02,45.91,45.0,45.9,2378972
2020-01-14,45.83,45.84,45.04,45.45,2676176
2020-01-15,45.57,45.85,45.3,45.3,1558899
2020-01-16,45.37,46.15,45.3,46.02,2061050
2020-01-17,46.1,46.7,46.0,46.3,3373324
2020-01-21,46.34,47.06,46.33,46.95,4061269
2020-01-22,46.99,47.37,46.43,46.57,2262106
2020-01-23,46.56,47.23,46.37,46.99,2872056
2020-01-24,47.16,47.23,46.75,47.23,1667231
2020-01-27,47.15,47.49,46.71,46.82,2318901
2020-01-28,46.75,47.19,46.69,47.05,1441684
2020-01-29,47.08,47.52,46.92,47.32,2281323
2020-01-30,47.31,47.98,47.09,47.88,2476425
2020-01-31,47.8,48.01,47.14,47.26,3577533
2020-02-03,47.41,47.78,47.3,47.43,1898162
2020-02-04,47.63,47.98,47.54,47.55,1688688
2020-02-05,47.73,47.85,47.36,47.39,2133761
2020-02-06,47.06,47.5,46.51,46.89,3810012
2020-02-07,46.89,47.24,46.61,47.09,1654485
2020-02-10,47.08,47.35,47.0,47.33,1616008
2020-02-11,47.4,47.73,47.17,47.48,1512304
2020-02-12,47.48,47.85,47.37,47.76,1397147
2020-02-13,47.74,48.48,47.5,48.45,1817149
2020-02-14,48.47,48.86,48.4,48.58,1466607
2020-02-18,48.4,48.52,48.12,48.26,2114743
2020-02-19,48.34,48.73,48.24,48.44,2092234
2020-02-20,46.94,47.09,44.92,45.53,4520261
2020-02-21,45.17,45.49,44.73,44.77,3623496
2020-02-24,44.16,44.81,44.07,44.57,3433771
2020-02-25,44.7,45.17,44.61,44.72,2521224
2020-02-26,44.94,45.35,43.91,43.94,3147882
2020-02-27,43.58,43.93,42.52,42.53,2668675
2020-02-28,41.65,41.89,40.14,41.6,4121063
2020-03-02,41.86,43.21,41.76,43.19,3811931
2020-03-03,43.25,44.33,42.62,42.99,4089324
2020-03-04,43.84,45.05,43.42,45.05,2005396
2020-03-05,44.26,44.5,43.4,43.8,2355632
2020-03-06,42.79,44.14,42.68,43.95,2611380
2020-03-09,42.18,44.12,42.0,43.41,2570212
2020-03-10,43.88,44.34,42.01,43.76,3485842
2020-03-11,42.91,43.07,41.91,42.27,3227086
2020-03-12,39.64,41.42,39.01,40.08,4249070
2020-03-13,41.32,42.45,39.8,42.4,5041162
2020-03-16,39.8,43.25,39.31,42.63,6519182
2020-03-17,43.31,48.63,42.92,48.53,8303916
2020-03-18,45.82,51.53,45.55,48.27,8437630
2020-03-19,48.43,49.3,45.56,47.22,5973865
2020-03-20,47.33,47.72,44.6,45.12,5160121
2020-03-23,45.3,45.3,41.86,42.31,4949995
2020-03-24,42.49,45.14,42.46,44.85,3415528
2020-03-25,44.01,44.37,41.7,41.94,6298401
2020-03-26,42.0,44.98,41.85,44.85,3487284
2020-03-27,44.25,46.23,44.11,44.96,2457535
2020-03-30,45.73,47.25,45.73,46.78,2387043
