date,open,high,low,close,volume
2020-01-02,30.91,31.54,30.82,31.54,3036980
2020-01-03,31.1,31.53,30.92,31.49,1985898
2020-01-06,31.35,31.54,31.0,31.21,2410884
2020-01-07,31.28,31.51,30.95,31.41,1939702
2020-01-08,31.27,31.3,30.7,30.72,2767279
2020-01-09,30.51,30.65,29.59,29.77,4467561
2020-01-10,29.73,29.73,28.75,28.85,3985605
2020-01-13,29.01,29.5,28.76,29.45,3031860
2020-01-14,29.34,29.73,29.27,29.58,3707849
2020-01-15,29.4,29.66,29.0,29.19,2462158
2020-01-16,28.95,30.01,28.95,30.0,4699689
2020-01-17,30.11,30.13,29.22,29.32,4337764
2020-01-21,29.07,29.58,29.04,29.4,8564696
2020-01-22,28.37,29.07,28.16,28.84,7358430
2020-01-23,28.72,29.6,28.59,29.53,3978596
2020-01-24,29.69,29.81,28.76,29.11,5304469
2020-01-27,28.57,30.99,28.49,30.67,10020158
2020-01-28,31.03,31.57,31.0,31.47,5426206
2020-01-29,31.38,31.52,30.65,31.15,3738963
2020-01-30,30.82,31.0,30.04,30.45,5943340
2020-01-31,30.3,30.39,29.86,29.95,2877322
2020-02-03,30.14,30.37,29.97,30.06,2574701
2020-02-04,30.38,30.56,30.26,30.48,2448717
2020-02-05,30.68,31.34,30.63,31.26,2677273
2020-02-06,31.32,31.53,30.79,31.4,2597318
2020-02-07,31.35,31.36,30.96,31.3,1834699
2020-02-10,31.3,31.68,31.11,31.65,4256638
2020-02-11,31.83,32.6,31.75,32.02,2585143
2020-02-12,32.04,32.96,32.04,32.81,3625637
2020-02-13,32.71,33.45,32.5,32.95,3670945
2020-02-14,32.85,33.38,32.75,33.36,3672172
2020-02-18,33.32,33.32,32.91,33.18,2240838
2020-02-19,33.3,34.27,33.27,34.07,4111624
2020-02-20,34.1,34.1,32.88,33.7,3790560
2020-02-21,33.47,33.65,33.21,33.47,3321575
2020-02-24,32.4,33.23,32.24,33.07,4707522
2020-02-25,33.2,33.3,31.38,31.71,10229864
2020-02-26,31.84,32.6,31.65,31.85,7286444
2020-02-27,30.83,31.39,30.24,30.38,9344111
2020-02-28,29.27,29.77,28.7,29.35,12371084
2020-03-02,29.48,29.95,28.98,29.95,7372021
2020-03-03,29.87,30.69,28.73,28.79,6377120
2020-03-04,29.38,29.47,28.56,29.16,4120364
2020-03-05,28.35,28.37,26.65,26.75,4958343
2020-03-06,25.79,26.62,25.3,25.95,4585795
2020-03-09,24.13,24.32,22.85,23.04,4177411
2020-03-10,23.98,24.51,23.26,24.3,4480701
2020-03-11,23.42,23.58,21.67,22.11,3990958
2020-03-12,20.31,21.06,19.65,19.88,8558992
2020-03-13,21.16,21.19,19.43,20.52,6150375
2020-03-16,18.0,19.18,17.16,17.44,5965682
2020-03-17,17.88,18.43,16.86,17.65,5281548
2020-03-18,16.18,16.34,13.63,15.68,4352141
2020-03-19,15.28,16.14,14.14,15.85,5766532
2020-03-20,15.88,16.0,13.0,13.25,8236002
2020-03-23,13.2,13.23,11.38,11.99,6889903
2020-03-24,12.73,15.33,12.6,15.15,7414041
2020-03-25,15.26,16.88,14.8,16.17,8254927
2020-03-26,16.42,17.83,15.88,17.72,11031882
2020-03-27,16.67,17.2,15.78,16.68,6397990
2020-03-30,16.75,16.8,15.66,16.4,4319625
2020-03-31,16.23,16.52,15.67,16.06,5076177
2020-04-01,15.4,15.4,12.71,13.2,2531033
2020-04-02,12.97,13.71,12.0,12.5,4431897
2020-04-03,12.1,12.69,11.85,12.54,4053109
2020-04-06,13.04,14.0,12.33,12.69,5931598
2020-04-07,13.46,13.97,12.01,12.11,5686163
2020-04-08,12.5,13.39,12.31,13.08,6590295
2020-04-09,13.89,14.16,13.21,13.25,3293267
2020-04-13,13.16,13.38,12.21,12.6,4033261
2020-04-14,12.83,13.06,11.97,12.2,4925346
2020-04-15,12.07,12.1,10.34,11.37,7531898
2020-04-16,10.93,11.35,10.4,10.74,8191061
2020-04-17,11.25,11.7,11.09,11.65,10288256
2020-04-20,11.62,12.57,11.39,11.64,6322565
2020-04-21,11.37,11.5,10.58,10.59,3304835
2020-04-22,10.94,11.3,10.66,10.83,2777753
2020-04-23,10.81,11.39,10.77,11.0,4680954
2020-04-24,11.07,11.33,10.58,10.81,6716778
2020-04-27,10.9,11.56,10.86,11.41,2776668
2020-04-28,11.68,12.25,11.57,11.99,2876926
2020-04-29,12.4,13.93,12.33,13.89,4141564
2020-04-30,13.56,13.65,12.81,13.07,3240784
2020-05-01,12.92,12.96,12.2,12.54,2455780
2020-05-04,12.3,12.36,11.42,11.95,3015728
2020-05-05,12.45,13.04,12.16,12.21,3118937
2020-05-06,12.27,12.35,11.45,11.49,2303941
2020-05-07,11.5,12.3,11.5,11.87,3471942
2020-05-08,11.96,12.64,11.96,12.62,2154369
2020-05-11,12.26,12.48,11.71,11.76,1769469
2020-05-12,11.85,12.1,11.11,11.12,2562397
2020-05-13,11.0,11.06,10.51,10.65,2261584
2020-05-14,10.4,11.3,9.87,11.25,3399298
2020-05-15,11.06,11.2,10.74,10.77,2882246
2020-05-18,11.3,12.42,11.3,12.34,3464962
2020-05-19,12.29,12.47,11.9,12.05,1630775
2020-05-20,12.28,13.0,12.26,12.75,2594552
2020-05-21,12.62,12.97,12.37,12.43,2369551
2020-05-22,12.45,12.67,12.07,12.37,2002110
2020-05-26,13.17,13.4,12.94,13.06,2550433
2020-05-27,13.33,14.16,12.9,14.02,6213073
2020-05-28,14.35,14.36,13.27,13.28,2954972
2020-05-29,13.23,13.44,12.8,13.08,6797423
2020-06-01,13.16,13.76,13.1,13.41,2301828
