date,open,high,low,close,volume
2024-10-10,20.16,20.17,20.08,20.133,249714
2024-10-11,20.18,20.2442,20.18,20.2442,1313
2024-10-14,20.34,20.419,20.34,20.419,405
2024-10-15,20.45,20.45,20.2679,20.2679,2807
2024-10-16,20.28,20.3452,20.28,20.3217,864
2024-10-17,20.39,20.4,20.3079,20.3079,2451
2024-10-18,20.3733,20.3733,20.3733,20.3733,15
2024-10-21,20.3227,20.3227,20.3227,20.3227,14
2024-10-22,20.3274,20.3274,20.3274,20.3274,1
2024-10-23,20.1465,20.1465,20.1465,20.1465,1
2024-10-24,20.2093,20.2093,20.2093,20.2093,1
2024-10-25,20.1813,20.1813,20.1813,20.1813,90
2024-10-28,20.2306,20.2306,20.2306,20.2306,4
2024-10-29,20.18,20.31,20.17,20.25,1691
2024-10-30,20.26,20.26,20.1964,20.1964,803
2024-10-31,19.8727,19.8727,19.8727,19.8727,803
2024-11-01,19.97,20.04,19.91,19.91,801
2024-11-04,19.88,20.14,19.88,19.92,1603
2024-11-05,19.98,20.15,19.98,20.15,401
2024-11-06,20.15,20.62,20.15,20.59,2809
2024-11-07,20.66,20.82,20.66,20.82,1600
2024-11-08,20.81,20.89,20.81,20.85,1001
2024-11-11,20.95,20.98,20.9,20.91,501
2024-11-12,20.8974,20.8974,20.8974,20.8974,9
2024-11-13,20.93,20.93,20.86,20.86,1280
2024-11-14,20.7331,20.7331,20.7331,20.7331,106
2024-11-15,20.4098,20.4098,20.4098,20.4098,2
2024-11-18,20.4682,20.4682,20.4682,20.4682,77
2024-11-19,20.6,20.6,20.53,20.55,408
2024-11-20,20.46,20.55,20.46,20.55,602
2024-11-21,20.91,20.91,20.53,20.71,403
2024-11-22,20.7772,20.7772,20.7772,20.7772,403
2024-11-25,20.96,20.96,20.75,20.79,1202
2024-11-26,20.95,20.9779,20.77,20.9779,400
2024-11-27,20.97,20.97,20.87,20.87,601
2024-11-29,21.026,21.026,21.026,21.026,1
2024-12-02,21.11,21.11,21.05,21.06,809
2024-12-03,21.1014,21.1014,21.1014,21.1014,40
2024-12-04,21.2896,21.2896,21.2896,21.2896,2
2024-12-05,21.2499,21.2499,21.2499,21.2499,47
2024-12-06,21.311,21.311,21.311,21.311,47
2024-12-09,21.19,21.19,21.19,21.19,176
2024-12-10,21.21,21.21,21.087,21.087,495
2024-12-11,21.2815,21.2815,21.2815,21.2815,1
2024-12-12,21.1807,21.1807,21.1807,21.1807,1
2024-12-13,21.1557,21.1557,21.1557,21.1557,1
2024-12-16,21.24,21.27,21.24,21.2628,3486
2024-12-17,21.13,21.1679,21.13,21.1679,217
2024-12-18,21.19,21.19,20.6088,20.6088,102
2024-12-19,20.6105,20.6105,20.54,20.5429,555
2024-12-20,20.75,20.75,20.7269,20.7269,162
2024-12-23,20.87,21.04,20.87,21.04,2481201
2024-12-24,20.965,21.0908,20.94,21.0908,5319
2024-12-26,21.13,21.15,21.13,21.1348,8761
2024-12-27,20.84,20.8825,20.79,20.8825,730
2024-12-30,20.682,20.682,20.682,20.682,106
2024-12-31,20.71,20.71,20.5403,20.5403,537
2025-01-02,20.41,20.5184,20.41,20.5184,337
2025-01-03,20.81,20.81,20.8068,20.8068,201
2025-01-06,20.9557,20.9557,20.9557,20.9557,1
2025-01-07,21.0,21.0,20.7221,20.7221,130
2025-01-08,20.68,20.8,20.68,20.7797,427380
2025-01-10,20.45,20.59,20.44,20.4553,1571
2025-01-13,20.2867,20.4693,20.2867,20.4693,4201
2025-01-14,20.48,20.54,20.42,20.4916,1438
2025-01-15,20.84,20.92,20.84,20.8961,1150
2025-01-16,20.9,20.9,20.8494,20.8494,553
2025-01-17,21.08,21.08,21.0373,21.0373,201
2025-01-21,21.13,21.2192,21.13,21.2192,727
2025-01-22,21.39,21.4299,21.37,21.3752,3011
2025-01-23,21.35,21.4394,21.35,21.4394,1341
2025-01-24,21.45,21.45,21.3841,21.3841,131
2025-01-27,21.05,21.05,20.91,21.0223,562
2025-01-28,21.06,21.2598,21.06,21.2563,734
2025-01-29,21.26,21.26,21.1753,21.1753,100
2025-01-30,21.27,21.27,21.18,21.2443,401
2025-01-31,21.4194,21.4194,21.1531,21.1531,925
2025-02-03,21.04,21.05,21.012,21.012,287
2025-02-04,20.9716,21.1396,20.9716,21.1396,1977
2025-02-05,21.1,21.2516,21.1,21.2516,1224
2025-02-06,21.25,21.2917,21.25,21.2917,516
2025-02-07,21.22,21.22,21.1086,21.1086,326
2025-02-10,21.225,21.225,21.225,21.225,80
2025-02-11,21.2355,21.2355,21.2342,21.2342,405
2025-02-12,21.18,21.18,21.1452,21.1452,1328
2025-02-13,21.29,21.3622,21.2899,21.3622,316
2025-02-14,21.37,21.57,21.324,21.324,9541
2025-02-18,21.313,21.45,21.313,21.3585,16908
2025-02-19,21.3994,21.4225,21.375,21.4225,2278
2025-02-20,21.29,21.3121,21.2899,21.3121,924
2025-02-21,21.24,21.24,20.9221,20.9221,151
2025-02-24,20.965,20.97,20.8219,20.8219,2640
2025-02-25,20.66,20.7118,20.605,20.7118,764
2025-02-26,20.95,20.95,20.7635,20.7635,442
2025-02-27,20.81,20.81,20.42,20.43,1837
2025-02-28,20.52,20.7147,20.4995,20.7147,792
2025-03-03,20.2945,20.2945,20.2945,20.2945,73
2025-03-04,19.94,20.0626,19.94,20.0626,332
2025-03-05,20.05,20.36,20.035,20.3029,985
2025-03-06,20.125,20.125,19.8822,19.8822,676
2025-03-07,19.9692,19.9692,19.9692,19.9692,102
2025-03-10,19.62,19.62,19.32,19.383,1012
2025-03-11,19.28,19.3433,19.28,19.318,1217
2025-03-12,19.41,19.46,19.41,19.4205,929
2025-03-13,19.3198,19.3198,19.1219,19.1219,942
2025-03-14,19.3699,19.5735,19.3699,19.5735,1981
2025-03-17,19.62,19.77,19.57,19.6847,1589
2025-03-18,19.58,19.58,19.4467,19.4467,2639
2025-03-19,19.53,19.6916,19.53,19.6916,1328
2025-03-20,19.6729,19.84,19.6552,19.6552,1942
2025-03-21,19.56,19.6738,19.56,19.6738,271
2025-03-24,20.02,20.0752,19.97,20.0752,920
2025-03-25,20.15,20.15,20.0556,20.0964,1183
2025-03-26,20.015,20.015,19.8,19.8457,874
2025-03-27,19.78,19.81,19.7517,19.7517,575
2025-03-28,19.45,19.45,19.29,19.3313,2236
2025-03-31,19.1351,19.45,19.1351,19.4369,1363
2025-04-01,19.39,19.5041,19.39,19.5041,279
2025-04-02,19.7,19.7,19.6772,19.6772,793
2025-04-03,19.01,19.01,18.7112,18.7112,3925
