date,open,high,low,close,volume
2020-01-02,40.91,41.41,40.73,41.4,4201537
2020-01-03,40.81,41.02,40.41,40.66,4206720
2020-01-06,41.03,41.43,40.97,41.18,4993635
2020-01-07,41.01,41.18,40.63,40.75,5157898
2020-01-08,40.83,41.55,40.77,41.08,4994329
2020-01-09,41.23,41.59,41.1,41.33,4643857
2020-01-10,41.42,41.51,40.9,40.98,3553830
2020-01-13,41.0,41.32,40.96,41.16,4860284
2020-01-14,41.18,41.23,40.86,40.98,3166317
2020-01-15,40.96,41.23,40.81,40.93,3517601
2020-01-16,40.99,41.16,40.76,41.04,5733915
2020-01-17,40.91,41.36,40.85,40.99,6685809
2020-01-21,40.86,41.25,40.82,41.03,4928599
2020-01-22,41.2,41.46,41.01,41.37,5673820
2020-01-23,41.19,41.77,41.19,41.75,4467342
2020-01-24,41.64,41.7,41.11,41.35,4563318
2020-01-27,40.85,41.09,40.27,40.3,3765542
2020-01-28,40.35,41.03,40.09,40.81,6266946
2020-01-29,41.05,41.24,40.47,40.49,3785186
2020-01-30,40.29,40.78,40.21,40.51,8702785
2020-01-31,41.25,42.34,39.23,39.45,7536793
2020-02-03,39.58,39.99,39.27,39.29,4574490
2020-02-04,39.69,40.05,39.21,39.24,5920820
2020-02-05,39.61,40.02,39.3,39.81,5966888
2020-02-06,39.92,40.1,39.7,39.92,3840690
2020-02-07,39.76,40.03,39.58,39.81,2991634
2020-02-10,39.71,40.64,39.6,40.54,5277219
2020-02-11,40.66,40.97,40.6,40.76,3116899
2020-02-12,40.93,41.86,40.93,41.79,5993689
2020-02-13,41.55,41.56,40.78,41.13,3835676
2020-02-14,41.12,41.96,41.01,41.96,4706305
2020-02-18,41.98,42.36,41.51,41.99,4339390
2020-02-19,42.09,42.44,41.85,41.97,4206059
2020-02-20,41.82,42.41,41.68,42.24,4741166
2020-02-21,42.06,42.65,41.89,42.45,12196474
2020-02-24,41.67,41.84,41.03,41.63,6391996
2020-02-25,41.63,41.69,39.43,39.45,7673378
2020-02-26,39.85,40.4,39.3,39.31,6226452
2020-02-27,38.72,39.42,37.9,37.9,8569123
2020-02-28,36.91,37.34,35.58,36.57,13381405
2020-03-02,36.81,38.12,36.1,38.07,8790676
2020-03-03,37.92,39.47,37.31,37.45,9620037
2020-03-04,38.17,39.48,37.58,39.35,8141071
2020-03-05,38.48,39.4,38.18,38.82,9336452
2020-03-06,37.28,38.48,37.26,38.16,9936103
2020-03-09,35.58,36.9,35.23,35.72,13133824
2020-03-10,36.83,37.6,35.16,37.55,11199872
2020-03-11,36.42,36.77,34.95,35.21,9998246
2020-03-12,32.64,33.23,30.52,30.52,9362966
2020-03-13,32.04,32.81,30.66,32.81,9801030
2020-03-16,28.75,32.85,28.58,30.6,9864586
2020-03-17,31.29,31.9,28.72,29.53,9708525
2020-03-18,27.67,28.13,23.96,26.32,7359254
2020-03-19,25.94,26.63,24.12,26.08,7761651
2020-03-20,26.69,26.69,24.11,24.91,12206143
2020-03-23,24.44,24.55,22.78,23.5,10134992
2020-03-24,24.64,25.64,24.3,25.36,12893298
2020-03-25,25.56,27.37,24.78,26.13,13131416
2020-03-26,26.41,27.55,25.82,27.0,11994173
2020-03-27,26.13,26.67,25.23,25.94,7731262
2020-03-30,25.94,26.69,24.66,26.49,8695865
2020-03-31,26.2,27.47,25.98,26.96,8473035
2020-04-01,25.79,26.22,24.77,25.16,7616649
2020-04-02,25.18,26.67,25.15,26.05,8349717
2020-04-03,25.98,26.3,25.0,25.47,6786911
2020-04-06,26.73,27.96,26.63,27.41,8617676
2020-04-07,28.6,29.53,28.1,28.27,5959515
2020-04-08,28.52,29.73,28.3,29.31,4418146
2020-04-09,29.63,31.34,29.62,30.6,8105494
2020-04-13,30.35,30.53,29.0,29.36,4041288
2020-04-14,30.0,31.1,29.79,30.8,6660844
2020-04-15,29.79,29.81,28.94,29.1,4256170
2020-04-16,29.03,29.17,28.1,28.5,5279432
2020-04-17,29.22,30.08,29.1,29.54,4144276
2020-04-20,28.79,29.07,28.19,28.47,4635892
2020-04-21,27.71,28.24,27.49,27.59,4025625
2020-04-22,28.3,28.47,27.4,27.75,5615138
2020-04-23,28.1,28.29,27.67,27.85,4893944
2020-04-24,27.97,28.03,27.29,27.91,7403574
2020-04-27,28.16,29.31,28.15,29.05,4649251
2020-04-28,29.66,30.4,29.54,29.73,6102686
2020-04-29,30.7,31.25,30.32,30.63,5273835
2020-04-30,30.15,30.15,29.03,29.11,5628615
2020-05-01,28.67,29.16,27.46,27.86,4747852
2020-05-04,27.63,28.63,26.92,28.53,5083786
2020-05-05,28.8,29.21,28.42,28.65,5869502
2020-05-06,28.89,28.96,28.3,28.31,4784369
2020-05-07,28.54,28.94,28.36,28.52,5134060
2020-05-08,28.99,29.89,28.97,29.8,4212686
2020-05-11,29.43,29.43,28.4,28.56,4188459
2020-05-12,28.68,28.85,27.85,27.91,5765423
2020-05-13,27.71,27.9,26.78,27.22,6449496
2020-05-14,27.26,28.8,26.23,28.59,5778532
2020-05-15,28.37,28.92,28.03,28.46,8629225
2020-05-18,29.58,30.08,29.28,29.53,5082134
2020-05-19,29.58,29.74,28.99,29.0,4633602
2020-05-20,29.19,29.31,28.58,28.74,6842452
2020-05-21,28.61,29.54,28.61,29.41,6587148
2020-05-22,29.41,29.56,29.08,29.53,3649530
2020-05-26,30.49,31.48,30.42,31.07,4874814
2020-05-27,32.0,32.53,31.47,31.87,6167644
2020-05-28,32.2,32.3,31.36,31.53,4835016
2020-05-29,31.15,31.77,31.03,31.41,6992661
2020-06-01,31.45,31.85,31.17,31.77,3187331
2020-06-02,32.0,32.38,32.0,32.35,4552855
2020-06-03,32.74,33.72,32.56,33.57,3561831
2020-06-04,33.34,34.48,33.29,34.41,5904569
2020-06-05,35.72,36.46,35.56,36.05,5939953
2020-06-08,36.18,37.07,36.18,36.81,4902687
2020-06-09,36.08,36.27,35.49,35.74,4352362
2020-06-10,35.5,35.5,34.39,34.43,6759281
2020-06-11,33.02,33.77,32.81,33.62,12949461
2020-06-12,34.86,35.06,33.67,34.45,12188096
2020-06-15,33.39,35.5,33.23,35.35,7030252
2020-06-16,36.6,36.9,35.18,35.43,6416315
2020-06-17,35.36,35.62,34.95,35.25,4377995
2020-06-18,35.01,35.52,34.56,34.71,3901947
2020-06-19,35.11,35.15,33.77,34.32,11215801
2020-06-22,34.67,35.12,34.42,34.93,4876517
2020-06-23,35.45,35.45,34.55,34.79,4659946
2020-06-24,34.45,34.61,33.21,33.29,5388271
2020-06-25,33.18,33.49,32.7,33.46,3908536
2020-06-26,33.25,33.45,32.81,33.36,13590194
2020-06-29,33.44,33.92,33.12,33.82,5076465
2020-06-30,33.64,34.31,33.56,34.14,4211094
2020-07-01,34.24,34.58,33.83,33.89,4956403
2020-07-02,34.43,35.02,34.25,34.34,3585591
2020-07-06,34.88,35.07,34.54,34.73,3220049
2020-07-07,34.42,34.62,34.16,34.25,4770925
2020-07-08,34.27,34.53,33.93,34.15,3901321
2020-07-09,34.08,34.28,33.33,33.38,5542987
2020-07-10,33.46,33.88,33.31,33.87,5140045
2020-07-13,34.11,34.56,33.93,34.0,5851457
2020-07-14,34.0,34.98,33.55,34.97,6221120
2020-07-15,35.73,36.72,35.64,36.44,8046158
2020-07-16,36.4,37.57,36.07,37.17,7024952
2020-07-17,37.23,37.72,36.95,37.67,6259858
2020-07-20,37.44,37.85,36.79,36.8,4176003
2020-07-21,36.8,37.11,36.56,36.71,4355046
2020-07-22,36.47,37.155,36.41,37.05,3335597
2020-07-23,37.07,37.635,36.975,37.35,4929233
2020-07-24,37.34,37.43,36.7,36.8,3674150
2020-07-27,36.72,37.21,36.5,37.07,3199077
2020-07-28,36.92,37.15,36.53,36.58,3124616
2020-07-29,36.64,38.28,36.56,37.99,6896470
2020-07-30,37.33,37.495,36.84,37.24,4262777
2020-07-31,39.12,39.95,38.11,38.48,8528746
2020-08-03,38.58,39.15,38.31,38.92,8042850
2020-08-04,38.59,38.78,37.82,38.36,5214019
2020-08-05,38.3,38.63,38.075,38.34,4306432
2020-08-06,38.14,38.61,38.14,38.39,2762142
2020-08-07,38.41,39.16,38.34,39.05,3218709
2020-08-10,39.33,40.195,39.08,40.1,5176018
2020-08-11,41.3,42.13,40.715,40.79,8454545
2020-08-12,41.09,41.41,40.81,41.06,4809301
2020-08-13,40.75,41.045,40.35,40.65,4043283
2020-08-14,40.38,41.03,40.26,40.86,3105351
2020-08-17,40.77,40.935,40.5844,40.73,3536093
2020-08-18,40.65,40.93,40.24,40.33,4218307
2020-08-19,40.22,40.655,40.13,40.23,3395100
2020-08-20,39.96,40.62,39.8,40.11,4732816
2020-08-21,40.23,40.64,39.95,40.59,7170616
2020-08-24,40.8,41.24,40.74,40.99,4331795
2020-08-25,41.25,41.37,40.79,41.2,3753007
2020-08-26,41.14,41.49,40.9,41.07,4702211
2020-08-27,41.24,41.47,40.775,40.9,3357164
2020-08-28,41.0,41.33,40.75,41.3,3702119
2020-08-31,41.29,41.41,40.71,40.73,4453138
2020-09-01,40.52,41.335,40.365,41.18,3580853
2020-09-02,41.25,42.325,41.11,42.18,4217514
2020-09-03,42.2,42.34,40.34,40.54,4930932
2020-09-04,41.1,41.58,40.7,41.31,8616388
2020-09-08,41.05,41.34,40.45,40.74,5846143
2020-09-09,40.78,41.625,40.75,41.21,4436669
2020-09-10,41.37,41.65,41.01,41.13,5009517
2020-09-11,41.45,42.315,41.3,41.67,4951344
2020-09-14,41.95,42.81,41.91,42.51,4234042
2020-09-15,42.52,42.865,42.235,42.29,4711658
2020-09-16,42.7,43.13,42.24,42.9,5812729
2020-09-17,42.48,43.15,42.07,42.97,4498389
2020-09-18,42.76,43.195,42.41,42.78,5590469
2020-09-21,41.94,42.03,40.47,40.91,4655214
2020-09-22,40.8,41.48,40.79,41.33,3451520
2020-09-23,41.32,41.69,40.3,40.35,3748011
2020-09-24,40.34,41.3,39.795,40.93,4299594
2020-09-25,40.38,40.78,40.185,40.49,4389258
