date,open,high,low,close,volume
2007-12-03,9.05,9.18,9.05,9.05,112700
2007-12-04,9.04,9.04,9.0,9.0,61800
2007-12-05,8.97,9.0,8.97,8.97,244800
2007-12-06,8.97,8.98,8.97,8.97,62400
2007-12-07,8.96,8.96,8.96,8.96,1000
2007-12-10,8.95,9.0,8.95,8.95,55500
2007-12-11,8.96,8.98,8.95,8.96,24800
2007-12-12,8.95,8.96,8.95,8.95,202900
2007-12-13,8.96,8.96,8.95,8.96,144900
2007-12-14,9.0,9.05,8.96,9.05,2100
2007-12-17,9.0,9.0,8.96,8.96,17000
2007-12-18,8.96,9.0,8.96,8.98,215000
2007-12-19,8.98,8.98,8.96,8.96,95100
2007-12-20,8.97,8.97,8.96,8.96,1175400
2007-12-21,8.96,9.05,8.96,9.05,1906600
2007-12-24,9.07,9.07,9.02,9.02,17000
2007-12-26,8.95,8.95,8.95,8.95,1000
2007-12-27,9.0,9.01,9.0,9.01,4000
2007-12-28,9.0,9.0,8.91,8.91,71000
2007-12-31,9.0,9.1,9.0,9.1,5300
2008-01-02,9.1,9.1,9.0,9.0,554400
2008-01-03,9.08,9.1,9.05,9.1,137200
2008-01-04,9.08,9.08,8.9,8.97,2900
2008-01-07,9.07,9.07,9.01,9.06,33000
2008-01-08,9.1,9.15,9.1,9.13,399900
2008-01-09,9.18,9.18,9.14,9.14,7100
2008-01-10,9.11,9.12,9.11,9.12,4300
2008-01-11,9.1,9.12,9.1,9.12,27100
2008-01-14,9.11,9.12,9.11,9.12,52500
2008-01-15,9.15,9.15,9.15,9.15,25000
2008-01-16,9.12,9.15,9.12,9.12,45200
2008-01-17,9.1,9.1,9.1,9.1,3400
2008-01-18,9.1,9.11,9.05,9.06,14800
2008-01-22,9.07,9.07,9.06,9.07,6100
2008-01-23,9.01,9.08,9.01,9.03,13900
2008-01-24,9.09,9.09,9.02,9.02,3100
2008-01-25,9.04,9.04,9.04,9.04,10400
2008-01-28,9.15,9.1928,9.05,9.05,9600
2008-01-29,9.05,9.07,9.05,9.06,9000
2008-01-30,9.07,9.07,9.06,9.06,1500
2008-01-31,9.05,9.1,9.02,9.02,345300
2008-02-01,9.08,9.1,9.04,9.08,433600
2008-02-04,9.08,9.08,9.08,9.08,0
2008-02-05,9.18,9.19,9.05,9.12,506600
2008-02-06,9.12,9.12,9.12,9.12,0
2008-02-07,9.1,9.1,9.05,9.06,107000
2008-02-08,9.08,9.08,9.06,9.06,1000
2008-02-11,9.06,9.06,9.06,9.06,0
2008-02-12,9.07,9.07,9.07,9.07,24000
2008-02-13,9.08,9.09,9.08,9.08,48400
2008-02-14,9.09,9.09,9.09,9.09,3000
2008-02-15,9.08,9.08,9.04,9.04,74800
2008-02-19,9.04,9.04,9.04,9.04,1000
2008-02-20,9.14,9.14,9.14,9.14,400
2008-02-21,9.1,9.2,9.05,9.2,8900
2008-02-22,9.17,9.19,9.17,9.1772,1400
2008-02-25,9.18,9.2,9.13,9.2,3300
2008-02-26,9.16,9.16,9.16,9.16,7200
2008-02-27,8.8,9.17,8.8,9.17,12200
2008-02-28,9.16,9.16,9.05,9.11,5900
2008-02-29,9.15,9.15,9.11,9.15,2700
2008-03-03,9.15,9.15,9.13,9.15,3500
2008-03-04,9.12,9.12,9.12,9.12,700
2008-03-05,9.12,9.12,9.12,9.12,0
2008-03-06,9.12,9.12,9.12,9.12,0
2008-03-07,9.12,9.12,9.12,9.12,1448000
2008-03-10,9.05,9.05,9.05,9.05,100300
2008-03-11,9.05,9.07,9.05,9.07,1651700
2008-03-12,9.07,9.07,9.07,9.07,0
2008-03-13,9.07,9.12,9.07,9.12,17800
2008-03-14,9.0399,9.09,9.0399,9.07,4100
2008-03-17,9.1,9.1,9.1,9.1,100
2008-03-18,9.06,9.06,9.05,9.05,63200
2008-03-19,9.05,9.05,9.05,9.05,21800
2008-03-20,9.0799,9.0799,9.07,9.07,200
2008-03-24,9.07,9.07,9.07,9.07,0
2008-03-25,9.07,9.08,9.07,9.08,1000
2008-03-26,9.08,9.08,9.08,9.08,20000
2008-03-27,9.08,9.08,9.08,9.08,0
2008-03-28,9.08,9.08,9.08,9.08,0
2008-03-31,9.08,9.08,9.08,9.08,3800
2008-04-01,9.08,9.08,9.08,9.08,0
2008-04-02,9.1,9.1,9.1,9.1,14000
2008-04-03,9.18,9.18,9.08,9.08,27500
2008-04-04,9.08,9.08,9.08,9.08,8900
2008-04-07,9.11,9.12,9.11,9.12,10000
2008-04-08,9.12,9.12,9.12,9.12,0
2008-04-09,9.08,9.08,9.08,9.08,24900
2008-04-10,9.1,9.1,9.1,9.1,6000
2008-04-11,9.1,9.1,9.1,9.1,0
2008-04-14,9.1,9.1,9.1,9.1,0
2008-04-15,9.11,9.11,9.11,9.11,100
2008-04-16,9.11,9.11,9.11,9.11,0
2008-04-17,9.11,9.11,9.11,9.11,0
2008-04-18,9.11,9.11,9.11,9.11,0
2008-04-21,9.11,9.11,9.11,9.11,0
2008-04-22,9.11,9.12,9.1,9.1,32300
2008-04-23,9.1,9.1,9.1,9.1,0
2008-04-24,9.1,9.1,9.1,9.1,0
2008-04-25,9.11,9.11,9.1,9.1,3000
2008-04-28,9.1,9.1,9.1,9.1,1500
2008-04-29,9.11,9.11,9.1,9.1,105000
2008-04-30,9.1,9.1,9.1,9.1,102300
2008-05-01,9.11,9.11,9.07,9.07,51000
2008-05-02,9.07,9.07,9.05,9.06,934000
2008-05-05,9.06,9.06,9.05,9.06,261300
2008-05-06,9.07,9.07,9.07,9.07,100
2008-05-07,9.07,9.07,9.06,9.06,250200
2008-05-08,9.06,9.06,9.06,9.06,0
