date,open,high,low,close,volume
2020-01-02,54.38,54.87,54.29,54.84,3712945
2020-01-03,53.6,54.42,53.04,54.35,3535076
2020-01-06,53.69,54.56,53.48,54.13,4199526
2020-01-07,54.33,54.4,53.88,54.29,2998562
2020-01-08,53.68,54.66,53.64,54.37,4103071
2020-01-09,54.5,54.82,54.2,54.3,3850666
2020-01-10,54.35,54.4,53.69,53.94,4051370
2020-01-13,53.94,54.08,53.61,53.99,3957379
2020-01-14,54.58,55.18,54.34,54.49,5007384
2020-01-15,54.29,55.1,54.12,55.03,4097135
2020-01-16,55.38,55.68,55.08,55.3,2950482
2020-01-17,55.41,55.49,54.76,55.01,3999891
2020-01-21,54.63,55.07,53.18,53.54,6752338
2020-01-22,53.9,54.28,53.46,53.48,5293391
2020-01-23,53.0,55.46,51.85,55.4,6783802
2020-01-24,55.61,56.56,54.96,56.55,7995110
2020-01-27,55.23,56.66,55.15,56.25,8274400
2020-01-28,56.59,57.73,56.39,57.6,6242276
2020-01-29,57.75,58.19,56.82,56.89,6665983
2020-01-30,55.31,56.47,55.22,55.83,5128592
2020-01-31,55.62,55.92,54.63,54.98,5552109
2020-02-03,55.41,55.73,54.69,55.22,4071119
2020-02-04,55.99,56.37,55.5,55.68,3619361
2020-02-05,56.43,57.23,56.12,56.95,3162734
2020-02-06,57.38,58.01,57.08,57.72,4331637
2020-02-07,57.46,57.71,56.99,57.26,2703559
2020-02-10,57.2,57.49,56.53,57.42,2882148
2020-02-11,57.82,58.59,57.59,57.93,2848551
2020-02-12,58.27,58.66,58.0,58.48,2234166
2020-02-13,58.06,58.69,57.85,58.54,2401816
2020-02-14,58.68,58.83,57.89,57.97,2481776
2020-02-18,58.0,58.34,57.38,57.6,3086560
2020-02-19,57.68,57.74,57.06,57.11,2134236
2020-02-20,57.04,57.51,56.71,56.94,2924783
2020-02-21,56.53,56.8,55.46,56.53,2324591
2020-02-24,54.87,54.99,53.35,54.11,7536604
2020-02-25,54.41,54.5,49.55,49.66,9347998
2020-02-26,50.09,50.48,48.08,48.9,9286299
2020-02-27,47.15,49.21,45.64,46.63,10350024
2020-02-28,45.07,46.77,44.98,46.19,11851019
2020-03-02,46.54,47.18,44.34,46.95,9042582
2020-03-03,47.54,48.39,45.05,45.21,7332639
2020-03-04,45.89,47.07,44.86,46.93,8987359
2020-03-05,45.06,45.7,44.18,45.25,10774155
2020-03-06,43.56,46.8,42.72,45.73,10706349
2020-03-09,42.89,45.61,42.72,43.62,9598866
2020-03-10,45.28,45.85,42.51,45.56,9362607
2020-03-11,43.99,44.38,41.63,42.49,10492233
2020-03-12,39.33,40.6,35.61,36.07,16306087
2020-03-13,39.19,41.28,36.31,41.28,14289590
2020-03-16,36.5,39.45,35.85,37.52,15835677
2020-03-17,38.21,40.69,36.0,38.25,8129216
2020-03-18,35.78,36.42,29.15,35.15,14206790
2020-03-19,34.65,35.05,30.5,30.86,18049084
2020-03-20,32.06,33.95,29.65,31.94,12613998
2020-03-23,31.69,34.49,30.25,33.73,9595759
2020-03-24,38.2,39.13,36.05,37.66,12736059
2020-03-25,41.52,41.73,37.31,39.4,16339869
2020-03-26,40.9,43.56,40.06,41.23,8985414
2020-03-27,39.84,40.14,36.1,36.38,8289903
2020-03-30,35.52,37.15,34.5,35.1,7440630
2020-03-31,35.27,37.47,34.95,35.61,7793905
2020-04-01,34.05,34.2,31.81,32.04,8539455
2020-04-02,32.11,32.84,30.87,31.5,7842018
2020-04-03,31.33,31.88,29.73,30.54,9736081
2020-04-06,31.79,31.96,30.0,30.7,13824232
2020-04-07,33.84,35.43,32.32,32.77,14025253
2020-04-08,33.56,34.78,32.63,34.3,8902912
2020-04-09,36.3,37.31,35.13,36.47,10337796
2020-04-13,36.72,36.72,33.75,34.26,9054130
2020-04-14,35.17,36.05,34.71,34.78,8676310
2020-04-15,35.15,35.26,32.52,32.82,19984181
2020-04-16,32.12,32.35,30.2,30.68,17616589
2020-04-17,32.5,32.95,30.9,31.19,20116252
2020-04-20,30.64,31.48,29.51,31.06,14535516
2020-04-21,30.05,31.23,29.6,30.11,12548857
2020-04-22,30.63,30.81,28.8,29.71,15675577
2020-04-23,29.81,30.78,29.59,30.14,11613589
2020-04-24,30.2,30.43,28.8,29.33,15077156
2020-04-27,29.79,29.91,28.85,29.11,14191889
2020-04-28,29.12,30.48,28.25,29.69,54078513
2020-04-29,29.49,31.8,29.43,30.97,100798645
2020-04-30,30.71,31.69,30.18,31.25,62316081
2020-05-01,30.5,30.96,28.75,29.23,36300230
2020-05-04,27.23,27.94,26.5,27.56,43391209
2020-05-05,28.07,28.13,26.18,26.42,36620304
2020-05-06,26.55,26.74,24.77,24.93,36907611
2020-05-07,24.99,26.27,24.95,25.45,24504932
2020-05-08,26.04,27.23,25.91,27.2,19116648
2020-05-11,26.62,26.86,25.78,26.09,20795283
2020-05-12,26.19,26.62,25.14,25.24,16820668
2020-05-13,25.02,25.1,23.52,24.0,22867454
2020-05-14,23.38,24.81,22.47,24.78,23124022
2020-05-15,24.37,24.87,23.75,23.87,18656791
2020-05-18,25.75,27.24,25.55,27.09,27146937
2020-05-19,28.5,28.85,26.93,27.69,35716992
2020-05-20,28.47,29.33,28.17,29.15,27204937
2020-05-21,29.31,30.12,29.02,29.6,22143146
2020-05-22,29.76,29.98,28.31,28.87,17538141
2020-05-26,31.71,32.94,31.44,32.52,41153077
2020-05-27,34.9,35.16,31.4,33.66,44828915
2020-05-28,33.9,34.1,32.34,32.55,24735818
2020-05-29,31.48,32.82,31.2,32.1,19738416
2020-06-01,32.3,34.4,32.16,33.62,20811332
2020-06-02,34.86,35.2,34.03,34.48,22744763
2020-06-03,35.07,36.95,34.9,36.42,26502245
2020-06-04,37.79,39.76,36.6,38.27,54114061
2020-06-05,41.98,42.35,37.57,38.18,54173330
2020-06-08,40.14,40.61,38.7,40.59,31237241
2020-06-09,38.36,38.81,36.58,38.01,26645512
2020-06-10,36.01,38.2,34.76,37.14,37850848
2020-06-11,32.94,35.17,32.5,32.83,28449237
2020-06-12,36.06,36.99,34.31,35.87,26855651
2020-06-15,33.8,36.92,33.61,36.34,23673695
2020-06-16,38.51,38.63,35.52,36.57,30228996
2020-06-17,36.24,36.8,35.67,36.31,18685552
2020-06-18,35.65,36.57,35.41,35.85,13754442
2020-06-19,36.57,36.61,33.95,34.55,20456015
2020-06-22,34.03,34.82,33.64,34.36,14371412
2020-06-23,34.78,34.8,33.85,34.75,15162238
2020-06-24,34.0,34.27,32.23,32.25,18905169
2020-06-25,31.19,33.06,30.94,32.97,18157168
2020-06-26,33.13,33.15,31.18,31.96,23936947
2020-06-29,33.15,35.36,32.33,35.04,25720778
2020-06-30,34.98,34.99,33.57,34.18,18677749
2020-07-01,35.29,35.6,33.67,33.81,16100111
2020-07-02,34.7,34.92,33.96,34.12,12257826
2020-07-06,34.72,34.88,33.15,34.3,16416553
2020-07-07,33.49,33.54,32.94,33.01,10887815
2020-07-08,32.56,33.47,32.07,32.89,16019014
2020-07-09,32.47,32.73,31.3,31.57,17161411
2020-07-10,31.16,33.35,31.16,33.22,14925282
2020-07-13,33.42,33.53,32.27,32.64,15458072
2020-07-14,31.84,33.38,31.75,33.25,11400384
2020-07-15,35.03,36.1,34.27,35.75,21231802
2020-07-16,34.83,35.08,33.9,34.21,11375426
2020-07-17,34.07,34.52,33.82,34.13,7771388
2020-07-20,33.97,34.3,32.73,32.98,12515678
2020-07-21,33.33,34.16,33.25,33.62,11921991
2020-07-22,33.5,33.91,33.05,33.3,10424032
2020-07-23,32.75,34.16,32.0626,32.79,22888544
2020-07-24,32.31,32.45,31.57,31.66,14976688
2020-07-27,31.57,31.93,31.235,31.53,9759043
2020-07-28,31.51,32.67,31.48,32.29,10257628
2020-07-29,32.58,32.63,31.48,31.79,11150809
2020-07-30,31.33,31.65,30.77,30.96,12316532
2020-07-31,30.8,31.02,30.24,30.89,11131689
2020-08-03,30.75,32.15,30.295,31.58,13471909
2020-08-04,31.7,32.27,31.38,31.4,12040130
2020-08-05,31.9,33.1997,31.79,32.72,15269880
2020-08-06,33.26,33.35,32.315,33.02,15007851
2020-08-07,32.84,33.3,32.69,33.28,9381196
2020-08-10,33.65,35.145,33.55,34.99,15957998
2020-08-11,36.61,37.44,35.07,35.29,21870251
2020-08-12,35.83,36.08,34.3611,35.25,13028989
2020-08-13,34.71,35.6999,34.6213,34.71,8576839
2020-08-14,34.3,35.13,34.2,34.9,7373448
2020-08-17,35.06,35.18,33.7927,33.81,8050042
2020-08-18,33.82,34.25,33.54,34.16,7256144
2020-08-19,34.91,35.78,34.145,34.27,14959371
2020-08-20,33.65,34.575,33.48,34.46,9149336
2020-08-21,34.3,35.19,34.28,34.69,11435502
2020-08-24,35.29,36.94,34.96,36.91,15211942
2020-08-25,37.43,37.5,36.34,37.06,11774024
2020-08-26,36.91,37.07,36.325,36.38,7938202
2020-08-27,37.54,38.88,37.313,37.65,14342548
2020-08-28,38.11,39.06,37.59,38.81,14082625
2020-08-31,38.75,38.81,37.58,37.58,9824277
2020-09-01,36.84,38.67,36.5606,37.91,10884673
2020-09-02,38.57,39.34,37.68,39.17,11157420
2020-09-03,39.28,40.655,37.85,38.74,16721372
2020-09-04,39.19,40.0699,38.06,39.39,15543428
2020-09-08,39.18,40.8,39.18,40.5,15808632
2020-09-09,40.09,40.44,38.81,39.22,12211514
2020-09-10,39.52,39.95,38.865,38.94,9024766
2020-09-11,39.05,39.41,38.68,38.95,8044874
2020-09-14,39.35,40.25,39.063,40.06,9680749
2020-09-15,40.26,40.98,40.1,40.61,10131161
2020-09-16,40.52,42.88,40.275,42.1,19858499
2020-09-17,41.31,41.995,40.085,40.4,15234636
2020-09-18,39.77,40.51,39.31,39.83,21206269
2020-09-21,38.05,38.47,36.75,37.52,14266936
2020-09-22,37.35,38.1978,37.11,38.12,10740037
2020-09-23,38.39,39.275,37.48,37.55,6797506
2020-09-24,37.03,37.42,35.82,36.86,10798767
2020-09-25,36.41,37.28,36.31,37.1,9297277
2020-09-28,38.07,39.11,37.57,38.24,9235159
2020-09-29,38.05,38.05,37.19,37.61,5263511
2020-09-30,38.33,39.08,37.4,37.5,10144877
2020-10-01,37.96,38.26,37.39,37.93,8186768
2020-10-02,36.14,39.32,36.05,38.76,11937404
2020-10-05,39.16,39.24,38.17,38.49,9304308
2020-10-06,38.97,39.335,37.535,37.58,10136038
2020-10-07,38.0,38.735,37.71,38.59,8679318
2020-10-08,39.0,39.6,38.03,38.99,9138834
2020-10-09,38.94,39.8,38.6,39.73,10501831
2020-10-12,39.49,39.89,39.05,39.19,7378491
2020-10-13,38.7,39.44,38.58,39.13,8839351
2020-10-14,39.25,39.99,39.16,39.25,6908648
2020-10-15,38.65,38.9,38.142,38.8,4496037
2020-10-16,39.03,39.885,39.01,39.68,7334812
2020-10-19,40.0,40.75,39.566,39.85,8592233
2020-10-20,40.5,40.9,40.08,40.16,7203938
2020-10-21,40.0,40.17,39.53,39.84,6532598
2020-10-22,40.13,42.55,40.08,41.93,13663910
2020-10-23,42.04,43.39,41.53,42.79,12518730
2020-10-26,42.08,42.475,40.395,41.1,9712881
2020-10-27,40.7,41.02,39.78,39.93,6525138
2020-10-28,38.87,39.38,37.48,38.14,12101011
2020-10-29,38.09,39.87,37.95,39.57,8383606
2020-10-30,39.39,40.2,38.98,39.53,11258515
2020-11-02,39.93,39.94,37.95,38.4,11362007
2020-11-03,39.23,39.4,38.665,38.85,7275288
2020-11-04,38.85,39.65,38.05,38.93,8999852
2020-11-05,39.44,41.2489,39.38,41.05,8070248
2020-11-06,40.74,40.93,39.77,40.01,5993329
2020-11-09,46.85,49.47,43.79,43.89,30140185
2020-11-10,43.88,45.12,43.33,44.81,16842551
2020-11-11,44.9,44.91,42.66,43.22,10332749
2020-11-12,41.78,43.28,41.4,41.92,11057496
2020-11-13,42.17,44.145,42.11,43.88,7857464
2020-11-16,46.06,46.2,44.54,45.58,14330013
2020-11-17,44.86,46.24,44.43,45.66,8384508
2020-11-18,46.82,47.28,45.6,45.6,11424706
2020-11-19,45.53,46.46,45.41,46.08,6628562
2020-11-20,46.05,46.05,45.035,45.54,6595685
2020-11-23,46.11,46.95,45.28,46.81,10113036
2020-11-24,48.9,49.23,47.6491,48.25,11955895
2020-11-25,48.47,48.57,47.5,48.27,7281760
2020-11-27,48.25,48.74,47.65,47.73,4051900
2020-11-30,47.65,47.7,46.04,46.34,8791523
2020-12-01,46.55,48.09,46.5,47.27,7472624
2020-12-02,46.88,47.76,46.46,47.44,6054713
2020-12-03,47.95,49.53,47.66,47.82,9892202
2020-12-04,48.37,48.79,47.07,47.59,7615787
2020-12-07,48.34,48.43,47.505,47.89,8097443
2020-12-08,47.3,47.925,47.06,47.28,9132133
2020-12-09,47.34,47.54,45.25,45.76,20733724
2020-12-10,45.09,46.995,45.02,46.8,8322932
2020-12-11,46.0,46.59,45.1596,45.88,7638023
2020-12-14,46.58,46.6,45.24,45.26,6939733
2020-12-15,45.68,46.49,44.9529,46.42,5975746
2020-12-16,46.42,46.42,45.2699,45.73,6441829
2020-12-17,45.8,46.4,45.45,46.39,6368733
2020-12-18,46.22,46.34,45.66,46.03,8398053
2020-12-21,44.76,46.13,44.45,45.8,7656946
2020-12-22,46.0,46.15,44.98,45.32,4566490
2020-12-23,45.47,47.1,45.47,46.75,6474189
2020-12-24,47.0,47.09,45.81,46.28,2973402
2020-12-28,46.87,47.17,46.11,46.12,5434154
2020-12-29,46.35,46.77,45.97,46.15,4749482
2020-12-30,46.21,46.93,46.125,46.41,4845590
2020-12-31,46.18,46.78,45.68,46.61,5305619
2021-01-04,46.48,46.54,44.5601,45.04,10256257
2021-01-05,44.9,46.117,44.84,45.64,5204379
2021-01-06,45.5,46.97,45.37,46.75,7492848
2021-01-07,46.75,47.84,46.73,47.33,6282279
2021-01-08,47.64,47.9365,46.71,46.98,4770550
2021-01-11,46.51,48.04,46.12,47.44,7914469
2021-01-12,47.7,48.48,47.28,48.13,5334215
2021-01-13,47.89,48.4337,47.48,47.99,6261899
2021-01-14,48.65,49.47,48.44,48.82,8090560
2021-01-15,48.58,48.71,46.64,46.66,7359133
2021-01-19,47.2,47.65,46.76,46.91,4780727
2021-01-20,47.1,48.445,46.8975,48.21,6972479
2021-01-21,47.75,47.94,47.12,47.77,5663916
2021-01-22,47.18,47.75,47.07,47.39,4812538
2021-01-25,47.28,47.34,45.17,45.62,13345653
2021-01-26,45.75,46.22,45.6,45.81,5667206
2021-01-27,45.25,45.7,43.87,44.15,10428716
2021-01-28,45.16,46.25,44.33,44.6,12404569
2021-01-29,44.25,44.945,43.7151,43.94,9854882
2021-02-01,44.34,45.19,44.09,44.79,5861198
2021-02-02,45.6,46.18,45.35,45.62,6093786
2021-02-03,45.6,46.87,45.495,46.55,6118734
2021-02-04,46.79,49.18,46.71,49.13,10621726
2021-02-05,49.76,50.89,49.11,50.05,10472550
2021-02-08,50.52,53.29,50.21,52.24,11359058
2021-02-09,51.53,51.75,50.5301,51.18,5400736
2021-02-10,51.5,52.3416,51.16,51.28,6855210
2021-02-11,51.02,51.48,50.34,51.42,5240263
2021-02-12,51.3,51.839,50.97,51.34,4660013
2021-02-16,51.81,52.02,50.82,51.96,7402554
2021-02-17,51.7,52.53,51.21,52.44,6225689
2021-02-18,51.93,52.2,50.97,51.95,5032833
2021-02-19,52.23,53.84,52.1,52.81,6334633
2021-02-22,54.03,55.74,53.29,54.79,11171213
2021-02-23,56.2,57.42,54.31,56.72,13654502
2021-02-24,57.6,59.64,57.38,59.29,14871713
2021-02-25,59.15,59.26,57.08,58.31,16889128
2021-02-26,57.42,58.69,57.0,58.13,9734306
2021-03-01,59.55,59.84,57.67,58.06,11360470
2021-03-02,57.7,58.4,57.22,57.81,6558155
2021-03-03,58.47,58.67,57.6,57.82,8552503
2021-03-04,57.72,57.88,54.26,56.08,12853287
2021-03-05,56.36,57.13,52.29,56.92,11420684
2021-03-08,58.01,60.7,57.55,60.55,15098074
2021-03-09,60.17,60.25,58.195,58.93,7309928
2021-03-10,58.8,59.69,57.96,58.51,6449428
2021-03-11,58.93,59.43,58.13,58.47,7295264
2021-03-12,58.41,61.16,58.3,61.03,10182764
2021-03-15,62.05,62.7561,60.82,62.1,11166761
2021-03-16,62.26,62.3,60.53,60.54,5928493
2021-03-17,60.1,61.9359,60.1,61.77,6268928
2021-03-18,61.63,62.28,60.81,60.94,8020468
2021-03-19,60.65,61.48,59.6301,61.05,9363816
2021-03-22,60.53,60.95,59.42,59.46,8093389
2021-03-23,59.0,60.38,57.06,57.62,9849878
2021-03-24,58.59,59.66,57.69,57.7,6733399
2021-03-25,56.61,59.96,56.42,59.91,6826298
2021-03-26,60.45,61.42,59.79,61.29,6463056
2021-03-29,61.87,62.37,60.37,60.96,7356963
2021-03-30,61.15,62.22,61.06,61.91,5999909
2021-03-31,61.63,61.99,60.95,61.06,5720986
2021-04-01,61.27,61.56,60.76,61.3,4975181
2021-04-05,62.45,64.32,62.23,62.97,7378053
2021-04-06,63.5,64.64,63.24,64.1,5777923
2021-04-07,63.9,64.1387,62.96,63.52,4320502
2021-04-08,63.12,63.49,62.03,63.46,5206916
2021-04-09,63.3,63.58,62.515,63.42,4086421
2021-04-12,63.29,63.335,61.96,62.66,4537947
2021-04-13,61.85,63.44,60.63,63.23,8635359
2021-04-14,64.19,64.75,62.79,63.03,6034967
2021-04-15,63.43,63.53,62.13,62.94,5148939
2021-04-16,63.23,63.41,62.051,62.39,5082940
2021-04-19,62.29,62.37,61.38,62.03,4854959
2021-04-20,61.07,61.17,59.26,59.85,6112483
2021-04-21,59.62,62.07,58.911,62.04,7307147
2021-04-22,63.0,63.7,61.01,61.07,9786228
2021-04-23,61.31,61.8,60.75,61.53,5026604
2021-04-26,62.13,62.88,61.44,61.97,4953851
2021-04-27,61.97,62.52,61.36,62.4,4435007
2021-04-28,62.09,62.5,61.585,61.77,4457299
2021-04-29,62.13,62.65,61.735,62.27,4105411
2021-04-30,61.9,63.04,61.8,62.78,4676820
2021-05-03,63.01,63.07,61.65,62.15,4133615
2021-05-04,61.72,62.03,60.1001,60.82,6293469
2021-05-05,60.77,61.84,60.39,60.83,7451300
2021-05-06,60.97,61.22,59.845,60.69,4452774
2021-05-07,60.68,62.15,60.45,61.66,5174668
2021-05-10,61.85,62.34,61.33,61.35,4178563
2021-05-11,60.1,60.72,58.79,59.78,6483093
2021-05-12,59.47,60.38,58.0829,58.21,5999435
2021-05-13,58.97,60.4,58.64,59.93,5564194
2021-05-14,60.71,62.575,60.45,62.3,8033120
2021-05-17,62.25,62.44,61.12,62.1,5955090
2021-05-18,62.39,63.68,61.83,62.07,5298313
2021-05-19,61.0,61.18,59.56,60.39,8732073
2021-05-20,60.92,60.92,59.29,59.92,7798272
2021-05-21,60.26,60.6,59.97,60.09,4885795
2021-05-24,60.46,61.05,59.81,60.68,4038063
2021-05-25,61.71,62.39,60.465,60.55,7029226
2021-05-26,60.75,61.335,60.425,61.21,4526552
2021-05-27,61.61,61.8,61.07,61.73,4437863
2021-05-28,61.63,61.77,61.08,61.46,3520304
2021-06-01,61.94,62.26,61.09,61.35,5313674
2021-06-02,61.68,61.92,60.61,60.87,5327779
2021-06-03,60.16,60.34,58.14,58.26,9963481
2021-06-04,58.64,58.8499,57.91,58.55,5000851
2021-06-07,58.69,58.92,57.92,58.28,4756821
2021-06-08,58.86,59.3,58.31,58.9,4829950
2021-06-09,59.0,59.17,58.2,58.42,4740071
2021-06-10,58.85,59.14,57.47,57.5,4570570
2021-06-11,57.44,58.06,57.41,57.57,5059637
2021-06-14,57.5,58.07,56.93,57.28,4908348
2021-06-15,57.46,57.85,56.77,57.12,6430720
2021-06-16,57.06,57.49,56.33,56.67,5901277
2021-06-17,56.78,57.14,55.05,55.57,8334230
2021-06-18,55.0,55.69,54.67,55.19,8798297
2021-06-21,55.3,56.47,55.29,56.3,5470107
2021-06-22,56.1,56.32,55.41,55.75,4694109
2021-06-23,55.5,55.72,54.98,55.19,6157796
2021-06-24,55.53,55.62,54.62,54.66,8134757
2021-06-25,54.69,54.87,54.23,54.55,6555801
2021-06-28,54.25,54.25,52.86,53.23,8319673
2021-06-29,52.96,53.72,52.55,52.92,8078132
2021-06-30,53.1,53.56,52.84,53.09,6859870
2021-07-01,53.6,54.385,53.34,53.86,7113778
2021-07-02,53.98,54.04,53.305,53.66,6750522
2021-07-06,53.76,54.01,52.135,52.36,7819342
2021-07-07,52.29,52.67,51.12,51.38,9116552
2021-07-08,50.5,51.9099,50.102,51.19,8425452
2021-07-09,52.0,52.97,51.78,52.84,6773891
2021-07-12,52.7,53.08,51.72,52.98,6919763
2021-07-13,52.5,52.63,51.5,51.57,6646847
2021-07-14,52.34,52.58,51.57,51.98,8445294
2021-07-15,51.65,52.455,51.3725,51.78,6245405
2021-07-16,52.13,52.25,49.7,49.91,8234869
2021-07-19,48.04,48.9597,47.365,48.5,15481141
2021-07-20,48.86,51.59,48.56,51.43,12772819
2021-07-21,52.09,53.52,52.08,53.13,13951641
2021-07-22,52.1,52.27,50.84,51.29,14707497
2021-07-23,51.42,52.01,50.56,50.7,8826503
2021-07-26,50.38,51.85,50.38,51.78,6376729
2021-07-27,51.52,51.7623,50.74,51.15,4807322
2021-07-28,51.48,52.12,50.8,51.76,6798755
2021-07-29,52.18,52.4,51.54,51.55,5882357
2021-07-30,51.04,51.76,50.38,50.52,6562190
2021-08-02,50.6,51.51,49.645,49.74,7399034
2021-08-03,49.84,50.66,49.11,50.65,6208038
2021-08-04,49.81,50.19,48.5,48.9,11491487
2021-08-05,49.1,50.76,49.05,50.45,6903967
2021-08-06,51.14,51.17,50.06,50.72,5065857
2021-08-09,50.1,50.13,48.93,49.71,5649843
2021-08-10,49.8,51.63,49.61,51.11,5503186
2021-08-11,49.86,51.97,49.7728,51.84,8714903
2021-08-12,51.42,51.574,50.57,50.99,5744882
2021-08-13,50.9,51.05,50.29,50.41,4971822
2021-08-16,50.0,50.45,49.47,50.11,5787972
2021-08-17,49.35,49.42,48.14,48.73,7226937
2021-08-18,48.56,49.47,48.33,48.44,6526551
2021-08-19,48.18,48.38,46.95,47.46,7762092
2021-08-20,47.3,47.9,47.29,47.36,5193190
2021-08-23,48.13,48.95,48.03,48.71,9345846
2021-08-24,49.5,51.1,49.5,50.81,8703072
