date,open,high,low,close,volume
2020-01-02,72.0,72.46,71.13,71.89,1334830
2020-01-03,70.72,72.1,70.72,71.64,687076
2020-01-06,71.22,71.79,71.054,71.74,914780
2020-01-07,71.64,71.9,70.87,70.91,897987
2020-01-08,71.17,72.25,70.93,71.69,1391723
2020-01-09,72.21,72.45,71.73,71.98,1408400
2020-01-10,72.09,72.09,70.98,71.28,657620
2020-01-13,71.28,72.625,70.97,72.36,1798938
2020-01-14,72.17,72.885,71.6,72.54,1389762
2020-01-15,72.33,74.48,72.33,74.2,1931436
2020-01-16,74.21,74.69,73.64,74.66,1301510
2020-01-17,74.77,76.06,74.47,75.54,1231333
2020-01-21,75.2,75.38,74.0551,74.91,1367995
2020-01-22,74.97,75.84,74.53,74.65,1278174
2020-01-23,74.47,74.74,73.87,74.35,891948
2020-01-24,74.65,74.65,71.699,72.02,1319015
2020-01-27,70.6,71.555,70.07,70.9,1264292
2020-01-28,71.25,72.31,70.79,72.01,942333
2020-01-29,71.51,71.93,70.23,70.57,2025323
2020-01-30,70.71,70.75,69.18,70.65,1876240
2020-01-31,70.41,70.53,68.01,68.16,1814699
2020-02-03,68.6,69.58,68.29,68.6,1654914
2020-02-04,69.83,71.36,69.07,70.99,2080834
2020-02-05,71.7,71.77,70.38,70.81,1170018
2020-02-06,71.18,72.4,70.7,72.25,1164295
2020-02-07,72.1,72.735,71.62,72.19,953393
2020-02-10,71.98,72.92,71.97,72.89,1323396
2020-02-11,73.01,74.03,72.97,73.11,833563
2020-02-12,73.44,74.235,73.23,74.1,765943
2020-02-13,73.52,74.125,73.12,73.15,853624
2020-02-14,73.37,74.175,72.93,74.02,965944
2020-02-18,73.72,74.91,73.51,74.13,1827700
2020-02-19,74.57,76.6,74.56,76.08,1491590
2020-02-20,76.05,76.05,74.2801,75.66,1306022
2020-02-21,75.49,75.77,73.74,74.19,1465976
2020-02-24,71.35,72.27,68.15,68.26,4126615
2020-02-25,68.42,69.49,62.42,62.79,5181028
2020-02-26,63.37,64.62,59.05,60.76,6644751
2020-02-27,59.0,60.75,56.53,57.75,7751388
2020-02-28,57.5,64.32,55.77,60.77,10008461
2020-03-02,61.1,61.1,55.32,57.96,5761645
2020-03-03,57.96,61.63,55.24,57.61,7188781
2020-03-04,58.1,59.84,55.57,59.77,3711523
2020-03-05,57.53,57.98,54.245,55.45,7272583
2020-03-06,52.96,56.44,50.87,53.0,7839671
2020-03-09,48.29,50.23,46.01,47.26,7105195
2020-03-10,49.19,50.73,44.59,50.36,7166893
2020-03-11,48.02,48.34,40.9,42.01,9184519
2020-03-12,37.14,42.13,31.8,36.2,15641597
2020-03-13,42.08,43.63,37.77,42.85,9849584
2020-03-16,35.0,39.23,34.85,36.31,9545545
2020-03-17,37.0,37.5,32.11,33.92,7102953
2020-03-18,31.75,32.3,21.7,29.5,14672048
2020-03-19,29.03,37.33,27.51,32.92,10495296
2020-03-20,34.5,36.92,32.31,33.97,7340617
2020-03-23,33.57,39.31,33.0,37.33,6327789
2020-03-24,41.24,43.49,40.53,42.94,6404006
2020-03-25,44.02,46.64,40.5801,45.9,7807330
2020-03-26,46.0,46.77,43.62,45.94,7112135
2020-03-27,43.85,48.65,42.74,47.15,12338835
2020-03-30,44.98,46.42,44.11,45.23,9280333
2020-03-31,44.43,47.6178,43.27,45.46,7536555
2020-04-01,42.29,43.57,37.755,38.88,11746154
2020-04-02,37.95,38.77,33.33,33.95,6116040
2020-04-03,33.7,34.104,28.5,33.57,10848812
2020-04-06,36.81,38.155,33.05,34.51,7795956
2020-04-07,37.17,39.81,35.96,37.85,8618495
2020-04-08,38.14,39.45,36.72,37.76,5018021
2020-04-09,40.84,40.88,37.86,38.27,6286594
2020-04-13,38.55,40.02,36.14,39.41,6209539
2020-04-14,39.67,42.42,39.67,41.96,6016716
2020-04-15,39.35,40.63,37.99,38.47,4391415
2020-04-16,37.75,37.97,35.8,36.4,7684967
2020-04-17,40.86,40.87,37.02,38.35,7745873
2020-04-20,37.16,38.67,36.17,36.66,3323393
2020-04-21,36.0,37.44,35.25,36.47,3746207
2020-04-22,37.23,37.48,36.11,36.35,2811050
2020-04-23,36.51,41.45,36.47,39.45,9662537
2020-04-24,39.44,40.12,37.86,38.24,5685675
2020-04-27,39.45,43.11,38.65,42.01,8544439
2020-04-28,44.13,44.56,42.11,43.64,6480169
2020-04-29,46.3,47.56,45.5368,46.53,6983593
2020-04-30,45.48,46.13,44.05,44.87,3124979
2020-05-01,43.5,44.11,40.44,41.17,3399890
2020-05-04,39.57,42.0,38.54,41.83,3280872
2020-05-05,42.19,42.444,39.75,40.25,3303569
2020-05-06,40.68,40.69,38.21,38.49,5065131
2020-05-07,39.3,40.61,38.66,39.37,12349655
2020-05-08,41.07,42.45,39.37,41.96,10712321
2020-05-11,41.0,42.04,39.34,40.59,3492906
2020-05-12,40.77,41.34,38.01,38.16,6857869
2020-05-13,38.0,38.56,36.47,37.45,4973223
2020-05-14,36.49,39.29,36.01,39.19,5667928
2020-05-15,38.9,40.08,38.59,40.06,3000655
2020-05-18,43.88,47.41,43.795,46.15,9009882
2020-05-19,46.12,47.4,44.77,44.87,3133428
2020-05-20,45.62,47.86,45.4,47.73,3920767
2020-05-21,47.41,48.43,44.69,45.53,3350269
2020-05-22,45.74,46.53,45.17,46.49,1859257
2020-05-26,50.15,51.13,49.06,49.69,5416254
2020-05-27,51.14,52.16,49.23,51.7,4471438
2020-05-28,52.22,52.36,48.465,49.01,4001807
2020-05-29,48.33,49.5995,47.7,49.16,3663526
2020-06-01,48.89,51.03,48.58,50.66,2703213
2020-06-02,51.86,52.82,49.97,50.53,4273941
