date,open,high,low,close,volume
2020-01-02,180.12,180.87,176.09,180.01,333696
2020-01-03,176.74,178.5,176.12,176.75,233337
2020-01-06,174.13,175.79,172.98,174.94,339936
2020-01-07,176.03,177.91,174.62,176.57,645310
2020-01-08,176.7,177.59,175.08,176.34,297528
2020-01-09,177.45,179.1,176.87,178.72,180560
2020-01-10,178.65,179.46,176.4,176.87,275012
2020-01-13,178.18,179.95,177.16,179.31,272408
2020-01-14,179.3,181.0,178.01,178.93,212231
2020-01-15,179.1,179.83,176.68,178.12,324250
2020-01-16,179.56,180.6,178.53,180.34,388151
2020-01-17,181.57,182.09,179.52,181.61,356103
2020-01-21,181.12,184.03,181.1,182.18,322117
2020-01-22,183.98,184.92,181.22,181.69,330814
2020-01-23,181.99,183.47,180.35,183.03,393392
2020-01-24,184.0,184.95,182.45,183.29,413900
2020-01-27,178.0,178.46,175.85,176.05,302631
2020-01-28,178.06,181.22,176.78,180.28,229830
2020-01-29,180.28,180.95,177.39,177.5,229073
2020-01-30,176.53,179.32,175.31,178.5,299714
2020-01-31,176.95,177.74,170.93,171.17,460488
2020-02-03,172.42,175.65,171.21,175.21,340947
2020-02-04,179.84,182.97,177.91,182.62,284934
2020-02-05,185.28,186.99,182.27,186.99,425066
2020-02-06,187.15,190.88,179.6,181.86,765690
2020-02-07,180.46,182.49,178.81,180.21,527015
2020-02-10,176.73,184.42,175.83,184.19,247298
2020-02-11,185.0,190.69,184.05,189.52,258946
2020-02-12,190.45,191.98,188.72,190.73,335744
2020-02-13,188.43,192.78,188.21,191.43,327196
2020-02-14,192.59,193.1,189.61,191.19,321577
2020-02-18,187.81,188.69,183.47,185.33,331269
2020-02-19,184.3,188.94,184.3,187.46,285326
2020-02-20,186.94,187.1,181.78,184.06,263929
2020-02-21,182.68,182.68,175.55,176.63,318868
2020-02-24,168.47,169.73,165.72,165.87,543160
2020-02-25,167.95,168.3,162.32,164.54,423290
2020-02-26,165.07,169.62,162.65,164.22,329751
2020-02-27,159.19,161.88,155.27,157.22,364005
2020-02-28,150.97,160.6,150.37,158.64,448171
2020-03-02,160.86,164.57,156.35,164.12,370582
2020-03-03,165.19,168.26,159.12,162.21,429677
2020-03-04,165.48,171.79,162.79,171.54,277505
2020-03-05,169.37,177.2,166.75,172.33,447476
2020-03-06,167.1,169.89,161.11,166.06,391744
2020-03-09,151.36,159.06,148.22,148.51,432372
2020-03-10,154.19,163.75,152.63,163.62,582233
2020-03-11,159.86,163.01,152.87,155.8,475987
2020-03-12,145.3,156.81,139.59,145.99,612635
2020-03-13,155.19,170.78,142.44,170.56,660812
2020-03-16,151.5,159.96,135.97,135.97,703497
2020-03-17,139.25,160.81,136.38,159.1,577123
2020-03-18,145.78,155.09,136.65,141.63,508711
2020-03-19,141.55,154.35,138.44,150.44,504315
2020-03-20,151.6,156.88,135.22,135.22,636865
2020-03-23,138.4,142.41,130.12,139.85,480812
2020-03-24,150.7,163.17,146.9,162.49,485248
2020-03-25,162.33,169.36,157.05,158.31,550923
2020-03-26,159.53,174.83,159.18,174.78,541008
2020-03-27,168.1,169.99,161.25,161.7,471438
2020-03-30,163.89,168.51,160.0,165.19,278983
2020-03-31,163.98,170.0,162.14,167.46,466974
2020-04-01,160.56,168.55,154.79,159.42,454308
2020-04-02,158.86,159.56,152.17,157.52,399823
2020-04-03,156.49,158.54,151.02,153.42,212785
2020-04-06,160.63,170.0,160.28,170.0,391960
2020-04-07,170.0,176.62,164.76,166.85,580393
2020-04-08,170.46,176.66,168.79,173.48,487758
2020-04-09,175.75,176.82,165.03,167.93,416866
2020-04-13,167.58,173.09,164.25,171.9,228599
