date,open,high,low,close,volume
2017-01-20,22.0,22.19,21.25,21.65,19059307
2017-01-23,21.35,22.2,20.5,20.61,3988575
2017-01-24,20.83,21.5,20.43,21.0,2835814
2017-01-25,21.32,22.05,21.24,22.02,2352478
2017-01-26,21.94,22.25,21.56,21.65,1760325
2017-01-27,21.59,22.86,21.5,22.14,1716830
2017-01-30,22.25,22.33,21.35,22.16,1158869
2017-01-31,22.57,22.57,21.46,22.09,1335978
2017-02-01,22.41,22.7,21.62,22.18,1007033
2017-02-02,22.71,22.93,21.43,21.45,1064076
2017-02-03,21.58,22.1,21.25,21.62,899229
2017-02-06,21.7,22.48,20.96,21.26,949024
2017-02-07,21.27,21.487,20.885,21.04,645618
2017-02-08,20.89,21.02,20.25,20.63,2080962
2017-02-09,20.83,21.44,20.76,21.22,911296
2017-02-10,21.48,21.75,20.97,21.37,1260499
2017-02-13,21.37,21.91,21.35,21.62,1174133
2017-02-14,21.92,22.24,21.36,21.57,1593324
2017-02-15,21.58,21.9,20.4,20.64,1451281
2017-02-16,20.68,20.89,20.14,20.39,1041527
2017-02-17,20.22,20.49,19.35,19.47,1805890
2017-02-21,19.79,19.92,19.05,19.74,1650311
2017-02-22,19.6,20.04,19.53,19.86,1153390
2017-02-23,20.01,20.2,18.4,18.95,2375438
2017-02-24,18.89,18.89,17.84,18.2,1663816
2017-02-27,18.13,18.31,17.87,18.07,2447947
2017-02-28,17.97,18.24,16.91,17.52,2181723
2017-03-01,18.24,18.33,17.76,17.95,2361693
2017-03-02,17.91,18.06,17.58,17.77,1729728
2017-03-03,17.72,18.1,17.16,17.22,1339502
2017-03-06,17.11,17.32,16.25,17.08,1486824
2017-03-07,17.1,17.175,16.65,17.05,1153151
2017-03-08,16.95,17.09,15.35,15.94,2412693
2017-03-09,15.77,15.84,14.855,15.3,3760451
2017-03-10,15.64,16.01,15.06,15.6,2867421
2017-03-13,15.51,16.29,15.51,15.98,1880347
2017-03-14,15.62,15.97,14.49,15.5,2269248
2017-03-15,15.15,16.765,15.14,16.6,1572690
2017-03-16,16.72,17.32,16.31,16.68,1841710
2017-03-17,16.83,17.15,16.05,16.27,3982704
2017-03-20,16.16,16.42,16.0,16.16,1118123
2017-03-21,16.36,16.56,15.63,15.9,1767538
2017-03-22,15.75,16.0,15.57,15.84,1220478
2017-03-23,15.78,16.0,15.46,15.8,727101
2017-03-24,15.82,16.17,15.04,15.21,1697611
2017-03-27,14.77,14.908,14.09,14.18,1936986
2017-03-28,14.4,14.83,13.68,14.62,1324597
2017-03-29,14.51,15.29,14.19,14.82,1792180
2017-03-30,15.06,15.26,14.25,14.51,1260889
2017-03-31,14.38,14.69,14.19,14.3,4666928
2017-04-03,14.34,14.65,14.0,14.49,1628065
2017-04-04,14.51,14.94,14.25,14.65,1754085
2017-04-05,14.85,15.16,14.0,14.19,2305137
2017-04-06,14.32,14.77,14.2,14.66,2743564
2017-04-07,14.55,14.85,14.245,14.6,1611884
2017-04-10,14.6,15.58,14.51,15.47,1573055
2017-04-11,15.39,15.83,15.35,15.71,1439536
2017-04-12,15.69,16.4,15.59,15.7,2173763
2017-04-13,15.51,15.79,15.15,15.42,947252
2017-04-17,15.43,15.44,14.875,15.07,698939
2017-04-18,15.02,15.03,14.45,14.81,1225974
2017-04-19,14.79,14.9,14.12,14.27,1001986
2017-04-20,14.21,14.38,13.78,13.92,1198727
2017-04-21,13.79,13.83,13.28,13.77,1950863
2017-04-24,13.96,14.11,13.71,13.87,789335
2017-04-25,13.93,14.14,13.78,14.05,562359
2017-04-26,14.06,14.9,14.06,14.77,2027232
2017-04-27,14.59,14.648,14.24,14.44,1128607
2017-04-28,14.55,14.65,13.76,13.82,878950
2017-05-01,13.89,13.89,13.16,13.51,926870
2017-05-02,13.46,13.86,13.38,13.56,972284
2017-05-03,13.63,13.82,12.95,13.25,1549741
2017-05-04,13.28,13.33,12.46,12.51,1390794
