date,open,high,low,close,volume
2020-01-02,195.05,196.8,194.27,196.8,1458845
2020-01-03,193.19,196.59,193.19,196.44,2003662
2020-01-06,195.17,196.17,194.2,195.93,2076791
2020-01-07,196.52,197.73,195.13,196.71,1478895
2020-01-08,196.82,199.35,195.98,197.63,1133635
2020-01-09,198.82,198.98,197.63,198.3,1812005
2020-01-10,198.91,200.72,197.23,197.55,1459443
2020-01-13,197.21,200.38,196.74,200.28,1418391
2020-01-14,200.39,203.43,199.97,201.7,1315939
2020-01-15,201.76,203.84,200.82,202.89,1584635
2020-01-16,203.98,206.6,203.71,206.25,1851385
2020-01-17,205.19,209.4,203.85,209.32,2247150
2020-01-21,208.5,208.81,203.78,204.62,1455191
2020-01-22,205.55,205.62,202.57,203.14,1447827
2020-01-23,202.35,208.84,201.71,208.61,1301547
2020-01-24,208.0,209.9,206.91,207.86,1129449
2020-01-27,203.26,205.83,202.6,202.66,1314136
2020-01-28,203.0,205.72,202.56,204.76,1456551
2020-01-29,217.2,219.88,214.83,214.83,3193419
2020-01-30,212.19,215.095,211.54,214.5,1917132
2020-01-31,212.26,212.75,207.52,208.21,2163343
2020-02-03,209.92,210.4,206.73,206.99,1971772
2020-02-04,209.44,213.27,209.2,211.87,2551182
2020-02-05,214.87,214.95,213.17,213.8,1409799
2020-02-06,213.46,214.54,212.02,212.68,1001820
2020-02-07,211.34,212.1,208.98,210.18,2259976
2020-02-10,208.92,209.79,207.66,209.25,2338347
2020-02-11,210.63,213.31,209.07,209.17,1425218
2020-02-12,210.77,212.73,209.88,210.92,891738
2020-02-13,209.7,211.38,209.0,210.49,848564
2020-02-14,210.44,211.21,208.79,209.35,711434
2020-02-18,208.61,210.39,207.03,208.02,977579
2020-02-19,208.67,210.45,208.25,209.17,703374
2020-02-20,209.15,211.09,208.14,210.81,949140
2020-02-21,210.79,211.61,206.8,208.05,1363390
2020-02-24,201.28,203.66,200.0,203.0,1557338
2020-02-25,203.57,203.83,193.93,194.85,2170978
2020-02-26,195.44,196.99,189.42,190.07,1956013
2020-02-27,185.84,193.05,183.26,184.28,4335716
2020-02-28,179.21,182.58,176.4,182.35,3173527
2020-03-02,183.74,184.62,177.49,182.59,2540581
2020-03-03,182.32,187.63,175.09,176.86,2129623
2020-03-04,179.48,184.48,177.64,184.24,1832080
2020-03-05,177.48,179.52,174.0,175.35,1912416
2020-03-06,168.86,175.25,168.04,174.6,2163606
2020-03-09,159.46,164.25,151.37,154.5,3101149
2020-03-10,160.89,161.89,152.41,160.51,2673410
2020-03-11,155.67,156.97,148.63,151.36,2527804
2020-03-12,137.33,141.93,129.24,133.5,3938172
2020-03-13,141.24,147.35,136.27,146.86,3268464
2020-03-16,132.52,141.86,126.34,126.44,2617569
2020-03-17,128.56,142.13,125.53,139.59,2661982
2020-03-18,129.07,132.71,119.29,130.84,2745043
2020-03-19,128.33,139.31,125.84,136.33,2349133
2020-03-20,138.77,138.77,123.51,123.71,2712111
2020-03-23,121.83,123.84,112.62,118.88,3417414
2020-03-24,127.02,141.12,125.81,140.23,2723024
2020-03-25,137.0,150.74,135.95,140.4,2947732
2020-03-26,143.19,149.1,140.3,146.92,2522640
2020-03-27,140.82,146.62,138.71,143.36,1565294
2020-03-30,143.34,149.92,142.04,148.29,2010023
2020-03-31,147.03,149.89,144.72,146.0,2316788
2020-04-01,138.69,142.42,137.81,140.01,2067650
2020-04-02,138.09,144.11,136.65,143.72,2982390
2020-04-03,143.3,144.38,140.68,142.32,2285901
2020-04-06,150.74,155.9,149.81,154.75,2698135
2020-04-07,159.69,161.99,153.04,153.53,2062354
2020-04-08,155.46,160.26,154.26,158.97,1385877
2020-04-09,160.36,164.67,157.02,159.3,2213636
2020-04-13,159.13,159.3,152.75,154.29,1335708
2020-04-14,156.69,158.99,154.3,155.49,1093789
2020-04-15,151.19,154.48,150.28,153.85,1282169
2020-04-16,153.05,153.6,149.53,153.25,1356334
2020-04-17,157.41,161.42,155.99,160.67,1752038
2020-04-20,158.18,158.64,151.41,153.7,1697980
2020-04-21,149.27,151.67,147.37,150.0,2496426
2020-04-22,153.01,155.33,150.73,153.78,1541492
2020-04-23,156.95,160.09,154.58,155.86,1968560
2020-04-24,157.24,161.09,155.32,160.68,1691082
2020-04-27,163.1,167.81,161.46,166.87,1705069
2020-04-28,170.64,172.74,167.58,170.64,1991930
2020-04-29,178.33,184.85,177.19,180.33,2290410
2020-04-30,174.2,178.85,170.42,171.1,2205399
2020-05-01,168.63,170.9,166.59,170.73,1505220
2020-05-04,169.75,169.75,164.91,168.01,1226670
2020-05-05,170.37,173.0,170.3,171.36,977997
2020-05-06,172.09,173.83,167.77,168.19,1107063
2020-05-07,170.37,172.81,168.82,169.58,1046001
2020-05-08,171.91,175.26,171.46,174.75,768402
2020-05-11,172.94,175.32,171.45,174.06,890544
2020-05-12,173.7,174.12,166.69,166.79,1388886
2020-05-13,165.39,166.17,161.85,164.54,1325351
2020-05-14,162.29,166.86,157.48,166.59,1266333
2020-05-15,164.18,164.71,159.13,160.36,2041325
2020-05-18,167.41,172.03,165.48,170.73,1314297
2020-05-19,170.31,172.92,167.47,167.66,1345511
2020-05-20,172.86,176.36,171.47,173.66,1311609
