date,open,high,low,close,volume
2020-01-02,56.83,56.86,55.06,55.12,2466823
2020-01-03,54.5,54.93,54.23,54.39,2837374
2020-01-06,54.21,54.63,53.76,53.93,2239041
2020-01-07,53.75,54.59,53.61,53.81,2558952
2020-01-08,53.85,54.36,53.63,53.68,2130220
2020-01-09,53.75,53.82,53.07,53.5,2672822
2020-01-10,53.5,53.79,52.64,52.77,1645971
2020-01-13,52.99,53.98,52.88,53.37,1951139
2020-01-14,53.38,54.1,53.32,54.0,1845178
2020-01-15,53.68,54.0,53.23,53.43,1196127
2020-01-16,53.8,53.8,53.17,53.35,1644448
2020-01-17,53.64,54.0,53.26,53.81,2341258
2020-01-21,53.58,53.58,52.07,52.36,2282506
2020-01-22,52.55,52.6,51.77,51.97,1611253
2020-01-23,51.59,51.79,50.7,51.75,1652352
2020-01-24,51.59,51.59,49.84,50.33,2009664
2020-01-27,49.43,49.86,49.07,49.18,3015484
2020-01-28,52.68,52.68,49.37,49.47,4406367
2020-01-29,49.28,49.67,48.04,48.06,2860843
2020-01-30,47.95,48.89,47.67,48.86,2845644
2020-01-31,48.02,48.28,47.27,47.49,3214764
2020-02-03,47.67,48.21,47.54,47.94,2270049
2020-02-04,48.91,49.26,48.25,48.84,2984437
2020-02-05,49.62,49.64,49.01,49.52,2513124
2020-02-06,50.0,50.0,48.83,49.05,2033415
2020-02-07,48.56,48.67,47.76,47.92,1988372
2020-02-10,47.65,48.1,47.5,47.66,1850667
2020-02-11,47.9,48.98,47.87,48.34,1994179
2020-02-12,48.97,49.01,47.99,48.37,1770026
2020-02-13,47.95,48.31,47.73,47.95,2108647
2020-02-14,47.97,48.09,46.8,47.15,1995630
2020-02-18,47.0,47.59,46.94,47.39,1822832
2020-02-19,47.49,48.28,47.41,47.71,1736717
2020-02-20,47.92,48.14,47.58,47.85,1329465
2020-02-21,47.51,48.65,47.5,48.57,2348781
2020-02-24,47.24,47.87,47.01,47.29,2793483
2020-02-25,47.44,47.5,44.92,44.97,3336468
2020-02-26,45.41,45.47,43.66,43.67,2878584
2020-02-27,43.08,43.7,41.69,41.81,3648848
2020-02-28,40.37,41.67,39.93,41.35,4665864
2020-03-02,41.66,42.72,40.42,42.7,4039829
2020-03-03,42.76,44.08,41.19,41.87,3277585
2020-03-04,42.72,43.25,41.97,43.19,2302563
2020-03-05,41.64,41.9,40.21,40.77,2899902
2020-03-06,39.69,40.93,38.86,39.61,2974969
2020-03-09,36.81,37.6,34.7,34.72,3939550
2020-03-10,36.52,37.33,34.52,37.13,3648285
2020-03-11,35.95,36.42,34.58,35.43,3356459
2020-03-12,32.56,34.58,31.6,31.77,4494588
2020-03-13,34.0,35.84,32.59,35.84,4387658
2020-03-16,31.75,33.69,30.3,30.64,3168410
2020-03-17,31.33,32.53,29.75,30.99,3874767
2020-03-18,29.19,29.72,27.53,29.35,4375828
2020-03-19,29.44,33.87,29.12,30.82,3166568
2020-03-20,31.84,32.21,30.05,30.63,4139878
2020-03-23,30.36,31.4,28.39,28.42,3719266
2020-03-24,30.4,32.65,30.18,31.98,3644206
2020-03-25,32.28,33.57,30.4,31.2,3323875
2020-03-26,31.46,33.78,30.76,33.54,4184067
2020-03-27,32.73,33.94,32.07,33.36,3114371
2020-03-30,32.8,35.14,32.16,34.92,5136011
2020-03-31,34.95,37.16,34.42,36.02,4390052
2020-04-01,34.17,36.14,34.05,35.9,5412735
2020-04-02,35.96,37.07,35.07,35.94,4187754
2020-04-03,35.63,36.41,35.42,35.65,3502098
2020-04-06,37.4,38.07,36.87,37.51,5256505
2020-04-07,39.33,39.41,37.14,37.32,4768404
2020-04-08,37.7,39.57,37.32,39.05,3152119
2020-04-09,39.88,40.91,38.81,39.43,3478638
2020-04-13,39.58,39.74,38.27,38.79,3278123
2020-04-14,39.54,39.97,37.84,38.38,3349436
2020-04-15,35.93,36.3,35.03,35.53,3675761
2020-04-16,35.85,35.85,34.72,35.51,2649513
2020-04-17,36.92,37.63,36.72,37.33,2111695
2020-04-20,36.24,37.29,35.85,36.53,2033793
2020-04-21,35.35,36.4,35.32,36.05,2043675
2020-04-22,37.05,37.12,36.06,36.4,1603189
2020-04-23,36.57,38.36,36.49,37.72,2363643
2020-04-24,38.32,38.91,37.67,37.87,2393537
2020-04-27,38.07,41.35,38.01,40.5,3437975
2020-04-28,39.33,41.2,39.05,40.49,4222689
2020-04-29,41.5,42.99,41.5,42.5,4256681
2020-04-30,41.62,42.23,40.97,41.19,4537601
2020-05-01,40.15,41.61,40.06,41.0,2802741
2020-05-04,40.25,41.22,39.91,41.06,2114244
