date,open,high,low,close,volume
2020-01-02,3777.0,3819.94,3701.01,3735.5,39881
2020-01-03,3699.0,3825.0,3699.0,3781.43,30392
2020-01-06,3779.85,3820.0,3771.39,3783.27,34462
2020-01-07,3775.94,3810.0,3774.0,3806.12,23914
2020-01-08,3818.63,3849.69,3775.01,3785.81,35135
2020-01-09,3786.0,3818.0,3696.54,3741.7,60465
2020-01-10,3752.48,3799.29,3735.0,3781.31,24603
2020-01-13,3780.89,3821.45,3765.13,3809.51,24484
2020-01-14,3804.47,3828.28,3800.0,3819.04,20127
2020-01-15,3829.0,3910.18,3829.0,3903.99,31422
2020-01-16,3900.1,3935.0,3865.0,3870.52,20150
2020-01-17,3879.21,3919.0,3852.0,3893.41,21512
2020-01-21,3893.41,3918.69,3884.14,3905.14,29962
2020-01-22,3910.0,3957.13,3887.0,3932.0,17927
2020-01-23,3930.0,4050.0,3930.0,4028.24,37638
2020-01-24,4025.0,4058.0,3951.62,3983.6,21362
2020-01-27,3908.0,3984.22,3887.0,3946.22,34060
2020-01-28,3960.0,4057.95,3915.93,4030.0,24364
2020-01-29,4000.0,4011.0,3825.0,3898.56,46173
2020-01-30,3916.54,3974.99,3882.37,3966.76,26713
2020-01-31,3896.0,3913.8,3802.11,3816.97,28421
2020-02-03,3842.76,3863.45,3796.65,3810.0,22646
2020-02-04,3821.66,3861.49,3790.27,3791.77,18171
2020-02-05,3792.4,3880.0,3776.09,3853.48,26073
2020-02-06,3861.24,3920.16,3833.0,3886.96,25422
2020-02-07,3919.8,3955.0,3890.7,3921.63,20769
2020-02-10,3891.35,3960.0,3891.35,3952.21,24622
2020-02-11,3960.0,4000.0,3943.5,3981.86,27734
2020-02-12,3968.56,3997.9,3857.9,3976.78,27154
2020-02-13,3969.57,4039.0,3945.34,4021.75,26219
2020-02-14,4021.2,4024.19,3975.52,3993.63,10686
2020-02-18,3971.72,4035.27,3952.57,3960.0,28163
2020-02-19,3975.3,4015.66,3953.04,3965.95,21585
2020-02-20,3968.05,4042.0,3939.42,4037.77,16664
2020-02-21,4011.0,4071.13,3986.95,4031.14,37777
2020-02-24,3994.48,4037.25,3975.55,3988.41,21828
2020-02-25,4010.88,4027.28,3853.7,3860.28,25790
2020-02-26,3857.0,3953.53,3792.75,3849.5,31105
2020-02-27,3814.67,3919.67,3702.85,3746.04,45428
2020-02-28,3678.06,3710.61,3585.19,3667.18,47503
2020-03-02,3689.3,3788.31,3647.24,3788.31,31171
2020-03-03,3788.0,3962.46,3760.02,3843.84,35896
2020-03-04,3930.55,4034.99,3881.94,4017.0,25743
2020-03-05,3988.16,3988.16,3885.0,3923.61,26297
2020-03-06,3824.35,3877.5,3758.36,3845.23,27130
2020-03-09,3725.0,3757.36,3620.36,3632.35,38467
2020-03-10,3686.3,3750.0,3570.01,3750.0,45541
2020-03-11,3679.59,3737.66,3400.0,3411.9,41156
2020-03-12,3120.0,3276.53,2729.53,2947.2,59779
2020-03-13,2991.0,2998.21,2600.07,2922.28,56763
2020-03-16,2600.0,2684.03,2258.0,2321.78,82352
2020-03-17,2386.07,2403.6,2100.5,2271.55,99701
2020-03-18,2151.85,2498.55,2043.01,2286.27,97428
2020-03-19,2266.63,2865.99,2208.78,2709.42,71416
2020-03-20,2733.94,2810.8,2318.87,2326.89,56821
2020-03-23,2280.24,2336.0,2125.0,2175.0,42865
2020-03-24,2284.93,2649.51,2284.93,2633.49,51641
2020-03-25,2646.28,2961.0,2646.05,2915.0,53042
2020-03-26,2854.21,3000.0,2805.62,2941.47,59405
2020-03-27,2929.7,2975.0,2800.0,2871.62,34879
2020-03-30,2880.25,2900.0,2673.79,2714.31,37282
2020-03-31,2673.0,2682.43,2526.81,2569.11,54864
2020-04-01,2502.0,2558.93,2369.36,2410.0,54144
2020-04-02,2380.81,2484.43,2310.03,2369.97,34024
2020-04-03,2330.0,2416.99,2294.72,2362.94,31472
2020-04-06,2500.0,2768.72,2500.0,2691.4,31258
2020-04-07,2782.56,2890.99,2701.97,2712.71,29884
2020-04-08,2793.21,2971.15,2760.0,2934.65,27484
2020-04-09,2999.33,3207.62,2880.0,2928.01,27471
2020-04-13,2869.38,2869.38,2697.24,2764.8,18683
2020-04-14,2847.52,2929.99,2820.0,2900.44,21705
2020-04-15,2850.17,2853.47,2741.52,2792.95,28727
2020-04-16,2754.28,2818.99,2716.05,2750.06,35094
2020-04-17,2821.0,2920.0,2793.51,2917.75,29983
2020-04-20,2836.97,2959.17,2800.55,2846.86,32468
2020-04-21,2782.0,2879.62,2782.0,2805.44,41629
2020-04-22,2874.45,2927.9,2813.0,2847.6,46811
2020-04-23,2809.55,2840.0,2718.01,2746.33,55869
2020-04-24,2750.0,2875.0,2728.38,2847.37,46467
2020-04-27,2899.37,3037.38,2869.74,2990.7,41759
2020-04-28,3043.33,3212.67,3043.33,3163.84,39292
2020-04-29,3248.1,3349.97,3192.5,3196.53,35670
2020-04-30,3121.23,3162.04,3027.48,3100.0,27978
2020-05-01,3000.0,3067.11,2959.0,3036.9,20834
2020-05-04,3014.97,3087.79,2955.72,3062.68,34958
2020-05-05,3042.38,3162.72,3042.38,3100.0,24329
2020-05-06,3115.0,3150.0,3025.63,3065.0,28320
2020-05-07,3105.0,3135.0,3000.0,3000.0,38347
2020-05-08,3030.0,3144.83,3015.0,3119.67,27329
2020-05-11,3076.9,3103.72,3048.39,3055.83,15970
2020-05-12,3060.0,3067.0,2877.38,2877.38,34544
2020-05-13,2901.1,2960.0,2737.0,2768.01,30492
2020-05-14,2750.0,2803.51,2660.0,2800.06,26654
2020-05-15,2758.52,2841.36,2733.0,2795.06,26446
2020-05-18,2922.03,3130.0,2847.15,3100.63,39361
2020-05-19,3078.55,3200.0,3010.0,3137.09,38158
2020-05-20,3174.13,3239.82,3034.63,3086.0,25944
2020-05-21,3068.93,3179.04,3052.24,3124.0,26932
2020-05-22,3114.0,3160.33,3056.01,3133.86,18198
2020-05-26,3202.0,3309.2,3190.0,3214.42,35028
2020-05-27,3280.0,3351.69,3260.1,3350.55,36708
2020-05-28,3365.79,3417.56,3212.62,3220.41,29722
2020-05-29,3175.55,3285.76,3163.05,3221.61,71587
2020-06-01,3245.08,3299.2,3185.59,3204.14,19397
2020-06-02,3270.0,3290.39,3230.01,3263.4,24024
2020-06-03,3294.45,3455.66,3294.45,3423.81,27588
2020-06-04,3386.79,3473.97,3378.0,3396.38,27049
2020-06-05,3475.0,3506.63,3397.0,3491.07,26676
2020-06-08,3500.0,3619.26,3499.5,3524.75,24365
2020-06-09,3497.0,3500.0,3405.27,3428.69,18841
2020-06-10,3420.0,3473.0,3309.53,3420.34,19273
2020-06-11,3315.2,3339.97,3098.63,3098.63,30766
2020-06-12,3207.92,3273.44,3101.05,3175.37,24368
2020-06-15,3050.0,3278.88,3050.0,3236.34,54221
2020-06-16,3299.15,3462.51,3299.15,3450.06,47136
2020-06-17,3470.0,3510.0,3440.02,3482.1,40915
2020-06-18,3431.86,3463.1,3335.0,3360.97,23358
2020-06-19,3435.0,3435.0,3255.7,3298.28,30990
2020-06-22,3278.64,3301.12,3240.39,3278.11,28146
2020-06-23,3320.0,3320.0,3254.94,3270.74,16313
2020-06-24,3240.87,3240.87,3103.24,3186.84,28317
2020-06-25,3150.0,3224.0,3120.0,3193.2,24348
2020-06-26,3169.75,3187.0,3113.7,3167.64,71890
2020-06-29,3188.0,3210.42,3114.88,3190.77,22800
2020-06-30,3194.88,3270.0,3194.88,3258.75,32200
2020-07-01,3254.88,3269.47,3175.55,3185.9,21700
2020-07-02,3247.8,3274.0,3158.88,3170.0,26400
2020-07-06,3224.65,3316.15,3204.99,3306.47,23700
