date,open,high,low,close,volume
2000-05-02,24.88,25.06,22.38,24.0,2051300
2000-05-03,23.69,23.75,21.31,22.5,1734900
2000-05-04,23.56,23.63,20.5,21.13,1235300
2000-05-05,20.75,22.0,20.5,20.88,1164400
2000-05-08,20.44,21.06,20.06,20.25,750000
2000-05-09,20.63,21.13,19.75,20.19,1221300
2000-05-10,20.38,20.44,17.81,19.38,1240300
2000-05-11,19.88,20.25,19.5,20.0,1602200
2000-05-12,20.63,23.0,20.13,21.38,1807800
2000-05-15,21.69,22.25,20.19,21.69,800900
2000-05-16,21.81,22.56,21.38,22.25,646100
2000-05-17,21.63,22.75,21.38,21.88,861300
2000-05-18,21.88,24.31,21.81,24.0,1856900
2000-05-19,23.25,24.5,21.5,22.75,1248800
2000-05-22,23.13,23.13,19.75,20.0,1056700
2000-05-23,20.88,21.25,19.63,19.88,1311500
2000-05-24,19.94,20.25,19.13,19.5,845700
2000-05-25,19.75,20.31,18.0,18.19,1078300
2000-05-26,18.19,18.75,17.88,18.0,367000
2000-05-30,18.0,20.63,18.0,20.0,446000
2000-05-31,20.69,20.88,20.0,20.0,852200
2000-06-01,19.59,20.75,19.56,20.13,1126000
2000-06-02,20.69,23.25,20.31,23.0,1646900
2000-06-05,22.75,23.0,21.06,22.88,615800
2000-06-06,22.75,24.63,22.13,23.13,735300
2000-06-07,23.19,23.5,21.88,22.25,299900
2000-06-08,22.25,23.75,22.0,22.63,476800
2000-06-09,22.81,23.88,22.63,23.25,428200
2000-06-12,23.75,24.25,23.63,24.06,665000
2000-06-13,23.56,24.0,21.88,23.44,300500
2000-06-14,23.16,23.31,22.88,22.94,172600
2000-06-15,22.63,23.25,21.75,23.0,323500
2000-06-16,22.97,23.0,20.81,21.06,1229000
2000-06-19,21.56,22.13,20.5,21.25,358700
2000-06-20,21.38,22.5,21.31,21.88,714400
2000-06-21,21.88,23.38,21.75,22.69,488400
2000-06-22,24.63,24.75,22.25,22.5,1281100
2000-06-23,22.81,26.5,21.0,23.63,737900
2000-06-26,23.88,26.81,23.0,23.63,473000
2000-06-27,23.63,23.75,22.38,22.94,432100
2000-06-28,23.0,24.0,22.5,23.44,322500
2000-06-29,23.13,23.94,22.5,23.06,308700
2000-06-30,22.38,24.38,21.75,21.88,851400
2000-07-03,22.88,23.13,22.0,22.75,156400
2000-07-05,22.44,22.5,20.75,21.56,644700
2000-07-06,21.56,22.0,20.0,21.81,382000
2000-07-07,21.88,22.75,21.38,21.81,1265000
2000-07-10,21.75,24.69,21.5,21.75,1233200
2000-07-11,21.63,23.25,21.0,22.0,1450100
2000-07-12,22.06,22.06,21.5,21.94,217700
2000-07-13,21.88,22.13,19.75,20.5,649500
2000-07-14,22.19,22.19,20.25,21.56,586000
2000-07-17,22.0,22.38,21.69,22.0,787900
2000-07-18,22.0,22.06,21.69,21.94,306900
2000-07-19,21.88,21.88,20.13,20.25,335500
2000-07-20,20.94,21.75,20.25,21.0,196300
2000-07-21,21.69,22.0,19.75,20.5,618600
2000-07-24,20.38,21.13,20.13,20.75,352200
2000-07-25,20.69,21.19,20.48,21.13,1118200
2000-07-26,20.5,21.19,20.25,21.19,1511700
2000-07-27,21.06,21.16,20.0,20.0,1171200
2000-07-28,20.0,20.25,19.38,20.0,1541400
2000-07-31,20.0,22.25,20.0,22.13,678800
2000-08-01,21.75,21.88,21.0,21.63,397800
2000-08-02,21.25,22.0,21.0,21.75,312900
2000-08-03,20.81,20.88,20.13,20.44,755700
2000-08-04,20.75,21.25,20.25,20.75,126300
2000-08-07,20.75,21.13,20.75,20.88,189600
2000-08-08,20.75,20.88,20.5,20.69,267600
2000-08-09,20.69,20.75,19.63,20.0,6045400
2000-08-10,20.22,20.31,16.5,17.25,825300
2000-08-11,17.25,17.5,16.25,17.25,646400
2000-08-14,17.28,17.63,16.88,17.0,200200
2000-08-15,17.56,18.5,17.25,17.25,406900
2000-08-16,17.5,17.63,17.13,17.25,156800
2000-08-17,16.94,17.25,16.38,16.88,288700
2000-08-18,17.0,17.63,16.88,17.0,541600
2000-08-21,17.19,17.25,16.25,16.25,702000
2000-08-22,16.25,17.25,16.25,16.75,645100
2000-08-23,16.75,17.38,16.5,17.0,337700
2000-08-24,16.88,17.94,16.88,17.44,332500
2000-08-25,17.31,17.94,17.19,17.69,98500
2000-08-28,17.5,17.94,17.44,17.63,467700
2000-08-29,17.56,17.63,17.13,17.25,238600
2000-08-30,17.13,17.38,16.69,17.38,769000
2000-08-31,17.38,17.5,16.88,17.0,130100
2000-09-01,17.25,17.5,16.88,17.5,136200
2000-09-05,17.5,17.63,17.19,17.38,155300
2000-09-06,17.13,17.31,16.88,16.94,492400
2000-09-07,16.88,17.19,15.5,16.25,729400
2000-09-08,16.06,16.13,15.5,15.5,833300
2000-09-11,15.75,16.5,15.75,16.5,596800
2000-09-12,16.5,17.0,16.5,16.63,291700
2000-09-13,16.13,17.13,16.06,16.69,91700
2000-09-14,17.0,17.03,15.75,15.88,97800
2000-09-15,15.88,16.13,14.88,14.88,189200
2000-09-18,14.88,15.0,11.38,12.0,835500
2000-09-19,12.59,13.13,12.13,13.06,545700
2000-09-20,13.13,13.69,12.75,13.31,827300
2000-09-21,13.44,13.75,12.56,12.81,443400
2000-09-22,12.19,12.69,11.63,12.25,477300
2000-09-25,12.69,13.13,12.31,12.75,514000
2000-09-26,12.66,12.88,11.38,11.56,258000
2000-09-27,11.75,12.25,10.75,10.75,314500
2000-09-28,10.81,11.25,10.13,10.38,761100
2000-09-29,10.56,11.0,10.38,10.88,876800
2000-10-02,11.0,11.38,10.63,11.0,169100
2000-10-03,11.31,12.94,10.88,11.88,361300
2000-10-04,11.88,12.5,11.38,12.13,657300
2000-10-05,12.19,12.5,11.75,12.06,199100
2000-10-06,12.13,12.13,11.5,11.69,286200
2000-10-09,11.63,12.13,11.19,12.0,213700
2000-10-10,11.75,12.0,10.63,10.81,119100
2000-10-11,10.56,10.69,10.19,10.44,224900
2000-10-12,10.88,11.23,10.38,10.88,208800
2000-10-13,10.94,11.88,10.75,11.63,128400
2000-10-16,11.75,12.06,10.5,11.0,139200
2000-10-17,11.5,11.5,9.625,9.938,416200
2000-10-18,10.0,10.75,9.813,10.13,743000
2000-10-19,10.56,10.75,10.13,10.5,851200
2000-10-20,10.56,11.13,10.56,10.94,412300
2000-10-23,11.06,11.06,10.19,10.63,356300
2000-10-24,10.75,10.94,9.75,10.06,524100
2000-10-25,9.969,10.0,9.188,9.656,313800
2000-10-26,9.625,10.19,9.219,10.13,394200
2000-10-27,10.19,10.19,9.438,9.5,358400
2000-10-30,9.563,10.0,9.5,10.0,74900
2000-10-31,10.06,10.13,9.875,10.06,564500
2000-11-01,9.938,10.13,9.875,10.06,95300
2000-11-02,10.19,10.38,9.813,10.13,368800
2000-11-03,10.0,10.75,9.875,10.63,672600
2000-11-06,10.75,10.75,9.813,9.875,349200
2000-11-07,9.813,10.34,9.5,9.688,325600
2000-11-08,9.75,9.75,8.875,9.031,250600
2000-11-09,9.0,9.109,8.375,8.5,214200
2000-11-10,8.563,8.625,7.688,7.813,494300
2000-11-13,7.844,8.375,7.625,8.063,307900
2000-11-14,8.563,8.875,8.156,8.188,1372000
2000-11-15,8.438,9.125,8.0,8.063,1533200
2000-11-16,8.344,8.625,8.0,8.188,674400
2000-11-17,8.219,9.063,8.031,9.063,821200
2000-11-20,9.047,9.125,8.25,8.344,301400
2000-11-21,8.328,8.344,7.688,7.875,312700
2000-11-22,7.719,7.906,7.5,7.563,255000
2000-11-24,7.75,7.938,7.594,7.938,130900
2000-11-27,8.047,8.125,7.5,7.75,195400
2000-11-28,7.766,7.875,7.406,7.563,281000
2000-11-29,7.594,7.594,7.031,7.375,281700
2000-11-30,7.063,7.125,6.5,6.625,471500
2000-12-01,6.969,7.25,6.781,6.875,181500
2000-12-04,7.031,7.094,6.656,7.094,136600
2000-12-05,7.344,8.406,7.219,8.125,309700
2000-12-06,8.125,8.125,7.688,7.781,417500
2000-12-07,7.781,7.797,6.938,7.25,218600
2000-12-08,7.438,8.688,7.438,8.688,349600
2000-12-11,8.719,9.75,8.156,8.969,254000
2000-12-12,8.875,9.25,8.125,8.75,189500
2000-12-13,7.188,7.375,6.5,6.594,1341900
2000-12-14,6.719,6.75,5.781,6.0,1512200
2000-12-15,5.938,6.031,4.969,5.25,1488300
2000-12-18,5.5,6.438,5.5,6.344,2622600
2000-12-19,6.344,6.563,5.625,5.75,1350500
2000-12-20,5.75,5.875,4.969,5.438,674200
2000-12-21,5.438,5.5,4.25,4.75,346900
2000-12-22,4.688,4.938,4.063,4.25,573000
2000-12-26,4.25,4.25,4.25,4.25,1433800
2000-12-27,4.406,5.125,4.344,4.688,456500
2000-12-28,4.656,4.969,4.391,4.938,2076000
2000-12-29,4.875,5.25,4.563,5.25,697000
2001-01-02,5.125,5.25,4.75,4.875,93100
2001-01-03,4.813,5.719,4.75,5.563,178300
2001-01-04,5.688,5.938,5.469,5.75,204000
2001-01-05,5.625,5.969,5.5,5.563,72300
2001-01-08,5.563,5.688,5.219,5.688,112300
2001-01-09,5.75,6.25,5.719,6.063,161700
