date,open,high,low,close,volume
2020-01-02,74.49,74.9,74.03,74.88,186387
2020-01-03,74.7,75.49,74.1,74.75,170180
2020-01-06,75.17,75.54,74.65,74.9,218210
2020-01-07,75.12,75.12,74.08,74.37,100215
2020-01-08,74.48,75.01,73.86,74.97,154871
2020-01-09,74.88,75.69,74.55,75.68,149226
2020-01-10,75.51,75.95,74.85,74.93,146092
2020-01-13,74.99,76.27,74.98,76.21,106783
2020-01-14,76.0,76.71,75.89,76.34,129169
2020-01-15,76.51,77.75,76.5,77.6,152362
2020-01-16,77.89,78.47,77.74,78.36,135794
2020-01-17,78.54,78.71,77.63,78.4,118831
2020-01-21,78.7,79.97,78.37,79.85,183665
2020-01-22,80.52,81.01,80.2,80.6,129390
2020-01-23,81.32,81.9,81.01,81.35,202307
2020-01-24,81.38,82.71,80.94,81.31,102681
2020-01-27,80.72,81.42,80.02,80.52,154915
2020-01-28,80.88,81.32,79.92,80.29,151394
2020-01-29,80.3,80.36,79.4,80.19,135590
2020-01-30,79.69,81.285,79.69,81.25,92668
2020-01-31,80.83,81.03,78.95,79.26,137287
2020-02-03,80.12,80.65,79.71,80.55,123607
2020-02-04,80.83,83.23,80.83,83.2,223885
2020-02-05,83.87,86.27,83.87,86.24,303615
2020-02-06,86.71,86.76,85.33,85.49,205286
2020-02-07,85.44,85.57,84.22,84.53,121012
2020-02-10,83.85,84.75,83.63,84.5,83140
2020-02-11,84.71,85.32,84.1,84.68,113727
2020-02-12,84.26,85.37,83.13,85.32,199789
2020-02-13,84.81,86.54,84.37,86.14,107887
2020-02-14,86.29,86.4,85.22,85.78,131393
2020-02-18,85.75,86.83,85.34,85.84,154352
2020-02-19,86.14,87.07,86.09,86.37,155079
2020-02-20,85.78,86.76,84.92,86.29,170268
2020-02-21,86.3,86.83,85.98,86.22,134763
2020-02-24,83.3,83.62,82.16,83.21,217335
2020-02-25,83.45,83.55,79.75,79.88,271224
2020-02-26,75.07,75.55,70.79,72.6,770954
2020-02-27,71.14,75.51,71.11,71.69,552515
2020-02-28,69.08,70.53,67.5,69.68,454617
2020-03-02,69.76,72.24,69.62,72.24,219121
2020-03-03,72.32,74.09,70.38,70.65,297352
2020-03-04,72.12,73.6,71.11,73.28,181690
2020-03-05,71.82,72.08,70.33,71.5,218239
2020-03-06,70.25,71.25,69.16,70.98,247708
2020-03-09,65.86,66.87,63.22,64.35,336526
