date,open,high,low,close,volume
2020-01-02,42.21,42.35,41.76,42.09,5739200
2020-01-03,41.73,41.76,41.07,41.45,4644886
2020-01-06,41.49,42.07,41.42,42.06,5713836
2020-01-07,41.88,42.18,41.57,42.13,5116782
2020-01-08,42.2,42.37,41.43,41.87,8139492
2020-01-09,42.23,42.24,40.57,40.81,7749555
2020-01-10,40.9,41.0,40.13,40.31,4688282
2020-01-13,40.4,41.05,40.06,40.8,5613766
2020-01-14,40.6,40.83,40.24,40.33,5480242
2020-01-15,40.22,40.43,39.58,39.69,6239521
2020-01-16,39.88,40.11,39.45,40.04,6918468
2020-01-17,40.01,40.11,39.32,39.49,6566547
2020-01-21,39.5,39.62,38.66,38.73,9489350
2020-01-22,39.0,39.06,38.32,38.45,4931267
2020-01-23,38.2,38.27,36.96,36.99,9293593
2020-01-24,37.0,37.07,35.4,35.79,10789679
2020-01-27,35.37,35.63,34.79,35.13,7931052
2020-01-28,35.4,35.76,35.16,35.36,6365275
2020-01-29,35.25,35.61,34.61,34.69,6888285
2020-01-30,34.29,34.56,33.49,34.19,12968170
2020-01-31,34.16,34.69,33.58,34.13,8386809
2020-02-03,33.73,33.87,32.6,33.08,11675182
2020-02-04,33.5,33.85,33.04,33.57,8788744
2020-02-05,33.86,34.68,33.81,34.34,7413627
2020-02-06,34.64,34.73,34.22,34.6,6101809
2020-02-07,35.15,35.26,34.4,34.71,6558249
2020-02-10,34.5,34.62,33.96,34.21,7112315
2020-02-11,34.5,35.07,33.97,34.97,6381569
2020-02-12,35.16,35.58,34.9,35.29,5321618
2020-02-13,35.01,35.49,34.82,34.98,3742501
2020-02-14,35.22,35.28,34.37,34.98,4349043
2020-02-18,35.02,35.7,34.97,35.1,6057974
2020-02-19,35.21,35.97,35.03,35.67,10675455
2020-02-20,32.24,32.3,29.08,29.29,44416439
2020-02-21,28.93,29.35,28.17,28.26,17510421
2020-02-24,27.5,27.51,26.35,26.93,17546924
2020-02-25,27.12,27.38,25.15,25.36,25053752
2020-02-26,25.67,26.1,24.41,24.44,18722519
2020-02-27,23.96,25.11,23.07,23.89,21560454
2020-02-28,23.73,25.32,23.39,24.61,22720227
2020-03-02,24.75,24.8,23.27,24.31,18892228
2020-03-03,24.22,24.54,22.71,23.08,20205067
2020-03-04,23.43,23.49,22.5,23.1,17083084
2020-03-05,22.85,22.86,21.25,21.48,20784501
2020-03-06,20.99,22.09,20.62,21.57,14435195
2020-03-09,20.0,20.2,19.12,19.17,14525074
2020-03-10,20.05,20.57,19.15,20.53,14906805
2020-03-11,19.81,20.29,19.28,19.8,15625844
2020-03-12,18.18,18.3,16.11,16.14,21431519
2020-03-13,17.34,17.93,15.59,16.4,17399898
2020-03-16,15.5,15.73,13.6,13.61,18695615
2020-03-17,14.45,14.45,12.21,12.74,21756309
2020-03-18,12.05,12.26,10.1,12.21,19615616
2020-03-19,12.15,13.22,11.3,12.62,14490676
2020-03-20,12.85,13.31,11.77,11.97,18495204
2020-03-23,11.9,11.99,10.81,11.28,21613245
2020-03-24,12.0,14.83,11.85,14.75,24294669
2020-03-25,15.17,16.19,14.18,14.74,19993624
2020-03-26,14.85,14.85,13.27,13.99,23234946
2020-03-27,13.58,13.58,12.27,12.79,15405709
2020-03-30,12.97,14.21,12.27,14.09,15460082
2020-03-31,14.07,14.89,13.86,14.01,16270171
2020-04-01,13.41,13.56,12.69,12.78,14039601
2020-04-02,12.75,13.94,12.52,12.76,13340039
2020-04-03,12.69,13.12,11.92,12.43,12254705
2020-04-06,13.12,14.17,12.94,13.94,17272728
2020-04-07,14.74,16.67,14.62,14.69,20200937
2020-04-08,15.13,16.16,14.82,15.8,16587830
2020-04-09,16.72,17.14,16.09,16.56,15991736
2020-04-13,16.75,16.86,15.64,16.06,11912794
2020-04-14,16.41,16.63,15.37,16.27,14021384
2020-04-15,15.57,15.75,15.0,15.2,11604542
2020-04-16,15.15,15.16,14.39,14.63,11750969
2020-04-17,15.34,15.84,15.2,15.8,9142505
2020-04-20,15.11,16.01,14.85,15.52,7836186
2020-04-21,15.16,15.5,14.86,15.15,7964104
2020-04-22,15.53,15.69,14.89,14.93,8514394
2020-04-23,14.95,15.89,14.66,15.52,10601223
2020-04-24,15.56,15.88,15.17,15.63,11015378
2020-04-27,15.72,17.09,15.72,16.98,9611418
2020-04-28,17.55,18.05,16.99,17.45,10883248
2020-04-29,18.05,19.5,18.01,18.99,15216547
2020-04-30,18.2,18.46,17.09,17.26,15791546
2020-05-01,16.79,16.81,15.9,16.46,11225629
2020-05-04,16.23,16.63,15.69,16.1,12886562
2020-05-05,16.28,16.35,15.2,15.26,10932906
2020-05-06,15.41,15.68,14.79,14.88,12620550
2020-05-07,16.79,17.52,16.22,16.42,29841967
2020-05-08,16.82,18.22,16.6,18.08,17215221
2020-05-11,18.44,18.48,17.37,18.04,13543658
2020-05-12,18.15,18.59,17.73,18.25,12306908
2020-05-13,18.07,18.1,16.32,16.85,18874728
2020-05-14,16.41,17.2,16.05,17.16,10219635
2020-05-15,16.73,17.34,16.58,17.3,11608401
2020-05-18,18.36,19.3,18.21,19.05,17621845
2020-05-19,19.17,20.28,18.66,19.64,15382609
2020-05-20,20.37,20.68,19.48,19.63,15998358
2020-05-21,19.5,20.19,19.4,19.84,13174315
2020-05-22,19.91,20.06,19.1,19.59,10553689
2020-05-26,20.35,20.56,19.8,20.37,16650208
2020-05-27,21.15,22.38,20.94,22.01,16083226
2020-05-28,21.96,22.09,21.12,21.2,11260933
2020-05-29,20.74,21.05,20.32,20.74,15554512
2020-06-01,20.65,21.82,20.57,21.53,7175784
2020-06-02,21.74,21.88,21.36,21.84,9835752
2020-06-03,22.27,23.06,22.14,22.72,8816866
2020-06-04,22.67,24.37,22.45,24.12,12649343
2020-06-05,25.73,26.53,24.75,24.82,17165188
2020-06-08,26.0,28.59,25.56,28.51,23066130
2020-06-09,27.5,27.61,25.97,26.02,18642726
2020-06-10,26.02,26.06,23.83,24.0,20386206
2020-06-11,22.0,23.63,21.8,23.59,19971149
2020-06-12,24.47,24.8,22.17,22.9,22131253
2020-06-15,21.9,25.39,21.7,24.89,20165973
2020-06-16,26.25,26.58,23.34,24.19,17451263
2020-06-17,23.97,24.4,23.2,23.3,17232746
2020-06-18,23.0,24.56,22.9,24.5,12249180
2020-06-19,24.91,25.19,23.55,23.69,35548782
2020-06-22,23.61,23.9,23.06,23.49,13738902
2020-06-23,23.83,24.15,23.52,23.71,10519595
2020-06-24,23.16,23.74,22.11,23.58,16923932
2020-06-25,22.97,23.17,22.26,22.97,14766646
2020-06-26,22.77,23.09,22.02,22.32,17517333
2020-06-29,22.39,23.39,21.88,23.05,10918586
2020-06-30,23.24,23.45,22.53,23.32,9886220
2020-07-01,23.33,24.12,23.09,23.6,8773214
2020-07-02,24.0,24.18,23.11,23.25,9948291
2020-07-06,23.79,23.94,23.28,23.69,9234487
2020-07-07,23.5,23.51,22.68,22.95,8823218
2020-07-08,22.79,22.99,22.21,22.92,9758968
2020-07-09,22.9,22.91,21.67,22.1,13176246
2020-07-10,22.02,22.95,21.83,22.93,6351933
2020-07-13,23.32,24.09,22.54,23.71,14111261
2020-07-14,23.51,24.33,23.16,24.25,8983693
2020-07-15,24.72,25.34,24.33,24.95,11980110
2020-07-16,24.58,25.6,24.39,25.5,8514290
2020-07-17,25.46,25.6,24.73,25.19,16381925
2020-07-20,25.28,25.29,24.24,24.47,8400995
2020-07-21,24.49,25.08,24.41,24.52,7898468
2020-07-22,24.33,24.96,24.12,24.86,6607872
2020-07-23,24.82,25.265,24.6416,25.13,8436058
2020-07-24,24.98,25.48,24.435,24.75,8646494
2020-07-27,24.67,24.88,24.1133,24.83,6861015
2020-07-28,24.47,24.96,24.335,24.52,4635980
2020-07-29,24.65,25.46,24.27,25.29,6711471
2020-07-30,24.64,26.05,24.44,25.81,7468968
2020-07-31,25.6798,26.18,25.34,26.07,8448137
2020-08-03,26.07,26.13,25.34,25.705,7970397
2020-08-04,25.84,26.69,25.61,26.55,8889389
2020-08-05,26.75,26.77,25.96,26.0,9751427
2020-08-06,26.6,27.57,25.905,26.89,17381591
2020-08-07,26.6,26.88,25.6601,26.21,11786357
2020-08-10,26.15,26.78,25.87,26.31,12312655
2020-08-11,26.77,27.8,26.155,26.51,12788298
2020-08-12,27.2145,27.31,25.9,26.24,11406588
2020-08-13,25.92,26.97,25.61,26.69,8121516
2020-08-14,26.67,28.24,26.55,27.46,16534218
2020-08-17,27.5,27.63,26.63,27.23,10914730
2020-08-18,27.21,28.1,26.5,26.97,6345034
2020-08-19,27.13,27.41,26.705,27.32,7598878
2020-08-20,27.0,27.0,26.34,26.69,10627217
2020-08-21,26.7,26.89,26.2899,26.51,4982190
2020-08-24,26.5492,27.67,26.45,27.64,6777620
2020-08-25,27.78,27.9998,27.18,27.57,5039463
2020-08-26,27.49,27.99,27.17,27.89,7094983
2020-08-27,28.24,28.81,27.76,28.27,10530276
2020-08-28,28.49,28.49,27.92,27.99,6122584
2020-08-31,27.82,28.25,27.68,27.85,6894472
2020-09-01,27.64,27.9,27.19,27.7,5178696
2020-09-02,27.63,28.42,27.4,28.31,6820058
2020-09-03,28.39,29.02,27.88,28.25,8722868
2020-09-04,28.45,28.86,27.98,28.75,9383647
2020-09-08,28.47,29.1,28.23,28.71,14509235
2020-09-09,28.81,29.035,28.19,28.71,7759860
2020-09-10,28.8183,29.6,28.74,29.3,9877262
2020-09-11,29.36,29.8117,29.04,29.28,12297171
2020-09-14,29.37,30.04,29.2,29.73,10249993
2020-09-15,30.08,30.84,29.865,30.13,11208109
2020-09-16,30.38,31.4,29.9275,30.68,9543299
2020-09-17,30.26,30.8114,29.895,30.26,11887659
2020-09-18,30.11,30.4782,29.895,30.16,13423154
2020-09-21,29.51,29.72,28.77,28.99,13916814
2020-09-22,29.23,29.825,28.97,29.405,8809889
2020-09-23,29.72,30.01,28.64,28.82,9744856
2020-09-24,28.57,29.5,28.11,29.15,13543072
2020-09-25,28.86,29.59,28.84,29.53,9418075
2020-09-28,29.99,30.19,29.5726,29.84,9323445
2020-09-29,29.65,29.91,28.9,28.96,11467497
2020-09-30,29.15,29.5053,27.88,28.01,9358771
2020-10-01,28.16,28.16,27.03,27.68,13944133
2020-10-02,27.15,28.37,26.985,27.97,9108995
2020-10-05,28.1,28.63,28.06,28.39,5874880
2020-10-06,28.75,29.49,28.43,28.45,8724414
2020-10-07,28.95,29.105,28.64,28.85,4870511
2020-10-08,29.05,29.68,28.74,29.61,9561753
2020-10-09,29.8921,30.08,28.9,28.915,5729622
2020-10-12,28.83,28.97,28.27,28.325,6608214
2020-10-13,27.73,28.18,27.085,27.45,13413122
2020-10-14,27.5,27.79,27.2045,27.34,7127154
2020-10-15,27.47,27.865,27.215,27.83,6890603
2020-10-16,27.97,28.02,27.43,27.94,7504020
2020-10-19,28.15,28.17,27.01,27.13,15514778
2020-10-20,27.42,27.7728,27.105,27.46,9204122
2020-10-21,27.46,28.57,27.1,28.47,9283066
2020-10-22,28.7,29.5,28.6,29.1,9179338
2020-10-23,29.3,29.5,28.7,29.28,5877810
2020-10-26,28.64,28.94,28.29,28.75,7403447
2020-10-27,28.56,28.64,28.06,28.21,8316670
2020-10-28,27.5,28.165,27.4,27.8,12406996
2020-10-29,27.66,28.3,27.5201,28.13,7449696
2020-10-30,27.8,28.59,27.661,28.57,12166087
2020-11-02,28.8,29.655,28.36,29.6,11088856
2020-11-03,30.0,30.48,29.69,30.13,12412780
2020-11-04,29.96,30.28,29.31,29.77,8869735
2020-11-05,30.01,31.345,30.01,31.29,11691652
2020-11-06,30.75,30.98,28.85,29.3,26843629
2020-11-09,30.85,31.15,28.78,29.05,17020190
2020-11-10,29.16,30.075,28.855,30.07,8927487
2020-11-11,29.7638,30.345,29.59,30.2,9281712
2020-11-12,30.0,30.0,29.12,29.25,8086204
2020-11-13,29.4,30.48,29.38,30.2,7895824
2020-11-16,30.77,32.53,30.62,31.9,21017113
2020-11-17,31.6,32.8918,30.99,32.29,9860853
2020-11-18,32.5,33.245,32.09,32.7,8265182
2020-11-19,32.4,33.58,32.24,33.43,9218588
2020-11-20,33.41,34.0982,33.13,33.99,16974851
2020-11-23,34.25,35.48,34.2,34.62,14833823
2020-11-24,34.5487,34.92,34.14,34.51,12468352
2020-11-25,34.48,34.89,33.5,34.82,12094976
