date,open,high,low,close,volume
2020-01-02,266.92,271.98,265.65,271.8,388652
2020-01-03,269.49,273.68,268.11,272.71,343153
2020-01-06,267.9,278.2,267.0,278.09,446586
2020-01-07,278.4,282.6,276.789,279.49,450835
2020-01-08,280.54,286.64,279.61,283.12,532234
2020-01-09,285.0,287.83,283.3,285.29,506356
2020-01-10,286.5,288.26,284.19,285.58,414304
2020-01-13,289.0,297.09,287.59,295.43,589626
2020-01-14,295.53,297.53,285.55,286.51,751277
2020-01-15,288.63,292.5,287.31,289.09,394328
2020-01-16,290.72,294.4,288.68,294.31,326616
2020-01-17,295.78,296.516,292.366,296.24,310653
2020-01-21,296.2,301.21,295.542,299.78,462581
2020-01-22,303.14,306.37,300.74,303.28,487378
2020-01-23,318.26,324.0,314.02,314.85,3206357
2020-01-24,316.33,317.87,311.71,314.81,2162944
2020-01-27,307.46,314.45,307.46,312.53,9503913
2020-01-28,312.98,319.9,311.005,318.59,1094381
2020-01-29,320.44,324.75,318.4,322.05,1046384
2020-01-30,320.8,325.76,318.0,325.62,601849
2020-01-31,323.45,323.999,317.87,318.16,871552
2020-02-03,321.12,325.38,318.18,323.47,926056
2020-02-04,328.2,337.99,327.09,337.74,1047277
2020-02-05,341.62,342.0,318.72,322.5,1708304
2020-02-06,301.08,306.99,288.1,290.71,2685659
2020-02-07,290.26,299.73,290.26,293.53,950939
2020-02-10,293.53,300.0,292.5,297.99,815708
2020-02-11,299.42,300.61,292.07,294.76,826424
2020-02-12,295.7,296.605,288.28,296.36,624846
2020-02-13,294.36,306.61,294.36,303.29,698849
2020-02-14,304.72,315.74,304.72,314.43,864555
2020-02-18,314.27,318.51,311.641,318.16,666228
2020-02-19,320.71,325.99,320.51,324.48,858623
2020-02-20,324.89,325.17,305.22,310.33,942049
2020-02-21,308.91,309.51,299.22,300.39,786498
2020-02-24,285.4,299.0,285.2,295.77,1045557
2020-02-25,299.75,301.63,287.85,288.91,906982
2020-02-26,288.17,300.52,287.68,291.92,672885
2020-02-27,280.22,293.57,277.67,281.36,861076
2020-02-28,270.99,283.6,264.51,282.65,1460791
2020-03-02,285.98,292.33,276.12,291.96,810902
2020-03-03,293.63,297.64,274.03,282.3,712091
2020-03-04,287.46,293.695,282.435,293.69,572919
2020-03-05,288.04,295.395,281.03,282.26,654330
2020-03-06,273.99,274.97,257.33,267.71,1030160
2020-03-09,240.03,255.855,235.705,240.84,1361282
2020-03-10,246.44,248.53,232.5,239.48,1203088
2020-03-11,234.53,238.42,216.95,220.68,1344970
2020-03-12,189.39,219.63,185.37,191.98,1970263
2020-03-13,205.63,226.65,196.586,226.62,1622015
2020-03-16,196.35,208.83,184.39,196.27,1298568
2020-03-17,200.13,216.85,190.49,216.75,1051015
2020-03-18,199.21,204.36,186.99,192.39,1265488
2020-03-19,193.49,203.83,182.08,197.55,1191768
2020-03-20,203.26,218.44,190.02,192.81,1453217
2020-03-23,191.1,191.99,173.646,178.94,1654515
2020-03-24,190.45,201.99,184.19,201.62,1348833
2020-03-25,202.92,218.95,192.63,210.65,1129795
2020-03-26,204.25,230.38,202.14,229.21,1086709
2020-03-27,220.32,223.97,207.465,208.94,1114769
2020-03-30,209.74,219.0,208.94,213.12,796652
2020-03-31,210.01,212.334,198.63,202.01,1008215
2020-04-01,193.0,198.439,183.295,187.44,1030229
2020-04-02,183.7,185.99,173.07,181.26,1359099
2020-04-03,180.82,181.99,163.42,165.01,1886783
2020-04-06,175.05,183.79,171.01,181.85,1520307
2020-04-07,194.99,204.33,185.245,186.02,1617199
2020-04-08,190.31,205.178,189.29,202.58,785919
2020-04-09,209.3,230.77,207.08,221.99,2278228
2020-04-13,221.05,221.98,210.04,216.35,1015358
2020-04-14,229.0,233.32,222.28,228.51,855900
2020-04-15,221.21,226.44,219.92,226.4,784894
2020-04-16,226.3,229.5,206.01,206.71,1474484
2020-04-17,216.57,227.545,213.01,224.99,1466107
2020-04-20,221.6,229.123,219.13,222.36,650160
2020-04-21,216.42,217.4,205.06,208.2,762468
2020-04-22,214.26,219.41,212.9,217.74,559078
2020-04-23,205.61,217.61,205.094,211.67,1077974
2020-04-24,214.02,214.72,207.3,211.8,742032
2020-04-27,218.38,227.06,216.13,226.1,789260
2020-04-28,235.22,241.0,230.82,236.69,1342379
2020-04-29,240.51,272.86,238.73,270.0,2231290
2020-04-30,264.54,271.045,260.4,261.02,1068607
2020-05-01,253.0,255.0,235.45,241.66,1338883
2020-05-04,236.98,249.52,233.5,248.12,696017
2020-05-05,253.31,261.7,251.11,256.98,668213
2020-05-06,259.44,260.762,253.215,255.04,542329
2020-05-07,261.64,274.99,261.64,268.82,1033207
2020-05-08,273.62,275.943,266.69,272.03,672991
2020-05-11,269.65,280.21,268.49,274.29,591468
2020-05-12,275.14,276.05,263.11,263.45,563998
2020-05-13,262.35,263.73,240.16,243.31,1420265
2020-05-14,239.94,252.95,233.27,252.81,1099998
2020-05-15,252.33,264.56,252.33,261.68,933015
2020-05-18,274.0,287.05,271.255,283.9,1519429
2020-05-19,285.04,290.86,279.67,279.69,865905
2020-05-20,276.01,280.94,268.61,273.47,1290851
2020-05-21,275.0,277.74,268.26,274.28,598861
2020-05-22,274.0,274.68,267.07,269.35,648300
2020-05-26,280.0,283.98,275.55,280.3,785366
2020-05-27,283.1,287.48,272.25,287.06,860878
2020-05-28,287.0,298.5,285.04,287.21,800430
2020-05-29,288.0,297.65,286.41,297.23,1070131
2020-06-01,296.7,309.28,294.601,305.61,751739
2020-06-02,305.6,308.33,299.05,306.84,560952
2020-06-03,308.79,310.45,305.36,306.98,469441
2020-06-04,303.78,306.65,298.195,303.17,536583
2020-06-05,310.44,330.61,308.78,329.78,1393379
2020-06-08,328.94,333.4,323.99,331.02,828232
2020-06-09,325.0,331.45,324.02,327.6,751661
2020-06-10,328.25,336.86,319.07,331.5,730787
2020-06-11,313.78,315.0,294.64,295.68,1024026
2020-06-12,308.63,315.91,296.27,302.8,629420
2020-06-15,294.6,311.24,291.29,307.72,532569
2020-06-16,319.04,321.274,306.3,312.64,654876
2020-06-17,317.48,317.48,308.66,309.02,385687
