date,open,high,low,close,volume
1999-11-01,23.06,23.31,22.81,23.25,1582300
1999-11-02,22.94,23.38,22.94,23.25,1096900
1999-11-03,23.13,23.63,23.13,23.34,2115400
1999-11-04,23.88,23.88,23.38,23.5,1822900
1999-11-05,23.88,24.25,23.63,23.94,1440400
1999-11-08,23.81,24.0,23.75,23.81,1103500
1999-11-09,23.63,23.81,23.56,23.69,665900
1999-11-10,23.56,23.69,23.5,23.56,1711100
1999-11-11,23.5,23.63,23.44,23.5,1469800
1999-11-12,23.56,23.88,23.56,23.75,1031500
1999-11-15,23.63,23.69,23.44,23.56,1299000
1999-11-16,23.5,23.81,23.5,23.69,1333100
1999-11-17,23.63,23.69,23.44,23.5,846400
1999-11-18,23.5,23.56,23.25,23.31,599400
1999-11-19,23.25,23.38,23.0,23.06,1513100
1999-11-22,23.0,23.0,22.5,22.56,981400
1999-11-23,22.63,22.75,22.25,22.25,890300
1999-11-24,22.31,22.5,22.25,22.31,533400
1999-11-26,22.19,22.38,22.13,22.13,259500
1999-11-29,22.06,22.38,21.81,22.13,2211300
1999-11-30,21.94,22.56,21.88,22.38,915400
1999-12-01,22.5,22.69,22.06,22.19,1132500
1999-12-02,22.13,22.5,22.13,22.25,812600
1999-12-03,22.13,22.5,22.06,22.06,1116900
1999-12-06,22.25,22.44,22.13,22.25,1165900
1999-12-07,22.25,22.5,22.0,22.0,781500
1999-12-08,22.0,22.19,21.5,21.75,751500
1999-12-09,21.88,21.94,21.75,21.81,450200
1999-12-10,21.75,21.88,21.25,21.25,848100
1999-12-13,20.94,21.06,20.69,20.75,2262300
1999-12-14,20.56,21.25,20.5,21.13,1392200
1999-12-15,21.0,21.31,21.0,21.19,951700
1999-12-16,21.13,21.34,21.06,21.19,1177500
1999-12-17,21.0,21.75,21.0,21.5,2813900
1999-12-20,21.0,21.31,20.56,20.88,913000
1999-12-21,20.63,21.25,20.63,20.88,1031900
1999-12-22,20.63,20.81,20.56,20.63,523900
1999-12-23,20.81,21.0,20.75,20.94,362100
1999-12-27,20.88,21.13,20.63,20.69,634100
1999-12-28,20.56,20.75,20.38,20.44,568300
1999-12-29,20.44,20.56,20.25,20.44,481700
1999-12-30,20.31,20.5,20.31,20.44,480000
1999-12-31,20.38,20.63,20.38,20.5,236100
2000-01-03,20.38,20.38,19.81,19.81,609700
2000-01-04,19.81,20.88,19.69,20.69,1603100
2000-01-05,20.75,22.38,20.75,22.19,3054100
2000-01-06,21.88,22.38,21.81,22.25,1058100
2000-01-07,22.25,22.63,22.06,22.25,943400
2000-01-10,21.75,22.13,21.56,21.81,543200
2000-01-11,21.63,21.94,21.31,21.5,751600
2000-01-12,21.5,22.31,21.5,22.0,852800
2000-01-13,21.94,22.06,21.81,22.0,863600
2000-01-14,22.0,22.0,21.31,21.81,1355300
2000-01-18,22.0,22.0,21.56,21.88,2423200
2000-01-19,22.13,22.38,21.94,22.38,1203700
2000-01-20,22.31,22.31,21.81,22.0,1001600
2000-01-21,21.94,22.63,21.63,22.44,1815000
2000-01-24,22.5,22.69,22.25,22.38,1304000
2000-01-25,22.31,22.38,21.38,21.63,1033100
2000-01-26,21.44,22.06,21.25,22.0,1571000
2000-01-27,21.94,22.25,21.13,21.56,1449000
2000-01-28,21.56,21.63,21.06,21.13,1348800
2000-01-31,21.69,22.0,21.31,21.94,1122100
2000-02-01,22.0,22.25,21.81,22.19,1119400
2000-02-02,22.19,22.31,22.06,22.06,1514600
2000-02-03,22.13,22.94,22.13,22.75,825800
2000-02-04,22.88,22.88,21.88,22.25,607400
2000-02-07,22.25,22.31,22.0,22.25,456700
2000-02-08,22.13,22.44,22.06,22.06,515500
2000-02-09,22.06,22.44,22.06,22.06,686200
2000-02-10,22.0,22.19,21.25,21.38,510700
2000-02-11,21.31,21.81,21.06,21.69,811100
2000-02-14,21.56,22.25,21.38,21.88,599700
2000-02-15,22.19,22.25,21.63,21.81,1339200
2000-02-16,21.81,22.06,21.75,21.81,609100
2000-02-17,21.88,23.13,21.63,23.13,1716800
2000-02-18,22.88,23.0,22.31,22.5,1276800
2000-02-22,22.0,22.75,22.0,22.44,849300
2000-02-23,22.25,22.25,21.75,21.88,649200
2000-02-24,21.88,21.88,20.5,20.81,1285400
2000-02-25,20.69,20.69,20.0,20.06,833800
2000-02-28,20.25,20.88,19.88,20.75,851200
2000-02-29,20.69,20.75,20.13,20.63,807500
2000-03-01,20.56,20.63,19.75,19.94,1260900
2000-03-02,20.25,21.13,20.25,21.0,954900
2000-03-03,21.0,21.88,20.88,21.75,1940700
2000-03-06,21.75,21.75,21.0,21.06,1393600
