date,open,high,low,close,volume
2020-01-02,92.96,93.3424,91.4,92.35,230552
2020-01-03,93.27,93.35,92.3,92.36,153148
2020-01-06,92.91,92.978,90.0,90.68,182055
2020-01-07,90.39,91.47,90.16,91.47,67895
2020-01-08,91.56,91.56,89.685,90.16,102514
2020-01-09,90.16,91.4242,90.16,90.9416,60807
2020-01-10,91.65,92.84,91.41,92.27,58695
2020-01-13,91.85,92.1599,90.71,91.9245,59139
2020-01-14,91.76,92.8,91.76,92.72,109188
2020-01-15,95.54,96.51,95.26,96.22,521779
2020-01-16,95.59,95.955,93.71,94.99,341909
2020-01-17,96.39,96.9267,95.3,96.29,209840
2020-01-21,93.55,95.03,93.4,94.49,204828
2020-01-22,94.92,95.995,94.7816,95.5507,149001
2020-01-23,94.53,95.13,94.02,94.6,143999
2020-01-24,94.7,95.75,94.4913,94.83,111636
2020-01-27,93.01,93.5,92.66,92.67,135569
2020-01-28,92.71,93.5,92.71,93.01,62087
2020-01-29,92.83,92.89,91.4578,92.06,94015
2020-01-30,91.95,92.4041,91.49,92.32,101578
2020-01-31,90.59,90.7049,90.12,90.2,121729
2020-02-03,91.04,91.6,91.04,91.17,94506
2020-02-04,90.92,91.075,90.26,90.97,69797
2020-02-05,91.86,92.877,91.45,92.7,66815
2020-02-06,91.81,92.0,90.48,90.61,88125
2020-02-07,91.49,91.65,90.77,91.2,73464
2020-02-10,90.56,90.9,89.83,90.61,65230
2020-02-11,91.1,91.69,91.1,91.55,57026
2020-02-12,90.77,91.28,89.89,90.71,64513
2020-02-13,91.13,91.74,90.93,91.3,67056
2020-02-14,91.49,91.559,90.74,90.87,37318
2020-02-18,92.09,93.61,91.9056,93.61,125864
2020-02-19,94.52,95.04,94.07,95.04,208462
2020-02-20,93.02,93.34,91.59,92.26,244429
2020-02-21,91.91,92.4,91.44,92.01,147945
2020-02-24,91.07,91.6186,90.31,90.8,168912
2020-02-25,90.17,90.22,86.76,86.77,250474
2020-02-26,85.97,86.37,85.4012,85.91,186927
2020-02-27,85.86,85.86,84.58,84.63,177279
2020-02-28,81.55,82.04,79.7,81.14,536804
2020-03-02,80.66,81.55,80.66,81.11,187548
2020-03-03,81.23,83.0,80.95,82.58,176788
2020-03-04,82.58,82.66,81.65,82.64,94090
2020-03-05,81.86,81.99,80.66,81.75,124493
2020-03-06,85.01,85.23,83.3645,85.2,309648
2020-03-09,82.26,82.34,81.09,81.56,219879
2020-03-10,82.9,82.9,81.66,82.1,122395
2020-03-11,82.61,83.3899,81.29,81.5,138155
2020-03-12,76.41,76.6,70.76,71.9,521037
2020-03-13,75.11,75.56,69.59,71.69,307879
2020-03-16,63.64,65.8,61.2195,62.0601,446037
2020-03-17,61.31,67.53,61.08,62.49,336231
2020-03-18,59.05,59.75,56.82,58.82,451366
2020-03-19,56.7,56.88,55.0,55.36,331096
2020-03-20,57.7,59.28,56.8,57.57,232395
2020-03-23,57.97,60.755,57.605,60.16,406968
2020-03-24,65.2,66.8,63.75,66.8,276433
2020-03-25,67.72,70.34,67.63,69.79,237239
2020-03-26,69.53,70.13,68.57,69.14,217111
2020-03-27,69.44,69.86,68.61,69.33,226830
2020-03-30,68.43,69.22,67.67,68.28,172926
2020-03-31,68.46,69.31,67.6,67.9,68409
2020-04-01,66.9,68.295,66.02,67.37,92173
2020-04-02,67.89,68.82,67.08,68.61,90495
2020-04-03,67.68,68.2,67.08,68.01,83336
2020-04-06,68.36,69.8297,68.29,69.68,93038
2020-04-07,69.73,70.59,69.29,69.88,110618
2020-04-08,69.85,70.0406,68.05,69.0,96907
2020-04-09,69.48,71.1755,69.2598,70.29,214997
2020-04-13,69.82,70.9,69.6335,70.8,129892
2020-04-14,72.5,74.8,72.41,73.95,269825
2020-04-15,73.67,73.83,72.61,73.3,96831
