date,open,high,low,close,volume
2020-01-02,17.26,17.3,17.01,17.09,8972187
2020-01-03,16.82,16.88,16.63,16.77,8382631
2020-01-06,16.57,16.6,16.44,16.58,7570504
2020-01-07,16.5,16.53,16.28,16.35,9239116
2020-01-08,16.37,16.58,16.35,16.45,7741797
2020-01-09,16.58,16.58,16.44,16.55,7596524
2020-01-10,16.55,16.58,16.29,16.35,6160418
2020-01-13,16.4,16.45,16.3,16.44,6571142
2020-01-14,16.44,16.59,16.4,16.49,10616304
2020-01-15,16.31,16.43,16.18,16.31,12845034
2020-01-16,16.43,16.67,16.39,16.65,14892963
2020-01-17,16.7,16.75,16.2,16.39,17323431
2020-01-21,16.29,16.38,16.12,16.25,10804376
2020-01-22,16.32,16.32,16.18,16.22,8444446
2020-01-23,16.15,16.2,15.95,16.17,7057008
2020-01-24,16.13,16.17,15.59,15.72,6501886
2020-01-27,15.36,15.55,15.32,15.45,13732497
2020-01-28,15.57,15.75,15.46,15.53,10869685
2020-01-29,15.57,15.68,15.36,15.4,8071140
2020-01-30,15.23,15.66,15.12,15.61,13674136
2020-01-31,15.4,15.59,15.36,15.57,24895916
2020-02-03,15.71,15.95,15.69,15.86,11277282
2020-02-04,16.1,16.31,16.02,16.26,18884932
2020-02-05,16.44,16.68,16.38,16.57,8967110
2020-02-06,16.72,16.77,16.32,16.35,10912444
2020-02-07,16.22,16.34,16.16,16.32,6312749
2020-02-10,16.25,16.3,16.13,16.28,8848625
2020-02-11,16.35,16.59,16.32,16.41,6629585
2020-02-12,16.54,16.71,16.36,16.47,5081877
2020-02-13,16.39,16.61,16.31,16.6,4604443
2020-02-14,16.55,16.58,16.42,16.54,5911558
2020-02-18,16.42,16.52,16.14,16.31,9829954
2020-02-19,16.41,16.48,16.34,16.43,5140529
2020-02-20,16.34,16.69,16.34,16.54,9131266
2020-02-21,16.42,16.45,16.18,16.33,12312659
2020-02-24,15.74,15.9,15.71,15.73,10858749
2020-02-25,15.73,15.76,14.7,14.79,15818382
2020-02-26,14.94,15.15,14.55,14.58,11377715
2020-02-27,14.19,14.5,13.79,13.85,15071280
2020-02-28,13.46,13.86,13.17,13.52,28618379
2020-03-02,13.63,14.53,13.4,14.51,23704207
2020-03-03,14.45,14.77,13.97,14.09,32399416
2020-03-04,14.28,14.62,14.05,14.55,20535229
2020-03-05,13.83,14.1,13.69,13.81,24354299
2020-03-06,13.07,13.54,12.73,12.98,21487729
2020-03-09,11.45,11.7,10.25,10.47,23467894
2020-03-10,11.04,11.51,10.51,11.47,17010502
2020-03-11,11.05,11.25,10.44,10.69,25917675
2020-03-12,9.78,10.38,9.2,9.46,18787907
2020-03-13,10.38,10.58,9.58,9.98,27997502
2020-03-16,8.52,8.77,8.13,8.31,20269135
2020-03-17,8.47,9.27,7.92,8.88,23494793
2020-03-18,8.28,8.7,7.29,7.36,18002353
2020-03-19,7.26,8.46,6.94,8.28,15534013
2020-03-20,8.4,8.76,7.87,8.26,23045628
2020-03-23,8.13,8.35,7.6,7.72,17455372
2020-03-24,8.31,9.05,8.18,8.85,15557273
2020-03-25,9.05,9.2,8.53,8.73,18084431
2020-03-26,8.85,9.97,8.82,9.85,17774494
2020-03-27,9.24,10.1,9.22,9.67,12732610
2020-03-30,9.54,9.71,9.14,9.5,11632579
2020-03-31,9.37,9.45,8.85,8.97,15353812
2020-04-01,8.36,8.64,8.06,8.3,14045187
2020-04-02,8.17,8.74,8.03,8.39,14035984
2020-04-03,8.36,8.44,7.9,8.07,14772803
2020-04-06,8.61,8.98,8.4,8.88,15988641
2020-04-07,9.67,9.93,9.32,9.39,14329548
2020-04-08,9.56,10.21,9.53,10.11,10879701
2020-04-09,10.5,11.22,10.46,11.01,16772482
2020-04-13,11.01,11.07,10.38,10.67,11631636
2020-04-14,10.85,10.98,9.89,10.12,16539519
2020-04-15,9.49,9.65,9.26,9.29,13269711
2020-04-16,9.22,9.25,8.75,8.85,15691367
2020-04-17,9.01,9.71,8.77,9.52,16875708
2020-04-20,9.21,9.75,8.91,9.4,11453009
2020-04-21,9.03,9.29,8.78,8.88,15520425
2020-04-22,9.15,9.3,9.02,9.09,11046714
2020-04-23,9.19,9.52,9.16,9.42,12417404
2020-04-24,9.52,10.0,9.4,9.79,16855583
2020-04-27,9.9,10.58,9.7,10.48,14232486
2020-04-28,11.0,11.19,10.6,10.69,11180787
2020-04-29,11.19,11.46,11.01,11.26,11707284
2020-04-30,10.86,10.99,10.55,10.75,9880914
2020-05-01,10.39,10.43,10.04,10.17,6816546
2020-05-04,9.93,10.19,9.79,10.16,6483235
2020-05-05,10.46,10.58,9.93,9.98,8153460
2020-05-06,10.12,10.21,9.62,9.65,8733734
2020-05-07,9.81,10.18,9.77,9.85,9975680
2020-05-08,10.17,10.38,10.01,10.32,7561558
2020-05-11,10.14,10.14,9.66,9.81,10959657
2020-05-12,9.91,10.04,9.32,9.32,10202708
2020-05-13,9.24,9.3,8.72,8.92,14003142
2020-05-14,8.63,9.48,8.41,9.34,16510973
2020-05-15,9.2,9.37,9.01,9.19,9175967
2020-05-18,9.69,10.11,9.62,10.03,10766421
2020-05-19,9.87,10.03,9.59,9.64,9638943
2020-05-20,9.86,10.12,9.84,10.05,9017505
2020-05-21,10.0,10.28,9.91,9.94,7991193
2020-05-22,9.98,10.14,9.76,9.95,6787261
2020-05-26,10.49,11.19,10.42,10.96,13326327
2020-05-27,11.61,12.0,11.35,11.98,15818849
2020-05-28,12.16,12.22,11.45,11.5,12227351
2020-05-29,11.2,11.5,11.08,11.31,19646261
2020-06-01,11.35,11.63,11.26,11.48,8730085
2020-06-02,11.71,11.95,11.55,11.7,10844499
2020-06-03,12.1,12.49,12.0,12.31,11357747
2020-06-04,12.14,12.93,11.97,12.93,14364949
2020-06-05,14.0,14.25,13.18,13.33,14604538
2020-06-08,13.78,13.98,13.49,13.84,8901895
2020-06-09,13.22,13.64,13.03,13.46,10765755
2020-06-10,13.26,13.32,12.62,12.66,11721532
2020-06-11,11.62,12.07,11.33,11.4,11101694
2020-06-12,12.15,12.15,11.39,11.9,11041263
2020-06-15,11.42,12.29,11.29,12.16,12572504
2020-06-16,12.89,12.95,12.23,12.58,11065653
2020-06-17,12.66,12.74,12.31,12.36,9961856
2020-06-18,12.17,12.7,12.07,12.36,9722539
2020-06-19,12.65,12.65,11.92,12.0,51154711
2020-06-22,11.92,12.29,11.83,12.08,7720836
2020-06-23,12.36,12.48,11.99,12.01,9599749
2020-06-24,11.8,11.85,11.27,11.28,9584197
2020-06-25,11.2,11.69,11.14,11.65,10895301
2020-06-26,11.3,11.37,10.6,10.65,14589719
2020-06-29,10.88,11.07,10.69,10.86,9390123
2020-06-30,10.75,11.22,10.72,11.12,14251770
2020-07-01,11.1,11.2,10.54,10.63,12517609
2020-07-02,10.92,11.15,10.53,10.6,13439231
2020-07-06,10.85,11.09,10.59,10.8,9381975
2020-07-07,10.64,10.68,10.31,10.33,9072830
2020-07-08,10.3,10.49,10.11,10.34,9498640
2020-07-09,10.29,10.36,9.79,9.83,10367808
2020-07-10,9.83,10.31,9.8,10.29,10660893
2020-07-13,10.51,10.63,10.15,10.48,9926238
2020-07-14,10.41,10.47,10.07,10.21,10073530
2020-07-15,10.56,10.77,10.41,10.73,9049840
2020-07-16,10.59,10.99,10.5,10.8,9134752
2020-07-17,10.65,10.69,10.27,10.32,17499980
2020-07-20,10.2,10.43,10.17,10.23,8704748
2020-07-21,10.34,10.87,10.34,10.8,10967320
2020-07-22,10.68,10.89,10.64,10.8,9561909
2020-07-23,10.73,11.12,10.715,11.04,6922667
2020-07-24,11.1,11.21,10.86,10.92,6263431
2020-07-27,10.81,10.82,10.56,10.61,9275300
2020-07-28,10.54,10.67,10.49,10.54,9091337
2020-07-29,10.53,11.04,10.445,11.04,9914134
2020-07-30,10.64,10.76,10.45,10.75,5714150
2020-07-31,10.7,10.86,10.5701,10.86,11041728
2020-08-03,10.87,10.935,10.69,10.76,6466343
2020-08-04,10.76,10.8361,10.66,10.7,6312860
2020-08-05,10.86,10.98,10.8034,10.93,5625835
2020-08-06,10.85,10.965,10.74,10.84,6168606
2020-08-07,10.71,11.27,10.6842,11.26,7677409
2020-08-10,11.28,11.67,11.27,11.5,6379991
2020-08-11,11.85,12.31,11.85,11.93,10987088
2020-08-12,12.18,12.31,11.5,11.92,11645015
2020-08-13,11.69,11.7353,11.545,11.62,6540515
2020-08-14,11.5,11.895,11.47,11.77,5124520
2020-08-17,11.62,11.755,11.5,11.67,9334392
2020-08-18,11.67,11.67,11.33,11.37,5079649
2020-08-19,11.35,11.58,11.265,11.42,5046956
2020-08-20,11.25,11.3,11.07,11.08,5384674
2020-08-21,11.03,11.15,10.9,10.97,5334471
2020-08-24,11.09,11.54,11.0,11.54,5806287
2020-08-25,11.74,11.9,11.5105,11.68,8049847
2020-08-26,11.63,11.68,11.365,11.38,5936594
2020-08-27,11.4,11.76,11.37,11.7,6175631
2020-08-28,11.75,11.79,11.625,11.71,4964791
2020-08-31,11.72,11.73,11.53,11.56,7327658
2020-09-01,11.45,11.72,11.37,11.63,5897404
2020-09-02,11.57,11.84,11.5,11.79,6862838
2020-09-03,11.77,12.11,11.47,11.53,7846721
2020-09-04,11.84,11.985,11.52,11.8,6025142
2020-09-08,11.58,11.64,11.28,11.37,7351275
2020-09-09,11.48,11.55,11.33,11.46,6218951
2020-09-10,11.56,11.79,11.23,11.24,6968120
2020-09-11,11.27,11.57,11.2,11.52,6161112
2020-09-14,11.64,12.08,11.59,12.06,6420725
2020-09-15,12.12,12.14,11.755,11.98,7992796
2020-09-16,11.98,12.32,11.9,12.09,8277098
2020-09-17,11.9,12.12,11.84,12.03,8007335
2020-09-18,11.92,12.055,11.81,11.91,12367638
2020-09-21,11.52,11.745,11.18,11.31,8490557
2020-09-22,11.3,11.47,10.98,11.04,8993671
2020-09-23,11.1,11.36,10.74,10.75,7301286
2020-09-24,10.81,11.035,10.61,10.76,6390739
2020-09-25,10.66,11.05,10.6,11.0,6619139
2020-09-28,11.3,11.53,11.2336,11.51,9044363
2020-09-29,11.41,11.57,11.19,11.37,7784759
2020-09-30,11.47,11.705,11.35,11.53,9506965
2020-10-01,11.54,11.655,11.38,11.53,7672731
2020-10-02,11.34,12.03,11.3,11.95,8072340
2020-10-05,12.12,12.58,12.1,12.57,8103539
2020-10-06,12.77,12.995,12.32,12.39,9982567
2020-10-07,12.61,12.93,12.54,12.71,7868605
2020-10-08,12.83,13.05,12.665,13.04,10066229
2020-10-09,13.06,13.13,12.7,12.79,6694460
2020-10-12,12.78,12.98,12.715,12.95,5145375
2020-10-13,12.89,12.9,12.45,12.49,6629201
2020-10-14,12.49,12.585,12.245,12.25,7819975
2020-10-15,12.14,12.6,12.1,12.54,7103762
2020-10-16,12.54,12.62,12.265,12.47,6503785
2020-10-19,12.6,12.64,12.32,12.34,6513278
2020-10-20,12.75,13.37,12.68,12.94,16365487
2020-10-21,12.95,13.1299,12.73,12.79,9093294
2020-10-22,12.82,13.82,12.74,13.8,15868849
2020-10-23,13.93,14.04,13.61,13.78,9295269
2020-10-26,13.59,13.62,13.27,13.35,9455553
2020-10-27,13.31,13.3164,12.9,12.9,8385536
2020-10-28,12.63,12.94,12.59,12.73,9612093
2020-10-29,12.64,13.32,12.52,13.2,8177438
2020-10-30,13.15,13.35,13.0,13.3,7247895
2020-11-02,13.54,13.8,13.22,13.76,7507413
2020-11-03,14.06,14.15,13.86,14.03,8472937
2020-11-04,13.62,13.62,12.885,13.13,10892776
2020-11-05,13.17,13.9775,13.17,13.68,10522916
2020-11-06,13.65,13.72,12.98,13.05,10748122
2020-11-09,14.24,15.6,14.23,15.22,22576679
2020-11-10,15.39,15.45,15.0,15.23,10972995
2020-11-11,15.26,15.288,14.64,14.87,8738698
2020-11-12,14.55,14.73,14.19,14.42,8837425
2020-11-13,14.6,14.97,14.57,14.9,6050125
2020-11-16,15.57,15.79,15.37,15.61,9783820
2020-11-17,15.32,15.645,15.18,15.62,9589208
2020-11-18,15.68,15.88,15.375,15.41,7031342
2020-11-19,15.27,15.48,15.03,15.46,5775786
2020-11-20,15.3,15.319,14.98,15.11,6151842
2020-11-23,15.36,15.535,15.28,15.39,5890826
2020-11-24,15.9,16.225,15.67,16.09,12362818
2020-11-25,15.88,15.89,15.61,15.75,6104389
2020-11-27,15.75,15.95,15.5,15.62,3711064
2020-11-30,15.95,15.96,15.24,15.27,12087738
2020-12-01,15.69,16.05,15.6,15.87,8853422
2020-12-02,15.73,16.21,15.605,16.17,9168967
2020-12-03,16.04,16.14,15.795,16.03,14249682
2020-12-04,16.18,16.35,16.0,16.17,16112137
2020-12-07,16.11,16.13,15.85,15.97,7397569
2020-12-08,15.87,16.095,15.77,15.95,8927002
2020-12-09,16.08,16.11,15.72,15.87,9757816
2020-12-10,15.73,15.885,15.6,15.85,10552517
2020-12-11,15.59,15.65,15.36,15.54,8628329
2020-12-14,15.82,15.82,15.07,15.15,8948768
2020-12-15,15.29,15.41,15.08,15.38,8567616
2020-12-16,15.4,15.63,15.33,15.6,9109218
2020-12-17,15.61,15.63,15.29,15.56,10842016
2020-12-18,15.54,15.615,15.095,15.26,15145052
2020-12-21,15.37,15.72,15.16,15.54,10235725
2020-12-22,15.61,15.66,15.42,15.43,6299179
2020-12-23,15.56,16.08,15.52,15.94,5870926
2020-12-24,16.01,16.025,15.69,15.95,2588204
2020-12-28,16.09,16.2,15.91,15.96,4879247
2020-12-29,16.0,16.0,15.7,15.75,4173042
2020-12-30,15.8,16.0,15.79,15.93,3726347
2020-12-31,15.9,16.14,15.77,16.12,4764706
2021-01-04,16.27,16.2901,15.72,15.95,7872818
2021-01-05,15.97,16.43,15.915,16.25,7444832
2021-01-06,16.7,17.49,16.7,17.25,13449512
2021-01-07,17.46,17.93,17.44,17.66,9326892
2021-01-08,17.73,17.735,17.21,17.57,7526894
2021-01-11,17.35,17.925,17.155,17.88,9391111
2021-01-12,18.0,18.33,17.78,18.26,7753995
2021-01-13,18.15,18.25,17.85,18.16,8682412
2021-01-14,18.33,18.71,18.185,18.65,7244199
2021-01-15,18.31,18.49,18.065,18.23,9273449
2021-01-19,18.32,18.445,18.04,18.42,9750116
2021-01-20,18.36,18.4,17.983,18.15,7854996
2021-01-21,18.12,18.2299,17.6401,17.79,8288899
2021-01-22,17.83,18.215,17.615,17.74,7702551
2021-01-25,17.46,17.79,17.2,17.72,9305314
2021-01-26,17.94,18.03,17.665,17.75,8197369
2021-01-27,17.26,17.65,17.11,17.15,10037187
2021-01-28,17.36,17.7281,17.225,17.61,10431996
2021-01-29,17.55,17.71,16.89,17.01,11010128
2021-02-01,17.26,17.35,16.94,17.32,6484723
2021-02-02,17.57,17.93,17.39,17.76,6643981
2021-02-03,17.75,18.35,17.7,18.34,8066670
2021-02-04,18.44,19.12,18.39,18.98,8473587
2021-02-05,19.18,19.25,18.8987,18.93,6505285
2021-02-08,19.03,19.55,19.0,19.54,6693675
2021-02-09,19.43,19.56,19.25,19.55,6393696
2021-02-10,19.62,19.8,19.365,19.48,7447949
2021-02-11,19.45,19.61,18.99,19.34,5560479
2021-02-12,19.31,19.785,19.24,19.56,5460450
2021-02-16,19.81,20.32,19.77,20.22,8479429
2021-02-17,20.14,20.47,19.89,20.02,6361913
2021-02-18,19.78,19.89,19.4125,19.66,6136719
2021-02-19,19.8,20.42,19.8,20.37,8363748
2021-02-22,20.29,20.96,20.28,20.71,10787789
2021-02-23,20.91,21.28,20.73,21.26,12472210
2021-02-24,21.32,22.32,21.32,22.21,11766623
2021-02-25,22.53,22.61,21.2299,21.32,11430410
2021-02-26,21.1,21.28,20.49,20.63,12713032
2021-03-01,21.13,21.47,21.05,21.32,7944815
2021-03-02,21.32,21.43,21.08,21.11,7403509
2021-03-03,21.4,21.72,20.98,20.99,11909979
2021-03-04,20.8,21.04,19.87,20.26,16952468
2021-03-05,20.73,20.95,19.755,20.91,15265855
2021-03-08,21.2,21.85,20.93,21.32,13417845
2021-03-09,21.05,21.34,20.52,21.02,9513428
2021-03-10,21.04,21.53,20.92,21.51,8383169
2021-03-11,21.38,21.7,21.24,21.44,6163625
2021-03-12,21.74,21.92,21.5526,21.86,7792564
2021-03-15,21.69,21.77,21.275,21.46,10245164
2021-03-16,21.28,21.31,20.72,20.94,11756555
2021-03-17,21.19,21.44,20.9,21.19,9633942
2021-03-18,21.57,22.2,21.385,21.46,10846881
2021-03-19,21.02,21.43,20.58,21.08,35972974
2021-03-22,20.93,20.955,20.28,20.44,9712509
2021-03-23,20.22,20.505,19.935,20.06,9890533
2021-03-24,20.35,20.645,19.92,19.92,7892570
2021-03-25,19.9,20.83,19.66,20.76,7907390
2021-03-26,21.08,21.14,20.615,21.0,6685377
2021-03-29,20.64,20.68,20.055,20.32,7029186
2021-03-30,20.62,21.095,20.59,20.91,7129832
2021-03-31,20.85,21.08,20.63,20.66,9146810
2021-04-01,20.64,21.11,20.59,21.06,8297607
2021-04-05,21.33,21.49,20.88,20.99,8978545
2021-04-06,20.92,21.18,20.84,21.08,6360744
2021-04-07,21.05,21.25,20.945,21.12,4986981
2021-04-08,21.02,21.11,20.61,21.05,5412387
2021-04-09,21.25,21.32,20.99,21.23,6675588
2021-04-12,21.45,21.5,21.2308,21.42,6555843
2021-04-13,21.26,21.3,20.7,20.84,9252741
2021-04-14,20.78,21.42,20.73,21.23,9291910
2021-04-15,21.23,21.26,20.545,20.97,9283146
2021-04-16,21.25,21.355,21.02,21.2,5956682
2021-04-19,21.2,21.31,20.86,20.9,6321562
2021-04-20,20.71,20.82,19.89,20.0,9068214
2021-04-21,19.82,20.56,19.71,20.55,6896289
2021-04-22,20.71,20.77,20.26,20.29,8567633
2021-04-23,19.09,20.75,19.09,20.63,11971896
2021-04-26,20.795,21.34,20.74,21.11,8653829
2021-04-27,21.21,21.31,20.96,21.23,6626017
2021-04-28,21.3,21.53,21.26,21.41,7530157
2021-04-29,21.69,21.97,21.57,21.95,7674480
2021-04-30,21.69,22.08,21.605,21.8,8753183
2021-05-03,22.06,22.1799,21.565,21.8,6154083
2021-05-04,21.66,22.34,21.465,22.32,8167385
2021-05-05,22.35,22.74,22.1,22.49,5449500
2021-05-06,22.6,22.7,22.245,22.68,5657364
2021-05-07,22.22,22.91,22.18,22.89,5184035
2021-05-10,23.1,23.26,22.65,22.65,6131531
2021-05-11,22.46,23.0,22.23,22.44,7200274
2021-05-12,22.71,22.83,21.83,21.89,6789738
2021-05-13,21.81,22.72,21.75,22.56,7777460
2021-05-14,22.62,23.31,22.6,23.25,8138396
2021-05-17,23.12,23.43,22.971,23.4,6069391
2021-05-18,23.39,23.51,22.85,22.88,6208591
2021-05-19,22.6,22.6954,22.18,22.67,5703193
2021-05-20,22.63,22.76,22.31,22.52,4270515
2021-05-21,22.67,23.03,22.59,22.76,6462015
2021-05-24,22.88,23.0,22.7,22.87,4063858
2021-05-25,22.91,23.22,22.44,22.46,5569162
2021-05-26,22.61,22.87,22.43,22.83,5005689
2021-05-27,23.18,23.4,23.0207,23.37,8693891
2021-05-28,23.42,23.46,22.96,23.41,7594073
2021-06-01,23.75,23.81,23.515,23.62,4862421
2021-06-02,23.62,23.65,23.0201,23.25,8820713
2021-06-03,22.98,23.45,22.86,22.94,9401148
2021-06-04,22.88,22.88,22.42,22.63,8759552
2021-06-07,22.65,22.69,22.35,22.51,6187161
2021-06-08,22.25,22.415,21.77,22.34,10307244
2021-06-09,22.17,22.17,21.85,21.9,5509544
2021-06-10,22.26,22.32,21.26,21.29,6833466
2021-06-11,21.39,21.63,21.305,21.52,5695023
2021-06-14,21.47,21.58,20.99,21.18,6615674
2021-06-15,21.21,21.545,21.01,21.3,6459567
2021-06-16,21.1,21.62,20.82,21.4,7280235
2021-06-17,21.59,21.64,19.7701,19.82,15610327
2021-06-18,19.37,19.64,19.155,19.33,14896393
2021-06-21,19.54,19.98,19.48,19.86,6617954
2021-06-22,19.82,20.035,19.565,19.88,5417105
2021-06-23,19.98,20.2,19.925,20.02,4119933
2021-06-24,20.12,20.43,19.94,20.32,5243726
2021-06-25,20.48,20.705,20.345,20.6,7740658
2021-06-28,20.49,20.49,20.14,20.34,6225342
2021-06-29,20.61,20.69,19.985,20.06,6591598
2021-06-30,20.0,20.245,19.98,20.18,6498882
2021-07-01,20.41,20.51,20.205,20.43,4718671
2021-07-02,20.39,20.48,20.11,20.26,4126037
2021-07-06,20.09,20.16,19.55,19.58,7910709
2021-07-07,19.43,19.63,19.25,19.43,6788635
2021-07-08,18.92,19.345,18.82,18.97,10783667
2021-07-09,19.42,19.88,19.275,19.87,8324491
2021-07-12,19.6,20.105,19.41,20.03,5436253
2021-07-13,19.9,20.07,19.545,19.72,7071290
2021-07-14,19.72,20.08,19.205,19.5,9286255
2021-07-15,19.31,19.895,19.21,19.73,10422780
2021-07-16,19.89,19.91,18.94,19.01,8739814
2021-07-19,18.51,18.629,18.02,18.14,10147180
2021-07-20,18.16,19.14,18.02,18.91,8121180
2021-07-21,19.09,19.53,19.0623,19.24,8446175
2021-07-22,19.26,19.335,18.86,18.96,10334833
2021-07-23,19.175,19.715,18.9698,19.1,8420918
2021-07-26,19.29,19.52,19.15,19.34,5664221
2021-07-27,19.07,19.45,18.97,19.39,4869243
2021-07-28,19.49,19.645,19.04,19.41,6322552
2021-07-29,19.64,19.78,19.38,19.53,5579262
2021-07-30,19.39,19.7,19.18,19.25,7369115
2021-08-02,19.38,19.89,19.11,19.11,5606380
2021-08-03,19.32,19.665,18.82,19.62,5918849
2021-08-04,19.26,19.63,19.21,19.28,4527888
2021-08-05,19.46,19.615,19.39,19.54,5295062
2021-08-06,19.86,20.18,19.7773,19.96,5425914
2021-08-09,19.83,20.17,19.63,19.89,4779499
2021-08-10,19.81,20.25,19.77,20.19,6795669
2021-08-11,20.26,20.71,20.05,20.62,7003514
2021-08-12,20.62,20.8,20.41,20.79,6365119
2021-08-13,20.85,20.9,20.43,20.5,5731778
2021-08-16,20.32,20.475,20.09,20.33,4158347
2021-08-17,20.1,20.265,19.7,19.94,4183057
2021-08-18,19.86,20.21,19.745,19.81,4296605
2021-08-19,19.515,19.8402,19.43,19.67,11049437
2021-08-20,19.67,20.04,19.55,20.03,10723278
2021-08-23,20.215,20.46,20.1,20.35,8818022
2021-08-24,20.37,20.64,20.365,20.61,7441472
2021-08-25,20.71,21.185,20.595,20.93,7007526
2021-08-26,21.01,21.06,20.435,20.55,6823479
2021-08-27,20.61,21.075,20.56,20.92,7228505
2021-08-30,20.91,20.95,20.325,20.34,6570237
2021-08-31,20.35,20.6399,20.29,20.43,8323747
2021-09-01,20.42,20.47,20.002,20.13,10166205
2021-09-02,20.01,20.19,19.9001,20.04,5763888
2021-09-03,20.0,20.1,19.575,19.71,7443565
2021-09-07,19.71,20.095,19.67,19.68,5723544
2021-09-08,19.47,19.62,19.26,19.49,6932945
2021-09-09,19.47,19.92,19.39,19.66,5652358
2021-09-10,19.81,19.88,19.48,19.5,10883302
2021-09-13,19.75,19.95,19.58,19.89,13102017
2021-09-14,19.98,20.01,19.335,19.45,9267582
2021-09-15,19.52,19.88,19.49,19.8,6663660
2021-09-16,19.87,20.09,19.74,19.84,6693871
2021-09-17,19.73,20.05,19.73,19.83,13530182
2021-09-20,19.23,19.285,18.81,19.16,10156117
2021-09-21,19.25,19.335,18.96,19.11,7401364
2021-09-22,19.39,19.715,19.355,19.52,8524661
2021-09-23,19.75,20.61,19.75,20.4,12068576
2021-09-24,20.41,20.77,20.3701,20.65,8713666
2021-09-27,20.96,21.84,20.86,21.76,11540307
2021-09-28,21.95,21.98,21.505,21.58,8198315
2021-09-29,21.75,21.78,21.505,21.69,6598801
2021-09-30,21.81,21.81,21.3,21.31,7064624
2021-10-01,21.43,21.91,21.25,21.74,6528629
2021-10-04,21.7,22.055,21.7,21.82,7658191
2021-10-05,22.0,22.13,21.73,21.85,6487982
2021-10-06,21.72,21.84,21.26,21.7,6195054
2021-10-07,21.9,22.04,21.7199,21.85,6513113
2021-10-08,21.79,22.1373,21.7282,22.02,5765510
2021-10-11,22.11,22.385,21.82,21.85,5733547
2021-10-12,21.76,22.09,21.66,22.05,8263776
2021-10-13,21.92,21.96,21.22,21.73,8158311
2021-10-14,22.0,22.13,21.78,22.12,7092566
2021-10-15,22.32,22.66,22.12,22.43,8112577
2021-10-18,22.37,22.7764,22.34,22.57,5749871
2021-10-19,22.68,22.84,22.52,22.82,5120621
2021-10-20,22.71,23.53,22.62,23.52,8524837
2021-10-21,23.45,23.66,23.135,23.28,10913612
2021-10-22,23.5,24.36,23.5,24.09,10301484
2021-10-25,24.445,24.49,24.055,24.22,8650723
2021-10-26,24.26,24.445,24.015,24.08,7534513
2021-10-27,23.93,24.0,23.36,23.37,8426138
2021-10-28,23.49,23.75,23.42,23.74,5983076
2021-10-29,23.82,23.95,23.67,23.68,7210363
2021-11-01,23.91,24.205,23.87,24.15,5211748
2021-11-02,24.04,24.33,23.93,23.96,5407606
2021-11-03,23.79,24.775,23.675,24.71,7476324
2021-11-04,24.59,24.59,24.04,24.27,5935737
2021-11-05,24.53,24.67,24.1746,24.31,5795723
2021-11-08,24.43,24.625,24.3,24.5,6512661
2021-11-09,24.25,24.5,24.185,24.34,8203818
2021-11-10,24.29,24.535,24.11,24.17,8009501
2021-11-11,24.22,24.3802,24.065,24.12,7909622
2021-11-12,24.12,24.23,23.69,23.95,7680746
2021-11-15,24.07,24.37,23.9,24.24,5242973
2021-11-16,24.34,24.47,24.14,24.25,4374945
2021-11-17,24.21,24.265,23.82,24.03,3882594
2021-11-18,23.945,24.19,23.713,23.9,4569919
2021-11-19,23.7,23.8992,23.31,23.69,7704627
2021-11-22,24.09,24.415,23.96,24.05,5883875
2021-11-23,24.25,24.62,24.15,24.59,5467216
2021-11-24,24.55,24.89,24.515,24.58,4568758
