date,open,high,low,close,volume
2021-12-29,9.85,9.9,9.82,9.85,274377
2021-12-30,9.85,9.87,9.8201,9.8201,275674
2021-12-31,9.85,9.85,9.85,9.85,125388
2022-01-03,9.85,9.85,9.825,9.84,497154
2022-01-04,9.83,9.89,9.83,9.88,207556
2022-01-05,9.88,9.88,9.88,9.88,2
2022-01-06,9.85,9.85,9.85,9.85,288530
2022-01-07,9.88,9.9,9.85,9.85,5828
2022-01-10,10.0,10.0,9.88,9.88,1693
2022-01-11,9.8796,9.88,9.8796,9.88,4511
2022-01-12,9.89,9.89,9.86,9.86,1624
2022-01-13,9.88,9.915,9.84,9.84,2511
2022-01-14,9.85,9.85,9.84,9.85,105286
2022-01-18,9.84,9.85,9.84,9.85,2537
2022-01-19,9.865,9.88,9.8598,9.8598,972
2022-01-20,9.9002,9.9002,9.83,9.84,14123
2022-01-21,9.83,9.83,9.83,9.83,900
2022-01-24,9.83,9.83,9.83,9.83,0
2022-01-25,9.83,9.83,9.83,9.83,0
2022-01-26,9.83,9.83,9.83,9.83,0
2022-01-27,9.84,9.87,9.84,9.87,8580
2022-01-28,9.84,9.84,9.84,9.84,516
2022-01-31,9.84,9.89,9.84,9.89,2904
2022-02-01,9.88,9.9,9.88,9.9,6150
2022-02-02,9.9,9.9,9.87,9.8854,1804
2022-02-03,9.8854,9.8854,9.8854,9.8854,3
2022-02-04,9.8854,9.8854,9.8854,9.8854,0
2022-02-07,9.8401,9.9,9.84,9.89,2652
2022-02-08,9.881,9.881,9.881,9.881,432
2022-02-09,9.86,9.89,9.82,9.855,399103
2022-02-10,9.86,9.89,9.85,9.85,58563
2022-02-11,9.86,9.89,9.855,9.86,238360
2022-02-14,9.86,9.86,9.86,9.86,0
2022-02-15,9.88,9.88,9.88,9.88,204
2022-02-16,9.88,9.88,9.88,9.88,4
2022-02-17,9.88,9.88,9.88,9.88,0
2022-02-18,9.88,9.88,9.88,9.88,13
2022-02-22,9.88,9.88,9.88,9.88,6
2022-02-23,9.88,9.88,9.88,9.88,1
2022-02-24,9.87,9.87,9.87,9.87,305003
2022-02-25,9.8749,9.8749,9.8749,9.8749,500
2022-02-28,9.87,9.87,9.87,9.87,2825
2022-03-01,9.87,9.87,9.87,9.87,301
2022-03-02,9.9,9.9,9.9,9.9,659
