date,open,high,low,close,volume
1999-11-01,25.62,25.75,24.0,24.75,242800
1999-11-02,25.0,25.12,24.37,24.56,571600
1999-11-03,25.0,25.0,23.62,24.44,500800
1999-11-04,24.37,24.44,23.12,24.31,313300
1999-11-05,24.5,24.56,24.25,24.31,117900
1999-11-08,24.37,25.0,24.37,24.56,305500
1999-11-09,24.62,24.94,23.87,24.25,130900
1999-11-10,24.12,24.5,23.37,24.0,132300
1999-11-11,24.0,24.37,23.5,23.94,266000
1999-11-12,24.06,24.25,23.19,23.31,202300
1999-11-15,23.25,24.19,23.12,24.19,177800
1999-11-16,24.25,26.37,24.0,25.87,435700
1999-11-17,26.06,27.44,25.87,26.5,275500
1999-11-18,26.81,28.37,26.5,27.81,361200
1999-11-19,28.12,29.62,28.06,28.56,722200
1999-11-22,29.5,30.0,28.75,29.62,366800
1999-11-23,29.62,30.25,28.69,28.69,650000
1999-11-24,28.69,29.44,28.37,29.12,397000
1999-11-26,29.37,29.37,28.62,28.87,117700
1999-11-29,28.87,29.0,27.56,27.87,274600
1999-11-30,27.94,27.94,26.5,26.87,254200
1999-12-01,26.81,27.0,26.5,26.56,261100
1999-12-02,26.56,27.44,26.37,27.19,125600
1999-12-03,27.31,27.31,24.25,26.87,413900
1999-12-06,26.44,27.0,25.37,26.06,199000
1999-12-07,26.25,26.5,25.44,25.75,335400
1999-12-08,25.69,26.0,24.75,25.37,335900
1999-12-09,25.37,28.75,25.25,27.5,421600
1999-12-10,28.25,30.62,27.5,30.0,739800
1999-12-13,30.12,31.25,29.25,30.56,381000
1999-12-14,31.5,31.75,29.5,29.5,181300
1999-12-15,29.5,30.25,27.87,28.5,175200
1999-12-16,28.5,30.5,28.37,29.75,171600
1999-12-17,29.87,31.37,29.12,30.5,286500
1999-12-20,30.25,33.0,30.25,32.06,327000
1999-12-21,32.06,33.0,30.69,30.87,156800
1999-12-22,30.81,31.44,30.25,30.87,183600
1999-12-23,30.25,31.62,30.12,30.94,158000
1999-12-27,34.25,39.34,33.5,36.13,1447600
1999-12-28,36.63,37.63,35.5,36.63,449800
1999-12-29,36.94,42.25,36.5,41.5,658200
1999-12-30,42.0,48.5,41.88,43.75,505100
1999-12-31,44.38,45.94,43.38,44.5,114300
2000-01-03,46.63,47.0,40.75,41.13,558900
2000-01-04,40.13,40.25,37.0,38.38,416800
2000-01-05,38.88,40.31,37.0,40.31,472800
2000-01-06,40.88,46.0,39.63,41.5,2333400
2000-01-07,42.75,43.13,39.31,40.88,341800
2000-01-10,42.75,43.38,41.25,42.5,335100
2000-01-11,42.63,42.88,40.88,40.88,286300
2000-01-12,41.25,42.0,40.5,40.75,282700
2000-01-13,41.16,41.56,39.56,40.25,281400
2000-01-14,40.22,42.13,39.63,42.0,186700
2000-01-18,42.25,44.94,42.0,44.0,472900
2000-01-19,44.13,46.88,43.5,46.75,674100
2000-01-20,47.94,50.0,47.75,48.06,1174200
2000-01-21,48.06,51.0,46.13,48.81,488900
2000-01-24,49.75,51.0,48.69,48.94,986100
2000-01-25,49.13,50.56,46.38,47.63,589400
2000-01-26,47.5,48.0,47.25,47.25,447200
2000-01-27,47.31,47.63,44.63,45.0,495700
2000-01-28,44.0,45.63,42.19,44.0,553600
2000-01-31,43.75,43.75,38.13,41.38,628000
2000-02-01,51.5,52.25,43.25,45.0,1731800
2000-02-02,46.63,47.0,44.88,45.88,478500
2000-02-03,47.38,47.75,45.75,47.25,472200
2000-02-04,47.31,49.5,47.0,48.75,303200
2000-02-07,50.0,50.5,48.0,49.75,164900
2000-02-08,49.81,54.13,48.38,54.06,616300
2000-02-09,54.75,56.0,51.0,53.0,781400
2000-02-10,53.69,55.0,51.88,52.0,519700
2000-02-11,52.0,53.06,51.69,52.13,283900
2000-02-14,52.13,52.5,48.0,49.38,205500
2000-02-15,49.06,50.0,48.0,49.0,272800
2000-02-16,49.0,57.0,48.5,56.81,1102100
2000-02-17,57.5,66.75,57.44,66.5,1367800
2000-02-18,66.38,66.44,57.25,58.88,803500
2000-02-22,59.13,63.5,55.5,55.75,610100
2000-02-23,56.75,61.75,56.0,59.25,398300
2000-02-24,61.0,61.13,57.13,58.0,254100
2000-02-25,58.88,60.19,58.88,59.38,254600
2000-02-28,60.0,60.56,57.0,60.56,188100
2000-02-29,60.5,63.0,60.0,61.0,551000
