date,open,high,low,close,volume
2017-04-06,19.5,19.74,18.57,19.0,16878972
2017-04-07,18.95,19.05,18.5972,19.0,2285051
2017-04-10,19.19,19.49,19.15,19.31,4783249
2017-04-11,19.36,19.38,18.41,18.69,1709800
2017-04-12,18.59,19.02,18.58,18.96,3616222
2017-04-13,18.88,19.0,18.62,18.98,942589
2017-04-17,18.94,19.239,18.8,19.0,592220
2017-04-18,18.99,19.01,18.47,18.87,953151
2017-04-19,19.0,19.035,18.83,18.85,1059020
2017-04-20,18.67,18.94,18.62,18.66,1187594
2017-04-21,18.53,18.87,18.46,18.8,1415562
2017-04-24,18.8,19.5,18.65,19.29,1844806
2017-04-25,19.39,19.49,19.111,19.18,621991
2017-04-26,19.27,19.34,18.87,19.04,567559
2017-04-27,18.99,19.13,18.67,19.03,473649
2017-04-28,18.93,19.05,18.88,18.98,398042
2017-05-01,19.39,20.1,19.03,19.09,2204503
2017-05-02,19.59,19.6,19.15,19.17,1389050
2017-05-03,19.39,19.52,18.79,19.01,478762
2017-05-04,19.11,19.15,18.99,18.99,494403
2017-05-05,19.06,19.235,19.0,19.0,2018252
2017-05-08,19.01,19.05,18.76,18.82,522145
2017-05-09,18.93,18.93,18.3,18.57,597814
2017-05-10,18.51,18.78,18.24,18.4,839378
2017-05-11,19.0,19.09,18.5598,19.03,1446426
2017-05-12,19.09,19.09,18.395,18.59,522766
2017-05-15,18.62,19.4,18.52,18.62,947223
2017-05-16,18.71,18.91,18.5,18.78,623940
2017-05-17,18.7,18.7,17.69,18.54,1288330
2017-05-18,18.58,19.07,18.2,18.83,483786
2017-05-19,18.86,19.06,18.52,18.62,559283
2017-05-22,18.56,18.7,18.35,18.55,531307
2017-05-23,18.71,19.08,18.6,19.08,1008047
2017-05-24,18.98,19.73,18.71,19.63,939509
2017-05-25,19.56,20.22,19.56,20.12,1116816
2017-05-26,20.07,20.15,19.49,19.61,723990
2017-05-30,19.53,20.025,19.36,19.85,793973
2017-05-31,19.78,19.97,19.32,19.86,528504
2017-06-01,19.92,20.01,19.53,20.01,696582
2017-06-02,20.09,20.33,19.935,19.96,451642
2017-06-05,20.08,20.12,19.575,20.06,575298
2017-06-06,19.93,20.3,19.89,19.92,480395
2017-06-07,20.04,20.43,19.92,20.43,608607
2017-06-08,20.5,21.05,20.21,21.03,687407
2017-06-09,21.0,21.37,20.915,21.37,1355684
2017-06-12,21.23,22.13,21.11,21.68,786746
2017-06-13,21.83,21.9572,21.52,21.82,632534
2017-06-14,21.84,22.0,21.19,21.51,527100
2017-06-15,21.47,21.538,21.11,21.23,492944
2017-06-16,21.23,21.48,20.9,21.17,2184805
2017-06-19,21.16,21.57,20.96,21.36,723787
2017-06-20,21.3,21.37,20.75,21.13,740342
2017-06-21,21.26,21.34,20.76,20.96,469147
2017-06-22,20.96,21.31,20.76,20.86,758164
2017-06-23,20.84,21.22,20.52,21.0,3572200
2017-06-26,21.04,21.38,20.9,20.96,434492
2017-06-27,21.02,21.36,20.92,21.11,477694
2017-06-28,21.21,21.85,21.0946,21.66,518480
2017-06-29,21.64,22.15,21.46,22.12,547229
2017-06-30,22.19,22.55,21.96,22.37,439362
2017-07-03,22.37,23.12,22.07,23.04,473768
2017-07-05,22.99,23.08,22.41,22.58,675322
2017-07-06,22.45,22.48,22.0,22.04,388453
2017-07-07,22.05,22.47,22.0,22.24,273561
2017-07-10,22.32,22.32,21.5,21.56,774480
2017-07-11,21.66,21.92,21.08,21.24,594578
2017-07-12,21.3,21.71,21.3,21.55,499725
2017-07-13,21.46,21.64,21.11,21.19,579556
2017-07-14,21.25,21.73,21.25,21.42,469290
2017-07-17,21.42,21.86,20.72,20.92,767040
2017-07-18,20.82,21.24,20.59,20.62,442526
2017-07-19,20.7,21.03,20.4,20.52,492280
2017-07-20,20.54,20.6,20.2,20.46,322187
2017-07-21,20.58,21.18,20.34,20.95,415677
2017-07-24,20.91,21.33,20.7,21.25,457551
2017-07-25,21.51,22.15,21.43,21.89,510706
2017-07-26,21.93,22.04,21.55,21.93,666325
2017-07-27,22.0,22.06,21.06,21.14,324199
2017-07-28,21.02,21.78,21.01,21.65,273266
2017-07-31,21.64,21.825,21.31,21.62,347347
2017-08-01,21.34,21.413,20.47,21.2,1108905
2017-08-02,21.02,21.42,20.79,21.32,1016778
2017-08-03,21.29,21.8,21.06,21.76,642399
2017-08-04,21.75,21.87,21.31,21.34,250800
2017-08-07,21.35,21.54,21.08,21.4,312358
2017-08-08,21.51,21.68,21.14,21.2,294435
2017-08-09,21.1,21.24,20.83,21.09,337175
2017-08-10,20.98,21.18,20.58,20.62,322982
2017-08-11,20.34,21.07,20.18,20.92,374278
2017-08-14,21.13,21.5,21.13,21.38,287740
2017-08-15,21.46,21.71,21.43,21.5,386316
2017-08-16,21.56,21.9499,21.19,21.3,415075
2017-08-17,21.22,21.42,20.89,21.16,474004
2017-08-18,21.03,21.42,20.91,21.36,419141
2017-08-21,21.39,21.49,21.16,21.21,259882
2017-08-22,21.17,22.1,21.17,21.99,588548
2017-08-23,21.76,21.9399,21.47,21.68,307273
