date,open,high,low,close,volume
2002-07-18,8.37,8.37,8.37,8.37,800
2002-07-19,8.01,8.01,7.75,8.01,6400
2002-07-22,7.9,7.9,7.47,7.47,1700
2002-07-23,6.64,6.72,6.64,6.64,800
2002-07-24,6.4,6.44,6.37,6.4,7200
2002-07-25,6.4,6.4,6.4,6.4,0
2002-07-26,7.0,7.15,7.0,7.0,400
2002-07-29,7.52,7.52,7.28,7.44,900
2002-07-30,7.44,7.44,7.44,7.44,0
2002-07-31,7.44,7.44,7.44,7.44,0
2002-08-01,7.06,7.06,6.98,7.06,12500
2002-08-02,6.92,6.95,6.92,6.92,600
2002-08-05,8.37,8.37,8.37,8.37,800
2002-08-06,6.5,6.5,6.5,6.5,100
2002-08-07,6.66,6.66,6.66,6.66,1000
2002-08-08,6.66,6.66,6.66,6.66,0
2002-08-09,6.66,6.66,6.66,6.66,0
2002-08-12,6.95,6.95,6.65,6.65,1200
2002-08-13,6.72,6.72,6.72,6.72,200
2002-08-14,6.72,6.72,6.72,6.72,0
2002-08-15,6.72,6.72,6.72,6.72,0
2002-08-16,6.72,6.72,6.72,6.72,0
2002-08-19,6.87,6.87,6.85,6.87,4000
2002-08-20,7.35,7.35,7.35,7.35,400
2002-08-21,7.39,7.39,7.39,7.39,800
2002-08-22,7.39,7.39,7.39,7.39,0
2002-08-23,7.38,7.38,7.32,7.32,200
2002-08-26,7.32,7.32,7.32,7.32,0
2002-08-27,7.02,7.02,7.02,7.02,3100
2002-08-28,7.02,7.02,7.02,7.02,0
2002-08-29,6.88,6.88,6.88,6.88,100
2002-08-30,6.7,6.7,6.7,6.7,200
2002-09-03,6.7,6.7,6.7,6.7,0
2002-09-04,6.62,6.62,6.62,6.62,400
2002-09-05,6.62,6.62,6.62,6.62,0
2002-09-06,6.62,6.62,6.62,6.62,0
2002-09-09,6.62,6.62,6.62,6.62,0
2002-09-10,6.48,6.48,6.48,6.48,600
2002-09-11,6.48,6.48,6.48,6.48,0
2002-09-12,7.04,7.04,7.04,7.04,600
2002-09-13,6.94,6.94,6.94,6.94,200
2002-09-16,7.05,7.05,7.05,7.05,3000
2002-09-17,6.55,7.01,6.55,7.01,8400
2002-09-18,7.01,7.01,7.01,7.01,0
2002-09-19,6.85,6.85,6.85,6.85,100
2002-09-20,6.67,6.67,6.67,6.67,700
2002-09-23,6.67,6.67,6.67,6.67,0
2002-09-24,6.32,6.32,6.32,6.32,10000
2002-09-25,6.32,6.32,6.32,6.32,0
2002-09-26,6.68,6.68,6.68,6.68,500
2002-09-27,6.57,6.65,6.57,6.57,200
2002-09-30,6.42,6.6,6.42,6.6,500
2002-10-01,6.6,6.6,6.6,6.6,0
2002-10-02,6.6,6.6,6.6,6.6,0
2002-10-03,6.6,6.6,6.6,6.6,0
2002-10-04,6.6,6.6,6.6,6.6,0
2002-10-07,6.6,6.6,6.6,6.6,0
2002-10-08,6.42,6.42,6.42,6.42,1000
2002-10-09,6.37,6.37,6.37,6.37,400
2002-10-10,6.37,6.37,6.37,6.37,0
2002-10-11,6.37,6.37,6.37,6.37,0
2002-10-14,6.37,6.37,6.37,6.37,0
2002-10-15,6.37,6.37,6.37,6.37,0
2002-10-16,6.37,6.37,6.37,6.37,0
2002-10-17,6.37,6.37,6.37,6.37,0
2002-10-18,7.28,7.3,7.28,7.3,400
2002-10-21,7.59,7.59,7.59,7.59,1100
2002-10-22,7.18,7.18,7.12,7.18,3000
2002-10-23,7.18,7.18,7.18,7.18,0
2002-10-24,7.18,7.18,7.18,7.18,0
2002-10-25,7.18,7.18,7.18,7.18,0
2002-10-28,7.18,7.18,7.18,7.18,0
2002-10-29,7.18,7.18,7.18,7.18,0
2002-10-30,7.18,7.18,7.18,7.18,400
2002-10-31,7.18,7.18,7.18,7.18,0
2002-11-01,6.87,6.87,6.87,6.87,100
2002-11-04,6.95,6.95,6.95,6.95,200
2002-11-05,6.95,6.95,6.95,6.95,0
2002-11-06,6.95,6.95,6.95,6.95,0
2002-11-07,6.95,6.95,6.95,6.95,0
2002-11-08,7.25,7.29,7.25,7.25,2100
2002-11-11,7.25,7.25,7.25,7.25,0
2002-11-12,7.1,7.1,7.1,7.1,2000
2002-11-13,7.1,7.1,7.1,7.1,0
2002-11-14,7.0,7.0,7.0,7.0,100
2002-11-15,6.9,7.65,6.9,6.9,2400
2002-11-18,6.82,6.82,6.82,6.82,800
2002-11-19,6.78,6.78,6.78,6.78,3300
2002-11-20,6.83,6.83,6.83,6.83,800
2002-11-21,7.07,7.07,6.8,7.07,700
2002-11-22,7.1,7.1,7.1,7.1,800
2002-11-25,7.1,7.1,7.1,7.1,0
2002-11-26,7.1,7.1,7.1,7.1,0
2002-11-27,6.98,6.98,6.98,6.98,100
2002-11-29,6.98,6.98,6.98,6.98,0
2002-12-02,6.98,6.98,6.98,6.98,0
2002-12-03,7.14,7.14,7.14,7.14,200
2002-12-04,7.14,7.14,7.14,7.14,0
2002-12-05,7.55,7.55,7.42,7.42,1200
2002-12-06,7.33,7.41,7.33,7.33,4100
2002-12-09,7.33,7.33,7.33,7.33,0
2002-12-10,7.17,7.17,7.03,7.17,500
2002-12-11,7.06,7.06,7.06,7.06,600
2002-12-12,7.05,7.05,7.05,7.05,400
2002-12-13,7.25,7.25,7.25,7.25,4700
2002-12-16,7.25,7.25,7.25,7.25,0
2002-12-17,7.46,7.46,7.38,7.38,2500
2002-12-18,7.55,7.55,7.55,7.55,200
2002-12-19,7.38,7.38,7.38,7.38,1000
2002-12-20,7.25,7.25,7.14,7.25,2600
2002-12-23,7.11,7.18,7.11,7.18,5400
2002-12-24,7.18,7.18,7.18,7.18,0
2002-12-26,7.18,7.18,7.18,7.18,0
2002-12-27,7.47,7.47,7.34,7.47,1100
2002-12-30,7.47,7.47,7.47,7.47,0
2002-12-31,7.12,7.37,7.12,7.12,800
2003-01-02,7.52,7.52,7.52,7.52,1000
2003-01-03,7.52,7.52,7.52,7.52,0
2003-01-06,7.59,7.59,7.59,7.59,200
2003-01-07,7.59,7.59,7.59,7.59,0
2003-01-08,7.59,7.59,7.59,7.59,0
2003-01-09,7.62,7.62,7.62,7.62,2000
2003-01-10,7.62,7.62,7.62,7.62,0
2003-01-13,7.82,8.2,7.82,8.2,2300
2003-01-14,8.32,8.32,8.32,8.32,3200
2003-01-15,8.55,8.55,8.45,8.55,1200
2003-01-16,8.43,8.43,8.43,8.43,1200
2003-01-17,8.0,8.0,8.0,8.0,700
2003-01-21,8.0,8.0,8.0,8.0,0
2003-01-22,7.93,7.93,7.93,7.93,200
2003-01-23,7.93,7.98,7.93,7.93,1200
2003-01-24,8.4,8.4,8.4,8.4,1000
2003-01-27,8.22,8.22,8.11,8.22,200
2003-01-28,8.22,8.22,8.22,8.22,0
2003-01-29,8.22,8.22,8.22,8.22,0
2003-01-30,8.22,8.22,8.22,8.22,0
2003-01-31,7.96,7.96,7.96,7.96,4000
2003-02-03,8.32,8.32,8.0,8.12,4400
2003-02-04,7.96,7.96,7.96,7.96,500
2003-02-05,7.96,7.96,7.96,7.96,0
2003-02-06,7.96,7.96,7.96,7.96,0
2003-02-07,7.96,7.96,7.96,7.96,700
2003-02-10,7.95,7.95,7.95,7.95,400
2003-02-11,8.09,8.09,8.08,8.08,1500
2003-02-12,8.04,8.04,8.04,8.04,2000
