date,open,high,low,close,volume
2020-01-02,59.6,60.12,59.6,60.04,8432371
2020-01-03,58.97,58.98,58.04,58.06,10546343
2020-01-06,57.6,57.69,57.13,57.39,8897013
2020-01-07,57.45,58.6,56.74,58.32,7496684
2020-01-08,58.19,58.98,58.11,58.75,5381490
2020-01-09,59.69,59.71,58.7,59.23,5112651
2020-01-10,59.7,59.7,58.77,58.86,4807703
2020-01-13,60.15,60.16,59.45,60.06,6617157
2020-01-14,60.16,60.64,59.92,60.32,6715078
2020-01-15,59.67,59.7,58.26,58.39,10067060
2020-01-16,59.2,59.69,58.3,58.75,11212151
2020-01-17,58.64,58.75,58.01,58.58,8124393
2020-01-21,57.99,59.0,57.47,58.24,9873238
2020-01-22,58.9,58.94,58.32,58.35,8120757
2020-01-23,57.86,58.07,56.62,57.48,9993658
2020-01-24,58.09,58.14,57.46,57.73,10399867
2020-01-27,55.62,55.99,55.06,55.26,9674614
2020-01-28,55.73,57.12,55.48,57.09,8119515
2020-01-29,57.52,57.52,56.85,57.19,7690271
2020-01-30,55.08,56.04,55.06,55.8,10278741
2020-01-31,55.43,55.48,53.6,53.94,13463129
2020-02-03,54.35,54.94,54.14,54.77,9594288
2020-02-04,56.92,57.64,56.9,57.52,12743381
2020-02-05,58.1,58.15,57.17,57.92,6592639
2020-02-06,58.27,58.28,57.28,58.02,4235623
2020-02-07,57.14,57.14,56.06,56.2,6808403
2020-02-10,56.44,57.05,56.34,57.02,4279796
2020-02-11,57.95,58.9,57.81,58.66,6522704
2020-02-12,59.25,59.75,58.9,59.63,5958150
2020-02-13,59.13,59.7,58.74,59.33,6457733
2020-02-14,59.02,59.17,57.87,58.19,6931384
2020-02-18,56.1,56.56,55.63,56.18,10988996
2020-02-19,57.25,57.94,57.0,57.64,7864676
2020-02-20,56.94,57.04,55.81,56.48,7189369
2020-02-21,56.65,56.65,55.52,55.59,6816314
2020-02-24,53.55,54.69,53.18,54.12,9967795
2020-02-25,55.33,55.47,53.83,53.86,12660878
