date,open,high,low,close,volume
2020-01-02,80.0,80.47,79.08,80.27,622682
2020-01-03,79.98,80.75,79.32,80.67,545583
2020-01-06,80.28,81.13,79.78,81.1,524260
2020-01-07,81.1,81.49,80.75,80.83,299348
2020-01-08,80.91,81.7,80.91,81.6,303034
2020-01-09,82.0,83.07,81.88,82.31,642078
2020-01-10,82.47,82.81,81.89,81.93,378619
2020-01-13,82.11,82.99,81.95,82.91,192485
2020-01-14,82.74,83.3,82.64,83.11,320985
2020-01-15,83.12,83.89,82.87,83.06,387669
2020-01-16,83.56,83.81,83.18,83.75,285742
2020-01-17,83.89,84.26,83.03,83.08,379149
2020-01-21,83.0,83.32,81.9,82.79,498176
2020-01-22,82.98,83.56,82.54,82.57,239494
2020-01-23,82.34,83.3,81.92,82.83,289057
2020-01-24,82.92,83.15,81.61,82.02,261796
2020-01-27,80.85,82.1,80.12,81.28,412403
2020-01-28,81.62,81.75,81.0,81.42,320749
2020-01-29,81.63,82.07,81.03,81.27,278783
2020-01-30,80.54,80.91,79.57,80.72,343385
2020-01-31,80.29,80.56,79.16,80.02,470723
2020-02-03,80.32,82.45,80.19,81.99,514796
2020-02-04,82.7,83.65,82.16,82.3,401476
2020-02-05,83.16,83.28,82.26,82.45,272238
2020-02-06,82.71,82.71,81.7,81.96,252230
2020-02-07,81.58,82.05,80.96,81.6,219316
2020-02-10,81.52,81.89,81.17,81.85,238702
2020-02-11,82.18,82.38,81.71,82.05,217879
2020-02-12,82.42,82.75,81.74,82.66,229642
2020-02-13,82.35,83.17,82.1,82.68,184237
2020-02-14,82.58,83.23,82.56,83.06,222815
2020-02-18,82.88,83.24,82.45,82.87,243641
2020-02-19,83.04,83.53,82.34,82.38,183898
2020-02-20,82.15,82.81,81.44,82.03,253124
2020-02-21,81.73,82.63,81.55,81.85,307322
2020-02-24,80.05,80.66,79.36,79.76,276055
2020-02-25,79.96,80.31,77.52,77.54,388623
2020-02-26,78.01,78.86,76.69,77.21,383137
2020-02-27,75.94,76.5,74.62,74.67,381991
2020-02-28,72.76,73.21,70.16,71.43,811995
2020-03-02,71.87,75.89,70.94,75.07,692414
2020-03-03,75.13,76.92,74.35,74.78,370506
2020-03-04,75.99,77.54,74.81,77.5,430329
2020-03-05,75.81,77.44,71.05,72.61,741621
2020-03-06,70.48,75.88,70.45,75.61,695158
2020-03-09,70.88,74.14,67.19,73.44,749180
2020-03-10,74.7,75.92,70.73,73.85,650154
2020-03-11,72.23,72.9,68.63,69.57,576620
2020-03-12,66.15,69.0,57.55,66.52,894616
2020-03-13,69.0,70.0,66.83,69.97,911459
2020-03-16,62.0,65.96,60.04,60.05,780118
2020-03-17,61.1,62.71,56.47,60.22,1047403
2020-03-18,57.18,59.52,52.07,56.52,796109
2020-03-19,56.06,60.86,55.08,58.94,689155
2020-03-20,58.91,60.27,56.11,57.44,1042506
2020-03-23,55.38,56.21,52.18,54.28,774313
2020-03-24,55.66,59.25,55.66,59.13,801321
2020-03-25,59.83,62.83,58.18,60.45,671625
2020-03-26,61.28,64.46,60.62,64.46,482643
2020-03-27,62.42,65.21,61.79,63.06,775369
2020-03-30,63.53,66.56,62.89,66.31,509284
2020-03-31,65.97,66.91,64.36,65.09,510884
2020-04-01,62.92,64.43,61.01,61.57,447111
2020-04-02,61.03,63.74,61.02,63.56,403619
2020-04-03,63.58,64.83,62.17,62.51,372120
2020-04-06,64.99,66.72,64.39,65.51,487840
2020-04-07,67.52,67.79,64.45,64.57,472735
2020-04-08,64.63,64.94,63.36,63.9,1005545
2020-04-09,64.87,65.63,63.78,65.05,1028373
2020-04-13,64.71,64.86,62.38,63.29,442399
2020-04-14,64.94,66.33,63.96,64.83,471315
2020-04-15,63.38,64.0,62.74,63.44,371219
2020-04-16,63.64,64.16,62.25,63.76,526631
2020-04-17,65.5,66.41,64.83,65.17,426204
2020-04-20,64.07,64.6,62.98,63.24,343195
2020-04-21,61.53,61.63,60.41,60.83,510320
2020-04-22,62.1,62.84,60.57,62.25,427685
2020-04-23,62.44,64.29,62.41,63.3,404913
2020-04-24,63.59,64.18,62.92,63.97,566863
2020-04-27,64.56,66.36,64.08,65.3,509353
2020-04-28,66.3,66.6,64.54,64.61,907907
2020-04-29,66.11,67.44,64.4,67.1,653579
2020-04-30,66.31,66.31,63.51,63.81,654543
2020-05-01,63.12,63.37,61.87,62.52,820183
2020-05-04,61.87,62.56,60.32,61.16,593229
2020-05-05,62.27,63.85,61.79,62.59,841642
2020-05-06,62.81,63.02,62.02,62.19,470292
2020-05-07,62.13,64.02,62.13,62.96,767581
2020-05-08,64.1,64.91,63.67,64.34,645745
2020-05-11,63.96,65.54,63.67,65.34,1274305
2020-05-12,65.5,65.71,60.9,60.93,1432037
2020-05-13,60.6,60.85,59.51,59.98,671913
2020-05-14,59.17,61.33,57.89,61.32,773146
2020-05-15,60.85,63.3,60.76,63.16,1069761
2020-05-18,65.19,66.37,64.71,65.41,748345
2020-05-19,65.22,67.03,64.91,65.77,759387
2020-05-20,66.63,68.0,66.63,67.65,827584
2020-05-21,67.58,68.17,67.32,67.9,742541
2020-05-22,67.96,67.96,66.8,67.64,325349
2020-05-26,69.62,70.08,67.37,67.59,638221
2020-05-27,68.36,70.62,68.36,70.25,777345
2020-05-28,70.25,71.03,68.43,69.76,712725
2020-05-29,69.44,71.5,69.4,71.07,1012200
2020-06-01,70.9,70.9,68.69,68.82,1021803
2020-06-02,69.26,70.46,69.08,69.75,499768
2020-06-03,70.82,71.85,70.69,71.37,721997
2020-06-04,70.55,70.96,67.78,69.9,865461
2020-06-05,71.54,72.99,71.1,72.9,1018563
2020-06-08,73.37,74.79,72.41,74.26,1204533
2020-06-09,73.47,73.52,71.83,72.4,648452
2020-06-10,72.2,72.2,70.52,70.73,765851
2020-06-11,68.71,68.92,66.5,66.64,726830
2020-06-12,68.3,69.43,65.85,67.28,683508
2020-06-15,65.61,67.94,65.44,67.64,333421
2020-06-16,69.54,70.01,66.99,67.39,558634
2020-06-17,67.93,67.93,66.74,66.77,661922
2020-06-18,66.26,67.02,65.63,65.74,688913
2020-06-19,66.52,67.79,65.91,66.03,1145151
2020-06-22,65.27,66.44,64.61,66.25,358599
2020-06-23,66.89,66.89,65.8,65.9,323558
2020-06-24,65.25,65.72,63.78,63.82,422742
2020-06-25,63.52,65.33,63.07,65.27,465039
2020-06-26,65.07,66.17,64.77,65.12,982253
2020-06-29,65.77,66.43,64.96,66.3,367537
2020-06-30,65.89,66.74,65.5,66.34,960550
2020-07-01,66.52,66.94,65.59,66.2,447033
2020-07-02,67.03,68.2,66.64,66.82,343167
2020-07-06,67.97,68.08,66.43,66.96,354248
2020-07-07,66.48,67.2,65.86,65.89,356518
2020-07-08,65.84,66.3,65.08,65.46,338729
2020-07-09,65.53,65.75,64.28,64.5,382684
2020-07-10,64.75,64.9,64.06,64.65,303494
2020-07-13,65.19,65.99,64.66,64.8,271494
2020-07-14,64.86,66.44,64.8,66.39,464484
2020-07-15,67.63,68.62,67.35,68.35,660747
2020-07-16,68.33,69.87,68.12,69.7,882696
2020-07-17,70.01,71.58,70.01,70.72,648874
2020-07-20,70.58,71.15,70.16,70.85,738801
2020-07-21,70.85,72.31,70.85,71.38,688563
2020-07-22,71.41,72.955,71.41,71.99,466267
2020-07-23,72.0,73.4,71.83,72.0,573165
2020-07-24,72.14,72.14,71.06,71.09,831950
2020-07-27,71.22,72.375,70.835,71.31,572635
2020-07-28,71.37,71.83,70.94,71.0,433238
2020-07-29,71.2,71.65,70.88,71.25,762326
2020-07-30,70.44,71.22,70.16,71.04,634624
2020-07-31,70.94,71.39,70.12,71.35,506131
2020-08-03,71.58,72.99,71.51,72.06,413356
2020-08-04,71.95,72.59,71.645,71.98,373317
2020-08-05,72.49,72.82,71.76,71.94,332936
2020-08-06,71.94,72.2,71.4,71.49,307164
2020-08-07,71.4,72.79,71.4,72.77,558304
2020-08-10,72.99,74.31,72.98,73.59,312885
2020-08-11,74.1,75.255,74.0735,74.34,581949
2020-08-12,74.89,75.58,74.525,74.96,475827
2020-08-13,74.71,75.42,74.41,74.99,271374
2020-08-14,74.59,75.215,74.31,74.55,289827
2020-08-17,74.71,75.16,74.27,74.4,486376
2020-08-18,74.36,74.77,73.33,73.52,482705
2020-08-19,73.73,74.49,73.4,73.49,380800
2020-08-20,73.1,73.78,72.94,73.33,351953
2020-08-21,73.44,74.33,73.44,73.84,408392
