date,open,high,low,close,volume
2020-01-02,100.01,103.15,99.66,103.15,2876697
2020-01-03,101.1,104.55,100.76,103.52,2502762
2020-01-06,102.74,107.74,101.77,107.46,3938663
2020-01-07,107.63,109.94,107.37,108.06,2646387
2020-01-08,108.8,110.82,108.2,109.39,3034975
2020-01-09,111.33,113.15,110.3601,113.02,3788858
2020-01-10,115.0,116.49,114.05,115.74,4633322
2020-01-13,117.29,120.45,116.85,120.34,3826611
2020-01-14,120.07,120.8666,117.21,119.02,3139792
2020-01-15,119.43,123.78,119.22,119.88,4904193
2020-01-16,121.24,121.6,118.3001,119.58,3203557
2020-01-17,119.22,120.48,118.05,119.36,2592233
2020-01-21,118.9,120.53,117.23,119.08,2318317
2020-01-22,119.85,120.9,118.92,119.12,2293915
2020-01-23,120.0,121.83,118.83,120.8,3422709
2020-01-24,122.01,123.37,119.55,121.38,2929816
2020-01-27,116.92,121.11,115.02,120.55,2172529
2020-01-28,122.43,125.7768,121.12,122.76,3780257
2020-01-29,123.9,125.19,121.66,123.8,2521231
2020-01-30,122.5,125.59,122.01,124.81,1920335
2020-01-31,126.53,127.5,122.96,124.34,3028061
2020-02-03,124.31,128.18,123.38,128.18,3329222
2020-02-04,130.39,132.02,128.6,131.9,3341577
2020-02-05,133.0,133.0,126.4,127.15,6693795
2020-02-06,120.6,125.66,116.38,117.87,13781352
2020-02-07,119.78,122.88,117.92,122.21,5545648
2020-02-10,122.3,126.78,121.59,125.71,3273067
2020-02-11,126.43,127.17,124.46,125.41,2199771
2020-02-12,125.56,126.18,122.45,125.92,2163764
2020-02-13,125.63,130.53,125.0,128.67,3601041
2020-02-14,128.87,129.7262,127.51,127.74,2109215
2020-02-18,127.5,129.13,126.02,128.14,3168380
2020-02-19,128.76,129.65,127.92,128.06,1982754
2020-02-20,128.0,128.56,123.1,126.71,2698249
2020-02-21,125.38,125.74,120.9,123.27,2566833
2020-02-24,115.0,118.602,113.03,117.94,4117284
2020-02-25,119.0,120.1246,111.665,112.31,4466649
2020-02-26,113.11,115.84,111.12,112.96,2605310
2020-02-27,107.52,114.9,105.27,110.91,3418397
2020-02-28,105.97,112.65,105.73,112.64,3813877
2020-03-02,113.7,114.25,108.01,111.48,3216298
2020-03-03,111.57,112.2799,102.26,105.37,5309534
2020-03-04,106.86,107.26,103.8313,104.88,3982904
2020-03-05,103.81,108.58,102.84,105.99,2915479
2020-03-06,103.5,104.35,98.58,101.77,3455254
2020-03-09,92.88,98.99,91.0,93.05,3735601
2020-03-10,96.47,96.81,89.55,92.61,5081547
2020-03-11,90.18,92.42,85.1754,87.01,4492784
2020-03-12,77.08,82.82,75.75,78.34,5286191
2020-03-13,83.18,83.18,73.72,79.99,5843720
2020-03-16,69.42,77.99,68.0555,71.7,3434116
2020-03-17,72.23,80.66,72.23,77.62,3609646
2020-03-18,72.57,78.4599,70.26,74.09,2754362
2020-03-19,74.25,83.31,71.57,82.5,4207547
2020-03-20,83.22,89.39,83.01,84.14,3762420
2020-03-23,84.61,90.49,81.3565,89.74,4061750
2020-03-24,93.0,98.74,93.0,97.53,4240690
2020-03-25,98.89,101.79,95.76,96.83,3620992
2020-03-26,97.21,102.685,96.77,100.69,3635559
2020-03-27,98.0,98.96,95.51,96.63,2200042
2020-03-30,97.57,99.42,95.31,97.0,2592268
2020-03-31,92.34,95.45,88.94,89.49,5209532
2020-04-01,87.0,87.88,84.54,84.93,2741598
2020-04-02,83.79,86.41,81.51,83.32,2605995
2020-04-03,82.58,83.0,79.25,80.69,2892117
2020-04-06,84.0,86.95,82.44,86.66,2932124
2020-04-07,88.0,90.29,84.02,87.22,3414838
2020-04-08,88.45,92.35,88.15,91.73,2822304
2020-04-09,92.58,97.45,92.14,95.34,2926155
2020-04-13,95.3,96.29,92.7079,95.89,1574704
2020-04-14,98.54,100.92,98.01,98.79,2125066
2020-04-15,99.46,101.69,97.425,100.82,2046473
2020-04-16,101.85,106.82,101.52,103.63,2964183
2020-04-17,106.5,108.32,104.3827,107.88,2785774
2020-04-20,106.6,111.49,106.55,108.37,2433216
2020-04-21,107.53,109.485,100.41,105.0,3420720
2020-04-22,106.9,109.36,105.875,107.89,1266705
2020-04-23,105.0,109.43,105.0,107.51,1761000
2020-04-24,108.08,110.8,105.7,109.95,1779119
2020-04-27,111.15,112.6869,108.9116,109.42,1550668
2020-04-28,110.05,110.57,104.4,104.59,2263455
2020-04-29,106.07,111.98,105.4,111.3,2432684
2020-04-30,111.13,116.84,110.8,112.3,3205707
2020-05-01,109.39,113.69,107.9537,107.98,2692524
2020-05-04,106.98,113.92,106.2374,113.25,2425199
2020-05-05,115.28,119.19,114.05,116.57,2583732
2020-05-06,117.05,123.64,116.51,122.4,5863077
2020-05-07,152.4,176.3699,152.4,170.89,31077133
2020-05-08,167.01,182.39,165.11,179.69,16949564
2020-05-11,179.98,189.97,179.0,186.61,9732668
2020-05-12,187.0,197.15,181.6,190.29,11588485
2020-05-13,192.11,195.5453,180.3,187.42,10967855
2020-05-14,186.07,193.0659,183.7734,191.86,5638747
2020-05-15,188.41,195.15,187.8,189.22,5681053
2020-05-18,189.63,193.7,183.1,183.39,4429525
2020-05-19,183.05,188.49,180.555,183.24,4363207
2020-05-20,187.12,192.65,186.31,191.91,5438016
2020-05-21,192.9,197.3,188.04,194.0,4374101
