date,open,high,low,close,volume
2020-01-02,46.72,46.86,45.76,46.12,1544344
2020-01-03,45.95,46.58,45.81,46.49,1434480
2020-01-06,46.45,46.59,46.24,46.39,1276346
2020-01-07,46.15,46.24,45.6,45.82,1236221
2020-01-08,45.98,46.07,45.75,45.88,1783738
2020-01-09,45.47,45.75,45.42,45.66,1303941
2020-01-10,45.78,46.12,45.58,46.05,1791017
2020-01-13,45.98,46.61,45.96,46.59,1717004
2020-01-14,46.47,46.47,46.02,46.43,1916760
2020-01-15,46.66,46.89,46.42,46.87,1288836
2020-01-16,46.88,47.33,46.73,47.33,1057520
2020-01-17,47.17,47.64,47.05,47.45,2270224
2020-01-21,47.58,48.03,47.53,48.0,1223782
2020-01-22,48.1,48.34,47.7,47.79,1780717
2020-01-23,47.76,48.2,47.6,48.18,987021
2020-01-24,48.27,48.35,47.98,48.18,988555
2020-01-27,48.0,48.42,47.92,48.05,1248908
2020-01-28,48.05,48.4,47.85,48.2,1198327
2020-01-29,48.37,48.43,47.81,47.88,1312468
2020-01-30,47.82,48.25,47.56,48.18,937847
2020-01-31,48.16,48.37,47.81,47.91,1534993
2020-02-03,48.13,48.52,48.02,48.06,1724196
2020-02-04,48.15,48.77,47.97,48.48,1092564
2020-02-05,48.48,48.8,48.23,48.45,909035
2020-02-06,48.52,48.88,48.4,48.63,800933
2020-02-07,48.78,48.94,48.62,48.83,770142
2020-02-10,49.07,49.42,48.97,49.4,1153557
2020-02-11,49.51,49.81,49.28,49.46,1556092
2020-02-12,49.48,49.48,48.78,49.29,2394387
2020-02-13,49.21,49.76,49.21,49.61,2366403
2020-02-14,49.76,50.33,49.69,50.32,2099585
2020-02-18,50.43,50.56,49.92,50.43,1769314
2020-02-19,50.37,50.48,50.11,50.18,1056873
2020-02-20,50.2,50.8,50.02,50.73,1907173
2020-02-21,50.67,51.02,50.6,50.93,2318310
2020-02-24,50.54,51.25,50.46,50.52,1563547
2020-02-25,50.59,50.77,49.38,49.49,2645022
2020-02-26,49.59,50.15,49.25,49.28,2807562
2020-02-27,48.87,49.29,46.95,47.01,3211623
2020-02-28,46.2,46.2,44.02,44.98,3679581
2020-03-02,45.33,47.22,45.16,47.08,2408867
2020-03-03,47.32,48.51,46.71,47.37,2682340
2020-03-04,48.07,49.46,48.07,49.35,2033211
2020-03-05,48.61,49.16,48.14,48.74,1438433
2020-03-06,47.58,48.45,46.46,48.31,1929404
2020-03-09,46.5,47.05,45.33,45.58,3710146
2020-03-10,46.4,46.99,44.62,46.98,3232195
2020-03-11,45.85,46.04,44.13,44.52,3916786
2020-03-12,41.85,44.88,40.35,41.27,4428183
2020-03-13,42.87,44.76,41.2,44.66,3449926
2020-03-16,41.48,41.48,36.58,36.82,3233785
2020-03-17,37.79,39.94,36.21,38.84,3165243
2020-03-18,36.49,38.94,34.33,35.53,3404624
2020-03-19,35.23,37.11,33.55,33.76,2658339
2020-03-20,33.85,34.56,31.46,32.03,3615245
2020-03-23,31.96,32.0,29.2,30.04,2820710
2020-03-24,31.21,32.23,29.75,30.91,3173257
2020-03-25,30.7,34.68,30.36,32.89,2905525
2020-03-26,32.74,35.92,32.37,35.78,2268529
2020-03-27,34.62,38.96,34.42,37.94,2046156
2020-03-30,38.33,38.6,35.97,37.72,3025839
2020-03-31,37.22,37.86,35.19,36.54,4383175
2020-04-01,34.62,35.21,31.94,32.98,2544027
2020-04-02,32.3,34.01,31.09,31.95,2190213
2020-04-03,31.55,32.79,31.32,31.62,1863181
2020-04-06,33.27,35.54,33.26,35.34,2832053
2020-04-07,36.7,37.38,35.6,35.75,3175129
2020-04-08,35.75,39.04,35.36,38.66,2813873
2020-04-09,39.0,41.88,39.0,41.12,3005049
2020-04-13,40.62,40.89,38.48,38.56,1864182
2020-04-14,39.48,40.04,38.65,39.36,2366473
2020-04-15,38.21,38.64,36.74,37.0,2494840
2020-04-16,37.19,37.42,36.01,36.63,2520692
2020-04-17,37.58,39.14,37.52,38.94,2744722
2020-04-20,37.01,38.34,36.36,36.37,2534348
2020-04-21,35.4,36.27,35.29,35.58,2845070
2020-04-22,36.13,37.04,35.55,36.66,1930999
2020-04-23,36.69,36.94,35.76,36.2,1930904
2020-04-24,36.42,36.64,35.57,36.29,1909086
2020-04-27,36.78,37.8,36.54,37.62,1543677
2020-04-28,38.53,39.23,37.67,37.76,1861601
2020-04-29,38.6,38.86,37.3,38.11,1676498
2020-04-30,37.46,37.84,36.61,37.47,2246773
2020-05-01,36.57,36.79,35.84,36.1,1612900
2020-05-04,35.54,36.57,35.0,36.54,1926322
2020-05-05,37.0,37.23,36.56,36.6,1705630
2020-05-06,36.7,37.08,36.04,36.05,2256524
2020-05-07,36.7,38.62,36.39,37.84,2494248
2020-05-08,38.51,39.04,37.73,38.34,1695864
2020-05-11,37.94,38.45,36.83,37.78,2929110
2020-05-12,37.92,37.97,35.82,36.13,3158649
2020-05-13,35.8,35.9,34.95,35.18,2204299
2020-05-14,34.53,34.99,33.36,34.9,2251335
2020-05-15,34.51,34.97,33.53,34.76,5970707
2020-05-18,36.24,37.35,36.24,36.89,2504202
2020-05-19,36.81,37.01,35.83,35.89,2561983
