date,open,high,low,close,volume
2020-01-02,145.0,145.71,142.02,142.72,843420
2020-01-03,141.36,143.6,141.0,142.1,906809
2020-01-06,142.19,142.87,140.79,141.85,798019
2020-01-07,141.5,142.83,140.23,140.25,976505
2020-01-08,140.32,142.46,140.16,141.37,674116
2020-01-09,141.76,143.5,141.51,142.3,649877
2020-01-10,142.13,143.2,140.62,143.16,659948
2020-01-13,142.91,143.17,141.95,142.22,687830
2020-01-14,141.72,141.95,138.39,139.4,1412655
2020-01-15,139.14,140.85,138.66,139.66,1203131
2020-01-16,140.14,140.4,138.31,139.87,888716
2020-01-17,139.98,141.47,139.85,141.11,826755
2020-01-21,140.5,142.1,140.24,141.78,1173683
2020-01-22,142.27,142.4,140.82,141.7,665450
2020-01-23,141.19,142.8,140.13,142.56,545433
2020-01-24,142.65,142.78,139.12,140.52,565295
2020-01-27,139.19,141.77,138.63,138.88,1071820
2020-01-28,139.6,141.89,138.06,141.3,838022
2020-01-29,141.34,142.29,139.31,139.34,668957
2020-01-30,138.78,142.44,138.78,142.39,621605
2020-01-31,141.59,141.83,139.41,141.63,1042468
2020-02-03,142.39,145.22,142.24,144.55,1011864
2020-02-04,145.77,146.0,141.0,144.54,936800
2020-02-05,145.93,149.05,145.27,148.41,1222822
2020-02-06,148.17,148.65,146.79,147.03,1029967
2020-02-07,146.77,148.17,146.06,147.72,544807
2020-02-10,147.06,147.7,145.67,147.12,732357
2020-02-11,147.03,147.54,143.96,144.2,982869
2020-02-12,143.51,145.8,141.08,145.16,1050925
2020-02-13,145.45,146.6,144.55,145.08,704816
2020-02-14,145.17,147.64,144.87,146.97,640607
2020-02-18,142.74,143.64,136.3,137.17,2306412
2020-02-19,136.45,137.61,134.38,135.4,1220041
2020-02-20,135.39,137.38,134.22,135.79,1299608
2020-02-21,135.42,135.71,133.14,133.95,1032321
2020-02-24,130.0,131.21,127.99,130.22,994773
2020-02-25,129.78,130.73,124.58,124.84,900984
2020-02-26,125.74,126.51,119.37,121.02,1911192
2020-02-27,119.48,123.69,118.45,118.72,2282522
2020-02-28,115.95,120.37,113.2,120.26,2431853
2020-03-02,120.68,126.25,119.69,125.84,1619585
2020-03-03,128.22,131.84,126.96,128.08,2133248
2020-03-04,129.92,134.89,129.0,134.73,1515745
2020-03-05,131.52,132.45,127.46,129.75,1129653
2020-03-06,126.39,128.07,123.04,127.44,1387744
2020-03-09,120.94,124.2,116.67,118.74,1425718
2020-03-10,121.36,123.29,117.22,123.0,1539376
2020-03-11,119.82,120.15,115.24,117.61,1454778
2020-03-12,111.1,118.8,106.78,107.12,2362478
2020-03-13,112.92,112.92,102.29,109.77,2147257
2020-03-16,100.49,102.01,95.0,95.0,1575769
2020-03-17,97.46,98.47,92.54,92.99,1774099
2020-03-18,88.5,89.11,65.56,76.61,2865252
2020-03-19,77.02,91.59,73.09,90.22,2696234
2020-03-20,90.56,91.8,83.53,84.65,3278686
2020-03-23,84.2,85.88,77.84,82.02,1956900
2020-03-24,85.01,88.3,82.73,85.44,3488069
2020-03-25,84.98,100.01,84.05,95.74,2183742
2020-03-26,96.24,103.0,95.79,102.22,1451943
2020-03-27,98.68,103.11,97.23,99.21,1741452
2020-03-30,99.18,102.24,96.2,101.86,1034292
2020-03-31,100.61,113.21,98.51,108.07,2921808
2020-04-01,104.2,112.67,102.96,107.12,2616097
2020-04-02,107.83,110.88,104.32,107.3,2667128
2020-04-03,106.94,107.73,94.1,99.21,1988514
2020-04-06,101.98,104.26,101.3,103.17,1997374
2020-04-07,107.82,113.85,107.23,107.92,1600785
2020-04-08,108.16,113.36,106.0,112.97,1182343
2020-04-09,115.29,124.48,112.56,113.1,2769280
2020-04-13,113.88,114.79,108.39,109.43,1522490
2020-04-14,111.15,112.9,108.98,112.47,1209270
2020-04-15,108.8,110.21,106.59,110.18,1659406
2020-04-16,109.66,110.05,105.05,106.23,1708822
2020-04-17,109.24,112.48,108.15,112.03,1203136
2020-04-20,110.29,111.89,107.4,108.0,1347927
2020-04-21,105.36,107.1,104.58,106.0,1068382
2020-04-22,107.98,108.54,104.2,104.9,891411
2020-04-23,105.25,105.86,100.71,101.2,2290171
2020-04-24,103.15,103.98,100.92,102.03,1541170
2020-04-27,103.65,109.09,103.65,108.28,1325322
2020-04-28,110.75,114.19,110.61,110.77,1214046
2020-04-29,113.31,117.87,112.78,116.65,1478854
2020-04-30,115.18,115.18,112.0,112.97,1262361
2020-05-01,110.9,111.97,107.87,110.68,983903
2020-05-04,108.86,112.06,107.66,111.73,1157825
2020-05-05,112.62,114.13,107.62,108.04,1400999
2020-05-06,110.82,111.34,99.76,100.31,1781561
2020-05-07,101.0,104.34,100.33,102.18,1066616
2020-05-08,104.0,104.65,100.52,101.11,1219455
2020-05-11,99.86,99.86,94.61,97.11,2016509
2020-05-12,97.62,99.61,97.37,98.73,1283358
2020-05-13,97.79,100.46,92.79,93.05,1460418
2020-05-14,91.57,98.27,88.6,96.86,1870128
2020-05-15,96.92,98.36,95.47,96.07,2076576
2020-05-18,99.55,102.23,99.09,101.24,1288266
2020-05-19,101.27,101.5,98.75,99.06,928823
2020-05-20,99.35,102.41,99.0,101.47,1476865
2020-05-21,100.81,102.4,99.61,100.63,960996
2020-05-22,101.75,102.13,98.6,99.84,1013857
2020-05-26,103.5,105.22,101.02,104.73,1791828
2020-05-27,108.85,111.58,106.98,111.51,2153301
2020-05-28,112.7,113.11,109.74,110.37,1107287
2020-05-29,109.61,109.96,108.0,108.32,843626
2020-06-01,108.07,109.28,107.11,107.34,1691969
2020-06-02,107.81,110.64,107.1,110.59,2537144
2020-06-03,112.14,119.42,111.8,118.33,2469911
2020-06-04,117.56,122.6,117.53,120.64,1461369
2020-06-05,125.27,128.79,123.23,124.13,1135106
2020-06-08,125.04,127.01,122.61,124.06,1021719
2020-06-09,121.5,122.72,117.62,118.03,1190578
2020-06-10,116.58,117.83,114.49,116.07,708909
2020-06-11,111.81,114.44,108.89,109.09,1936668
