date,open,high,low,close,volume
2020-01-02,18.14,18.27,17.6,17.82,277964
2020-01-03,17.67,17.78,17.17,17.2,351684
2020-01-06,17.18,17.425,16.51,16.71,565272
2020-01-07,16.65,16.73,16.2,16.4,209662
2020-01-08,16.4,16.63,16.09,16.13,237985
2020-01-09,16.13,16.42,15.87,16.03,200969
2020-01-10,15.97,16.15,15.68,16.12,247169
2020-01-13,16.04,16.37,15.8,16.31,393600
2020-01-14,16.35,16.86,15.98,16.56,293829
2020-01-15,16.48,16.57,16.1,16.38,211423
2020-01-16,16.6,16.97,16.49,16.85,292995
2020-01-17,16.99,17.15,16.59,16.81,370957
2020-01-21,16.8,16.94,16.695,16.75,385900
2020-01-22,16.78,17.05,16.71,16.77,252442
2020-01-23,16.72,16.98,16.5,16.56,302665
2020-01-24,16.5,16.75,16.15,16.3,399556
2020-01-27,15.96,16.33,15.67,16.18,163276
2020-01-28,16.29,16.46,15.82,16.07,255601
2020-01-29,16.05,16.32,15.76,16.1,272249
2020-01-30,15.95,15.97,15.48,15.85,313514
2020-01-31,16.0,17.06,15.95,16.85,384860
2020-02-03,16.92,17.2,16.586,16.81,369295
2020-02-04,17.04,17.22,16.45,16.77,309911
2020-02-05,16.92,18.59,16.92,18.39,489460
2020-02-06,18.54,18.637,17.96,18.11,278922
2020-02-07,18.04,18.1,17.64,17.82,192900
2020-02-10,17.82,18.33,17.58,18.21,212835
2020-02-11,18.36,18.87,18.11,18.68,256281
2020-02-12,18.88,19.19,18.735,19.13,213292
2020-02-13,19.12,19.21,18.83,18.95,129788
2020-02-14,18.93,19.15,18.68,18.87,148928
2020-02-18,18.75,18.75,18.35,18.58,164862
2020-02-19,18.6,18.98,18.495,18.63,233882
2020-02-20,18.54,19.34,18.54,18.75,228043
2020-02-21,18.74,18.9,18.0,18.1,257214
2020-02-24,17.42,17.82,17.33,17.65,219335
2020-02-25,17.72,17.9,16.7,16.7,431016
2020-02-26,16.8,16.97,15.9,15.95,286531
2020-02-27,16.73,17.13,15.55,16.79,610029
2020-02-28,16.39,17.09,15.94,16.31,344654
2020-03-02,16.2,16.2,15.29,15.94,437800
2020-03-03,15.82,15.95,14.75,15.11,438606
2020-03-04,15.3,16.11,15.19,16.03,240499
2020-03-05,15.66,15.89,15.48,15.86,514070
2020-03-06,15.19,16.01,15.19,15.76,452073
2020-03-09,14.91,15.17,14.27,14.3,321345
2020-03-10,14.64,14.75,13.74,14.41,358175
2020-03-11,13.97,14.485,13.2,13.24,464169
2020-03-12,12.5,12.66,11.13,11.4,727629
2020-03-13,12.03,13.12,11.66,13.12,452906
2020-03-16,13.29,13.29,10.87,10.93,533656
2020-03-17,11.28,12.0,10.68,11.51,558575
2020-03-18,10.73,11.81,10.32,10.71,499175
2020-03-19,10.62,11.61,10.165,11.43,423552
2020-03-20,11.52,12.13,10.98,11.27,616882
2020-03-23,11.33,11.84,10.9,11.04,322055
2020-03-24,11.63,12.27,11.15,11.74,324644
2020-03-25,11.59,11.88,10.81,11.16,426377
2020-03-26,11.22,11.95,10.87,11.83,409591
2020-03-27,11.42,12.13,11.13,11.23,272388
2020-03-30,11.34,11.57,11.01,11.35,212276
2020-03-31,11.31,11.84,11.15,11.28,491434
2020-04-01,10.98,11.28,10.12,10.25,291092
2020-04-02,10.1,10.91,10.1,10.61,225901
2020-04-03,10.47,10.57,9.92,10.3,396502
2020-04-06,10.71,11.95,10.69,11.88,308822
2020-04-07,12.32,13.065,12.11,12.45,532894
2020-04-08,12.56,13.6,12.36,13.3,488472
2020-04-09,13.63,13.84,12.72,12.88,576921
2020-04-13,12.77,12.78,12.03,12.25,318970
2020-04-14,12.25,12.37,11.98,12.01,282187
2020-04-15,11.6,11.84,11.4,11.56,203984
2020-04-16,11.52,11.62,11.12,11.41,310133
2020-04-17,11.67,12.05,11.62,11.81,193103
2020-04-20,11.55,11.7,11.12,11.16,236269
2020-04-21,11.0,11.21,10.67,11.14,247354
2020-04-22,11.5,12.09,11.41,11.97,374886
2020-04-23,12.09,12.56,12.02,12.42,269032
2020-04-24,12.64,13.07,12.35,13.05,171706
2020-04-27,13.21,13.89,13.185,13.86,176614
2020-04-28,14.28,14.34,13.68,13.94,196417
2020-04-29,14.36,14.972,14.2,14.71,240643
2020-04-30,14.38,14.38,13.82,13.89,250161
2020-05-01,13.47,13.97,13.15,13.97,242671
2020-05-04,13.68,13.92,13.25,13.44,146023
2020-05-05,13.58,13.93,13.22,13.28,260947
2020-05-06,13.12,13.75,12.63,12.79,143665
2020-05-07,12.99,13.23,12.84,13.12,143932
2020-05-08,13.47,14.31,13.27,14.13,223884
2020-05-11,13.03,13.65,12.77,13.38,291966
2020-05-12,13.48,13.72,13.17,13.52,309123
2020-05-13,13.36,13.79,13.22,13.56,367243
2020-05-14,13.14,13.65,12.68,13.65,337363
2020-05-15,13.51,14.08,13.51,13.75,280898
2020-05-18,14.42,14.64,14.07,14.09,366722
2020-05-19,13.89,14.03,13.33,13.33,259214
2020-05-20,13.59,14.07,13.59,13.89,323184
2020-05-21,13.88,14.04,13.76,13.78,339877
2020-05-22,13.9,14.04,13.75,13.98,199005
2020-05-26,14.42,14.44,14.02,14.28,287310
2020-05-27,14.55,14.75,14.34,14.55,631946
2020-05-28,14.87,15.05,14.58,14.66,557689
2020-05-29,14.42,14.54,13.99,14.38,401702
2020-06-01,14.47,14.805,14.35,14.59,368238
2020-06-02,14.85,15.45,14.79,15.23,322586
2020-06-03,15.51,15.75,15.41,15.55,277210
2020-06-04,15.39,16.2,15.37,16.04,241481
2020-06-05,16.41,16.785,16.18,16.6,364655
2020-06-08,16.92,17.12,16.61,17.01,240722
2020-06-09,16.26,16.46,15.71,16.16,295858
2020-06-10,15.85,15.85,13.71,13.78,337223
2020-06-11,13.02,13.41,12.29,12.3,497083
2020-06-12,12.71,12.769,12.13,12.42,388783
2020-06-15,12.01,13.41,11.85,13.08,392256
2020-06-16,13.65,13.72,12.78,13.0,268316
2020-06-17,12.87,13.14,12.13,12.13,171977
2020-06-18,11.94,12.19,11.61,11.63,187337
2020-06-19,11.62,11.84,11.34,11.55,309710
2020-06-22,11.39,11.63,11.08,11.59,241163
2020-06-23,11.81,11.98,11.34,11.75,248250
2020-06-24,11.54,11.85,11.43,11.65,285998
2020-06-25,11.54,11.72,11.26,11.71,448583
2020-06-26,11.59,11.59,11.1,11.13,376213
2020-06-29,11.39,12.0476,11.36,11.89,195087
2020-06-30,11.7,12.06,11.7,11.96,256018
2020-07-01,12.05,12.16,11.58,11.77,168871
2020-07-02,12.0,12.09,11.59,11.63,161072
2020-07-06,11.9,12.02,11.61,11.97,170627
2020-07-07,11.78,11.94,11.54,11.57,139457
2020-07-08,11.53,11.65,11.2,11.38,169463
2020-07-09,11.33,11.33,10.95,11.09,190326
2020-07-10,11.11,11.72,11.11,11.7,245172
2020-07-13,11.95,12.01,11.65,11.7,172730
2020-07-14,11.74,11.91,11.59,11.82,118913
2020-07-15,12.19,12.35,11.95,12.1,248750
2020-07-16,12.08,12.38,11.96,12.18,112532
2020-07-17,12.21,12.54,12.18,12.37,177119
2020-07-20,12.3,12.41,12.05,12.31,155881
2020-07-21,12.5,12.8,12.32,12.57,143801
2020-07-22,12.47,12.87,12.47,12.53,111992
2020-07-23,12.4,12.84,12.4,12.78,131787
2020-07-24,12.9,13.26,12.765,12.95,174214
2020-07-27,13.06,13.35,12.86,13.34,122798
2020-07-28,13.26,13.34,12.75,12.77,119052
2020-07-29,12.85,13.1609,12.78,12.87,145129
2020-07-30,12.63,12.69,12.21,12.32,172968
2020-07-31,12.2,12.26,12.06,12.21,233923
2020-08-03,12.21,12.36,12.12,12.3,124311
2020-08-04,12.19,12.41,12.16,12.23,162004
2020-08-05,12.41,12.5,12.2,12.28,183712
2020-08-06,11.93,12.85,11.3,12.44,569423
2020-08-07,12.68,13.02,12.61,12.96,547590
2020-08-10,13.12,13.24,12.63,12.79,415995
2020-08-11,12.86,13.25,12.81,12.92,440473
2020-08-12,13.23,13.6,13.08,13.59,428848
2020-08-13,13.71,14.0,13.54,13.87,217140
2020-08-14,13.96,14.02,13.58,13.76,148853
2020-08-17,13.76,14.11,13.72,13.8,152161
2020-08-18,13.8,13.91,13.23,13.27,162134
2020-08-19,13.41,13.599,13.2,13.23,163449
2020-08-20,13.05,13.23,12.86,13.09,164763
2020-08-21,12.91,13.16,12.8,13.06,337548
2020-08-24,13.2,13.58,13.12,13.54,206696
2020-08-25,13.74,13.8,13.3,13.41,175083
2020-08-26,13.68,13.68,13.02,13.03,174315
2020-08-27,13.0,13.265,12.83,13.08,200225
2020-08-28,13.3,13.33,13.07,13.24,127018
2020-08-31,13.4,13.4,12.91,13.11,254252
2020-09-01,13.11,13.535,12.88,13.49,261365
2020-09-02,13.54,13.54,13.2,13.45,200480
2020-09-03,13.53,13.74,13.36,13.43,222909
2020-09-04,13.71,13.7199,13.3,13.51,270538
2020-09-08,13.54,13.57,12.81,12.92,614025
2020-09-09,13.09,13.165,12.78,12.88,386183
2020-09-10,13.07,13.16,12.88,12.9,242278
2020-09-11,12.93,13.68,12.75,13.5,528727
2020-09-14,13.75,14.41,13.73,14.34,624597
2020-09-15,14.4,14.49,14.02,14.4,816420
2020-09-16,14.5,15.0,14.1847,14.41,1019319
2020-09-17,11.11,11.1799,10.7,10.84,747246
2020-09-18,10.84,10.84,9.91,10.18,1606779
2020-09-21,10.0,10.08,8.86,9.02,870678
2020-09-22,9.08,9.09,8.3328,8.35,700841
2020-09-23,8.41,8.43,7.98,7.98,681407
2020-09-24,7.75,8.15,7.58,7.82,645667
2020-09-25,7.71,7.9,7.5156,7.83,478490
2020-09-28,8.07,8.21,7.88,8.13,441956
2020-09-29,8.23,8.51,7.81,8.03,504593
2020-09-30,8.0,8.12,7.825,7.89,392806
2020-10-01,7.8,7.835,7.44,7.76,565369
2020-10-02,7.56,7.875,7.53,7.79,354407
2020-10-05,8.0,8.25,7.93,8.09,385584
2020-10-06,8.2,8.25,7.93,7.98,330612
2020-10-07,8.08,8.152,7.93,8.11,287407
2020-10-08,8.11,8.22,8.04,8.19,223938
2020-10-09,8.3,8.39,8.1,8.15,282110
2020-10-12,8.22,8.26,7.92,8.05,256194
2020-10-13,8.0,8.05,7.86,7.97,268165
2020-10-14,7.98,8.07,7.65,7.66,450512
2020-10-15,7.58,8.4299,7.43,8.37,694955
2020-10-16,8.3,8.4,8.12,8.23,306847
2020-10-19,8.24,8.32,7.91,7.93,367914
2020-10-20,8.0,8.12,7.87,8.03,281058
2020-10-21,8.05,8.22,8.01,8.16,253856
2020-10-22,8.16,8.38,8.09,8.3,259977
2020-10-23,8.3,8.47,8.15,8.31,196355
2020-10-26,8.26,8.29,8.03,8.17,389161
2020-10-27,8.16,8.16,7.8,7.87,392324
2020-10-28,7.8,7.81,7.465,7.58,452636
2020-10-29,7.81,7.91,7.36,7.9,542859
2020-10-30,7.83,7.925,7.63,7.78,398106
2020-11-02,7.93,8.1,7.79,8.09,310100
2020-11-03,8.25,8.31,8.14,8.25,200770
2020-11-04,8.1,8.21,7.88,8.2,328631
2020-11-05,8.2,8.8,8.1675,8.78,398563
2020-11-06,8.77,8.88,8.61,8.8,221198
2020-11-09,8.81,9.38,8.65,8.86,502324
2020-11-10,8.91,9.46,8.83,9.27,440703
2020-11-11,9.31,9.355,8.95,9.24,280888
2020-11-12,9.17,9.345,8.91,9.18,365125
2020-11-13,9.29,9.5275,9.29,9.44,331499
