date,open,high,low,close,volume
2020-01-02,90.84,91.77,90.84,91.73,847017
2020-01-03,91.04,91.89,91.04,91.6,407648
2020-01-06,91.33,92.92,91.2,92.86,726064
2020-01-07,92.56,93.46,92.49,92.58,604962
2020-01-08,92.45,93.53,92.38,93.27,651395
2020-01-09,93.53,94.53,93.36,93.75,701091
2020-01-10,93.6,93.9,93.42,93.82,541776
2020-01-13,93.82,95.38,93.66,95.06,889922
2020-01-14,95.14,95.46,94.79,95.13,602786
2020-01-15,95.41,96.61,95.31,96.22,747503
2020-01-16,96.57,97.75,96.26,97.68,726424
2020-01-17,97.42,98.26,97.31,98.17,615245
2020-01-21,97.81,98.27,97.65,98.02,636289
2020-01-22,98.36,98.62,97.35,97.66,608500
2020-01-23,96.7,97.69,96.61,97.5,747590
2020-01-24,98.06,98.52,97.51,98.42,797350
2020-01-27,97.82,98.9,97.43,98.52,876503
2020-01-28,98.6,98.94,98.1,98.25,642996
2020-01-29,98.35,98.35,96.82,96.89,645097
2020-01-30,96.65,98.13,96.3,97.94,501607
2020-01-31,97.78,98.2,96.25,96.31,971823
2020-02-03,96.58,98.55,96.58,98.49,731685
2020-02-04,98.98,99.45,98.57,99.19,623224
2020-02-05,99.42,99.75,98.96,99.7,695382
2020-02-06,99.93,100.37,99.65,100.23,528148
2020-02-07,100.23,100.61,99.58,99.63,522330
2020-02-10,99.58,100.42,99.18,99.95,456778
2020-02-11,100.04,100.2,99.51,99.7,421125
2020-02-12,99.5,100.4,98.6,100.29,863272
2020-02-13,100.58,103.39,100.0,102.8,1365890
2020-02-14,103.27,103.99,102.23,103.81,1161470
2020-02-18,103.81,105.07,103.52,104.67,1402635
2020-02-19,104.97,105.17,102.6,102.75,550446
2020-02-20,102.11,102.64,101.02,102.57,765839
2020-02-21,102.53,103.53,102.28,103.33,532514
2020-02-24,101.77,103.26,101.22,101.97,604481
2020-02-25,102.33,103.03,100.9,101.36,1064052
2020-02-26,101.61,101.77,99.87,99.87,1291189
2020-02-27,99.05,99.62,95.5,95.5,984505
2020-02-28,94.78,97.04,91.92,96.49,2813512
2020-03-02,96.58,99.56,95.57,99.45,1694321
2020-03-03,99.66,101.49,97.71,98.25,1364087
2020-03-04,99.82,101.95,99.64,101.71,1405973
2020-03-05,100.49,103.63,99.38,102.27,1912235
2020-03-06,100.5,101.67,98.34,100.73,1881575
2020-03-09,95.6,98.62,92.63,96.45,2610963
2020-03-10,97.81,98.92,95.22,97.68,2030339
2020-03-11,95.68,96.78,92.63,93.73,1044451
2020-03-12,88.12,89.04,82.51,83.89,2183568
2020-03-13,85.74,88.73,81.78,88.73,2434706
2020-03-16,82.19,83.86,76.52,81.13,2896595
2020-03-17,82.27,86.71,81.36,86.71,6241049
2020-03-18,81.75,86.79,80.86,84.34,2899458
2020-03-19,84.34,84.34,80.19,82.9,3118892
2020-03-20,83.29,83.85,77.17,78.19,2449886
2020-03-23,77.43,79.67,71.52,72.65,2441872
2020-03-24,74.59,75.71,73.08,75.34,3856817
2020-03-25,75.5,76.32,70.87,71.47,2585665
2020-03-26,72.09,78.66,72.01,78.32,2803649
2020-03-27,76.66,77.77,74.53,74.94,1614851
2020-03-30,75.27,77.58,74.59,77.39,1356218
2020-03-31,76.92,77.9,75.51,77.5,1788949
2020-04-01,75.17,75.69,73.29,74.81,1476578
2020-04-02,74.01,76.67,73.9,76.38,1568800
2020-04-03,75.8,76.37,73.81,75.28,1209589
2020-04-06,77.66,79.29,77.0,78.91,1369067
2020-04-07,81.16,85.27,80.03,82.09,2505226
2020-04-08,82.94,84.75,81.34,84.47,1202387
2020-04-09,85.06,88.0,84.61,87.46,1060975
2020-04-13,86.73,86.97,82.72,83.44,838781
2020-04-14,84.75,85.76,84.18,85.05,968835
2020-04-15,83.93,84.55,82.57,84.1,1157185
2020-04-16,84.37,85.85,84.04,85.77,1123645
2020-04-17,87.39,88.25,86.26,88.04,1203158
2020-04-20,86.49,87.91,85.93,86.33,925710
2020-04-21,84.85,86.08,83.27,84.02,916850
2020-04-22,85.64,86.52,84.48,85.99,742754
2020-04-23,86.58,86.64,85.03,85.51,1114783
2020-04-24,86.06,86.06,85.02,85.74,965794
2020-04-27,85.93,88.28,85.9,87.96,1036568
2020-04-28,89.15,89.91,86.79,86.96,1132711
2020-04-29,88.57,88.57,86.71,87.1,882115
2020-04-30,86.16,86.71,85.14,85.91,1159652
2020-05-01,84.93,85.16,83.46,83.95,554122
2020-05-04,83.17,85.5,83.1,85.34,911651
2020-05-05,85.74,87.67,85.35,87.29,963137
2020-05-06,87.52,87.89,86.14,86.29,730524
2020-05-07,89.26,92.25,88.34,91.94,2355750
2020-05-08,92.95,93.65,91.91,92.67,1329268
2020-05-11,91.63,93.83,91.41,93.58,1134138
2020-05-12,94.09,94.56,92.6,92.66,1096293
2020-05-13,92.82,93.39,90.4,91.04,845858
2020-05-14,90.27,91.4,89.18,91.4,906515
2020-05-15,90.76,90.95,89.29,90.3,971416
2020-05-18,92.28,92.73,90.84,91.59,961749
2020-05-19,91.74,92.57,91.22,91.57,581809
2020-05-20,92.02,92.84,91.76,92.1,574848
2020-05-21,91.9,92.34,90.7,91.13,650800
2020-05-22,90.93,91.72,90.38,91.71,404647
2020-05-26,92.56,92.75,91.13,91.99,1103675
2020-05-27,92.92,92.99,89.29,91.14,1339978
2020-05-28,91.52,94.54,91.18,94.19,896548
2020-05-29,93.94,94.53,93.08,94.04,1324472
2020-06-01,93.95,94.94,93.15,94.37,940726
2020-06-02,94.75,95.56,94.02,94.76,770287
2020-06-03,95.65,96.05,94.83,95.02,848304
2020-06-04,94.48,95.01,93.39,93.66,809028
2020-06-05,95.0,98.36,94.24,98.27,1161820
2020-06-08,97.67,98.28,95.86,96.32,1197023
2020-06-09,95.49,95.49,94.0,94.79,1697943
2020-06-10,95.19,95.43,94.06,94.85,655647
2020-06-11,92.22,93.21,89.3,89.42,888689
2020-06-12,91.01,91.91,88.35,90.21,1169022
2020-06-15,88.62,91.78,87.23,91.36,879031
2020-06-16,93.42,93.99,91.76,92.24,627202
2020-06-17,92.84,92.91,91.36,91.76,785761
2020-06-18,91.56,92.25,90.94,91.09,752289
2020-06-19,92.01,92.55,90.09,90.22,1300932
2020-06-22,89.98,91.45,89.61,91.11,598818
2020-06-23,91.76,92.16,91.01,91.61,785910
2020-06-24,91.04,91.07,89.16,89.3,703709
2020-06-25,88.87,91.38,88.21,91.26,1006153
2020-06-26,91.15,91.94,90.4,90.61,507136
2020-06-29,91.53,91.99,90.32,91.97,642513
2020-06-30,92.02,94.15,91.71,93.79,911837
2020-07-01,94.04,94.4,92.17,92.55,874556
2020-07-02,93.55,93.69,92.06,92.39,963687
2020-07-06,93.47,93.7,92.35,92.51,622918
2020-07-07,92.02,92.92,91.62,91.75,432356
2020-07-08,91.61,92.2,91.2,92.1,573196
2020-07-09,92.92,96.09,92.92,95.97,1334228
2020-07-10,96.35,98.43,96.15,98.4,1541776
2020-07-13,98.92,98.92,95.76,95.92,938470
2020-07-14,95.92,98.23,95.71,98.16,783436
2020-07-15,98.68,100.19,98.57,99.84,802205
2020-07-16,99.35,100.55,99.35,100.04,637721
2020-07-17,100.26,102.49,100.03,102.39,641625
2020-07-20,102.15,103.26,101.81,101.82,819224
2020-07-21,102.08,102.54,100.45,100.58,614768
2020-07-22,100.22,101.7,99.99,101.43,658893
2020-07-23,101.69,102.11,100.075,100.41,776557
2020-07-24,100.75,100.75,99.195,99.43,831388
2020-07-27,100.09,100.77,99.53,100.27,704337
2020-07-28,99.9,100.67,99.65,99.74,444939
2020-07-29,100.19,102.065,100.19,101.5,624453
2020-07-30,100.78,102.11,100.0,101.88,683592
2020-07-31,102.0,102.46,100.54,102.37,618652
2020-08-03,102.33,102.511,100.66,100.92,484368
2020-08-04,101.72,101.96,100.46,101.0,636103
2020-08-05,101.57,101.8,100.12,101.26,633811
2020-08-06,101.64,103.45,101.29,103.13,933142
2020-08-07,103.2,105.49,101.01,101.95,980094
2020-08-10,101.59,102.435,99.81,100.24,671189
2020-08-11,100.63,100.815,99.08,99.67,888030
2020-08-12,99.93,101.76,99.93,99.99,424455
2020-08-13,100.02,100.4818,99.49,99.98,321178
2020-08-14,99.61,100.37,99.34,99.81,608243
2020-08-17,99.99,100.37,99.67,100.03,404047
2020-08-18,100.08,100.83,99.75,99.97,538105
2020-08-19,99.74,100.678,99.41,99.58,455217
2020-08-20,99.05,99.87,99.01,99.48,430934
2020-08-21,99.58,99.63,98.59,99.38,682335
2020-08-24,99.67,100.14,98.955,100.13,377336
2020-08-25,100.3,101.66,99.84,101.62,564198
2020-08-26,101.77,102.5,101.36,101.73,658114
2020-08-27,101.81,101.91,100.44,101.0,642357
2020-08-28,101.14,101.14,99.84,100.24,473394
2020-08-31,100.18,100.58,99.75,100.03,836031
2020-09-01,99.96,100.34,99.0,100.09,808052
2020-09-02,100.59,103.02,100.35,102.51,970560
2020-09-03,102.4,102.87,99.97,100.77,1221220
2020-09-04,101.09,101.2,98.73,99.22,542839
2020-09-08,98.17,99.92,97.97,98.7,542064
2020-09-09,99.19,100.77,99.19,100.1,492699
2020-09-10,99.76,101.23,98.855,99.01,558753
2020-09-11,99.49,100.08,99.045,99.59,361197
2020-09-14,100.31,102.02,100.31,101.35,533331
2020-09-15,102.17,103.52,101.38,101.4,591476
2020-09-16,101.75,102.7,100.08,100.2,830084
2020-09-17,99.23,100.73,98.84,100.43,1168071
2020-09-18,100.61,101.29,100.4,101.08,936336
2020-09-21,100.22,101.28,99.0,101.25,911625
2020-09-22,101.43,102.64,101.17,102.45,787783
2020-09-23,102.63,103.345,100.65,100.69,532643
2020-09-24,101.07,101.81,99.69,101.14,540864
2020-09-25,100.99,104.21,100.9,103.64,643930
2020-09-28,104.08,105.87,103.83,105.0,790404
2020-09-29,105.0,105.565,104.23,104.24,649191
2020-09-30,104.5,104.85,103.37,103.8,677729
2020-10-01,103.93,104.43,102.29,103.0,716459
2020-10-02,101.92,103.11,101.765,102.62,419599
2020-10-05,103.12,103.27,102.03,102.32,567116
2020-10-06,102.53,103.54,101.91,102.37,530008
2020-10-07,102.8,104.06,102.4,103.72,405877
2020-10-08,104.2,104.38,103.22,103.36,244083
2020-10-09,103.93,104.24,103.275,103.76,476805
2020-10-12,103.9,105.269,103.86,104.4,400797
2020-10-13,105.13,106.09,104.71,104.92,605831
2020-10-14,104.97,105.82,104.2,104.77,360073
2020-10-15,103.71,104.68,103.64,104.18,425788
2020-10-16,104.73,105.0,103.93,104.14,536298
2020-10-19,104.48,104.77,102.18,102.33,384732
2020-10-20,102.83,103.67,102.58,102.64,319477
2020-10-21,102.66,103.1999,102.305,102.34,380190
2020-10-22,102.39,103.14,102.02,102.06,861325
2020-10-23,102.52,103.65,102.21,103.62,529106
2020-10-26,102.87,103.18,101.615,102.4,809309
2020-10-27,102.21,103.1,101.51,101.51,1020354
2020-10-28,100.08,100.965,98.07,98.89,726345
2020-10-29,99.77,99.845,97.94,98.8,1665988
2020-10-30,98.93,99.81,98.03,99.32,1300926
2020-11-02,99.84,100.75,98.5,99.55,1490666
2020-11-03,99.89,101.99,99.89,100.68,1098619
2020-11-04,101.47,104.835,101.415,102.97,770233
2020-11-05,104.47,106.03,104.17,105.93,560995
2020-11-06,106.06,106.69,105.15,106.4,640615
2020-11-09,109.57,111.04,106.21,106.27,742489
2020-11-10,106.58,107.09,105.39,107.08,925708
2020-11-11,107.87,109.35,107.41,108.83,533124
2020-11-12,108.34,108.96,107.55,108.06,496176
2020-11-13,108.51,109.03,107.79,108.63,652282
2020-11-16,109.19,109.59,106.2,107.6,734389
2020-11-17,107.44,107.95,106.66,107.27,532091
2020-11-18,107.4,107.4,105.67,105.68,706313
2020-11-19,105.76,106.32,104.67,106.0,761576
2020-11-20,106.22,106.5,105.59,105.94,502187
2020-11-23,106.36,106.5,105.55,105.91,757957
2020-11-24,106.53,106.53,104.83,104.89,799463
2020-11-25,105.06,105.22,103.38,104.12,756909
2020-11-27,104.31,105.41,103.94,104.38,385677
2020-11-30,104.19,104.915,103.4,103.98,1562357
2020-12-01,104.14,104.39,102.48,103.21,1243454
2020-12-02,103.21,104.12,101.425,101.69,984640
2020-12-03,101.42,102.55,101.03,101.24,824462
2020-12-04,101.28,101.91,100.905,101.34,883867
2020-12-07,101.35,102.65,100.92,102.32,1198050
2020-12-08,102.2,103.59,102.03,103.01,834865
2020-12-09,103.32,103.545,101.8,102.11,1297807
2020-12-10,102.09,102.6,101.38,101.88,769198
2020-12-11,101.94,103.09,101.675,102.11,1020737
