date,open,high,low,close,volume
2020-01-02,148.94,149.45,145.83,148.45,806208
2020-01-03,146.65,146.65,145.0,145.92,521110
2020-01-06,144.66,147.75,143.41,147.29,559732
2020-01-07,147.25,148.98,146.6,147.34,786453
2020-01-08,147.17,150.24,147.17,149.4,540095
2020-01-09,150.7,150.76,148.16,150.36,721361
2020-01-10,150.29,150.82,147.76,149.68,839655
2020-01-13,150.19,152.82,149.69,152.78,1087084
2020-01-14,152.78,154.37,152.0,153.23,726903
2020-01-15,152.57,156.64,152.24,153.93,1012419
2020-01-16,155.23,156.01,152.73,154.16,833733
2020-01-17,154.63,155.45,152.06,152.63,784462
2020-01-21,151.63,152.93,149.92,151.4,968206
2020-01-22,151.39,151.89,146.43,146.69,1233410
2020-01-23,145.88,151.29,144.32,150.72,908151
2020-01-24,150.54,152.65,147.96,149.42,1026054
2020-01-27,146.22,150.63,145.17,148.23,1536319
2020-01-28,151.0,158.37,147.85,156.67,3025519
2020-01-29,157.19,158.44,153.8,154.1,944809
2020-01-30,152.86,154.785,151.08,152.79,760455
2020-01-31,153.18,153.97,145.21,146.17,1084233
2020-02-03,147.02,149.42,145.99,147.15,742605
2020-02-04,150.7,151.89,149.44,150.16,697195
2020-02-05,152.84,155.25,151.85,154.45,856297
2020-02-06,154.77,155.7,153.02,153.06,599015
2020-02-07,151.49,151.49,148.59,149.21,698967
2020-02-10,148.59,150.81,148.05,149.41,431717
2020-02-11,150.86,153.32,150.11,151.98,643864
2020-02-12,152.79,154.77,151.28,152.5,537110
2020-02-13,151.44,152.69,150.36,152.03,498184
2020-02-14,152.06,153.49,151.22,152.16,528797
2020-02-18,150.69,151.74,145.12,148.08,1154370
2020-02-19,148.93,150.35,146.02,147.22,671886
2020-02-20,147.21,149.74,146.17,149.08,650792
2020-02-21,147.77,148.74,145.21,147.19,531462
2020-02-24,141.95,142.8,140.12,140.77,1100388
2020-02-25,141.97,142.21,134.8,137.15,1452013
2020-02-26,137.98,141.39,136.63,137.31,1104302
2020-02-27,133.6,139.2,131.27,131.45,1643651
2020-02-28,125.65,130.2,124.16,127.86,1905232
2020-03-02,127.99,133.98,126.66,133.87,1481031
2020-03-03,132.96,136.06,126.51,127.87,1124975
2020-03-04,129.31,132.08,127.55,131.94,701013
2020-03-05,128.36,129.8,124.01,124.86,892503
2020-03-06,121.01,124.16,117.57,121.12,1931888
2020-03-09,112.76,115.13,110.97,112.38,1814733
2020-03-10,117.05,117.74,109.93,117.37,1128841
2020-03-11,113.52,116.01,109.72,110.49,1066770
2020-03-12,102.93,106.34,99.61,102.79,1622882
2020-03-13,107.79,115.79,103.33,115.43,2186963
2020-03-16,105.0,109.18,92.14,92.79,2274162
2020-03-17,95.22,102.52,88.72,97.37,1816072
2020-03-18,90.51,95.88,85.93,88.98,1869378
2020-03-19,87.0,93.96,76.98,82.57,1840463
2020-03-20,84.28,84.42,73.73,74.45,1614553
2020-03-23,73.92,74.32,64.0,64.22,1829595
