date,open,high,low,close,volume
2020-01-02,37.09,37.17,36.26,36.93,1581296
2020-01-03,36.3,36.78,36.03,36.45,1042611
2020-01-06,36.09,36.25,35.8,35.9,1197675
2020-01-07,36.05,36.26,35.82,35.95,1534914
2020-01-08,35.91,36.03,35.55,35.93,1345354
2020-01-09,36.06,36.62,35.86,36.6,2060920
2020-01-10,36.67,37.0,36.35,36.65,1908868
2020-01-13,36.73,37.08,36.08,37.04,1840248
2020-01-14,37.13,37.18,36.46,36.78,1673426
2020-01-15,36.68,37.27,36.54,36.72,1487634
2020-01-16,36.93,37.32,36.93,37.29,1281267
2020-01-17,37.37,37.48,37.0,37.33,2329011
2020-01-21,37.12,37.15,35.75,36.03,2255941
2020-01-22,36.15,36.57,36.1,36.32,1549432
2020-01-23,36.12,36.35,35.75,36.23,1769351
2020-01-24,36.1,36.36,34.97,35.52,2243853
2020-01-27,34.66,35.53,34.41,35.05,2791882
2020-01-28,37.0,37.5,36.1,36.78,4380033
2020-01-29,36.85,37.2,36.61,36.73,2256635
2020-01-30,36.29,36.99,36.0,36.98,1730807
2020-01-31,36.73,36.76,35.46,35.57,2335861
2020-02-03,35.65,36.98,35.64,36.29,1839516
2020-02-04,36.95,37.38,36.45,36.57,2661926
2020-02-05,36.99,37.785,36.86,37.62,2328426
2020-02-06,38.0,38.2,37.61,37.68,2313740
2020-02-07,37.47,37.5,36.8,37.17,1597529
2020-02-10,37.0,38.07,36.87,37.69,1303904
2020-02-11,37.73,38.25,37.43,37.51,1539131
2020-02-12,37.79,38.69,37.65,38.19,2276815
2020-02-13,37.96,38.26,37.58,38.21,2121791
2020-02-14,38.35,38.41,37.66,37.82,1333500
2020-02-18,37.42,37.57,37.15,37.22,1526643
2020-02-19,37.37,37.55,36.77,36.77,1586046
2020-02-20,36.65,37.14,36.47,36.78,1696612
2020-02-21,36.53,36.55,35.88,36.34,1882292
2020-02-24,35.28,35.34,34.14,34.86,3214134
2020-02-25,35.95,36.58,35.59,36.46,8618205
2020-02-26,36.82,37.12,35.73,35.73,3672815
2020-02-27,34.87,35.35,33.7,33.83,3436425
2020-02-28,32.74,33.36,31.08,32.2,5711861
2020-03-02,32.35,33.52,32.06,33.51,4163210
2020-03-03,33.52,34.1,30.94,31.87,3121422
2020-03-04,32.32,33.75,31.7,33.69,3264550
2020-03-05,32.42,32.67,31.3,31.66,3017231
2020-03-06,30.6,31.47,30.41,31.29,2078489
2020-03-09,29.3,29.74,27.41,27.5,2124228
2020-03-10,28.54,29.04,27.07,28.7,2750981
2020-03-11,27.75,28.56,27.08,27.84,4413315
2020-03-12,26.1,26.61,23.59,23.9,2269752
2020-03-13,25.64,25.98,22.07,23.96,3336107
2020-03-16,17.0,21.87,17.0,19.94,2889826
2020-03-17,20.39,22.19,18.44,19.68,4115046
2020-03-18,18.17,18.71,15.31,15.98,3430851
2020-03-19,15.81,18.25,15.01,17.46,2828725
2020-03-20,17.88,18.52,16.31,16.45,3262206
2020-03-23,16.33,17.0,15.45,16.11,3102057
2020-03-24,17.48,18.14,17.01,17.53,3171509
2020-03-25,17.69,19.65,15.88,18.62,5421853
2020-03-26,19.06,20.52,18.77,19.67,4289598
2020-03-27,19.03,19.3,17.51,17.66,3945320
2020-03-30,17.75,18.08,16.94,17.95,2335255
2020-03-31,17.78,19.58,17.63,18.94,4503293
2020-04-01,17.74,18.98,17.3,17.6,4312697
2020-04-02,17.45,19.17,16.9,18.48,6636964
2020-04-03,18.21,18.83,16.66,16.9,4968523
2020-04-06,18.0,18.89,17.85,18.71,2869418
2020-04-07,20.0,20.76,18.4,18.61,3662329
2020-04-08,18.96,19.69,18.71,19.26,3280335
2020-04-09,19.83,20.56,19.1,19.36,3924974
2020-04-13,19.5,19.5,17.8,18.19,2931035
2020-04-14,18.69,19.24,18.38,19.0,2669014
2020-04-15,18.2,18.39,17.05,17.27,3637144
2020-04-16,17.56,17.59,16.5,16.91,2229005
2020-04-17,17.33,18.27,17.14,18.12,3528056
2020-04-20,17.65,18.52,17.15,17.83,2513847
2020-04-21,17.29,17.76,16.73,16.77,2558861
2020-04-22,17.09,17.37,16.9,17.09,2046610
2020-04-23,17.18,17.49,17.09,17.39,2242273
2020-04-24,17.7,18.23,17.37,17.97,5861051
2020-04-27,17.78,18.13,16.8,17.82,4940520
2020-04-28,17.82,18.43,17.1,17.74,4737251
2020-04-29,18.47,19.55,18.22,19.29,3279272
2020-04-30,18.93,18.98,18.01,18.29,2647681
2020-05-01,17.74,17.98,16.69,17.03,3942437
2020-05-04,16.82,16.93,16.28,16.82,3258554
2020-05-05,17.2,17.72,17.01,17.03,2134224
2020-05-06,17.29,17.49,16.57,16.7,1697963
2020-05-07,16.95,17.62,16.85,17.33,2033455
2020-05-08,17.62,18.27,17.57,18.13,2005464
2020-05-11,17.88,17.88,17.13,17.58,1892497
2020-05-12,17.67,17.98,16.9,16.9,1985527
2020-05-13,16.67,16.69,15.17,15.37,3950785
2020-05-14,14.96,15.4,14.22,15.39,3114168
2020-05-15,14.98,15.1,14.61,14.89,3363374
2020-05-18,15.66,16.9,15.63,16.78,4389534
2020-05-19,16.65,17.6,16.26,17.38,3571132
2020-05-20,17.64,18.05,17.14,17.24,3668233
